Input_Current,Temperature,vd,vg,vs,i_source,v_source,p_source,Io,gm1,gds1,vt,vdsat,cgd1,cgs1,gain_db,freq,s11_db,nf_db,iip3_dbm
6.635034612065933e-05,-40.0,0.9363633,0.2683585,0.05196917,0.0002420639,1.0,0.0002420639,0.0001756326,0.005137106,0.0005153262,0.4405554,0.03425684,8.966118e-14,7.094843e-14,5.044088,1000000000.0,-8.07924,6.710704,-10.190010707702555
6.635034612065933e-05,-32.0,0.9361518,0.2606116,0.05214614,0.0002423629,1.0,0.0002423629,0.0001759433,0.004992045,0.0005022157,0.4341748,0.03546226,9.016223000000001e-14,7.091113e-14,4.841935,1000000000.0,-7.9396,6.962494,-9.929569995408272
6.635034612065933e-05,-24.0,0.935967,0.2528391,0.05230193,0.0002425713,1.0,0.0002425713,0.0001760929,0.004849965,0.0004893234,0.4277882,0.03666678,9.064562e-14,7.087509e-14,4.638012,1000000000.0,-7.80204,7.215315,-9.670389171694524
6.635034612065933e-05,-16.0,0.9357555,0.2451531,0.05248023,0.0002428361,1.0,0.0002428361,0.0001763548,0.004717899,0.0004773825,0.4214089,0.03787073,9.112735000000001e-14,7.083942000000001e-14,4.443608,1000000000.0,-7.67319,7.461945,-9.412937525792096
6.635034612065933e-05,-8.0,0.9355345,0.237512,0.05266701,0.0002431099,1.0,0.0002431099,0.0001766265,0.004592661,0.0004660683,0.4150328,0.03907356,9.160084e-14,7.08045e-14,4.254583,1000000000.0,-7.55012,7.704724,-9.157535716749777
6.635034612065933e-05,0.0,0.9353024,0.2299169,0.05286362,0.0002433971,1.0,0.0002433971,0.0001769134,0.004473988,0.0004553587,0.4086602,0.04027498,9.206613000000001e-14,7.07703e-14,4.071164,1000000000.0,-7.43265,7.943315,-8.904466771527893
6.635034612065933e-05,8.0,0.9350569,0.2223704,0.05307179,0.0002437032,1.0,0.0002437032,0.0001772229,0.004361659,0.0004452366,0.4022917,0.04147468,9.25235e-14,7.073680999999999e-14,3.893621,1000000000.0,-7.3206,8.177372,-8.654000667166997
6.635034612065933e-05,16.0,0.9347956,0.2148763,0.05329365,0.0002440353,1.0,0.0002440353,0.000177564,0.004255493,0.0004356891,0.3959282,0.04267235,9.297345e-14,7.070399e-14,3.722278,1000000000.0,-7.21386,8.406522,-8.406318070121245
6.635034612065933e-05,24.0,0.9345153,0.2074397,0.05353171,0.0002444012,1.0,0.0002444012,0.0001779475,0.004155346,0.0004267071,0.3895704,0.0438677,9.341671e-14,7.067179000000001e-14,3.55751,1000000000.0,-7.11232,8.630374,-8.161635922251747
6.635034612065933e-05,32.0,0.9342723,0.1999405,0.05373997,0.0002446484,1.0,0.0002446484,0.000178145,0.004055793,0.0004177187,0.3832037,0.04505972,9.383699999999999e-14,7.064110999999999e-14,3.389712,1000000000.0,-7.01084,8.855374,-7.920109067142285
6.635034612065933e-05,40.0,0.9339807,0.1925579,0.05398873,0.0002450098,1.0,0.0002450098,0.0001785028,0.003964302,0.0004095236,0.3768505,0.04624904,9.425876e-14,7.061058e-14,3.233215,1000000000.0,-6.91659,9.071693,-7.681906156550951
6.635034612065933e-05,48.0,0.9336737,0.185221,0.05425082,0.0002453949,1.0,0.0002453949,0.0001788846,0.003877477,0.0004017661,0.3705023,0.04743489,9.467242999999999e-14,7.058073000000001e-14,3.08224,1000000000.0,-6.82636,9.283168,-7.447180858645638
6.635034612065933e-05,56.0,0.93335,0.1779315,0.0545273,0.0002458069,1.0,0.0002458069,0.0001792937,0.003795098,0.0003944278,0.3641595,0.04861692,9.507835999999999e-14,7.055154e-14,2.93683,1000000000.0,-6.73996,9.489701,-7.216077747889962
6.635034612065933e-05,64.0,0.9330081,0.1706915,0.05481948,0.0002462497,1.0,0.0002462497,0.0001797342,0.003716976,0.0003874933,0.3578225,0.04979474,9.547695e-14,7.052296e-14,2.797051,1000000000.0,-6.65724,9.691187,-6.988739970695008
6.635034612065933e-05,72.0,0.932646,0.1635039,0.05512886,0.0002467279,1.0,0.0002467279,0.0001802112,0.003642945,0.0003809496,0.351492,0.05096795,9.586868000000001e-14,7.049496e-14,2.663002,1000000000.0,-6.57808,9.887507,-6.765342245383756
6.635034612065933e-05,80.0,0.9322617,0.1563725,0.05545728,0.000247247,1.0,0.000247247,0.0001807304,0.003572872,0.000374787,0.3451685,0.05213614,9.625415999999999e-14,7.046752e-14,2.534821,1000000000.0,-6.50237,10.07852,-6.546047110841442
6.635034612065933e-05,88.0,0.9318523,0.1493022,0.05580698,0.0002478136,1.0,0.0002478136,0.000181299,0.003506654,0.0003689988,0.3388529,0.05329889,9.663410000000001e-14,7.044057e-14,2.412699,1000000000.0,-6.43003,10.26406,-6.331039016149504
6.635034612065933e-05,96.0,0.9314146,0.1422992,0.05618075,0.0002484364,1.0,0.0002484364,0.0001819258,0.003443877,0.0003635829,0.3325463,0.05445575,9.700489e-14,7.041407e-14,2.296199,1000000000.0,-6.36073,10.44445,-6.1112089649917465
6.635034612065933e-05,104.0,0.9309431,0.1353716,0.056583,0.0002491285,1.0,0.0002491285,0.0001826245,0.003383918,0.0003585463,0.3262501,0.05560629,9.735898000000001e-14,7.038793e-14,2.184435,1000000000.0,-6.29397,10.62042,-5.9012403420148445
6.635034612065933e-05,112.0,0.9304491,0.1284886,0.05700451,0.0002498597,1.0,0.0002498597,0.0001833368,0.003326571,0.0003537562,0.3199615,0.05674976,9.770519e-14,7.03624e-14,2.07693,1000000000.0,-6.22943,10.79218,-5.696419606996969
6.635034612065933e-05,120.0,0.9298817,0.1217699,0.05748707,0.0002507631,1.0,0.0002507631,0.0001842651,0.003275208,0.0003495883,0.3136945,0.05788637,9.806006999999999e-14,7.033656e-14,1.981978,1000000000.0,-6.17043,10.95363,-5.497209518698767
9.21935069847544e-05,-40.0,0.924821,0.2868973,0.06140553,0.0002997775,1.0,0.0002997775,0.0002074948,0.006022957,0.0006092875,0.4434414,0.03432434,9.15638e-14,7.08534e-14,6.211526,1000000000.0,-8.89399,6.031656,-10.055740684237477
9.21935069847544e-05,-32.0,0.924536,0.2794404,0.06164369,0.0003002278,1.0,0.0003002278,0.0002079392,0.005857397,0.0005942535,0.4370935,0.03553225,9.211764000000001e-14,7.081271e-14,6.019752,1000000000.0,-8.73797,6.26391,-9.828141906936914
9.21935069847544e-05,-24.0,0.924241,0.2720371,0.06189075,0.0003006847,1.0,0.0003006847,0.000208397,0.005700125,0.0005799917,0.430749,0.03673973,9.266332e-14,7.077279e-14,5.832672,1000000000.0,-8.5888,6.493682,-9.601256432041524
9.21935069847544e-05,-16.0,0.9239304,0.2646946,0.06215145,0.0003011639,1.0,0.0003011639,0.0002088857,0.005551229,0.0005665148,0.4244095,0.03794652,9.320128999999999e-14,7.073362000000001e-14,5.651046,1000000000.0,-8.44662,6.720274,-9.375524059194973
9.21935069847544e-05,-8.0,0.9236483,0.2573292,0.06238969,0.0003015442,1.0,0.0003015442,0.0002092309,0.005405963,0.0005533214,0.4180636,0.03915188,9.372047999999999e-14,7.069578e-14,5.469091,1000000000.0,-8.30712,6.946953,-9.151260850391495
9.21935069847544e-05,0.0,0.9233357,0.2500478,0.06265372,0.0003019874,1.0,0.0003019874,0.0002096713,0.005269998,0.0005410201,0.4117264,0.04035607,9.423493e-14,7.065851e-14,5.2949,1000000000.0,-8.17558,7.168691,-8.928781058449495
9.21935069847544e-05,8.0,0.9230132,0.2428098,0.06292665,0.0003024366,1.0,0.0003024366,0.0002101181,0.005140683,0.0005293348,0.4053927,0.04155856,9.473908e-14,7.062210000000001e-14,5.125485,1000000000.0,-8.0496,7.387098,-8.708317225564535
9.21935069847544e-05,16.0,0.9226796,0.2356154,0.06320948,0.0003028949,1.0,0.0003028949,0.0002105751,0.005017722,0.0005182401,0.3990629,0.04275902,9.523301999999999e-14,7.058655e-14,4.960948,1000000000.0,-7.92895,7.601959,-8.490078567202495
9.21935069847544e-05,24.0,0.9223335,0.228466,0.06350344,0.0003033663,1.0,0.0003033663,0.0002110468,0.004900845,0.0005077132,0.3927374,0.04395713,9.571697e-14,7.055182e-14,4.801403,1000000000.0,-7.81343,7.813065,-8.274218542018588
9.21935069847544e-05,32.0,0.9219731,0.2213634,0.06380999,0.0003038554,1.0,0.0003038554,0.0002115392,0.004789818,0.0004977351,0.3864166,0.04515254,9.619128999999999e-14,7.05179e-14,4.646988,1000000000.0,-7.70285,8.020206,-8.060893254838426
9.21935069847544e-05,40.0,0.9215962,0.2143103,0.06413085,0.0003043674,1.0,0.0003043674,0.000212059,0.004684433,0.0004882897,0.3801013,0.04634493,9.665649999999999e-14,7.048474e-14,4.497868,1000000000.0,-7.59706,8.223166,-7.850211108004032
9.21935069847544e-05,48.0,0.9212006,0.2073102,0.06446792,0.0003049084,1.0,0.0003049084,0.000212614,0.004584508,0.0004793636,0.3737921,0.04753395,9.711319e-14,7.045231e-14,4.354225,1000000000.0,-7.49593,8.421726,-7.642307358200796
9.21935069847544e-05,56.0,0.9208383,0.2002579,0.06477862,0.0003053381,1.0,0.0003053381,0.0002129992,0.004485531,0.0004704692,0.3674753,0.04871855,9.754742000000001e-14,7.042135e-14,4.20895,1000000000.0,-7.39525,8.620539,-7.437257732536075
9.21935069847544e-05,64.0,0.9204266,0.1933166,0.06513069,0.0003058791,1.0,0.0003058791,0.0002135369,0.004393903,0.0004623108,0.3611728,0.04989935,9.798125e-14,7.039066e-14,4.073003,1000000000.0,-7.30105,8.812279,-7.235185676828024
9.21935069847544e-05,72.0,0.9199978,0.1864208,0.06549757,0.0003064437,1.0,0.0003064437,0.0002140983,0.004306654,0.0004545697,0.354876,0.05107554,9.840606e-14,7.036069e-14,3.941875,1000000000.0,-7.21059,8.999869,-7.036159712407468
9.21935069847544e-05,80.0,0.9195507,0.1795723,0.06588046,0.0003070352,1.0,0.0003070352,0.0002146869,0.004223596,0.0004472302,0.3485855,0.05224668,9.882227e-14,7.033142e-14,3.815599,1000000000.0,-7.1237,9.183237,-6.840267337740045
9.21935069847544e-05,88.0,0.9190833,0.1727734,0.06628079,0.0003076581,1.0,0.0003076581,0.000215307,0.004144563,0.0004402792,0.3423018,0.05341234,9.923035000000001e-14,7.030281e-14,3.694234,1000000000.0,-7.04025,9.362304,-6.647603829908078
9.21935069847544e-05,96.0,0.9185937,0.1660274,0.06670029,0.0003083172,1.0,0.0003083172,0.0002159639,0.004069418,0.0004337063,0.3360256,0.05457206,9.963087e-14,7.027482e-14,3.577866,1000000000.0,-6.96015,9.536972,-6.458258721471765
9.21935069847544e-05,104.0,0.9180794,0.1593382,0.06714106,0.000309019,1.0,0.000309019,0.0002166639,0.003998052,0.0004275043,0.3297576,0.05572535,1.0002450000000001e-13,7.024741e-14,3.466624,1000000000.0,-6.88331,9.707127,-6.272336703850783
