Corner,Temperature,vd,vg,vs,i_source,v_source,p_source,Io,gm1,gds1,vt,vdsat,cgd1,cgs1,gain_lower,gain_fo,gain_upper,gain_db,freq,f_lower,f_upper,s11_db,s12_db,s21_db,s22_db,s11_rad,s12_rad,s21_rad,s22_rad,Kf,nf_db,iip3_dbm
tsmc065_tt,-40.0,0.7475353,0.7493073,0.34121,0.003918324,1.0,0.003918324,0.00094598,0.02152277,0.002712845,0.5130693,0.04157422,6.920265e-14,3.051495e-14,7.217713,11.93201,11.61016,10.217713,1000000000.0,50000000.0,2000000000.0,-15.6374,-67.6422,-87.3524,-6.53463e-07,-1.33967,-0.247587,-0.241578,-3.14159,4.221562626277016,3.211276,7.604114362934794
tsmc065_tt,-32.0,0.746739,0.7454028,0.3422312,0.00392092,1.0,0.00392092,0.0009486154,0.02131004,0.002686104,0.5072596,0.04299572,6.931286e-14,3.050777e-14,7.212033,11.89868,11.57211,10.212033,1000000000.0,50000000.0,2000000000.0,-15.6003,-67.6562,-87.3747,-6.54928e-07,-1.32613,-0.248882,-0.24281,-3.14159,4.249503936214812,3.293535,7.1487428803038
tsmc065_tt,-24.0,0.7458738,0.7416282,0.3433383,0.003923805,1.0,0.003923805,0.0009488005,0.02102409,0.00265196,0.501477,0.04440223,6.942148999999999e-14,3.050086e-14,7.198595,11.84613,11.51391,10.198595000000001,1000000000.0,50000000.0,2000000000.0,-15.5499,-67.6814,-87.4031,-6.56614e-07,-1.30698,-0.250358,-0.244207,-3.14159,4.287802037772858,3.3833,6.758243015332923
tsmc065_tt,-16.0,0.7450216,0.7379806,0.3444204,0.003926368,1.0,0.003926368,0.0009500026,0.0207376,0.002619191,0.4956917,0.04581704,6.956751999999999e-14,3.049146e-14,7.18458,11.79135,11.45349,10.18458,1000000000.0,50000000.0,2000000000.0,-15.4931,-67.7078,-87.4282,-6.58293e-07,-1.28724,-0.251848,-0.245614,-3.14159,4.32524844373793,3.474064,6.424982085611276
tsmc065_tt,-8.0,0.7441636,0.7344331,0.345503,0.00392875,1.0,0.00392875,0.0009511908,0.02043673,0.002585783,0.4899105,0.04723278,6.973149e-14,3.048091e-14,7.168554,11.73111,11.3874,10.168554,1000000000.0,50000000.0,2000000000.0,-15.428,-67.7372,-87.4527,-6.600259999999999e-07,-1.26605,-0.253388,-0.247065,-3.14159,4.364479592371172,3.567108,6.141015720330728
tsmc065_tt,0.0,0.7432926,0.7309856,0.3465958,0.003931004,1.0,0.003931004,0.0009523184,0.02012525,0.002552013,0.4841361,0.04864886,6.990862e-14,3.046958e-14,7.150835,11.66628,11.31654,10.150835,1000000000.0,50000000.0,2000000000.0,-15.3545,-67.7691,-87.4765,-6.61812e-07,-1.24375,-0.254973,-0.248555,-3.14159,4.4051695334229555,3.662121,5.899215510935349
tsmc065_tt,8.0,0.7424083,0.7276298,0.3476992,0.003933133,1.0,0.003933133,0.0009533924,0.01980704,0.002518189,0.4783687,0.050065,7.009564e-14,3.045768e-14,7.131786,11.59782,11.24189,10.131786,1000000000.0,50000000.0,2000000000.0,-15.2731,-67.8031,-87.4994,-6.63647e-07,-1.22069,-0.256595,-0.250079,-3.14159,4.446971554727232,3.758743,5.693383697025695
tsmc065_tt,16.0,0.7415152,0.7243518,0.3488072,0.003935105,1.0,0.003935105,0.0009544442,0.01948573,0.002484601,0.4726066,0.05148102,7.029016999999999e-14,3.044536e-14,7.111773,11.52666,11.16442,10.111773,1000000000.0,50000000.0,2000000000.0,-15.1842,-67.8385,-87.5213,-6.655269999999999e-07,-1.19719,-0.258247,-0.25163,-3.14159,4.489431241139685,3.856601,5.518352826417498
tsmc065_tt,24.0,0.7406082,0.7211637,0.3499264,0.003936957,1.0,0.003936957,0.0009556594,0.019167,0.002451877,0.4668518,0.05289821,7.049259e-14,3.043264e-14,7.09143,11.45432,11.08573,10.091429999999999,1000000000.0,50000000.0,2000000000.0,-15.0889,-67.8745,-87.5414,-6.674339999999999e-07,-1.17373,-0.259914,-0.253195,-3.14159,4.5315768851440215,3.955045,5.369786251531565
tsmc065_tt,32.0,0.739695,0.7180558,0.3510468,0.003938633,1.0,0.003938633,0.0009572057,0.0188556,0.002420498,0.4611014,0.05431765,7.070309e-14,3.041947e-14,7.071369,11.38219,11.00728,10.071369,1000000000.0,50000000.0,2000000000.0,-14.9886,-67.9102,-87.5593,-6.69355e-07,-1.1507,-0.261585,-0.254762,-3.14159,4.572612368791015,4.053433,5.244098259963977
tsmc065_tt,40.0,0.7387177,0.7150231,0.3522462,0.003940556,1.0,0.003940556,0.0009570947,0.01851799,0.002386234,0.4553778,0.05572215,7.089675e-14,3.040762e-14,7.047236,11.30083,10.91907,10.047236,1000000000.0,50000000.0,2000000000.0,-14.8753,-67.9515,-87.5804,-6.71426e-07,-1.12579,-0.263355,-0.25642,-3.14159,4.619330473951546,4.156085,5.138332846764641
tsmc065_tt,48.0,0.7377509,0.7120622,0.3534242,0.003942182,1.0,0.003942182,0.0009579099,0.01820101,0.002354822,0.4496523,0.0571329,7.110324e-14,3.0395e-14,7.025012,11.22343,10.83505,10.025012,1000000000.0,50000000.0,2000000000.0,-14.7604,-67.9903,-87.5975,-6.73466e-07,-1.10237,-0.265091,-0.258048,-3.14159,4.662508406476574,4.257018,5.049989791552335
