Iteration No,Rb,Rd,Io,C1,C2,W,Rbias,fo,f_lower,f_upper,Temp,
1,348.3398921089134,251.1353923998488,0.0009924647216396113,3.92222900057188e-11,1.0947531319144916e-11,0.00015905107827050754,1000,1000000000.0,50000000,2000000000,27,
2,348.3698493396349,253.51314229509057,0.0010037043846121802,3.9215896772447885e-11,1.0942966198584836e-11,0.00015953793362109354,1000,1000000000.0,50000000,2000000000,27,
3,347.34796444823854,251.41506752945642,0.0010064786235312482,3.9209543797170733e-11,1.0938392038713829e-11,0.00015997889646962224,1000,1000000000.0,50000000,2000000000,27,
4,347.4358434832439,253.0910003696078,0.0010131878100357076,3.920323106061938e-11,1.0933819790841648e-11,0.00016045419377103357,1000,1000000000.0,50000000,2000000000,27,
5,348.6998845690046,252.59455393601618,0.0009992177738733733,3.920323106061938e-11,1.0943515902232167e-11,0.0001603642752408443,1000,1000000000.0,50000000,2000000000,27,
6,348.6158478968235,252.89143673507576,0.001008954151861996,3.919684093395651e-11,1.093895245610094e-11,0.00016085948012278803,1000,1000000000.0,50000000,2000000000,27,
7,349.8925488549913,251.39512868220166,0.0009951361211705853,3.919684093395651e-11,1.0948598424376729e-11,0.00016076746850015783,1000,1000000000.0,50000000,2000000000,27,
8,349.92124004399733,252.37984340124967,0.0010064249453291436,3.9190451848884246e-11,1.094400001303849e-11,0.00016123417646121376,1000,1000000000.0,50000000,2000000000,27,
9,349.79468519551455,250.38772517066909,0.001007069057294154,3.918410299568471e-11,1.093937070103297e-11,0.0001613373663341489,1000,1000000000.0,50000000,2000000000,27,
10,349.87233961562794,252.19126795507333,0.0010143229757138435,3.9177755170999394e-11,1.0934710529114329e-11,0.0001617928217193101,1000,1000000000.0,50000000,2000000000,27,
11,351.14020699992705,251.1967600962681,0.001000294483230531,3.9177755170999394e-11,1.0944503655864207e-11,0.0001617048064242948,1000,1000000000.0,50000000,2000000000,27,
12,351.18480180621606,251.83948887310112,0.0010114137567061219,3.917140837466171e-11,1.0939852241810466e-11,0.0001621651800081848,1000,1000000000.0,50000000,2000000000,27,
13,352.4584788454069,250.33375735842816,0.0009974710135044254,3.917140837466171e-11,1.0949636845655543e-11,0.00016205646447150734,1000,1000000000.0,50000000,2000000000,27,
14,352.75151282471904,251.552699178675,0.0010097833967067185,3.920002700562025e-11,1.094296851681654e-11,0.000162683622989012,1000,1000000000.0,50000000,2000000000,27,
15,353.05229228132083,249.12115724805406,0.000995885343904485,3.920002700562025e-11,1.0952771228013903e-11,0.00016259535085517813,1000,1000000000.0,50000000,2000000000,27,
