Iteration No,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,
1,0.47731925000000003,0.0,0.0,0.0,0.006364000000000036,0.47095525,
2,0.4752039,0.0,0.0,0.0,0.0006909999999999972,0.4745129,
3,0.4776794,0.0,0.0,0.0,0.0016665000000000152,0.47601289999999996,
4,0.478097,0.0,0.0,0.0,0.0,0.478097,
5,0.4755150500000001,0.0,0.0,0.0,0.0024360000000001047,0.47307905,
6,0.4764069,0.0,0.0,0.0,0.0,0.4764069,
7,0.4760845999999999,0.0,0.0,0.0,0.00452499999999989,0.4715596,
8,0.47545294999999993,0.0,0.0,0.0,0.00015999999999993797,0.47529295,
9,0.47758529999999993,0.0,0.0,0.0,0.0018007499999999066,0.47578455000000003,
10,0.47807785,0.0,0.0,0.0,0.0,0.47807785,
11,0.47586380000000006,0.0,0.0,0.0,0.002779000000000087,0.47308479999999997,
12,0.47678275000000003,0.0,0.0,0.0,0.0,0.47678275000000003,
13,0.47638145000000004,0.00022339999999996252,0.0,0.0,0.004284750000000059,0.4718733,
14,0.47589895,0.0,0.0,0.0,0.0,0.47589895,
15,0.4800197499999999,0.002996999999999872,0.0,0.0,0.005654000000000048,0.47136875,
