Iteration No,Rb,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,Rd,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,Io,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,W,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,C1,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,C2,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
1,Rb,-0.2014841112823353,0.01876754088383062,-0.1262358943958677,0.026797045679190185,-0.13185466442715688,0.0,0.0,-0.0837425895166863,-0.22764076561628924,0.0044141145727580175,-0.011747946105442794,-0.0029964836264518785,-0.08065801037389288,-0.0021364039254304253,-0.08281663460820583,-0.18640167564510374,-0.012493818748829618,0.4561418221579872,0.05790957555806435,0.7807002295649594,Rd,-0.05826455910620072,0.6345706093517849,0.36697506686709813,0.906065302360944,0.3415820006528847,0.0,0.0,1.2799738034090082,-0.41745201624678674,-0.0797483366145046,-0.07037361890345772,0.6055893409084406,-0.7076603529693081,-0.2352031670449269,-0.028295252423914993,-0.05782125671254435,0.018121665032093004,-1.4023913851008034e-05,-0.2982323038401896,-0.058136020355129145,Io,0.7053111734076644,0.11066756412600796,0.2182443065935499,0.1580155753727842,0.2480253715365243,0.0,0.0,3.0178296801194993,0.10220605803180093,-0.022659121473489762,-0.04334193708803398,-0.13648982918544306,-0.7372603500584198,-0.28133458669030914,0.8778252900069305,0.6183573438852726,0.15574126614535883,0.5425291315256602,-0.25476996791452095,0.7489134204255155,W,0.03445125624993753,0.03032371161430932,0.04146112534315437,0.0432974085588226,0.006109448490049844,0.0,0.0,-0.500872427344939,-0.04911200191138945,-0.0019127829815291711,-0.0026233277711079075,-0.08539978335422753,-0.1273523116464719,-0.07604107460123172,0.010164565084641546,0.13667326517594205,-0.13343623537603327,-0.05121533341083244,-0.007116404679783652,0.0209116132919101,C1,0.0,0.5578124658221429,0.010585819236557386,0.7964669542797351,0.007841978658870433,0.0,0.0,-0.001146846630377313,-0.04446627200085197,0.00029427430483938276,0.00022811545836566601,-0.002846659445140389,-0.0003880241335464926,0.0040492306958439285,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.045142293243352685,-0.004444681050196398,-0.004675403496138605,-0.006346293415243236,-0.006838934876926787,0.0,0.0,-0.19430279861442698,0.0013273514030073394,0.0004414114572695289,0.00444825143798461,0.013634000500408397,0.06076067079425073,0.010359074847661175,-0.022217204599768035,-0.03966559507443355,-0.009773693045254918,-0.033222651930522776,0.015532792888642155,-0.04564111448776851,
2,Rb,-0.1940727006578732,0.019773210987993468,-0.12320303333760968,0.028146544404700293,-0.1283442235582384,0.0,0.0,-0.04550317961164415,-0.22566901877247325,0.004271307565070121,-0.012332849916071817,-0.004477190950698827,-0.08848339137704374,-0.005995856862902632,-0.08330092998879661,-0.17989691621149992,-0.010978200777796952,0.45697428406178103,0.05967395402421857,0.7793982924678694,Rd,-0.05902895369124792,0.6277151598551155,0.3600509999175712,0.8935328020873056,0.3349095381692562,0.0,0.0,1.3304120198758882,-0.42204766342697164,-0.07924011965554056,-0.0704571147982801,0.6011375049808771,-0.7065884834663507,-0.2323394534376767,-0.02863789659516514,-0.05874940444180226,0.018846535806275176,-1.3940217925665519e-05,-0.30494778899711095,-0.058960555531812765,Io,0.7155759095274358,0.10917906367995948,0.2157149195804214,0.15541296584542102,0.24608373372923262,0.0,0.0,3.071873452402243,0.09719078684595743,-0.02238754309971324,-0.044078519144468385,-0.14058379585204112,-0.7457472130691023,-0.28412866709103646,0.8768882952971817,0.6266250608778173,0.15942745498142347,0.5431387711056664,-0.25977782741246724,0.7465754819917811,W,0.031010748074495015,0.029203664172344056,0.039284668281305855,0.0415704981303216,0.0038974587662431886,0.0,0.0,-0.5026735957462191,-0.05258953534816355,-0.0016201511453851384,-0.002398054150345044,-0.08626054565019603,-0.12371942493960794,-0.0741987286784811,0.010374193310406704,0.13399729149909706,-0.13475460442788273,-0.05081209436579464,-0.007413750782322874,0.02131761204871766,C1,0.0,0.5536201586002016,0.010610367995625874,0.788060896474499,0.007976194684397924,0.0,0.0,-0.0009365962891338688,-0.0446012514978057,0.0002945729355112511,0.0002283861095643984,-0.002835554268776977,-0.00036985936878690905,0.0040472033824736995,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.045941848999261604,-0.0043334469417000525,-0.0045598275683654405,-0.006168525529011743,-0.006616616045029114,0.0,0.0,-0.19921427974228817,0.0013313806417223665,0.0005891458710434328,0.004453529136359718,0.014028531645539844,0.062233279684570764,0.010442784036226152,-0.022490226485294088,-0.04029437100328145,-0.010097696619845723,-0.03380502848752167,0.016108058517939873,-0.046307706388493464,
3,Rb,-0.19423843345420974,0.020282049051057672,-0.12353521588350636,0.028932951333073026,-0.12865712648802377,0.0,0.0,-0.05186919103023004,-0.22206166022577428,0.004268805190862392,-0.012212813409897324,-0.004502422303212172,-0.08688879230113389,-0.0063144769242017345,-0.08338754162035808,-0.18002108592514576,-0.011055496343059521,0.45701661438845426,0.05932260529056152,0.7792091577726513,Rd,-0.05869588828369477,0.6319826684658497,0.3619072220655359,0.9015422329385542,0.33685105100252305,0.0,0.0,1.3141212035944325,-0.41827136597750464,-0.07948809665752854,-0.0704234193823077,0.6028743463983508,-0.7069271423283235,-0.2337354798228713,-0.02850244914189471,-0.05835529783870275,0.01871939126563582,-1.3940233487533697e-05,-0.3030055485746172,-0.05859556497826274,Io,0.7156213623622396,0.10983202975072866,0.2171091880854317,0.15667868486016504,0.24723596007544374,0.0,0.0,3.0484225727297423,0.09545337036570697,-0.022521627386314396,-0.04394330058701298,-0.13972517214262417,-0.7457947056679328,-0.28425129521651843,0.8769355678640571,0.6267264101212439,0.1591616710813804,0.5432230182250322,-0.25823097783921156,0.7467707906701366,W,0.03103907478138144,0.029281896860950053,0.0395382981134975,0.04177150418504591,0.004267385282241871,0.0,0.0,-0.4994350212270948,-0.05369252083071385,-0.0016192019689615094,-0.002396907304744688,-0.08554602376079291,-0.12319657604543845,-0.07415142664750445,0.010343630736984888,0.13405376910911912,-0.13472715035025265,-0.05082609126587889,-0.007374951837395434,0.02133876668811284,C1,0.0,0.5583194623054297,0.010631409048298908,0.7964594598168231,0.007989997975265836,0.0,0.0,-0.000979986817551035,-0.04441233204515721,0.00029440035797969,0.0002282768861738846,-0.0028515341253587045,-0.0003368949716970931,0.004018303497229362,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.0458916134415588,-0.004375341294063282,-0.00465673288893386,-0.006241555594690015,-0.006718861933730509,0.0,0.0,-0.19773944544299213,0.0019886118826142342,0.00044160053697999416,0.004565537723331711,0.013957509139921186,0.06224530575195864,0.010432614048683054,-0.02247504950257296,-0.04022140221403018,-0.010081113614523839,-0.03376324548710469,0.016001492216536777,-0.04626267562895753,
4,Rb,-0.19024382081459865,0.020726214833851495,-0.12181472435479608,0.029503738646000387,-0.12680644922044212,0.0,0.0,-0.027692245304718224,-0.2199072536175025,0.004124440254527272,-0.012564478619821354,-0.005238321162969143,-0.0918343178645537,-0.00839183612122311,-0.08357868116345496,-0.17659552799647008,-0.010162793731410484,0.4574929735057082,0.060424201398865285,0.7785428609594827,Rd,-0.05918255082127552,0.6273696311170021,0.3573931999030479,0.8930598172066944,0.3323920833702623,0.0,0.0,1.3478870080730536,-0.4212120809471271,-0.07910087202452024,-0.07047530280393687,0.5997129400002641,-0.7060527311022083,-0.23184012925932684,-0.02867223671635811,-0.05895266882877632,0.01916519480839334,0.0,-0.3074163986662626,-0.059112856175656696,Io,0.7209938568951545,0.10863908301671307,0.21510100033341767,0.15464758701767808,0.2456535778050753,0.0,0.0,3.089839776341949,0.09168338670457893,-0.022389818524639418,-0.04443256530101996,-0.14218300299481787,-0.7515027566096835,-0.2855979809492849,0.8764968164674611,0.6310507853881507,0.16135072699534905,0.5435498199139673,-0.2615815416695398,0.7455184405851574,W,0.029303676868923215,0.02883819748176951,0.04804330723476196,0.04105113491989914,0.03862079444873561,0.0,0.0,-0.4347007412656593,-0.05447853412881136,-0.003977138816881283,-0.004226233717572143,-0.04579789359622368,-0.12265489424824767,-0.07031607161869063,0.010488603865249194,0.1325516373933207,-0.13604668072488654,-0.05066742667805891,-0.007578353897780213,0.021578618671558865,C1,0.0,0.555353472206247,0.010676290496613769,0.7905449128778623,0.008049767461212397,0.0,0.0,-0.0009143388659299518,-0.04384857625002063,0.00029460287531291014,0.00022844506580637505,-0.0028436600599115705,-0.0002669568057961282,0.004058141646678536,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.04637134305381082,-0.004303912554002115,-0.0044630394698979585,-0.006126613670979097,-0.006602618254692917,0.0,0.0,-0.2014318902571282,0.001993117102268837,0.00044190431297983163,0.004568901316306053,0.014367966618408824,0.06262148180412111,0.010496057715790985,-0.02262795652283886,-0.040684165932587876,-0.010256373784188583,-0.03411162278544692,0.016372486495728963,-0.04666804434921016,
5,Rb,-0.19764138783994573,0.019211283347536738,-0.12469901752290133,0.027378663065305547,-0.13011356770130272,0.0,0.0,-0.061981102686591294,-0.22551289215295578,0.004416896099880911,-0.011984810109252961,-0.0038881993150752282,-0.0835108195044234,-0.0039653404307112925,-0.08313520257680698,-0.18312543615487162,-0.01161047621334754,0.4569680502379869,0.05897245374493872,0.7799716217094492,Rd,-0.05867941097793537,0.6304124956869018,0.36240926586639155,0.8984226092206049,0.3370050437179695,0.0,0.0,1.3086779654671201,-0.41975998509885565,-0.0793568999278764,-0.07031088597423214,0.6020727093272018,-0.7059672450797613,-0.2334812397000984,-0.028491742794651637,-0.05833944016391633,0.01851298872790089,0.0,-0.30229938774892956,-0.05857983162827009,Io,0.7107797312098257,0.10955999996022481,0.216443749231068,0.15613773791590516,0.24677964376868036,0.0,0.0,3.0501120604856804,0.09778877624331105,-0.02252617010940729,-0.043716021636584786,-0.13892835245030064,-0.7419526363900857,-0.2827861329800713,0.8772782465543831,0.6230821770096017,0.1573697826008627,0.543169984626157,-0.2578246090637373,0.7476189901032532,W,0.0401201448256895,0.0207724487127325,0.028648259134920577,0.02960353371812427,0.0076323601165586225,0.0,0.0,-0.35930904207693914,-0.06718820680663985,-0.0011778389599863758,-0.007989873406168642,-0.07910990144908481,-0.16925290233635432,-0.07701239779896121,0.012780140946695,0.13215128407704765,-0.19023174435494125,-0.06228334254496342,-0.009064409081899188,0.026313473706375604,C1,0.0,0.5554367832436305,0.010633249556218935,0.7915721332825024,0.007995805836397052,0.0,0.0,-0.0013280516094576957,-0.04390516484394112,0.000294459739980902,0.00022828209731029866,-0.002841376422540968,-0.00034526416506225127,0.004065097422670653,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.045616055075790383,-0.004365296785491685,-0.004569660966306254,-0.006221135137510869,-0.006632884387015044,0.0,0.0,-0.1976420445232482,0.0019956893110833983,0.0005889194799827266,0.0045656419463843976,0.013907789857801363,0.06327798390947545,0.01039966641261057,-0.022397389868355412,-0.04005868915887989,-0.009941118567157976,-0.03358662078917235,0.015882888910542597,-0.04604138951245486,
6,Rb,-0.19217815694945053,0.02014000329744443,-0.12270422584588653,0.02868056536193814,-0.12784062595698117,0.0,0.0,-0.037519097276532076,-0.22211877369156294,0.004123741706483074,-0.012333807651989341,-0.005089119462586831,-0.08976467716790458,-0.00680570147641867,-0.08362587517154402,-0.17831655901162935,-0.010493696567645715,0.45766819431254857,0.060089336860551,0.7786767634801396,Rd,-0.05894121180864916,0.6283502359477265,0.35890986059923913,0.8948081957153912,0.33378091142847666,0.0,0.0,1.3378240338988572,-0.4216266542528527,-0.07923475136048073,-0.07034838438539785,0.6000670566329059,-0.7060718113918941,-0.23244473057303808,-0.02858067258149153,-0.05870179016769462,0.018982347541105934,0.0,-0.3056800541572925,-0.05885048806499733,Io,0.71868186627859,0.1090279922223136,0.2157841457375666,0.1552623607370504,0.2463491580276931,0.0,0.0,3.0810260006809886,0.09376870386379672,-0.02253330289618674,-0.04419614408628838,-0.1414475850631409,-0.749344319984354,-0.28516389605392173,0.8766184347632715,0.6294516621030255,0.16004761140042884,0.5436912423171114,-0.2601578292629207,0.7458678305414348,W,0.0300163578655084,0.028964282711641608,0.04829287745792791,0.04124686531598305,0.03877802119745618,0.0,0.0,-0.4334584170862694,-0.05453215402008665,-0.003976465216981517,-0.004225471140026323,-0.045951755147495256,-0.12277558742992001,-0.07050906897253141,0.01045323439644853,0.13277660520439757,-0.1353499469787233,-0.05069910408413404,-0.007499365049269143,0.021501415581245045,C1,0.0,0.5553241126065452,0.010692796823713458,0.7908146425523823,0.007973051087328794,0.0,0.0,-0.0010323381965260613,-0.0438917337234861,0.0002945529790240406,0.00034260576810585616,-0.0028439196996971907,0.0008105409011483733,0.004028374770960765,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.04627346917099339,-0.004327768081646032,-0.004557585531417575,-0.006162999752485716,-0.006704611141601665,0.0,0.0,-0.20111951607186665,0.001995078805608172,0.00044182946854652555,0.004568076908148408,0.014069918514224636,0.062324236740754164,0.010508803750344025,-0.022614680267423387,-0.04059110333568868,-0.010175137921840908,-0.03405889909681912,0.016253120295610924,-0.0466006775944199,
7,Rb,-0.20010195954022272,0.0186191923161976,-0.1259551303578221,0.026573939851463658,-0.13142568615691455,0.0,0.0,-0.07616826056622837,-0.22669556314899872,0.0044147511551933865,-0.011865251811436018,-0.003448244843374664,-0.0821387644327777,-0.0020407655359477236,-0.08323873799232627,-0.1852985176118461,-0.012038191679559416,0.4571409874373858,0.058426233861862784,0.7799452350117411,Rd,-0.05820049045762665,0.6335714015591916,0.365349205971464,0.904254493466667,0.3398657307067684,0.0,0.0,1.2919882476029219,-0.41815691853584624,-0.0796126791653047,-0.07027879919087944,0.6037426949682593,-0.7069396646139803,-0.23486224832630478,-0.028262455225302158,-0.057799537603687674,0.01823570065655304,-1.3982839987284945e-05,-0.29922654986785496,-0.058095408190714994,Io,0.7079698939434128,0.11034814995972811,0.21806367565100748,0.15749260493964093,0.24826877190806984,0.0,0.0,3.0355479254890363,0.10038425230352166,-0.022515230891479998,-0.04358198261511192,-0.1376299463573094,-0.7394780025558843,-0.2823224907294332,0.8774782559768113,0.6210794063647561,0.15585796060637566,0.5433032473887377,-0.2552861591122394,0.7480502807129756,W,0.03353764826333533,0.029964327184107038,0.05015288255676843,0.04276609934295215,0.040740139883590105,0.0,0.0,-0.4331063588815917,-0.051854117083934434,-0.004120434411504069,-0.004449469429278373,-0.045876648785780384,-0.12598479953821765,-0.0722480774495378,0.010246753173010902,0.1351489188086579,-0.13364082994035492,-0.0510653316037584,-0.007189270282358186,0.02105239544336301,C1,0.0,0.5573783937743737,0.010665199981317191,0.7955092605053581,0.008020430223172444,0.0,0.0,-0.001265302563941678,-0.04454135698234697,0.0002943167436893183,0.00022817791945848738,-0.002848550088004467,-0.0003710906130566841,0.004056643687329319,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.04551916661224016,-0.0044203120021734455,-0.00467153387610806,-0.006308818517788649,-0.006744452687668105,0.0,0.0,-0.19683674463594453,0.0013295927457506896,0.0004414751155339774,0.004449469429294587,0.013792979373498656,0.06090691429821308,0.01045270152559884,-0.0223776700277019,-0.040002804977553,-0.009859673372493412,-0.03354483310992073,0.01570640951612336,-0.04601616490352667,
8,Rb,-0.19309143971102521,0.019713518731878512,-0.12334992045904809,0.02809145148657423,-0.1284312239450169,0.0,0.0,-0.044513484180836935,-0.22286828151923044,0.004270030862011441,-0.01233144175106844,-0.004944694342963702,-0.08871603182688716,-0.005624100143963856,-0.0838299876734257,-0.17917384874076048,-0.010634762130192158,0.4579442019146485,0.059892707608295036,0.7784278461214628,Rd,-0.058627000463606915,0.629749002071463,0.3604802657685962,0.8973823385375511,0.33519187987915383,0.0,0.0,1.3305899623590973,-0.42112126030349945,-0.07936367705609161,-0.0703348899875527,0.6008552822821025,-0.7066840198507053,-0.23313769796832165,-0.02842041045513706,-0.058388416413307935,0.018831219010083375,0.0,-0.3039888246968613,-0.05855178310570403,Io,0.7179782489935962,0.10955268604397449,0.21685003810240464,0.1561108398295736,0.24751374395625772,0.0,0.0,3.0759537370180676,0.0958000971306553,-0.022528093858217774,-0.044187666274655146,-0.14099870838590714,-0.7487441739305527,-0.28532934730443016,0.8766112034178044,0.6291391427082671,0.15925884523363942,0.5438817095156578,-0.2586686175680315,0.7458578820168691,W,0.030212945510766934,0.028998655643400425,0.04828644573131484,0.041322624299715505,0.038756277473163285,0.0,0.0,-0.43237645640611694,-0.0538875546359973,-0.003975545974986992,-0.004224660599912241,-0.04585080208937045,-0.12264802454056929,-0.07046372580386345,0.010453190536101106,0.13260025190883118,-0.1348945489247752,-0.05064795046062413,-0.007447867620278398,0.021475641830785736,C1,0.0,0.555905322222595,0.010710811598579843,0.792156266100705,0.007987242195878366,0.0,0.0,-0.0011762972141749102,-0.04390837785155379,0.0002944848870453732,0.0003425400486358321,-0.002846945227769864,0.0007754161373684196,0.0040493521036744015,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.04632932173725878,-0.0043741544336909485,-0.0046530574977391,-0.0062331006828534345,-0.006716544573791052,0.0,0.0,-0.20125686377281146,0.0019958353568839743,0.00044172733054713545,0.004567200648531848,0.014084886916330943,0.062336118220746146,0.010573308270689348,-0.022644319841057556,-0.04066618704123995,-0.010147101080126765,-0.03412204126807368,0.016188674284952822,-0.04668741789773398,
9,Rb,-0.19325974330187976,0.020023186530265042,-0.12359383404094273,0.028594270558580662,-0.12875001478578613,0.0,0.0,-0.053899223474990515,-0.22077835974276042,0.004120246449609659,-0.01232489800576674,-0.004818565934551269,-0.08946913734034703,-0.005540023802136914,-0.08398992223079862,-0.17930599149680124,-0.010674006280959915,0.4580112572546534,0.05947883052201471,0.7781436899623422,Rd,-0.05818810215674883,0.6341275231188372,0.3630348800461995,0.9055708459437889,0.33793466778402426,0.0,0.0,1.3130011225336091,-0.41768878870251686,-0.07946189581368546,-0.0704116858292224,0.6027724823745833,-0.7070660820516508,-0.23470235972571554,-0.02821795806173978,-0.057906930548034134,0.0186842008011382,0.0,-0.30138538909113655,-0.05808361133001829,Io,0.7182873004178002,0.11062710641874432,0.21901813325774128,0.1579819179763864,0.2494929615142033,0.0,0.0,3.0540685240281924,0.09613472120930822,-0.022661355472790384,-0.044164217853974515,-0.13988899228728607,-0.7493816589143241,-0.2859101473022357,0.876646409322284,0.6295468664130934,0.15896578071163886,0.5439352697434539,-0.2565007768128761,0.7460238519010406,W,0.03015020138841532,0.029135534891359793,0.04868047736798178,0.04160723201040007,0.039216435599062974,0.0,0.0,-0.43212301615003074,-0.05436584233906006,-0.003973094790669635,-0.00433653818721092,-0.04562579619273051,-0.12365899202447643,-0.07044814051095874,0.010444474974880302,0.13256946065411,-0.13484140096237965,-0.050639997009411124,-0.007377740161900255,0.021489226174106407,C1,0.0,0.5600497262448654,0.010651605355384012,0.7997834597554807,0.008007068057352773,0.0,0.0,-0.0012378298388141108,-0.04375787310217202,0.0002943033178382234,0.00022823885196615137,-0.00286102352363583,-0.0003166822509071077,0.004042720071841621,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.046344506142539175,-0.004446266470054264,-0.004753609001582539,-0.006349526146992367,-0.006824205730695263,0.0,0.0,-0.20033940374046008,0.001988994231912092,0.0004414549767573351,0.004564777039177071,0.014003957247277668,0.062290861439175796,0.01063085648518524,-0.022650976290269655,-0.040677115908173286,-0.01011122914840555,-0.03411668294678778,0.016045576964140787,-0.04665499104377756,
10,Rb,-0.18949842583169055,0.020354134105520998,-0.1221082564641415,0.02900094847828953,-0.1270315304581232,0.0,0.0,-0.02692589145560997,-0.21935217989537217,0.004123292331129363,-0.012563861537103573,-0.005854493323628548,-0.09245275079525592,-0.007466199786985548,-0.08423885662566631,-0.17604617907399736,-0.009822600829754035,0.45856109688091956,0.0606518065467778,0.7774441675385022,Rd,-0.058735203900373,0.6290600186566321,0.35817253116478254,0.8962964032876442,0.33316329350534407,0.0,0.0,1.3512314133866963,-0.4207573632538564,-0.07907885649321658,-0.0704718415308744,0.5994100472112348,-0.7063222873291664,-0.2326046940348839,-0.028477251320882583,-0.05859463111609841,0.019195311545145154,0.0,-0.3061330782943929,-0.058688940111767764,Io,0.7232294907618062,0.10906556038766625,0.2162534592225957,0.15539863701206458,0.2470862935515613,0.0,0.0,3.0984550711256205,0.0923937969862312,-0.022530847380746757,-0.044544599995204576,-0.1427595679684147,-0.7543189968252807,-0.28672211530969344,0.876119642019129,0.6333675703633975,0.1610981517764279,0.544348360801554,-0.2601213629830535,0.7446407357948747,W,0.028447249752309785,0.02849380003931861,0.04742323528149545,0.0405984957457276,0.03787387997966635,0.0,0.0,-0.4316925124177684,-0.05583510033700447,-0.003828771450304513,-0.0042260261533852515,-0.045935255308461584,-0.12170780899412056,-0.06947574499770663,0.010533029677512578,0.13130023427362209,-0.13554814236622523,-0.050375964726023084,-0.007583162464796414,0.021689390910879246,C1,0.0,0.556786940914786,0.010781992494693566,0.7933203791987384,0.008064055785145078,0.0,0.0,-0.0013143714855590955,-0.04387043597907916,0.0002945208808039232,0.00022843384612059758,-0.0028521890550990497,-0.00030604842403625534,0.004033752233905909,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.0468333766142948,-0.004353081415153242,-0.00455824072945749,-0.006202351285882492,-0.006704945259562085,0.0,0.0,-0.2042149944553261,0.001994110726328757,0.00044178132120588484,0.004568676922590495,0.014260945275495249,0.0625183738344002,0.01064810372305053,-0.02284271496326915,-0.04107394464092736,-0.010309981786958848,-0.03449763783930572,0.016448176235935138,-0.04709291281431963,
