Iteration No,fo,Io,W,Rb,Rd,Rbias,C1,C2,Temp,
1,1000000000.0,0.0009024823834112391,8.36734321294062e-05,200.5103846694947,317.2269108335991,1000,1.2483306926670192e-08,1.0598728905475466e-11,27,
2,1000000000.0,0.0009565575635224414,8.578485309398794e-05,196.49992299628414,317.56737990276457,1000,9.798567045856153e-09,1.0598462524088904e-11,27,
3,1000000000.0,0.0010119213934955092,8.795846970168381e-05,192.62531131465354,317.27490034587385,1000,7.69163016682098e-09,1.0598726072523671e-11,27,
4,1000000000.0,0.0010701518029313658,9.020793133363018e-05,189.09645413643102,316.3852615253024,1000,6.048886664514778e-09,1.059952027039733e-11,27,
5,1000000000.0,0.0011267504908889837,9.253519974024429e-05,185.3966307340893,314.91090620659634,1000,4.760701646370869e-09,1.060137659971403e-11,27,
6,1000000000.0,0.001184094504088585,9.488668572900263e-05,181.86709911727604,312.92574984198893,1000,3.760527424385353e-09,1.0604032597931458e-11,27,
7,1000000000.0,0.0012422138093309365,9.724506267390264e-05,178.5845192229448,310.4744981348964,1000,2.9823878081492835e-09,1.0607493047236037e-11,27,
8,1000000000.0,0.0012973594069685638,9.974218622328498e-05,175.24421484722473,307.62392827601946,1000,2.3742829105847093e-09,1.0611771402765098e-11,27,
9,1000000000.0,0.001351440698754318,0.00010230615886234094,172.13941309277735,304.5039038541348,1000,1.908019649748815e-09,1.0616889813838369e-11,27,
10,1000000000.0,0.00140402931066495,0.00010465029988035388,169.34507400004287,301.2433775529669,1000,1.5479642577167706e-09,1.0622619395374607e-11,27,
11,1000000000.0,0.0014592975204499611,0.00010723383671693332,169.06096941422962,316.0601334923678,1000,1.3797495617711232e-09,1.0626978210199872e-11,27,
12,1000000000.0,0.0015045179887974163,0.00011016918427399833,169.02343787902026,330.1135366213526,1000,1.242351340910834e-09,1.0634222267013238e-11,27,
13,1000000000.0,0.0015393513415330516,0.0001124970958607696,169.20446198098912,343.2416568024786,1000,1.134493917488422e-09,1.0644498470463963e-11,27,
14,1000000000.0,0.0015594052411348756,0.00011475909371675791,169.44247625750944,354.7363622332508,1000,1.0448061226767382e-09,1.065814826566935e-11,27,
