Iteration No,fo,Io,W,Rb,Rd,Rbias,C1,C2,Temp,
1,1000000000.0,0.000909190084195587,8.386693519994589e-05,203.905031377152,337.97896585602905,1000,1.400986851357296e-09,1.0593892766360121e-11,27,
2,1000000000.0,0.0009661875136371677,8.615133073656697e-05,203.76875484784904,359.82164514206164,1000,1.2482694776513898e-09,1.0589570458111428e-11,27,
3,1000000000.0,0.0010222378226470387,8.817068921192217e-05,204.44930852758174,381.5596701305808,1000,1.1193602726045125e-09,1.0586485363251383e-11,27,
4,1000000000.0,0.0010713207420744095,9.013273686384098e-05,205.22124096681418,402.8536250146722,1000,1.014346742389942e-09,1.0585045601242033e-11,27,
5,1000000000.0,0.0011159273238121603,9.197517018231995e-05,206.49262075814337,423.403121284397,1000,9.329783825822751e-10,1.0585239660411358e-11,27,
6,1000000000.0,0.0011511298092054703,9.420438771122353e-05,207.67761307780015,442.6924501166812,1000,8.652601681356978e-10,1.0587721899111693e-11,27,
7,1000000000.0,0.0011784248236764443,9.592021072826461e-05,208.9524074927429,460.4353421711326,1000,8.084186319103613e-10,1.0592881648917169e-11,27,
8,1000000000.0,0.0011984625629740987,9.807923079144178e-05,210.3642989101708,476.5226460696989,1000,7.602572266507401e-10,1.0601020512984072e-11,27,
9,1000000000.0,0.0012073100131014946,9.962361905256071e-05,211.65299060529395,489.95280148564484,1000,7.233493991971368e-10,1.061252262024069e-11,27,
10,1000000000.0,0.0012084877440192764,0.00010170540400809227,212.89860373050533,501.48637209141833,1000,6.874313642217698e-10,1.0626769931858339e-11,27,
11,1000000000.0,0.0012034972938803439,0.00010360622715630148,214.15449259391093,511.4580942762092,1000,6.564318759959767e-10,1.0643190062531393e-11,27,
12,1000000000.0,0.0011944849043951232,0.00010558075463344646,215.46461839477024,520.3844019095808,1000,6.295184972960821e-10,1.066097660699086e-11,27,
13,1000000000.0,0.001183198216533496,0.00010736528054826107,216.8645279312506,528.7077769566537,1000,6.060154241995325e-10,1.0679427203838686e-11,27,
14,1000000000.0,0.0011707620144789104,0.00010922762081043717,218.37108580678813,536.7203433164289,1000,5.853767609078472e-10,1.0698176718199484e-11,27,
15,1000000000.0,0.0011578116304557476,0.00011090069668759734,219.98885160080596,544.5843697867026,1000,5.671578848525263e-10,1.0717383511467557e-11,27,
16,1000000000.0,0.0011446600481454024,0.00011266011775709663,221.71096099594595,552.3717447465265,1000,5.50979139029222e-10,1.0736574772875425e-11,27,
17,1000000000.0,0.0011314714658473483,0.00011375106200739805,223.5284735505379,560.1155362980886,1000,5.398779195062069e-10,1.075567334996722e-11,27,
18,1000000000.0,0.0011182951034704044,0.00011528567758494023,225.41240878036822,567.7874387987644,1000,5.265501332666661e-10,1.0774787974122336e-11,27,
19,1000000000.0,0.0011052992096904596,0.00011692154292131129,227.3783055348116,575.4691296895119,1000,5.145702401512938e-10,1.0793688748026989e-11,27,
20,1000000000.0,0.0010924849233029156,0.00011836616704487552,229.41917741252323,583.1529853321696,1000,5.069355614981709e-10,1.0812534528581058e-11,27,
21,1000000000.0,0.0010717572068530865,0.00011944158285556122,229.79718374383964,588.1965783101417,1000,4.968221125570221e-10,1.0830438283671294e-11,27,
22,1000000000.0,0.0010747897438698757,0.0001209682453537604,232.17945284818103,604.7363719939344,1000,4.876627000899211e-10,1.084698899844179e-11,27,
23,1000000000.0,0.0010551742936493803,0.00012233821073239152,234.2015423996113,609.0389704912758,1000,4.793038363019133e-10,1.0867005308806905e-11,27,
24,1000000000.0,0.0010362689116924489,0.00012333286116504943,236.42001650999228,613.0555825016687,1000,4.716834644925225e-10,1.0884868854367058e-11,27,
25,1000000000.0,0.001040230740453335,0.00012476892844497816,238.91050436724416,630.7043287866559,1000,4.676589825595618e-10,1.0901584384637729e-11,27,
26,1000000000.0,0.0010196730070733341,0.00012603791162654916,240.97186401734183,633.9090425986084,1000,4.6092196519997274e-10,1.0922222900808596e-11,27,
27,1000000000.0,0.0009992504862511636,0.00012699164050382754,243.26663907837928,636.34314767068,1000,4.5767430903317295e-10,1.0939987896356753e-11,27,
28,1000000000.0,0.0009917226327129883,0.0001283535835176843,245.88159327071202,645.3857959134629,1000,4.5166985093581296e-10,1.0956589327989463e-11,27,
29,1000000000.0,0.000982631841913118,0.00012909123156216006,248.43962242630337,653.6267271414799,1000,4.490235172791784e-10,1.0973789347136133e-11,27,
30,1000000000.0,0.0009879405104390576,0.00013022011286696568,250.95772362600897,661.409896332704,1000,4.436143554782747e-10,1.0991376673529819e-11,27,
31,1000000000.0,0.0009663306290272186,0.0001310546067569218,253.13289969553858,662.7198186323927,1000,4.415308467220454e-10,1.1010957811073717e-11,27,
32,1000000000.0,0.0009574506947668748,0.0001323440093479336,255.6708101478854,670.9187673219044,1000,4.395099600365981e-10,1.10282028061655e-11,27,
33,1000000000.0,0.0009480536353479712,0.0001330129200858478,258.17544662769734,687.5716420456009,1000,4.3472472209503907e-10,1.1045691697782297e-11,27,
34,1000000000.0,0.0009343556823976455,0.00013397271914836705,261.6031129448507,691.2203555593901,1000,4.3306595746376604e-10,1.1063350076909862e-11,27,
35,1000000000.0,0.0009242093583165391,0.00013491961599852083,261.02789130000366,695.5039633061857,1000,4.314411661690212e-10,1.1079902692516583e-11,27,
36,1000000000.0,0.0009158072170051911,0.0001360839722845883,264.5187042996555,701.3241723057868,1000,4.2992278089154966e-10,1.1095878065548743e-11,27,
37,1000000000.0,0.0009074965717799391,0.00013660517389843822,268.04385689895537,707.0424189446819,1000,4.2562412631300886e-10,1.1111793253320767e-11,27,
38,1000000000.0,0.0008992543854161728,0.00013710371448058062,271.6470811192957,712.6596352823902,1000,4.2440421662964157e-10,1.1127666449983107e-11,27,
39,1000000000.0,0.0008911990145073465,0.0001379663482014739,275.3339658532739,718.1243093657357,1000,4.231820739538215e-10,1.1143412098009854e-11,27,
40,1000000000.0,0.0008834225604399233,0.0001387994809894798,274.49571159423346,723.4691889129587,1000,4.219641559449826e-10,1.1159085307125701e-11,27,
41,1000000000.0,0.0008776396763592865,0.0001398850779967924,278.0744951834297,730.6204406889667,1000,4.208178903153592e-10,1.117454993951382e-11,27,
42,1000000000.0,0.0008707294340941932,0.00014096594668029397,281.5261875463932,737.0927636328835,1000,4.1967088101899113e-10,1.1190790285425912e-11,27,
43,1000000000.0,0.00086357334424009,0.00014176724410987375,284.9359388878926,743.3423274781399,1000,4.1574842712954697e-10,1.1207149355691515e-11,27,
44,1000000000.0,0.0008563587646645233,0.00014255055538932868,288.3375516156591,749.5411830373666,1000,4.1484902469885747e-10,1.1223704183148118e-11,27,
45,1000000000.0,0.0008492870967123845,0.000142949910770252,291.73464853627786,755.6880453559268,1000,4.139320009297609e-10,1.1240335842130192e-11,27,
46,1000000000.0,0.0008423066645166575,0.0001439738848060847,295.13121780430413,761.7657924087118,1000,4.1299679056232745e-10,1.1257003386794833e-11,27,
47,1000000000.0,0.0008355048978162428,0.0001449896685546868,298.48794189853726,767.8844222143048,1000,4.1204930709197957e-10,1.1273729417660367e-11,27,
48,1000000000.0,0.0008288514938132994,0.00014570019042543908,301.81190361951883,774.0283934571781,1000,4.1109074305391454e-10,1.1290480300620108e-11,27,
49,1000000000.0,0.0008222878188337913,0.00014639950277275097,305.08953059084234,780.1675996598831,1000,4.1012330950526176e-10,1.1307143167797091e-11,27,
50,1000000000.0,0.0008158602690499067,0.0001467362216291283,308.3377171265337,786.3014073563432,1000,4.091480362752589e-10,1.1323808012302591e-11,27,
51,1000000000.0,0.000809496151021184,0.0001477114794701493,311.55270311339257,792.4063825332925,1000,4.0541005981584784e-10,1.1340508741819406e-11,27,
52,1000000000.0,0.0008031638673798209,0.0001486855874400951,314.68484628869294,798.6461865925497,1000,4.0467194323361033e-10,1.1357360737809718e-11,27,
53,1000000000.0,0.000796898519911035,0.0001493364585991139,317.720034078621,804.9653414362649,1000,4.0391257633213255e-10,1.1374271847948299e-11,27,
54,1000000000.0,0.000790622412801056,0.0001499842303776974,320.6318852376136,811.3367762746236,1000,4.031312747719799e-10,1.1391253635817288e-11,27,
55,1000000000.0,0.0007843249735126914,0.00015063328713465653,323.4023584806567,817.8034008271243,1000,4.0233629989812995e-10,1.1408376588574205e-11,27,
56,1000000000.0,0.0007780724655446789,0.00015161092227370838,326.04471745062233,824.3910798219204,1000,4.0152512286148506e-10,1.1425819996378124e-11,27,
57,1000000000.0,0.0007716562206363077,0.00015260101740161673,328.48782485926625,831.0803264421083,1000,4.0070474011462577e-10,1.1443375768802591e-11,27,
58,1000000000.0,0.0007651979725070618,0.000153250436464672,330.76375275380286,837.9483742598251,1000,3.998778190992756e-10,1.1460941350607688e-11,27,
59,1000000000.0,0.0007586528516492228,0.00015390402403445434,332.89150084797564,844.940355152711,1000,3.9631404132916003e-10,1.1478428836951849e-11,27,
60,1000000000.0,0.0007520552271248574,0.00015455903956074476,334.92469117132106,852.1168560592017,1000,3.930135379929709e-10,1.1495899005641682e-11,27,
61,1000000000.0,0.0007455642384595423,0.00015557080879354906,336.9152044317333,859.5021528506672,1000,3.926456773214094e-10,1.1513252065190696e-11,27,
62,1000000000.0,0.0007390960959087845,0.00015658819002612218,338.84370706189856,866.9094856542913,1000,3.922324831869739e-10,1.1530491241282938e-11,27,
63,1000000000.0,0.0007328191991315967,0.00015722331172486796,340.7561409445552,874.4033402181129,1000,3.917794546688932e-10,1.1547337288986458e-11,27,
64,1000000000.0,0.0007266828154311355,0.00015785293868055537,342.66465929729594,881.9019317960427,1000,3.912887509019206e-10,1.156407900349925e-11,27,
