Iteration No,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
1,0.0009153482,9.160512,12.53966,6.160512,12.14113,1000000.0,2000000000.0,14.508577285001905,-0.853394,-74.1481,-94.4051,-7.00157e-07,4.755368935744496,10.86638,0.003649046,0.01691084,0.05929676,0.5745508,0.6731267,0.2035406,
2,0.0009515789,8.831861,12.93915,5.831861,12.52577,1000000.0,2000000000.0,16.724321455896174,-1.0324,-72.9789,-93.0736,-7.098909999999999e-07,4.356755428144486,9.962158,0.003834949,0.01752072,0.059866,0.5894475,0.6394048,0.2114056,
3,0.0009848353,8.476481,13.25748,5.476481,12.83139,1000000.0,2000000000.0,16.241483663171692,-1.22248,-71.9666,-91.8645,-7.174629999999999e-07,4.014462688255183,9.179299,0.004014106,0.01806366,0.06040739,0.6046427,0.605181,0.2195303,
4,0.001012735,8.128946,13.50236,5.128946,13.06985,1000000.0,2000000000.0,11.979066259216026,-1.41051,-71.1229,-90.8089,-7.242209999999999e-07,3.731807354185903,8.533214,0.004167378,0.0185144,0.06090096,0.617983,0.5724699,0.2264578,
5,0.001036383,7.833404,13.67011,4.833404,13.23323,1000000.0,2000000000.0,8.918103815324557,-1.57712,-70.4651,-89.903,-7.280719999999999e-07,3.4886468749351884,8.028863,0.004303575,0.0188828,0.0613157,0.6305204,0.5411566,0.2330364,
6,0.001053018,7.545788,13.78338,4.545788,13.34197,1000000.0,2000000000.0,6.595491766811833,-1.73443,-69.9254,-89.1256,-7.311899999999999e-07,3.2939437697588008,7.612687,0.004407604,0.01916004,0.06168845,0.6404719,0.5133028,0.2380726,
7,0.001064349,7.257988,13.82962,4.257988,13.38743,1000000.0,2000000000.0,4.630713121431427,-1.87851,-69.5023,-88.4419,-7.32907e-07,3.1327601707564106,7.27417,0.004484923,0.01932925,0.06193127,0.648405,0.4890752,0.2420062,
8,0.00107097,6.98166,13.84574,3.98166,13.40215,1000000.0,2000000000.0,2.917475140554842,-2.01061,-69.1582,-87.855,-7.338099999999999e-07,3.0009794114262185,6.991383,0.00453866,0.01944875,0.06213185,0.6546142,0.4684819,0.2450795,
9,0.001071215,6.746399,13.83065,3.746399,13.38578,1000000.0,2000000000.0,1.6519786586176224,-2.119,-68.9088,-87.4005,-7.355279999999999e-07,2.908471465465781,6.783037,0.00455703,0.01945598,0.06213995,0.6577399,0.4538562,0.2465443,
10,0.001067493,6.4784489999999995,13.82088,3.478449,13.369,1000000.0,2000000000.0,0.6860144602395337,-2.24141,-68.6614,-87.0066,-7.38871e-07,2.842062087119031,6.577882,0.004551951,0.01943503,0.06199574,0.6586233,0.4433782,0.2470252,
11,0.001060478,6.230905,13.82039,3.230905,13.36283,1000000.0,2000000000.0,0.016070761903463904,-2.35812,-68.4367,-86.6906,-7.448339999999999e-07,2.798801508527212,6.404922,0.00452794,0.01936884,0.06177545,0.6579521,0.4364085,0.2467405,
12,0.001051409,6.007814,13.82793,3.007814,13.35804,1000000.0,2000000000.0,-0.4261243904629737,-2.46954,-68.2332,-86.4371,-7.51491e-07,2.7702893280807075,6.254887,0.004491777,0.01927992,0.06147555,0.6562139,0.4317962,0.2460149,
13,0.001041138,5.809704,13.84285,2.809704,13.36322,1000000.0,2000000000.0,-0.7313597125411775,-2.57276,-68.0451,-86.2257,-7.5973e-07,2.7514313929420724,6.127921,0.004448663,0.01916959,0.06116749,0.6540383,0.4286377,0.2450766,
