Iteration No,Rb,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,Rd,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,Io,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,W,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,C1,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,C2,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
1,Rb,-0.11881817214477297,0.14320160270516133,-0.06507353468913964,0.21293684680754468,-0.06753901819682705,0.0,0.0,0.011519572618601672,-0.28322205218222796,0.00782218290150872,-0.0014829707293396676,0.0017139013107079707,-0.15897623633427754,0.0448171332127201,-0.05982385533094912,-0.10519879556544894,-0.014064849411663593,0.3392041225945417,0.057908860248745996,0.8012160718795246,Rd,-0.1068227369650198,0.7002992845814617,0.3057499166644057,1.0413257859087013,0.281357666049206,0.0,0.0,0.9784514129527564,-0.3337262741476928,-0.05286716719645399,-0.05010322535541724,0.48403429516522034,-0.6487270574101414,-0.00874256192034111,-0.0536030513180707,-0.09940369609078584,0.01622348337413688,-1.7404901369624185e-05,-0.4095068580699502,-0.10680915748503184,Io,0.7370637752933787,0.11139115368221887,0.19617756781285367,0.16563558353591196,0.22221984279881693,0.0,0.0,1.7382915678874287,0.1601839244241238,-0.02967034893679753,-0.04141725394073498,-0.2995042540458739,-0.6966186287441606,-0.18985163412285247,0.8677062443170055,0.6068297021318939,0.20412582407538424,0.4505258716896736,-0.35755527154099387,0.7363150152844294,W,0.018462919356803283,0.05556457979640385,0.0775140633797067,0.08262300276340731,0.050324805022264114,0.0,0.0,-0.5667162002532686,0.0744087725013361,-0.010519487350320692,-0.003389647381345661,-0.09940627602095645,-0.12879110381622347,-0.07997143482925909,0.009317503807848659,0.17976635105056799,-0.1288603289623227,-0.06272726449950786,-0.009017618822714001,0.018571233454163196,C1,0.0,0.7351990805753987,0.00015949395757954525,1.0932208232043046,0.00016472931266894302,0.0,0.0,0.44154416041476663,-1.727806851231671,0.09251754259381366,0.07255963925677768,-0.043133182986097675,-0.00016898579925834616,0.6129916310675747,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.0235429533810288,-0.0036351679906237657,-0.0009569637454206079,-0.0054053948762614636,-0.0018943870957659995,0.0,0.0,-0.05753294909563974,-0.0,0.00013486522244443168,0.002012603132661285,0.014282510922551301,0.030256515971417475,0.0002760809027536367,-0.011811306297589991,-0.019395843139674535,-0.006509630543042189,-0.014393853424273555,0.011424297981352749,-0.02353338842471213,
2,Rb,-0.09715431899551094,0.16320456130367508,-0.05873647032455804,0.2471595259214918,-0.060355570954917656,0.0,0.0,0.11126565297536317,-0.2770244091437509,0.006577243559443927,-0.0035455811314871904,-0.010705868929155943,-0.18182838870155735,0.0368092937293314,-0.05642839057311614,-0.08772470537740835,-0.00775064310293021,0.3488690680679718,0.06415341267379088,0.8066957545117044,Rd,-0.11505089068284748,0.7230073027643915,0.26980133934609307,1.0949335040735748,0.24613257308732248,0.0,0.0,1.382028629573406,-0.3583882216195309,-0.0497404044182594,-0.04985301954582776,0.4473926278823238,-0.640035186820396,0.003914814440801344,-0.05734104938553388,-0.1086142578615476,0.020896669227942904,-1.6965039305177596e-05,-0.47218913589638356,-0.11560715515577909,Io,0.7603993741349271,0.0971029775038318,0.17087675774683522,0.14705425935219812,0.19879017417692157,0.0,0.0,2.5150243949987527,0.12979465323519168,-0.026446000145249112,-0.0426544154303651,-0.3325862702865582,-0.7179461856470419,-0.19490756922346225,0.8677299228751254,0.6198946162029789,0.22094344035010996,0.45941326411596156,-0.413572122073527,0.733329675278235,W,0.025483961445547952,0.03371882777592191,0.04660275211278073,0.05106431720508604,0.0368839600280139,0.0,0.0,-0.5594751463457109,0.03002712127082841,-0.006029139929472417,-0.009562324869777275,-0.12044102545318708,-0.19669339233943678,-0.08132776051133642,0.015097984353901906,0.17076923779387637,-0.2552868072027522,-0.08887984086793506,-0.01715658061997507,0.030415466761518788,C1,0.0,0.7962421510030574,7.728482937149213e-05,1.2058414972510514,7.983541131300848e-05,0.0,0.0,0.3709780205855806,-1.7309182487408032,0.09208140983215655,0.07220092485946573,-0.05888227911045464,-0.0008054400988255179,0.6491766141432392,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.02522124019353352,-0.0032609208863361434,-0.00015456965874298425,-0.004938389306608783,-0.0012773665810506807,0.0,0.0,-0.0867857755059204,0.0009686168151942573,-0.00013702590747340505,0.002041395196926121,0.016058803393771203,0.030071488594601917,4.01519429704162e-05,-0.012438235814870796,-0.02054710080407333,-0.007383155714437203,-0.01564176623023878,0.014138148478091812,-0.025070291420850484,
3,Rb,-0.10392600671400654,0.1768304559403828,-0.06381303234098387,0.2736976536575206,-0.06530859088532669,0.0,0.0,-0.3787169387857803,-0.27894116877167013,0.007225574085759355,-0.004571951080135991,-0.01686498119066097,-0.18235783013235823,0.03895722320406943,-0.05176744211537951,-0.09488663980610144,-0.0065720435860562336,0.3578642394921908,0.06883890935108491,0.8152405385497935,Rd,-0.12433551071939918,0.7460171266826393,0.2342828350485921,1.154683089378012,0.21143461464424082,0.0,0.0,-2.0772684987190764,-0.3844643675152089,-0.045715651427186955,-0.049964893947066776,0.40740776876298934,-0.6326149795729655,0.018716026136639956,-0.06103476091563589,-0.1197985347376991,0.026635813929393945,0.0,-0.5420857561622006,-0.12440196182485895,Io,0.7371892538782951,0.07286042403681385,0.1283803558444024,0.11277314757414404,0.15727056850426854,0.0,0.0,-2.8634373678082583,0.08425495713632013,-0.019870328735838223,-0.0426715434144943,-0.35695220520082094,-0.710313034941451,-0.17932741922884976,0.8697827112687228,0.5917959040415954,0.2301042968418272,0.4669203812433402,-0.47927810027082357,0.7346138551261464,W,0.02894900294496717,0.032407316196419116,0.04307002537435884,0.05015994760139362,0.03327776647736524,0.0,0.0,0.24289421271986694,0.023722269484973284,-0.0051412738687042735,-0.009035046182154722,-0.1297627891612488,-0.19374018538233334,-0.08415675314640746,0.014399221146631662,0.1764869356487085,-0.2569553162286892,-0.08600120368607195,-0.01913477125025393,0.02933535826261443,C1,0.0,0.8572071358385642,7.54291162528458e-05,1.3267826547741166,7.793387933514157e-05,0.0,0.0,0.35934645457488024,-1.6916432170669484,0.08920804928953097,0.06988553793902932,-0.07540458532356438,-0.0007110349454951283,0.6653667126433065,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.026725280866758207,-0.002725187492302833,0.0009051493949135594,-0.004218037093517281,-0.0003117355173544101,0.0,0.0,0.09022865037587252,0.0024540278777546044,-0.0001389533478076214,0.00217711956195847,0.017980021269384066,0.03301905633797216,-0.00032682234232309706,-0.01310378948637194,-0.021534949174195316,-0.008326795777794983,-0.016968699034975984,0.017416277113794593,-0.02673890574559531,
4,Rb,-0.08886826267484348,0.19321078033980732,-0.06413693606154038,0.30622275999785875,-0.06457610454596055,0.0,0.0,-0.5298242777791489,-0.2800405527078786,0.006889482852909728,-0.006497160520606359,-0.03148210283876619,-0.20241828087002375,0.03223873208851844,-0.04923959381655924,-0.08404269109450625,-0.0006239638915285963,0.3657543977747129,0.07567210083884279,0.8197553804726568,Rd,-0.1332036514981805,0.7661386851382725,0.19892818736873402,1.2142650751246005,0.17758428750137792,0.0,0.0,-2.249697749942526,-0.41332567652834806,-0.04133689711751831,-0.05065582778779643,0.3646676912158107,-0.6330825680414621,0.03460595269263771,-0.06483693103913922,-0.13168128591799316,0.03320144707078731,-1.6181674891924928e-05,-0.6153685984188754,-0.13340233809566268,Io,0.7470858615531077,0.052060869884014364,0.0933170201357454,0.0825120794798778,0.12440846681483761,0.0,0.0,-3.1436344829659855,0.04253780547462663,-0.014060169087600641,-0.04470927409097319,-0.3971163498434841,-0.7347761255931952,-0.17346336327671544,0.8690356382358284,0.5902432701032698,0.24666277838641545,0.47389653113436114,-0.5454959291309431,0.7304230633698727,W,0.02577179617569069,0.03042214820964423,0.03814148045230931,0.0482165341573136,0.028385941690225062,0.0,0.0,0.2613195763926207,0.01417926849153696,-0.004218050726278194,-0.00836922372145957,-0.13545588984577556,-0.18909401396864128,-0.08360273163193686,0.013869632176379076,0.17640323207881609,-0.2594540381629454,-0.08399907440819482,-0.021328632300146064,0.028570444471332352,C1,0.0,0.9156783671585609,0.00022218338128031416,1.4512728346135881,0.00030604788883182053,0.0,0.0,0.44610405625635347,-1.6036752663929972,0.08365800607118085,0.06552221202987801,-0.08919929137651883,-3.219377689933777e-05,0.6542552431006773,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.02824035902779763,-0.002029783443008264,0.002147772685661465,-0.0032170352349190404,0.0008416316943146889,0.0,0.0,0.1131290966629302,0.0035448171228921114,-0.0004218050726218252,0.0023125486598922235,0.020435750965528746,0.03424756003680082,-0.0007031348328953768,-0.013653669045635183,-0.022360973080411458,-0.00935945837306567,-0.01820438426299103,0.0209967371210285,-0.02812886109464981,
5,Rb,-0.09658591466668597,0.2023641318639988,-0.07366436700215956,0.3279676186803287,-0.0738292918660175,0.0,0.0,-0.7015622410649838,-0.2885005579791045,0.008231025003858063,-0.007897400531693403,-0.04244085749760372,-0.208861207293066,0.03527274036186349,-0.045659713145457116,-0.09299468299194646,0.0013373410072764391,0.37312036216433886,0.08040186519022804,0.8267807089364594,Rd,-0.14309381763306034,0.7764440593131663,0.16049614816560173,1.2583678086913472,0.1407819557281172,0.0,0.0,-2.5404563429452374,-0.4457492137567269,-0.03576238449957826,-0.052056104913078105,0.3153534265841926,-0.6403252218000415,0.05269737446012918,-0.06861737044201585,-0.14589997246171746,0.04096830012541084,-1.5859915071322737e-05,-0.6924982528162855,-0.14250992548803612,Io,0.723188242184592,0.0196338654306613,0.04220887761693251,0.0318202244215472,0.0748872346358345,0.0,0.0,-3.5014066360961733,-0.011413208887089693,-0.00539274051979272,-0.04682824822309034,-0.43937962179564677,-0.7492577210539814,-0.15009597249323584,0.8699046722782898,0.5579151397038421,0.25800896018474423,0.4803333881029143,-0.6187672847379071,0.7298001513926576,W,0.023929377459877447,0.055378223821988745,0.06759272602780912,0.08975041192502466,0.039748421209333015,0.0,0.0,0.28822804968945825,0.04818910418990766,-0.00823102500387823,-0.0007786169538380551,-0.13034425166740898,-0.12372556729017473,-0.09661392902083137,0.010409949867264194,0.19748130573854963,-0.1522774754263628,-0.0590147440114525,-0.018349586792441298,0.021670434318419297,C1,0.0,0.9658380954180301,0.00029260920358550185,1.5653150450489919,0.0003022693627971832,0.0,0.0,0.5660037563767374,-1.564877751851478,0.0807491935724193,0.06329043524687589,-0.1043852805766483,-4.3530474762529744e-05,0.6565686822654834,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.02962225354913885,-0.0009957356980470375,0.003877071947491657,-0.0016137695090301689,0.0023425875617587104,0.0,0.0,0.12905638312401285,0.005706604443537807,-0.0007095711210264193,0.002558312848282134,0.02307464096958606,0.03704253664519186,-0.0012579614323848661,-0.014174262096044494,-0.022983879509405284,-0.01045409250811515,-0.019412536057511698,0.0249650470861955,-0.029437461272145464,
6,Rb,-0.09354066122326542,0.21203882218795456,-0.08227299835017822,0.3519741791742161,-0.08154717781557164,0.0,0.0,-1.025610534948185,-0.2980806374428427,0.009438630311740706,-0.009873706320078533,-0.05880824409524353,-0.2255923165795734,0.033706889564746934,-0.04347032991167637,-0.0934236045436296,0.005543987569802736,0.37889250098247934,0.08630383469563818,0.8309650081529819,Rd,-0.1518492561380636,0.7826485451221282,0.11992704256866796,1.2991586937182318,0.10230872952045433,0.0,0.0,-3.3746729073832964,-0.48084961630045686,-0.0296029768867834,-0.054193183552213704,0.26121801446957715,-0.6564703835825012,0.0705007312135607,-0.07228417071950295,-0.16033369450168913,0.04885841677007276,-1.5613487484363394e-05,-0.7675001967649373,-0.15138239343796092,Io,0.7189810620521258,-0.014855969979548479,-0.008053177087179154,-0.02466019092840167,0.02758213367290767,0.0,0.0,-4.611451783227404,-0.06572764539358283,0.003432229204278585,-0.05071494609854895,-0.4965877542088871,-0.787814671891739,-0.13447288716848665,0.8687486443882027,0.5418047143951648,0.2727252832580492,0.48525157778195305,-0.6876253158953957,0.7251989519163448,W,0.02972408828719446,0.02893004680227552,0.032575464073402526,0.04802247707109285,0.022710289410040302,0.0,0.0,0.1645898231071272,0.001153116585859967,-0.002860191003548552,-0.007405279740058899,-0.14893529725515814,-0.18443729843648365,-0.08416213618135454,0.012387682741001833,0.18361130770081502,-0.2604215213706914,-0.08053436848672911,-0.024585877965202067,0.02591646413740929,C1,0.0,1.0153611524734025,0.0002902045797203737,1.6854503553619244,0.00029980580079450075,0.0,0.0,0.7247077398131352,-1.5290325928402921,0.07794020484688602,0.06114965845951132,-0.11802677826555251,-0.0005686642352229165,0.6548541927442907,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.030578774531856607,0.00038432036522230477,0.005949193884235442,0.0006379531997642839,0.0042722326612916785,0.0,0.0,0.17569959169360758,0.008071816100968559,-0.0011440764014194207,0.0026928289963763573,0.02639532816368298,0.03864199267922863,-0.001917851082015844,-0.014543048785689678,-0.023173229283453414,-0.011493237388848743,-0.02040682815279298,0.028871847182606984,-0.03045289546130177,
7,Rb,-0.0849345468450595,0.2212321100558445,-0.09219342252354354,0.3771029885476424,-0.09030859545111049,0.0,0.0,-1.6325044655756615,-0.30982001692830685,0.010791009793910674,-0.012098338004950065,-0.0800920171317785,-0.2481190384923988,0.029804087614121882,-0.04229727020954064,-0.0896568671831521,0.011092942224511201,0.3836182632768144,0.09311451490486426,0.833325757769835,Rd,-0.15370898079482906,0.7845976047356367,0.07715324065302799,1.337392214351002,0.062297244504736594,0.0,0.0,-5.066342104255222,-0.5179637052770437,-0.022589180501954027,-0.05732576979916327,0.19879739175638717,-0.6833614299011664,0.08534307006847504,-0.07645616212363301,-0.17041530323214127,0.05890400762006882,-1.5422459737106703e-05,-0.8367424886806759,-0.16115289608282823,Io,0.7301176587754533,-0.05534591680228955,-0.0624746016159501,-0.09434033163081153,-0.022782565436383212,0.0,0.0,-6.904924776707005,-0.12350213733224086,0.012949211752705076,-0.05608201542481345,-0.5706044559541702,-0.8466344735659544,-0.12409663233055694,0.8657896690757035,0.5361822108980021,0.29100000694318356,0.48929295733376055,-0.74918949069591,0.7171717088239903,W,0.023582490329764064,0.05746771694854663,0.0639930815163317,0.09795706328903418,0.03585452921135327,0.0,0.0,0.1977239130775325,0.03513422872383458,-0.006906246268113463,0.0004522743179410073,-0.14053624811880036,-0.11795591852848324,-0.0984167265818601,0.01090319722323479,0.20068031610124734,-0.16062967867443864,-0.0578804913595619,-0.024004488471300475,0.02297461800564985,C1,0.0,1.0656672345007938,0.00028923426674241264,1.8164917327150634,0.00029878774342993427,0.0,0.0,0.9827051312280572,-1.4958664047569505,0.07539318842684567,0.0592479356504005,-0.13043946912773724,-0.00010776494613635342,0.6499023256261532,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.0313806843432046,0.0022044676844348602,0.00846010230216098,0.0037576432812906004,0.006573330355418747,0.0,0.0,0.27197504643959114,0.010646735976928525,-0.001582681436453318,0.0029397830666245814,0.03001745105449011,0.04137192954915544,-0.0026119818480996792,-0.014782862492838908,-0.023177309000595885,-0.012497725300965306,-0.021221304585862227,0.03259212489204763,-0.031197547831421722,
8,Rb,-0.08721065949561403,0.2263215338472474,-0.10710875691728934,0.3968445321800388,-0.10431162164279688,0.0,0.0,-2.956557365278509,-0.32527441920610006,0.013013641187885663,-0.01422798930055528,-0.10097981766397565,-0.26620062410371714,0.030408861880410736,-0.04080499530698717,-0.0953788803907661,0.014453134744899293,0.3875259656756614,0.09810411031888414,0.8365448762544407,Rd,-0.17171349337516523,0.7779954910436798,0.026000777134342342,1.364179764218937,0.013505295792085441,0.0,0.0,-8.829706777142167,-0.5620184919004614,-0.014025813280269235,-0.06066814637756215,0.13477603194288565,-0.7083251357836263,0.10641671325973547,-0.07918636778256123,-0.1951282216080821,0.0652322440101123,-3.055234671135321e-05,-0.9024468181161329,-0.1677822910524954,Io,0.7083298318346885,-0.11037489651457918,-0.1321706170995554,-0.1935373688361189,-0.08894095350372835,0.0,0.0,-12.061988517951812,-0.19148417644396026,0.025159706296591276,-0.06169256160720355,-0.6468976983142716,-0.8965801833735249,-0.10101005766670695,0.8649248897251539,0.5027572466096726,0.301648832281673,0.49250382897285216,-0.8097431298839946,0.7137683894409698,W,0.02698488286318835,0.02718551175509294,0.02672302094362785,0.04766856034919439,0.016340661759484888,0.0,0.0,0.20137591414071476,-0.010941952939638464,-0.0013013641187700727,-0.006146491377848421,-0.1568525912702065,-0.17300246121853052,-0.08006999473494718,0.011765587199745105,0.18294234847998114,-0.2607036487727294,-0.07824455992553686,-0.028240151860729226,0.024930685757062754,C1,0.0,1.1164393568291762,0.0005777950474335361,1.9576257138982083,0.0005223042571462513,0.0,0.0,1.4282585475821643,-1.404051506756644,0.06998447038818374,0.05509077457173853,-0.13545740723075667,0.00038239375705885736,0.6160297612074753,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.031746921015541905,0.004511820970951168,0.011555900948606576,0.00791127318755547,0.009401476628738557,0.0,0.0,0.4894446100903261,0.013428760425940012,-0.0020243441847671456,0.0034147174321326203,0.03406876439405552,0.046114074146727045,-0.0033755839152300056,-0.01496036275023812,-0.02272639629797034,-0.013374782820734333,-0.021906032591412734,0.03600992909223731,-0.031703998090421216,
9,Rb,-0.08523032257762966,0.23087872507984433,-0.12002328162451072,0.4157592397392872,-0.11609334682027991,0.0,0.0,-5.796497849468642,-0.3393109957527149,0.014947292653479473,-0.016247046641596128,-0.12086555508422112,-0.28486876205229855,0.028880868554887404,-0.04004801372824926,-0.09709097151621543,0.017814626500346254,0.39004779852947924,0.10252145944023719,0.838226639188171,Rd,-0.17531494611257895,0.7712410724595372,-0.01626821588284054,1.3888269775856867,-0.026072444041371542,0.0,0.0,-16.974802903451863,-0.5983954695611148,-0.007110847961372631,-0.06430169163790804,0.07504812869123903,-0.7414493698188843,0.11816241014164362,-0.08226849505050307,-0.20662027818696693,0.07277122044674737,-3.0407156385943917e-05,-0.9495518624621563,-0.1749786955123272,Io,0.7074210125885145,-0.1602632752672885,-0.19022967105667846,-0.2885971302042201,-0.1428381461521175,0.0,0.0,-23.2465314296312,-0.24775837659274177,0.035118881768377255,-0.06739091881624726,-0.7212505846140469,-0.9537987428996698,-0.09015135845492682,0.8626671318819424,0.4891555192799262,0.3130836120724295,0.4945876021813499,-0.851789619707735,0.7078646717851528,W,0.02380474507918611,0.059572521577801,0.06051776308415962,0.1072763472337035,0.03189952322539289,0.0,0.0,0.133626010767116,0.024067956583284016,-0.005804773846018053,0.001372989857050491,-0.14887264658856558,-0.11437597763127084,-0.0975226878461674,0.011125667375467904,0.2011720817969591,-0.16561004635503848,-0.057347896942252924,-0.028445133061968327,0.023646865897938473,C1,0.0,1.1615678230712363,0.0004338190902054849,2.0917152711176814,0.00037353071692410505,0.0,0.0,2.536494151041023,-1.4388862671071423,0.07096336026748873,0.05594933667427907,-0.14928051685320307,-0.0004996368158955595,0.635069512373283,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.031833012047053084,0.006744338720547808,0.01424372679519782,0.012144995767938607,0.011952982941597903,0.0,0.0,0.9589287627041931,0.015573383671540415,-0.0024670288845540637,0.0035468904640172925,0.03766002110050587,0.04774807202800257,-0.003936289894924902,-0.014987831987071713,-0.022255368272378496,-0.014000654973170037,-0.022273242052070943,0.03840423464525021,-0.031921240929109744,
10,Rb,-0.08421600891061287,0.23823603458174689,-0.13067185302238485,0.443703501186878,-0.12581344902385494,0.0,0.0,-15.14921761163648,-0.34933367835426027,0.01631193072090333,-0.01792967430057751,-0.13655969715958616,-0.2996684511259062,0.026239449111439828,-0.039477577856185844,-0.09858487483683176,0.02017880583407876,0.39186284481584494,0.1056659980125281,0.8396714181387155,Rd,-0.18032905133804722,0.7751237989216355,-0.051805673734239215,1.4436319175586665,-0.05946592864087991,0.0,0.0,-43.892652547913684,-0.6268375709932639,-0.001310780147217294,-0.0673512124367722,0.026797641266210974,-0.7659357738119772,0.12748784487164383,-0.08457911783322258,-0.2172366083304171,0.0777311473336661,-3.0366371794886565e-05,-0.9848928070888474,-0.18026500939985457,Io,0.7037048486500505,-0.20602153385786556,-0.23782856084417808,-0.3837054963289672,-0.18647617622858442,0.0,0.0,-60.22087560531086,-0.2931190634466681,0.04325574485810861,-0.07206349863114594,-0.779297062680768,-0.9981973981687742,-0.08268618987084249,0.8610593567461442,0.47800286390090435,0.3196509953748395,0.4960346832552112,-0.8835120896787466,0.703774351766542,W,0.02379406703368353,0.060230465656209875,0.06909834974328015,0.11217643265720072,0.07001271598474772,0.0,0.0,-0.690481107992422,0.018738204969197376,-0.00946674550766896,-0.0018389409539166933,-0.07105435184220067,-0.11254874052798473,-0.08821988597545874,0.011116112629506424,0.19927934250680707,-0.16670500263405527,-0.05739244269068365,-0.029793977241105645,0.023722276107859437,C1,0.0,1.2169116404250468,0.0003617714646236959,2.2664411638635507,0.00037399955119966693,0.0,0.0,5.861486876484815,-1.411165293275227,0.0688887788480759,0.054248758140174956,-0.15577820756262029,-4.9338715748753805e-05,0.6253988745921577,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.03185032595062911,0.008736659036768749,0.016352070201027042,0.016271619908760096,0.013837983394427537,0.0,0.0,2.500460406556108,0.017845909494468033,-0.0029128447715824884,0.0037928157174235764,0.04033180352185528,0.04964650181746596,-0.0043327016203676,-0.014938649383534628,-0.021816277103761123,-0.01432356481268354,-0.022410382383985728,0.03996588014475869,-0.03185909777625405,
