Iteration No,Io,
1,0.0009384101687503416,
2,0.0009704193396064172,
3,0.0010011988929544437,
4,0.0010306994389688159,
5,0.0010892856089179679,
6,0.0011300298775096913,
7,0.0011695499029650165,
8,0.0011691170685670786,
9,0.0011687976194119307,
10,0.0011686754183134766,
11,0.0011686988439012298,
12,0.0011687202860444685,
13,0.0011688642986479834,
14,0.0011690075047809194,
15,0.001169234810667087,
16,0.0011694764711921255,
17,0.0011698138054539236,
18,0.001170344817717087,
19,0.0011711554603929242,
20,0.0011717934230182562,
