Iteration No,Rb,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,Rd,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,Io,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,W,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,C1,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,C2,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,
1,Rb,-0.0015676887788450009,-0.0005707082950040476,0.0,0.0,-0.0007236463911823803,-0.00027333409265860683,Rd,-0.002768020692886901,-0.0020155092894849334,0.0,0.0,-0.0006165650867913561,-0.00013594631661063326,Io,-140.3747094678435,-145.51754548709027,0.0,0.0,-373.5028790858209,378.64571510506113,W,-1934.854183910029,-634.2760273741472,0.0,0.0,-1395.8604020076252,95.28224547162449,C1,-19859577959.66746,-19853294774.360233,0.0,0.0,-6283185.307360263,0.0,C2,-467473793.86871624,191518022.51429105,0.0,0.0,250011211.6548841,-909003028.0378914,
2,Rb,-0.0015188649803892528,-0.0005424156112399606,0.0,0.0,-0.0007118963781053443,-0.00026455299104391613,Rd,-0.0024029857451776174,-0.001715331959448387,0.0,0.0,-0.0005509457661650351,-0.0001367080195641887,Io,-118.13395993330955,-138.84295422542382,0.0,0.0,-354.361578726789,375.07057301890444,W,-1712.0354789101168,-428.8894839328049,0.0,0.0,-1456.0500392645806,172.90404428725515,C1,-17195039469.56261,-17206459483.910263,0.0,0.0,11420014.347717814,0.0,C2,-519012642.96079606,186844551.46508545,0.0,0.0,247710579.59590164,-953567774.0210547,
3,Rb,-0.0009550828567836366,0.0,0.0,0.0,-0.0006987104934676575,-0.0002563723633159525,Rd,-0.000631712552974164,0.0,0.0,0.0,-0.0004940261712897434,-0.00013768638168438796,Io,35.617551158731736,0.0,0.0,0.0,-336.13746848414013,371.75501964287815,W,-1246.4487412847552,0.0,0.0,0.0,-1414.7069671546424,168.25822586988704,C1,27395933.57591741,0.0,0.0,0.0,27395933.57591741,0.0,C2,-752741651.0604585,0.0,0.0,0.0,245407936.39373776,-998149587.4531484,
4,Rb,-0.0004701400404298356,0.0,0.0,0.00047257379547656174,-0.0006898395979468763,-0.0002528742379595036,Rd,9.362983329912284e-05,0.0,0.0,0.0007100717842801695,-0.000477557133937195,-0.00013888481704383673,Io,44.18032319896419,0.0,0.0,0.0,-326.5900572866418,370.7703804856122,W,-1270.2111526913843,0.0,0.0,0.0,-1369.0073505493535,98.79619785803554,C1,27397200.69644962,0.0,0.0,0.0,27397200.69644962,0.0,C2,-781631501.8461416,0.0,0.0,0.0,250159840.5658835,-1031791342.4120251,
5,Rb,-0.0009396794861658862,0.0,0.0,0.0,-0.0006892004460124804,-0.0002504790401533534,Rd,-0.0006175371565495457,0.0,0.0,0.0,-0.0004767096626787475,-0.00014082749387079815,Io,51.317809225403394,0.0,0.0,0.0,-319.99741002154605,371.3152192469494,W,-1261.5665467289857,0.0,0.0,0.0,-1359.7420044901246,98.17545776127102,C1,26657968.744367234,0.0,0.0,0.0,26657968.744367234,0.0,C2,-808642629.8469193,0.0,0.0,0.0,254913613.6121685,-1063556243.4590878,
6,Rb,0.0001662814976606058,0.0,0.0,0.0010952813639012139,-0.0006962525764116043,-0.0002327472898290107,Rd,0.0005317350934116077,0.0,0.0,0.0011348974327158893,-0.000461497659343587,-0.00014166467996069447,Io,58.664849547863575,0.0,0.0,0.0,-317.0059663155278,375.6708158633914,W,-1191.7977326806003,0.0,0.0,0.0,-1340.7724492657082,148.97471658504216,C1,27399700.86212768,0.0,0.0,0.0,27399700.86212768,0.0,C2,-838967874.346342,0.0,0.0,0.0,264390551.28441426,-1103358425.6312804,
7,Rb,-0.0009388290837487717,0.0,0.0,0.0,-0.0007216790260491545,-0.00021715005769964323,Rd,-0.0006140879598207999,0.0,0.0,0.0,-0.0004698615821529552,-0.00014422637766784474,Io,64.78522240845338,0.0,0.0,0.0,-317.4401468906405,382.22536929908796,W,-1181.2630193854025,0.0,0.0,0.0,-1316.7357166970964,135.472697311694,C1,25179268.036412567,0.0,0.0,0.0,25179268.036412567,0.0,C2,-865528103.4090508,0.0,0.0,0.0,269149492.05834085,-1134677595.4673917,
8,Rb,-0.0009303944436310443,0.0,0.0,0.0,-0.0007992169673598817,-0.00013117747627116265,Rd,-0.00042163503559010406,0.0,0.0,0.00017792751917565977,-0.00045560081880228684,-0.0001439617359634695,Io,75.42967773489603,0.0,0.0,0.0,-226.76046869056225,302.19014642545244,W,-1198.0103060400709,0.0,0.0,0.0,-1252.3082356199973,54.29792957992655,C1,25180338.200128328,0.0,0.0,0.0,25180338.200128328,0.0,C2,-903432209.8064857,0.0,0.0,0.0,285716929.91554236,-1189149139.7225523,
9,Rb,0.00038516380913160547,0.0,0.0,0.0012919993277247575,-0.0006507791363157455,-0.0002560563822774476,Rd,0.0007130551407845524,0.0,0.0,0.0013030781469284976,-0.00044310912540589207,-0.00014691388073807563,Io,60.25732981898585,0.0,0.0,-18.65552006779744,-284.7557854792012,363.6686353659745,W,-1368.7392776783818,0.0,0.0,-178.67137765887293,-1297.5037762379727,107.43587621840776,C1,243173404.74739784,0.0,0.0,217251366.67791557,25922038.069219045,0.0,C2,-1119896393.973887,0.0,0.0,-188932331.33318114,266866918.00670582,-1197830980.6479013,
10,Rb,-0.0009205009655308024,0.0,0.0,0.0,-0.0006600956274944163,-0.00026040533803641197,Rd,-0.000605493404239989,0.0,0.0,0.0,-0.00045537664359636144,-0.0001501167606436438,Io,84.18412631697421,0.0,0.0,0.0,-279.65187383889895,363.83600015587314,W,-1138.5765380883126,0.0,0.0,0.0,-1306.4161284431734,167.83959035479648,C1,22968946.271309115,0.0,0.0,0.0,22968946.271309115,0.0,C2,-956981733.6953653,0.0,0.0,0.0,269239678.28542143,-1226221411.981311,
