Iteration No,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
1,0.0008849719,9.943499,12.19059,6.943499,11.8199,50000000.0,2000000000.0,7.42364100343724,-15.3489,-67.0016,-87.3489,-8.32754e-07,5.000882139547077,4.380134,0.003506856,0.01640298,0.05899068,0.5670213,0.691612,0.1998681,
2,0.0008943096,10.386223000000001,12.38683,7.386223,12.00299,50000000.0,2000000000.0,8.194092835959822,-15.092,-66.7685,-87.042,-8.48324e-07,4.791814219439149,4.316887,0.003562716,0.01655736,0.05914642,0.5745426,0.6773109,0.2043994,
3,0.0009027117,10.46513,12.45296,7.46513,12.06836,50000000.0,2000000000.0,8.628398975543277,-15.0288,-66.6965,-86.93,-8.504200000000001e-07,4.704919688694567,4.286443,0.003605942,0.01669768,0.05923956,0.5795553,0.6716683,0.2077151,
4,0.0009128278,10.461226,12.47444,7.461226,12.09451,50000000.0,2000000000.0,8.93718883765905,-15.0675,-66.6902,-86.897,-8.46285e-07,4.6618391662134115,4.267853,0.00365258,0.01686646,0.05932682,0.5835935,0.6692666,0.2104818,
5,0.0009212528,10.539064,12.54008,7.539064,12.15743,50000000.0,2000000000.0,9.431839566881251,-15.0075,-66.6198,-86.7943,-8.481719999999998e-07,4.581955847684665,4.238532,0.003695863,0.01700915,0.05949804,0.5888558,0.6636646,0.2138281,
6,0.0009332049,10.480355,12.53772,7.480355,12.16313,50000000.0,2000000000.0,9.672380649631833,-15.1236,-66.655,-86.8134,-8.40194e-07,4.567353264183909,4.22893,0.00374665,0.01720777,0.05958714,0.5916465,0.6631429,0.2157084,
7,0.0009427462,10.556371,12.60092,7.556371,12.22632,50000000.0,2000000000.0,10.300043412376283,-15.058,-66.5857,-86.6999,-8.418089999999999e-07,4.482834956297949,4.198426,0.00379211,0.01736362,0.05970316,0.5970527,0.6574052,0.2192632,
8,0.0009478096,10.604576999999999,12.63278,7.604577,12.25795,50000000.0,2000000000.0,10.783852347360778,-14.9973,-66.5449,-86.6236,-8.425499999999999e-07,4.428085444014225,4.178547,0.003825333,0.01745073,0.05974425,0.6015514,0.6535481,0.2224752,
9,0.0009604833,10.521968000000001,12.62434,7.521968,12.26006,50000000.0,2000000000.0,10.991123563615176,-15.1482,-66.5945,-86.6706,-8.334689999999999e-07,4.428579147715315,4.173013,0.003878917,0.01766576,0.05989296,0.6039692,0.6538964,0.2240024,
10,0.0009688069,10.591524,12.67835,7.591524,12.31386,50000000.0,2000000000.0,11.73194465946682,-15.0788,-66.5327,-86.564,-8.350379999999999e-07,4.353589873987367,4.146692,0.003922301,0.01780226,0.05999014,0.6091017,0.6483281,0.2274173,
11,0.000977177,10.658923999999999,12.72992,7.658924,12.3654,50000000.0,2000000000.0,12.485761301101348,-15.0091,-66.473,-86.4585,-8.3644e-07,4.280626705864768,4.121022,0.003965649,0.01793887,0.06009003,0.6142706,0.6427775,0.2308553,
12,0.000988902,10.592884,12.7191,7.592884,12.36241,50000000.0,2000000000.0,12.74611837529119,-15.1193,-66.5158,-86.4855,-8.28304e-07,4.272611602353288,4.113623,0.004015873,0.01813302,0.06016678,0.6171188,0.6428601,0.2328738,
13,0.0009974535,10.660862999999999,12.7721,7.660863,12.41347,50000000.0,2000000000.0,13.24670189949282,-15.0521,-66.4561,-86.3873,-8.29565e-07,4.203861224590298,4.088107,0.004059607,0.01827523,0.06034081,0.6225448,0.6373449,0.236365,
14,0.001006357,10.689461999999999,12.79842,7.689462,12.44215,50000000.0,2000000000.0,13.315812341906096,-15.0197,-66.4288,-86.3179,-8.280649999999999e-07,4.151080711541358,4.067451,0.004104192,0.01841988,0.06043475,0.6278089,0.6336278,0.2400284,
15,0.001016902,10.643015,12.79158,7.643015,12.44165,50000000.0,2000000000.0,13.30484690391458,-15.0917,-66.4584,-86.3258,-8.21513e-07,4.135723071906544,4.057999,0.004151584,0.01859391,0.06050556,0.6313115,0.6331663,0.2425643,
16,0.001024812,10.7035,12.83388,7.7035,12.48411,50000000.0,2000000000.0,12.643576862712052,-15.0184,-66.4064,-86.2244,-8.22606e-07,4.070583498242398,4.035577,0.004193855,0.01872185,0.06060004,0.6364068,0.6277776,0.2459792,
17,0.001035275,10.652714,12.82809,7.652714,12.48607,50000000.0,2000000000.0,12.504024838182872,-15.1021,-66.4376,-86.2447,-8.16191e-07,4.062122240810976,4.0274,0.004240923,0.01889834,0.06073418,0.6399159,0.6277063,0.2484272,
18,0.001043032,10.710809000000001,12.86712,7.710809,12.52534,50000000.0,2000000000.0,11.53545198770638,-15.0276,-66.3883,-86.1445,-8.171829999999999e-07,3.9995066936488555,4.006086,0.004282767,0.01902303,0.06082832,0.6449842,0.6223834,0.2518288,
19,0.001049607,10.673704,12.85448,7.673704,12.51689,50000000.0,2000000000.0,11.432122912975103,-15.0711,-66.4147,-86.1549,-8.12236e-07,3.9918181076841597,3.999345,0.004312711,0.01913709,0.06083617,0.6477963,0.6227976,0.2540817,
20,0.001033891,10.679062,12.8288,7.679062,12.48479,50000000.0,2000000000.0,12.36990908039958,-15.0344,-66.4219,-86.2083,-8.16407e-07,4.039879099571142,4.015201,0.004238219,0.01890484,0.06056974,0.6424325,0.6275149,0.2509654,
21,0.001043179,10.662682,12.82977,7.662682,12.49025,50000000.0,2000000000.0,11.913467233272229,-15.0528,-66.4308,-86.1837,-8.11959e-07,4.010940585491171,4.001606,0.004283029,0.01905777,0.06063932,0.6471341,0.6259942,0.254406,
22,0.001045003,10.641825,12.81891,7.641825,12.48112,50000000.0,2000000000.0,11.960849751114068,-15.0737,-66.447,-86.1966,-8.09712e-07,4.013000957062243,4.000103,0.004291112,0.01909138,0.06062837,0.6481732,0.6267944,0.2553289,
23,0.001045082,10.642631999999999,12.81948,7.642632,12.48167,50000000.0,2000000000.0,11.947222470565777,-15.0723,-66.4462,-86.195,-8.0974e-07,4.012062822542102,3.999782,0.004291554,0.01909282,0.06062848,0.6482421,0.6267203,0.2553789,
24,0.001029498,10.647844,12.79326,7.647844,12.44909,50000000.0,2000000000.0,12.80636949014962,-15.0342,-66.4537,-86.2478,-8.13866e-07,4.060063121904029,4.015701,0.004217725,0.01886138,0.06036652,0.6428983,0.6313652,0.2522653,
25,0.001038728,10.634021,12.79866,7.634021,12.45695,50000000.0,2000000000.0,12.419711807620828,-15.0572,-66.4602,-86.2302,-8.095090000000001e-07,4.033435169369872,4.001899,0.004262536,0.01901713,0.06050515,0.6477478,0.6298209,0.2556783,
26,0.001040573,10.625233999999999,12.79441,7.625234,12.45383,50000000.0,2000000000.0,12.370364669660333,-15.0631,-66.4669,-86.2295,-8.080339999999999e-07,4.028875850612621,3.998649,0.004271447,0.01905134,0.06049681,0.6489806,0.6299309,0.2567015,
27,0.001025383,10.614,12.75857,7.614,12.41263,50000000.0,2000000000.0,13.14698095227729,-15.0431,-66.4876,-86.2982,-8.10928e-07,4.084278834549118,4.016344,0.004198805,0.01882484,0.06023732,0.643664,0.6353473,0.2536584,
28,0.001034248,10.618807,12.77013,7.618807,12.42758,50000000.0,2000000000.0,12.729780962316042,-15.0351,-66.48,-86.2516,-8.0799e-07,4.0449654358502745,4.000123,0.004243069,0.01896994,0.06031891,0.6488011,0.6328217,0.2573414,
29,0.001035778,10.546136,12.73193,7.546136,12.39359,50000000.0,2000000000.0,13.11597755480463,-15.1229,-66.537,-86.324,-8.026649999999999e-07,4.077170358241119,4.007402,0.004246447,0.01899742,0.06029853,0.6486058,0.6364116,0.2574935,
30,0.001041456,10.604149,12.76884,7.604149,12.4298,50000000.0,2000000000.0,12.413913249130871,-15.048,-66.4887,-86.2324,-8.04263e-07,4.0217182859443525,3.988812,0.004278087,0.01909228,0.06035501,0.6528192,0.631828,0.2603782,
31,0.001026772,10.562076000000001,12.71591,7.562076,12.3733,50000000.0,2000000000.0,13.266104574524093,-15.0638,-66.534,-86.3322,-8.0485e-07,4.090988774404182,4.009505,0.004206299,0.01887517,0.06008402,0.6474391,0.6387961,0.2574312,
32,0.001034627,10.608818,12.75046,7.608818,12.40861,50000000.0,2000000000.0,12.71857576196814,-15.0066,-66.4931,-86.2446,-8.05114e-07,4.0338104307680265,3.98965,0.0042478,0.01900332,0.06017171,0.6524655,0.6342102,0.260864,
33,0.001022916,10.47151,12.6594,7.47151,12.31911,50000000.0,2000000000.0,13.28251866730227,-15.1604,-66.6092,-86.4423,-7.993689999999999e-07,4.148685523814828,4.024201,0.004182554,0.0188366,0.05988684,0.6444564,0.6448927,0.2560938,
34,0.001030954,10.536722000000001,12.70989,7.536722,12.37084,50000000.0,2000000000.0,13.282832069363423,-15.0933,-66.5507,-86.3427,-8.011459999999999e-07,4.084603993483326,4.001684,0.004225656,0.01897058,0.06005133,0.6498175,0.6394649,0.2595618,
35,0.001032138,10.553352,12.7197,7.553352,12.38022,50000000.0,2000000000.0,13.18656860185115,-15.0701,-66.5371,-86.3177,-8.01653e-07,4.069543745622148,3.99643,0.004232617,0.01899292,0.06005076,0.6509245,0.6383224,0.2603737,
36,0.001016885,10.555782,12.6903,7.555782,12.34472,50000000.0,2000000000.0,13.21087013114959,-15.0307,-66.5474,-86.3713,-8.055009999999999e-07,4.1186738458986305,4.012992,0.004160711,0.01876211,0.05980319,0.6456345,0.6428699,0.2572671,
37,0.001026664,10.535508,12.69322,7.535508,12.35242,50000000.0,2000000000.0,13.295999152346965,-15.0622,-66.5579,-86.3505,-8.008959999999999e-07,4.090507440756379,4.000121,0.004207078,0.01892374,0.05988256,0.6501883,0.6413497,0.2605491,
38,0.001027043,10.519649000000001,12.68455,7.519649,12.3447,50000000.0,2000000000.0,13.317587643358706,-15.0801,-66.5703,-86.3654,-7.99695e-07,4.096946750214706,4.001436,0.004208162,0.01893066,0.05987799,0.6502707,0.6421088,0.2606821,
39,0.001028057,10.533828,12.69303,7.533828,12.3528,50000000.0,2000000000.0,13.28455347240157,-15.0605,-66.5586,-86.3441,-8.001300000000001e-07,4.084036992413261,3.996937,0.004214075,0.0189498,0.05987755,0.6512184,0.6411415,0.2613779,
40,0.00101323,10.516401,12.65219,7.516401,12.30704,50000000.0,2000000000.0,12.979751244154244,-15.0427,-66.5849,-86.4168,-8.024769999999999e-07,4.141991406733288,4.015519,0.004143353,0.01872616,0.05962428,0.6459219,0.6466099,0.2583527,
41,0.001022301,10.524215,12.66763,7.524215,12.32572,50000000.0,2000000000.0,13.239822224615267,-15.0356,-66.5741,-86.3668,-7.99759e-07,4.100018272010687,3.998692,0.00418843,0.01887608,0.05970769,0.6511509,0.6439083,0.2620853,
42,0.001008534,10.454615,12.59808,7.454615,12.25432,50000000.0,2000000000.0,12.48190130907659,-15.0785,-66.6419,-86.4908,-7.98312e-07,4.181999604966896,4.023136,0.004120176,0.01867021,0.05944498,0.6456346,0.651769,0.2590822,
43,0.001016671,10.5214,12.64984,7.5214,12.30398,50000000.0,2000000000.0,13.05572869706927,-15.0112,-66.5834,-86.3916,-7.997989999999999e-07,4.116216706094128,4.000097,0.004163568,0.01880687,0.05960769,0.6510332,0.6462981,0.2625726,
44,0.001019915,10.392261999999999,12.59041,7.392262,12.25177,50000000.0,2000000000.0,12.719060329973559,-15.1841,-66.682,-86.5224,-7.909159999999999e-07,4.176728232494461,4.016607,0.004170256,0.01886426,0.05957973,0.6487778,0.6517891,0.2612143,
45,0.001028171,10.457443,12.63869,7.457443,12.29992,50000000.0,2000000000.0,13.240434439873269,-15.1118,-66.6251,-86.4155,-7.92429e-07,4.108394021843852,3.993853,0.004214078,0.01899877,0.05968186,0.6540648,0.6462894,0.2647401,
46,0.001012959,10.459845999999999,12.60824,7.459846,12.26341,50000000.0,2000000000.0,12.633831788668232,-15.0703,-66.6357,-86.4686,-7.96215e-07,4.157846317861305,4.010659,0.004142517,0.0187665,0.05943943,0.6487331,0.6507186,0.2615858,
