Iteration No,Rb,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,Rd,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,Io,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,W,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,C1,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,C2,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
1,Rb,-0.12398133771253003,0.11311913442141366,-0.06570641781899413,0.16199325440963044,-0.06954373556459591,0.0,0.0,-0.15636908944254962,-0.2886200314029004,-0.005820756519249644,-0.012135241542820358,0.012128431685699406,-0.15151064816485899,-0.13481322717524785,-0.06262019313025348,-0.10924844144174489,-0.015900816874795026,0.3348375096314872,0.055334493906982245,0.7975259683761501,Rd,-0.10176594307683165,0.6299291627625295,0.32590711360156055,0.90209561490539,0.2996641257540269,0.0,0.0,1.2039534562097667,-0.4137104287603751,-0.07716233642181194,-0.0673162455394459,0.6011379110757685,-0.6568417363766177,-0.1657255234657284,-0.051385058297231674,-0.09406827296015909,0.013968308214122257,-1.763602177684761e-05,-0.37776961649017415,-0.10176711541261085,Io,0.7361476675135132,0.12126516028210674,0.21139255770229023,0.1736588426094636,0.2376500647213499,0.0,0.0,2.68239482585832,0.1231358598987573,-0.025969529085865077,-0.03766504214706531,-0.13437341639908995,-0.6969997056122733,-0.28104163023323636,0.8667307696694675,0.6100111077377344,0.19740406450646789,0.446067899036609,-0.32816087632950014,0.7359353493629035,W,0.03217051298465503,0.03551063865949619,0.05381199761455633,0.05085332337485364,0.04458582559919662,0.0,0.0,-0.6439462884909259,-0.009772687293552351,-0.005671506352084502,-0.009502123094859266,-0.067607000386666,-0.20432202731534074,-0.10947153671553565,0.016253875266052677,0.171676122265584,-0.24900543611295334,-0.09202476168001197,-0.014386679236339179,0.032221249914328495,C1,0.0,0.6205159773234866,0.010828023910243604,0.8886153796522507,0.007360468362668365,0.0,0.0,-0.0027366526027944402,-0.0006515124862352803,-0.0,-0.0,-0.001080751338322097,-7.56089334509099e-05,0.0003424552764897218,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.02283688329538622,-0.0019912507659452104,-0.0013124877467050255,-0.0028515882266295783,-0.002284283284972263,0.0,0.0,-0.08631560786146901,0.0013030249724705605,0.00014925016716514183,0.002175184804852986,0.007445175886278224,0.029843286726076824,0.002397186935387498,-0.011548806110093965,-0.018959969468966078,-0.006119610758842199,-0.013844277102109104,0.010179117771239653,-0.02286507951993433,
2,Rb,-0.12043927516823813,0.10415720902582835,-0.06458472425954921,0.14646186555699103,-0.06814968603657244,0.0,0.0,-0.09433134637017247,-0.29287039491121136,-0.005691306529273907,-0.01263757726154693,0.010609154049625287,-0.15650733818552143,-0.13600078019183637,-0.06065597145548761,-0.10653872356462214,-0.014337300550055629,0.3407406169707783,0.05758064723305079,0.8017636059597023,Rd,-0.10520964999146123,0.5922172092780902,0.3090379055819795,0.832753086387996,0.2829295033987253,0.0,0.0,1.407437244251886,-0.4300291545189487,-0.07563446834959531,-0.06709404655224604,0.5876292548601543,-0.6511008027708363,-0.15640900491489665,-0.052796798846723066,-0.09778128880449093,0.015875855208151147,0.0,-0.4027840095294511,-0.10518621874624913,Io,0.7374850946473125,0.11241815239281688,0.19738706351826787,0.1580780867298425,0.22444407601772343,0.0,0.0,2.9710198265671024,0.11264245958123151,-0.02471225203502809,-0.03837228004871248,-0.1421626642650737,-0.6982288797437436,-0.2762870559271072,0.8678772037961998,0.6088531021853713,0.2023114839410409,0.4511936973864064,-0.3510204840937939,0.7367927694503896,W,0.031219613431413003,0.03363108995444116,0.050779739449075406,0.047290746569657406,0.04140634958456302,0.0,0.0,-0.6742265280766089,-0.011926848661550053,-0.005391764080375956,-0.009305852347141479,-0.07049193468534377,-0.20211835435622294,-0.1087589274400924,0.015774482164729334,0.17170611740035505,-0.24946564813220531,-0.09068083028133922,-0.014956204012083946,0.03140909415584708,C1,0.0,0.5803842262966891,0.010414286786860735,0.8161140003490237,0.007248193991655731,0.0,0.0,-0.0019709654816983373,-0.007951232441033369,0.0001497712244596174,-0.0,-0.0014145538732983488,0.00019491351165630753,0.0008570991086827779,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.023649528082894705,-0.0018197182941350368,-0.0010495017692210805,-0.0025588179506599337,-0.002082814365430561,0.0,0.0,-0.09688540810175986,0.0013252054068349714,0.0001497712244596174,0.0021828542542588853,0.007897925792497162,0.030212417275213933,0.002409143440619082,-0.011872964333959356,-0.019507940879463267,-0.006492362513230745,-0.014481084605399321,0.011279901150265925,-0.023630206350899817,
3,Rb,-0.11855390818574768,0.10253097668161382,-0.06432205676400422,0.14373493830649545,-0.0676976822037111,0.0,0.0,-0.05921826566772401,-0.29144043436602357,-0.005697450390947424,-0.012883929598530217,0.009642294395702612,-0.15927590969065988,-0.13622017136352746,-0.05998432587101801,-0.10522419881084082,-0.013453847395213664,0.3445227746170145,0.0585408005707553,0.8033118439631939,Rd,-0.1060249911461127,0.5851814549843121,0.3026589662216962,0.8203474018536815,0.27683960372411776,0.0,0.0,1.5195636188206465,-0.43582987330991235,-0.07526631832255634,-0.06718049004947199,0.5826532772042027,-0.6517680025877832,-0.1535538907201114,-0.053106788739250455,-0.09893590007713068,0.016897492148835572,-1.7254608826347445e-05,-0.41304614197216205,-0.10605873140662696,Io,0.7395495150888214,0.10868474639111024,0.19168133520063105,0.1523617137276912,0.21891955493538381,0.0,0.0,3.1410369929407804,0.10712764824869438,-0.02428913061404687,-0.03876682388129561,-0.1456927165400877,-0.7013689009142876,-0.2743766801518161,0.8685663829312852,0.6091265373393273,0.20523447507038045,0.45452090594288946,-0.3605053268108705,0.7374524047601738,W,0.018267183199250678,0.05082593336155474,0.07315529801751156,0.07125127090888,0.0459051602703257,0.0,0.0,-0.9213161787091702,0.01730011710848018,-0.007346712346234575,-0.0002300701714099152,-0.07090614049529971,-0.12728818634950675,-0.10661520519461438,0.009262489524230779,0.179066792512489,-0.12812384156802786,-0.06185777267502158,-0.009052087168617603,0.018535002992077547,C1,0.0,0.5753296901232821,0.010439285117759337,0.8065365238113671,0.007374655711298448,0.0,0.0,-0.002007171851741448,-0.007984669434690434,-0.0,-0.0,-0.0014110674725570289,-0.0009158006044280347,0.0008631865628410949,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.024215926302932685,-0.001777331003065702,-0.000963626318554061,-0.0024915842055026707,-0.0019886712030449533,0.0,0.0,-0.10354088284279343,0.0013307782391111325,0.00014993290502997856,0.0021856666283124574,0.00811363796710954,0.030379639284237866,0.0024729128557108406,-0.012118885994279257,-0.019942890269781823,-0.006718483391830917,-0.01492523664264469,0.011836199505025043,-0.024215861051990497,
4,Rb,-0.11639654269950787,0.10234938046458439,-0.06405097142636862,0.14350188561504534,-0.06730326404293475,0.0,0.0,-0.035772922060796866,-0.2867098058735727,-0.005697988610018036,-0.01311897994178045,0.008980426215739901,-0.1612427781989157,-0.13700096980845566,-0.059738595732328335,-0.10351905497656527,-0.012641837199432838,0.34733080474679734,0.05907959548555608,0.8036799381229234,Rd,-0.10589072769256357,0.5849887957682967,0.30013371341719663,0.8202003263270667,0.27475275972321034,0.0,0.0,1.5888028713287918,-0.4367015098722495,-0.07512348141106259,-0.06732108128014698,0.5814825974701189,-0.6519484897624147,-0.15333236641467932,-0.05294887449418977,-0.09907236017516208,0.01759743738160995,0.0,-0.4175167265182555,-0.10599491262427622,Io,0.7431960332496389,0.10710025765621856,0.18942734102693753,0.15016298929961663,0.21654453136174773,0.0,0.0,3.2483670799634305,0.1022067363530754,-0.023991530989568695,-0.03901170351105643,-0.14746805154292453,-0.7037996965962222,-0.27397850863184103,0.8690021847570775,0.6109758657121908,0.20774752464399465,0.45704758534836987,-0.36463794846478353,0.7378785244139882,W,0.018053788458243285,0.05064415968070858,0.07318965821312018,0.07100709722503785,0.04613663554786544,0.0,0.0,-0.9397458208632872,0.015264642442342583,-0.007347406365562471,-0.00023015754284571308,-0.07077993820047757,-0.12743701817509068,-0.10696244692587786,0.009335866702442014,0.17970575924052037,-0.1293007108757905,-0.06154969169464772,-0.009219046640016606,0.018623938031704878,C1,0.0,0.576949585067759,0.010501473412835723,0.8089287202934279,0.007441392830298035,0.0,0.0,-0.001871290446152375,-0.00796416127427082,-0.0,-0.0,-0.001299798531226006,-0.0007598631265366374,0.0008435154631753042,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.024681544536653978,-0.001768435171939711,-0.000961967030175381,-0.002479485274941434,-0.0019843714214118303,0.0,0.0,-0.10833783532081748,0.0019910403185618105,-0.0,0.002186496656952506,0.008389608701554224,0.029596449389768215,0.002530546389484291,-0.012320058698233292,-0.020336217558389325,-0.006894015219432291,-0.015250341204966425,0.01217750893290605,-0.02465771387359554,
5,Rb,-0.10795082522408528,0.10200146806205765,-0.061642349969062864,0.1425906452047604,-0.06448731351938565,0.0,0.0,0.004562883000755569,-0.283858070964519,-0.005854115443158894,-0.013480147889901416,0.007074036869888189,-0.16719269016175614,-0.14037879152499835,-0.059634245100535596,-0.09659506794872938,-0.01042051133113765,0.3509517949895235,0.060633036627223136,0.8041506237954752,Rd,-0.1064094459197215,0.5782581830796356,0.2939375187399186,0.808362947973382,0.2687245577395842,0.0,0.0,1.7174497873658412,-0.4424454439446929,-0.07460244551920212,-0.067285524510257,0.5760624024372645,-0.6508055577085317,-0.15068896495296347,-0.05319461246264757,-0.09988741353919182,0.018588847632628292,0.0,-0.4279722016211227,-0.10672124009893179,Io,0.7559271461644445,0.10546477372184293,0.18739912345057047,0.14743209501869475,0.21517705633510412,0.0,0.0,3.458541681920366,0.09795102448775272,-0.0238667783451797,-0.03963393909508468,-0.1522096933169163,-0.7126855195378543,-0.27728940114172945,0.8688633750764012,0.6202543924887366,0.2130322276162289,0.4601635918335059,-0.37344164507193883,0.7369003419101666,W,0.027299781341234737,0.03135952111118219,0.047288374555832985,0.0438383332466751,0.037836944156782626,0.0,0.0,-0.7349467272293939,-0.017324670997841383,-0.004953482298049322,-0.008986765259934278,-0.07250887791626344,-0.19740862255571173,-0.10680584693003123,0.01534147775499061,0.17032009242084223,-0.25288227981964617,-0.08856157993180394,-0.015610294718159218,0.030819148652589445,C1,0.0,0.5720906524526418,0.01060599294423292,0.7997411880307768,0.007485134604937694,0.0,0.0,-0.0017152008542078798,-0.007329668499090381,-0.0,0.000115214939217332,-0.0014148073739651545,0.0002945307334834819,0.0008729437456138755,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.02536762981887319,-0.0017363970842175567,-0.0008771873863594838,-0.0024273570299949993,-0.0019741014342652677,0.0,0.0,-0.11688377184345922,0.001999000499745466,0.000150105524188484,0.0023042987845922356,0.008606744858367084,0.03201236033339986,0.002642424311050805,-0.012581635195900772,-0.020871119368113446,-0.0071767069974080855,-0.015725411892011293,0.01280767423786077,-0.025253930610615954,
6,Rb,-0.09900290922175678,0.10437623534699422,-0.05902189552805867,0.14623637514529172,-0.06149732840149732,0.0,0.0,0.019507203371698634,-0.2750667830410681,-0.006301102692967245,-0.013822750865650296,0.005831986422193211,-0.17386039018688648,-0.14521403759344317,-0.06021379098661363,-0.08914577542586345,-0.0084414187356469,0.35249088771759374,0.06143472244067722,0.802518585275313,Rd,-0.10570025939640268,0.5824421023906202,0.29367380991121605,0.8160307899825555,0.2688452725573119,0.0,0.0,1.7569366579806116,-0.4397101219286384,-0.07456304853349548,-0.06750110006058792,0.5770095954029654,-0.6510082876550268,-0.15197697762792017,-0.05295397221517926,-0.09943182643655007,0.019014169835981115,-1.690198453761907e-05,-0.42889699942500525,-0.10634727252160357,Io,0.7704203010507112,0.10713377552574226,0.19054501137367677,0.15009982814986741,0.21836484523309307,0.0,0.0,3.522424097686412,0.0938929884419097,-0.02415422698971488,-0.04020116710094004,-0.15389302946699265,-0.7237935098513725,-0.2823882164046305,0.8681622249209314,0.6313427015819023,0.2171777333162884,0.46169460987262767,-0.3734639999915463,0.7352518492557564,W,0.02464624864271968,0.031000858272456223,0.04681871983103642,0.04343376751503626,0.03740813425491673,0.0,0.0,-0.7457775188336193,-0.02115898331084958,-0.004950866401614075,-0.008984788062675966,-0.07176913903216592,-0.19716336551970817,-0.10572414298651596,0.015453805399493351,0.16893531236179407,-0.2538467192753224,-0.08814384941007046,-0.01575829282043913,0.03101409124540751,C1,0.0,0.5783868962454095,0.010687748649666835,0.8103492414464245,0.007563842530655527,0.0,0.0,-0.0018160303329075734,-0.007273400513100139,-0.0,-0.0,-0.0014282415727686377,-0.0007750811116496363,0.0008039858782318827,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.025749971951495112,-0.001755665719329868,-0.0009571118193801277,-0.0024597763074073616,-0.001973176312345555,0.0,0.0,-0.12014816734280036,0.0013224364569251624,0.0001500262545995344,0.0023037918109362595,0.008688469567743088,0.032089960263243816,0.0026957173563986036,-0.012731373360190992,-0.021153234846811638,-0.007333797191804471,-0.01597237539645673,0.012983626907560627,-0.025543743312732545,
7,Rb,-0.05965550431282421,0.10970626174468119,-0.04658390022315687,0.15326140021446297,-0.04776580361056458,0.0,0.0,0.06759866652836641,-0.2663036259795504,-0.007659302222547442,-0.015340271442067382,0.0004751671697630241,-0.20346353595329844,-0.16322783824224701,-0.06270915136955228,-0.056209477056057534,0.0,0.3562834570549628,0.06580416461567465,0.7976714742829625,Rd,-0.10527753917226809,0.575690263254295,0.28743932982671216,0.8042484944161694,0.26303908289657946,0.0,0.0,1.9028563597377266,-0.446274405631556,-0.07403992148464661,-0.06770480704130195,0.5716261052091582,-0.6519663622761709,-0.14962750325956833,-0.05332123804425403,-0.09957601007163061,0.0204679283307622,-1.674894024386196e-05,-0.4396679551667785,-0.10735955691607016,Io,0.6119356407907004,0.07388902872018788,0.13276808360023729,0.10322415349907495,0.15548423401317607,0.0,0.0,3.7691073679528153,0.05445610306813939,-0.016970610806833358,-0.03564017951578098,-0.13827364639721643,-0.6093388179595667,-0.20622014059555888,0.8719947469878223,0.49626748339343985,0.18722627077025542,0.4539297787280748,-0.3868238340676455,0.7422586188653655,W,0.009832975195227786,0.04858677285971083,0.08166070413905861,0.06787649785855238,0.08489880847222539,0.0,0.0,-0.9001472934238954,0.012617877540183963,-0.010062220566892372,-0.0024221481224299666,-0.01853151962024226,-0.12091899061932591,-0.10184769244475989,0.010179029616751342,0.175251474058989,-0.13570470976745802,-0.060698159475702056,-0.01069355703300911,0.020523279784303634,C1,0.0,0.5735399030594832,0.010713503458480858,0.8012444068720209,0.007606540643466876,0.0,0.0,-0.0017601726389004173,-0.0073050869969399175,-0.0,-0.0,-0.001425501509238762,-0.0007675482353896925,0.0008098273019322808,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.026709203388992336,-0.0017524961940055133,-0.000952311418537584,-0.002448265179146203,-0.0020447689901738,0.0,0.0,-0.13090915480528337,0.0019922964537076693,0.00015018239652555976,0.0023068077356436846,0.009028176225271061,0.03242962038923864,0.0028820324569052676,-0.012974307179906185,-0.021884837378370693,-0.007654536208796001,-0.016447459328119148,0.013614130219834679,-0.026132976258661903,
8,Rb,-0.11681671086681693,0.09709958256704943,-0.06633535927959419,0.1354052960473731,-0.06926117336096255,0.0,0.0,0.1038312142860178,-0.279383622385363,-0.005109332195253403,-0.013737595759120072,0.00629042786780517,-0.1626772063549487,-0.13468796689374907,-0.05806030481529757,-0.10475206481334855,-0.010846232064167198,0.35908818431808126,0.062122435976788466,0.8074158378102372,Rd,-0.10737388606319123,0.5708572817190168,0.28267728876779225,0.796060056989364,0.2583629399695715,0.0,0.0,1.987759419437006,-0.45141458795915623,-0.07363449340218768,-0.06776444294626609,0.5681561925108305,-0.6514568663343038,-0.14691709821620091,-0.05319798302527015,-0.10177224677708084,0.021039681643009015,-1.6623683353968494e-05,-0.4473427434032652,-0.10733780664092503,Io,0.7404229710270986,0.09408201760429495,0.16892560465709333,0.1311973039394581,0.19595446220616133,0.0,0.0,3.921693697699733,0.07668046915112467,-0.021639524591658958,-0.04005836746568007,-0.15702332205803712,-0.704688548364705,-0.26301008460595543,0.8710614213193931,0.6031266313787315,0.21598731258657342,0.4667431577750596,-0.39216700346921396,0.7398127971117581,W,0.01945538428815215,0.050072718600671015,0.08446280232853964,0.06982636904064098,0.08794292683524127,0.0,0.0,-0.9203091630660061,0.015336093830222565,-0.01051921334317882,-0.0026551655668791032,-0.01970209483115822,-0.12760932968598773,-0.10659207614512792,0.009672360550048088,0.18383185116038298,-0.1345903580679246,-0.0599948732560505,-0.010328237508455478,0.019507792329211973,C1,0.0,0.5700463111352813,0.01068648389349301,0.7949291591103683,0.007586912983005474,0.0,0.0,-0.001827134734930348,-0.00733465357097086,-0.0,-0.0,-0.0014242478191095758,-0.0007567145979163492,0.000837611734403446,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.026756428717324632,-0.0016219411674711101,-0.0007915913995159175,-0.002261795758002858,-0.0018763333183639856,0.0,0.0,-0.1387698152126762,0.0020003600648188487,-0.0,0.002424281604549636,0.009257610824300207,0.03261044309410564,0.002704289313960276,-0.01325374810507438,-0.021832897534945096,-0.007783175786794336,-0.016889662296509324,0.014184112844954582,-0.026744553999734744,
9,Rb,-0.11642055619290818,0.0984036446413782,-0.06637970777086738,0.1376501468764495,-0.06924925326629812,0.0,0.0,0.11483494519329561,-0.27065922023737865,-0.005105526732686906,-0.013845525472289616,0.006119003826180861,-0.16247431470854917,-0.13584908554083452,-0.05805744232217128,-0.10443932216898519,-0.01061894419645291,0.3600018014163574,0.06205876037854019,0.8068663550033458,Rd,-0.10665463938831592,0.5771163721463386,0.2834999691072993,0.8072887308215025,0.2597050911659548,0.0,0.0,2.0116373977536997,-0.44625764117188027,-0.07372981252204867,-0.06795845419322605,0.5706271019078213,-0.6512290106182836,-0.14893315693001868,-0.05282402278780549,-0.10115613480540714,0.0211544061271965,0.0,-0.44666096953584666,-0.10669528540765155,Io,0.7416891058907525,0.09389878395371475,0.16872169158942246,0.13134860451413632,0.19518664672114172,0.0,0.0,3.9621077741417867,0.07063545503756176,-0.021473244787469748,-0.04015202386967432,-0.15657450966981593,-0.7061514678661241,-0.2624242963058197,0.8714288034521055,0.6033139813967922,0.21732103405808834,0.46768941197663944,-0.391866356811274,0.7403492105441748,W,0.030182721552782683,0.031106348166047276,0.047527237067444536,0.04351254884360159,0.03858056159594933,0.0,0.0,-0.8106546339165107,-0.025085488704928806,-0.004955364181720505,-0.0091149709359255,-0.07318808497976571,-0.20009269926719744,-0.10814727871684586,0.015029968416446667,0.1754807039153695,-0.254988232339831,-0.08574940576439329,-0.01607288249332465,0.030356817605531237,C1,0.0,0.5785324570460494,0.010852052463729979,0.8092695954037554,0.007748738586934638,0.0,0.0,-0.0017552704733306205,-0.006601444396030194,0.0001501625509664006,-0.0,-0.0014397656061609497,0.00043524425260447184,0.0007428685220940414,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.027028059727853073,-0.0016441791117422211,-0.0007129085560127937,-0.0022999300183170254,-0.0017944447253828836,0.0,0.0,-0.1413083450788944,0.0019804333188172666,0.0001501625509664006,0.002422966957668309,0.009358476440052525,0.03386650557585755,0.0027318390812572945,-0.013380023341567768,-0.022019998007441793,-0.00791411878792278,-0.017070406901547732,0.014314194113917123,-0.02705328157198048,
10,Rb,-0.11358300606653406,0.09695488581247583,-0.06625467825071846,0.13526928189912968,-0.0689466990854217,0.0,0.0,0.1511317310154605,-0.27057856062816044,-0.0051102690857265385,-0.014093618594326606,0.004670446135400261,-0.16578214529390228,-0.13632553370251965,-0.05772122027350999,-0.10240272864232419,-0.009401544987216667,0.36340400954388724,0.06339382790905565,0.8077221917593791,Rd,-0.10741046538789013,0.5704750326770641,0.27724427863247025,0.7959139693163056,0.2537790749610601,0.0,0.0,1.9993398926463122,-0.45229063320688084,-0.07319708955146993,-0.06804214223001961,0.565243737410747,-0.6511028874771662,-0.145947661412989,-0.05310658208028433,-0.10240272864232419,0.0224036816716938,0.0,-0.45749983688813917,-0.10751160971481978,Io,0.7451949402920225,0.09031750293913812,0.16303383326695395,0.1260089541968175,0.18970493411489386,0.0,0.0,3.964581341522761,0.06499190917049269,-0.020891982438720633,-0.04066355528855993,-0.16119026918536605,-0.7101900501238164,-0.26088265055614335,0.8716312185117671,0.6044738139989027,0.22085296016979783,0.47057823020359135,-0.40146339484591465,0.740137183934566,W,0.02938666105702264,0.03045831742439998,0.04653602400943704,0.042494761262700576,0.03759990774623537,0.0,0.0,-0.8260194373607108,-0.026527309865503616,-0.004959967053809739,-0.00901067418325046,-0.07412836302060986,-0.19977468634742923,-0.1076761910457714,0.014889219363828888,0.1754833375088239,-0.25532529178960767,-0.08484625802226195,-0.01634974637069402,0.030164811560071284,C1,0.0,0.5739117430126225,0.010963571758159922,0.8007087904879209,0.007796093182797138,0.0,0.0,-0.001514640402800601,-0.006631827466372959,-0.0,-0.0,-0.0015568153784540743,-0.0007698655155209662,0.0007716994655024295,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.02765256936134097,-0.0015672909772013028,-0.0005521223187490985,-0.0021866492156266716,-0.0016241860797469995,0.0,0.0,-0.14740815991658146,0.002652730986556252,-0.0,0.002425950741662665,0.009580402328993992,0.03297596837830703,0.0027732949541486866,-0.013639952670646441,-0.022525229942708044,-0.008184678348803423,-0.017550435337813187,0.014976984647136555,-0.02761443390630429,
