Iteration No,fo,f_lower,f_upper,Io,W,Rb,Rd,Rbias,C1,C2,Temp,
1,1000000000.0,50000000.0,2000000000.0,0.0008647157236525259,8.219355063729641e-05,206.82652387094615,326.756063521943,1000,3.263586699658339e-11,1.0597540416108684e-11,27,
2,1000000000.0,50000000.0,2000000000.0,0.000879624460387164,8.270566577389716e-05,208.9867855474732,337.38027552250776,1000,3.344494277529566e-11,1.0595584110147867e-11,27,
3,1000000000.0,50000000.0,2000000000.0,0.0008902406479995772,8.309711169000503e-05,210.2172997407769,339.7196703529809,1000,3.344397287195519e-11,1.0594482169400418e-11,27,
4,1000000000.0,50000000.0,2000000000.0,0.0009008567677269725,8.348725262938967e-05,211.44854246535877,342.0287449523704,1000,3.344296955276904e-11,1.0593369748772634e-11,27,
5,1000000000.0,50000000.0,2000000000.0,0.0009114814724455447,8.386920681016915e-05,212.6821332621017,344.3069984224982,1000,3.3441966263682465e-11,1.0592236258209518e-11,27,
6,1000000000.0,50000000.0,2000000000.0,0.0009221439827102125,8.425181813163713e-05,213.24148727258086,343.3863215087165,1000,3.344096300469456e-11,1.0591092296693631e-11,27,
7,1000000000.0,50000000.0,2000000000.0,0.0009329708752112132,8.463651193322615e-05,214.4970531496418,344.99531534919925,1000,3.343999321676741e-11,1.0589916685448694e-11,27,
8,1000000000.0,50000000.0,2000000000.0,0.0009441040166651083,8.501517568761541e-05,214.51013746988374,342.87589412857074,1000,3.343899001697092e-11,1.0588698845029864e-11,27,
9,1000000000.0,50000000.0,2000000000.0,0.0009557429309825557,8.538703206607308e-05,215.87570900501694,345.06927122331115,1000,3.343805372525043e-11,1.058743878986731e-11,27,
10,1000000000.0,50000000.0,2000000000.0,0.0009630505414328477,8.574634069700705e-05,215.04487535962622,343.36508911582945,1000,3.3437084021692385e-11,1.0586083597702205e-11,27,
11,1000000000.0,50000000.0,2000000000.0,0.0009736980282189292,8.612885512285641e-05,216.26202935416188,345.50871736717966,1000,3.343618122042382e-11,1.058488737025567e-11,27,
12,1000000000.0,50000000.0,2000000000.0,0.000984345416157503,8.65165210997644e-05,216.7298762109981,344.0012628333068,1000,3.3435245007349666e-11,1.0583659523320726e-11,27,
13,1000000000.0,50000000.0,2000000000.0,0.0009950501725582163,8.690428814733357e-05,217.9481148451803,345.3484864456499,1000,3.3434342255734487e-11,1.0582421235156503e-11,27,
14,1000000000.0,50000000.0,2000000000.0,0.001005816615425296,8.729031699528401e-05,217.93765333566782,342.91654240409963,1000,3.3433439528493606e-11,1.0581172509450759e-11,27,
15,1000000000.0,50000000.0,2000000000.0,0.0010166864755881968,8.768565484095563e-05,219.17532126896097,344.97849957357556,1000,3.3432603692505396e-11,1.0579902768749623e-11,27,
16,1000000000.0,50000000.0,2000000000.0,0.0010275975548442089,8.808216937214637e-05,219.30025120208433,342.56296011956135,1000,3.343173444480939e-11,1.0578622600514602e-11,27,
