Iteration No,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,
1,0.5554470999999999,0.01543449999999993,0.0,0.0,0.09845449999999989,0.4415581,
2,0.5303095500000001,0.0,0.0,0.0,0.08510075000000006,0.4452088,
3,0.5274268000000001,0.0,0.0,0.0,0.0788357500000001,0.44859105,
4,0.5246866,0.0,0.0,0.0,0.07272075,0.45196585,
5,0.5220925,0.0,0.0,0.0,0.06675249999999999,0.45533999999999997,
6,0.5221664500000001,0.0,0.0,0.0,0.06286349999999996,0.45930295000000004,
7,0.5201444,0.0,0.0,0.0,0.05725325000000003,0.46289115,
8,0.52166905,0.0,0.0,0.0,0.05418224999999999,0.4674868,
9,0.5194025999999999,0.0,0.0,0.0,0.04779099999999992,0.4716116,
10,0.52135145,0.0,0.0,0.0,0.04737900000000006,0.47397245,
11,0.5192859000000001,0.0,0.0,0.0,0.04205425000000007,0.47723165,
12,0.5201981500000001,0.0,0.0,0.0,0.03892475000000006,0.4812734,
13,0.51879105,0.0,0.0,0.0,0.03407175000000007,0.48471929999999996,
14,0.52081115,0.0,0.0,0.0,0.031730000000000036,0.48908114999999996,
15,0.5191024499999999,0.0,0.0,0.0,0.026598750000000004,0.49250369999999993,
16,0.5210184500000001,0.0,0.0,0.0,0.024142000000000108,0.49687644999999997,
17,0.5194655000000001,0.0,0.0,0.0,0.01918400000000009,0.5002815,
18,0.52162825,0.0,0.0,0.0,0.017156750000000054,0.5044715,
19,0.5202437499999999,0.0,0.0,0.0,0.01259324999999989,0.5076505,
20,0.52291075,0.0,0.0,0.0,0.010965249999999926,0.5119455,
21,0.5215770000000001,0.0,0.0,0.0,0.006550000000000056,0.515027,
22,0.52301125,0.0,0.0,0.0,0.004127750000000097,0.5188834999999999,
23,0.52256375,0.0,0.0,0.0,0.0003937499999999705,0.52217,
24,0.5253800000000001,0.0,0.0,0.0,0.0017720000000001068,0.523608,
25,0.5257820000000001,0.0,0.0,0.0,0.0,0.5257820000000001,
26,0.52174525,0.0,0.0,0.0,0.00201125000000002,0.519734,
27,0.5224465,0.0,0.0,0.0,0.0,0.5224465,
28,0.52141525,0.0,0.0,0.0,0.004214750000000045,0.5172005,
29,0.520289,0.0,0.0,0.0,0.0,0.520289,
30,0.5184774999999999,0.0,0.0,0.0,0.0040199999999999125,0.5144575,
31,0.5177587499999999,0.0,0.0,0.0,4.2749999999980304e-05,0.517716,
32,0.5214584999999999,0.0,0.0,0.0,0.002610000000000001,0.5188484999999999,
33,0.522,0.0,0.0,0.0,0.0,0.522,
34,0.51731075,0.0,0.0,0.0,0.0015427500000000371,0.515768,
35,0.5179215,0.0,0.0,0.0,0.0,0.5179215,
36,0.5164160000000001,0.0,0.0,0.0,0.003997500000000098,0.5124185,
37,0.515602,0.0,0.0,0.0,0.0,0.515602,
38,0.51600725,0.0,0.0,0.0,0.005480750000000034,0.5105265,
39,0.5147795,0.0,0.0,0.0,0.0010209999999999386,0.5137585,
40,0.5152295,0.0,0.0,0.0,0.0,0.5152295,
41,0.5127895,0.0,0.0,0.0,0.0034294999999999742,0.50936,
42,0.5128465,0.0,0.0,0.0,0.0,0.5128465,
43,0.5126117499999998,0.0,0.0,0.0,0.00506524999999991,0.5075464999999999,
44,0.5113665,0.0,0.0,0.0,0.0005595000000000461,0.5108069999999999,
45,0.5135084999999999,0.0,0.0,0.0,0.0012894999999999435,0.512219,
46,0.513687,0.0,0.0,0.0,0.0,0.513687,
47,0.510679,0.0,0.0,0.0,0.00266999999999995,0.508009,
48,0.5113789999999999,0.0,0.0,0.0,0.0,0.5113789999999999,
49,0.5109039999999999,0.0,0.0,0.0,0.004541499999999976,0.5063624999999999,
50,0.5096115,0.0,0.0,0.0,0.0,0.5096115,
51,0.5081640000000001,0.0,0.0,0.0,0.004249500000000017,0.5039145,
52,0.5076652500000001,0.0,0.0,0.0,0.00027175000000001504,0.5073935,
53,0.5104017500000001,0.0,0.0,0.0,0.0018862500000000892,0.5085155,
54,0.510822,0.0,0.0,0.0,0.0,0.510822,
55,0.5071920000000001,0.0,0.0,0.0,0.002151500000000084,0.5050405,
56,0.507962,0.0,0.0,0.0,0.0,0.507962,
57,0.50702775,0.0,0.0,0.0,0.00429075000000001,0.502737,
58,0.5060614999999999,0.0,0.0,0.0,0.0,0.5060614999999999,
59,0.50614075,0.0,0.0,0.0,0.005248750000000024,0.500892,
60,0.5047577500000001,0.0,0.0,0.0,0.0005692500000000766,0.5041885,
61,0.50627625,0.0,0.0,0.0,0.0008912500000000101,0.505385,
62,0.5063745000000001,0.0,0.0,0.0,0.0,0.5063745000000001,
63,0.5038965000000001,0.0,0.0,0.0,0.0031360000000000277,0.5007605,
64,0.504273,0.0,0.0,0.0,0.0,0.504273,
65,0.5040066999999999,0.0,0.0,0.0,0.004828999999999972,0.4991777,
66,0.5026415000000001,0.0,0.0,0.0,9.700000000001374e-05,0.5025445000000001,
67,0.5051317500000001,0.0,0.0,0.0,0.0018412500000000165,0.5032905000000001,
68,0.50552,0.0,0.0,0.0,0.0,0.50552,
69,0.5021522000000002,0.0,0.0,0.0,0.0022850000000000925,0.49986720000000007,
70,0.502919,0.0,0.0,0.0,0.0,0.502919,
71,0.5016566,0.0,0.0,0.0,0.004022250000000005,0.49763434999999995,
72,0.50102,0.0,0.0,0.0,0.0,0.50102,
73,0.5019438,0.0,0.0,0.0,0.005717250000000007,0.49622655,
74,0.5005258499999999,0.0,0.0,0.0,0.0008952499999999031,0.49963060000000004,
75,0.5009115,0.0,0.0,0.0,0.0,0.5009115,
76,0.49925145000000004,0.0,0.0,0.0,0.0039435000000001,0.49530794999999994,
77,0.4991615500000001,0.0,0.0,0.0,0.00018500000000010175,0.49897655,
78,0.5011503,0.0,0.0,0.0,0.0014667500000000722,0.49968355,
79,0.5013599999999999,0.0,0.0,0.0,0.0,0.5013599999999999,
80,0.49832030000000005,0.0,0.0,0.0,0.0025407500000000915,0.49577954999999996,
81,0.49924444999999995,0.0,0.0,0.0,0.0,0.49924444999999995,
82,0.49830585,0.0,0.0,0.0,0.004254250000000015,0.4940516,
83,0.49748265,0.0,0.0,0.0,0.0,0.49748265,
84,0.49855689999999997,0.0,0.0,0.0,0.005845749999999983,0.49271115,
85,0.49708195000000005,0.0,0.0,0.0,0.000923500000000077,0.49615845,
86,0.49748795,0.0,0.0,0.0,0.0,0.49748795,
87,0.49598374999999995,0.0,0.0,0.0,0.00405499999999992,0.49192875,
88,0.4960311499999999,0.0,0.0,0.0,0.0003662499999999014,0.4956649,
89,0.4973826,0.0,0.0,0.0,0.0009689999999999976,0.4964136,
90,0.4974939,0.0,0.0,0.0,0.0,0.4974939,
91,0.4950976999999999,0.0,0.0,0.0,0.0030924999999999425,0.4920052,
92,0.49568379999999995,0.0,0.0,0.0,0.0,0.49568379999999995,
93,0.49511989999999995,0.0,0.0,0.0,0.004605250000000005,0.49051464999999994,
94,0.4939979,0.0,0.0,0.0,0.0,0.4939979,
95,0.49563199999999996,0.0,0.0,0.0,0.0063042499999999,0.48932775000000006,
96,0.4940955500000001,0.0,0.0,0.0,0.0012777500000000774,0.49281780000000003,
97,0.4945828,0.0,0.0,0.0,0.0,0.4945828,
98,0.49338765,0.0,0.0,0.0,0.004209750000000012,0.4891779,
99,0.4929928499999999,0.0,0.0,0.0,0.00016199999999999548,0.49283084999999993,
100,0.49474385000000015,0.0,0.0,0.0,0.0013572500000000876,0.49338660000000006,
101,0.49498079999999994,0.0,0.0,0.0,0.0,0.49498079999999994,
102,0.4925710000000001,0.0,0.0,0.0,0.0030010000000000314,0.48957000000000006,
103,0.4932615,0.0,0.0,0.0,0.0,0.4932615,
104,0.49263170000000006,0.0,0.0,0.0,0.004481750000000062,0.48814995,
105,0.49167174999999996,0.0,0.0,0.0,0.0,0.49167174999999996,
106,0.49612775,0.0030120000000000147,0.0,0.0,0.00610624999999998,0.4870095,
107,0.49420566666666665,0.0,0.0,0.0030066666666666462,0.0,0.491199,
108,0.4947746999999999,0.0,0.0,0.0,0.0009999999999998899,0.4937747,
109,0.4948748,0.0,0.0,0.0,0.0,0.4948748,
110,0.4912882,0.0,0.0,0.0,0.00209024999999996,0.48919795000000005,
111,0.4919763,0.0,0.0,0.0,0.0,0.4919763,
112,0.49143795000000007,0.0,0.0,0.0,0.004497750000000078,0.4869402,
113,0.49046460000000003,0.0,0.0,0.0,0.0,0.49046460000000003,
114,0.49176070000000005,0.0,0.0,0.0,0.005970000000000031,0.4857907,
115,0.49015909999999996,0.0,0.0,0.0,0.000831749999999909,0.48932735000000005,
116,0.490801,0.0,0.0,0.0,0.00024025000000005292,0.49056074999999993,
117,0.49090185000000003,0.0,0.0,0.0,0.0,0.49090185000000003,
118,0.4891224999999999,0.0,0.0,0.0,0.0037612499999999383,0.48536124999999997,
119,0.49005845000000003,0.0,0.0,0.0,0.0006947500000000773,0.48936369999999996,
120,0.4902147,0.0,0.0,0.0,0.0,0.4902147,
121,0.4888904000000001,0.0,0.0,0.0,0.004038750000000091,0.48485165,
122,0.4887469,0.0,0.0,0.0,0.00010650000000000936,0.4886404,
123,0.49207924999999997,0.0014758000000000494,0.0,0.0,0.0014929999999999666,0.48911045,
124,0.49198751666666657,0.0,0.0,0.0001266666666666083,0.0,0.49186084999999996,
125,0.4950245999999999,0.0015347999999999473,0.0,0.0,0.0,0.4934898,
126,0.49444645,0.0,0.0,0.0,0.0,0.49444645,
127,0.4897107499999999,0.0,0.0,0.0,0.0008937499999999154,0.488817,
128,0.48982509999999996,0.0,0.0,0.0,0.0,0.48982509999999996,
129,0.48816305000000004,0.0,0.0,0.0,0.0036252500000000243,0.4845378,
130,0.4882453,0.0,0.0,0.0,0.0,0.4882453,
131,0.48783455,0.0,0.0,0.0,0.00476074999999998,0.4830738,
132,0.4869783999999999,0.0,0.0,0.0,0.00020599999999992846,0.4867724,
133,0.4897187,0.00013970000000007587,0.0,0.0,0.0019819999999999283,0.487597,
134,0.49017189999999994,0.0,0.0,0.0,0.0,0.49017189999999994,
135,0.4872284000000001,0.0,0.0,0.0,0.0023055000000000714,0.48492290000000005,
136,0.48798675,0.0,0.0,0.0,0.0,0.48798675,
137,0.48949484999999987,0.002055599999999913,0.0,0.0,0.00441249999999993,0.48302675,
138,0.4900922333333334,0.0,0.0,0.0025733333333333754,0.0,0.48751890000000003,
139,0.49014290000000005,0.0,0.0,0.0,0.0,0.49014290000000005,
140,0.48808429999999997,0.0,0.0,0.0,0.0034754999999999647,0.4846088,
141,0.48814939999999996,0.0,0.0,0.0,0.0,0.48814939999999996,
142,0.48643015000000006,0.0,0.0,0.0,0.0034682500000000616,0.4829619,
143,0.4867078,0.0,0.0,0.0,0.0,0.4867078,
144,0.4865694499999999,0.0,0.0,0.0,0.0048237499999999045,0.4817457,
145,0.48538254999999997,0.0,0.0,0.0,0.0,0.48538254999999997,
146,0.4896967000000001,0.0027725000000000223,0.0,0.0,0.006204000000000098,0.4807202,
147,0.48852635,0.0,0.0,0.0033400000000000317,0.0,0.48518635,
148,0.48855889999999996,0.0,0.0,0.0,0.0007239999999999469,0.4878349,
149,0.4886312,0.0,0.0,0.0,0.0,0.4886312,
150,0.4856517999999999,0.0,0.0,0.0,0.002494999999999914,0.4831568,
151,0.48644550000000003,0.0,0.0,0.0,0.0,0.48644550000000003,
152,0.48546504999999995,0.0,0.0,0.0,0.004063249999999963,0.4814018,
153,0.48510595,0.0,0.0,0.0,0.0,0.48510595,
154,0.4857228999999999,0.0,0.0,0.0,0.005406749999999905,0.48031615,
155,0.48399829999999994,0.0,0.0,0.0,6.974999999997955e-05,0.48392854999999996,
156,0.4874298500000001,0.0,0.0,0.0,0.0026597500000000718,0.48477010000000004,
157,0.48816015,0.0,0.0,0.0,0.0,0.48816015,
158,0.48392915,0.0,0.0,0.0,0.0011627499999999902,0.4827664,
159,0.48548805000000006,0.0,0.0,0.0,0.0007647500000000917,0.48472329999999997,
160,0.48554434999999996,0.0,0.0,0.0,0.0,0.48554434999999996,
161,0.4837632000000001,0.0,0.0,0.0,0.0033890000000000864,0.48037420000000003,
162,0.48426985,0.0,0.0,0.0,0.0,0.48426985,
163,0.48391635,0.0003458000000000183,0.0,0.0,0.004465249999999976,0.4791053,
