Iteration No,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
1,0.0008831162,9.845655,12.14721,6.845655,11.77951,50000000.0,2000000000.0,7.282409655464562,-15.4032,-67.0528,-87.4149,-8.29273e-07,5.04665392629147,4.393818,0.00349565,0.016372,0.05896084,0.5655193,0.6945945,0.1989679,
2,0.0008904176,10.232765,12.31742,7.232765,11.93788,50000000.0,2000000000.0,7.885825634438191,-15.1833,-66.8507,-87.1529,-8.43126e-07,4.867797074213738,4.340403,0.003540064,0.01649285,0.0590862,0.5715307,0.6825636,0.2025454,
3,0.0008971821,10.297951000000001,12.37257,7.297951,11.99229,50000000.0,2000000000.0,8.204705734919344,-15.133,-66.791,-87.0618,-8.44936e-07,4.795845225969052,4.315343,0.003574814,0.01660607,0.05915997,0.5755324,0.6780447,0.2051924,
4,0.0009039317,10.361576,12.42591,7.361576,12.045,50000000.0,2000000000.0,8.548973417430545,-15.0824,-66.733,-86.9718,-8.466449999999999e-07,4.725915785038906,4.290883,0.00360952,0.01671876,0.05923463,0.5795516,0.6735295,0.2078517,
5,0.00091068,10.423673,12.47747,7.423673,12.09604,50000000.0,2000000000.0,8.923424656657332,-15.0313,-66.6765,-86.8828,-8.482559999999999e-07,4.657812898958939,4.26701,0.003644203,0.01683091,0.05931168,0.5835966,0.6690186,0.2105252,
6,0.0009186059,10.426336,12.49879,7.426336,12.11865,50000000.0,2000000000.0,9.171066161338004,-15.0594,-66.6673,-86.8601,-8.452209999999999e-07,4.624877887792464,4.251454,0.003681231,0.01696604,0.05945538,0.5871806,0.6670145,0.2128568,
7,0.0009257823,10.475893,12.54208,7.475893,12.1624,50000000.0,2000000000.0,9.57764320101461,-15.0196,-66.6213,-86.7818,-8.457789999999999e-07,4.563605163436011,4.229013,0.003716827,0.01708471,0.05953486,0.591329,0.6629908,0.2156401,
8,0.0009349736,10.452664,12.55027,7.452664,12.17576,50000000.0,2000000000.0,9.838456071474724,-15.0769,-66.6314,-86.7729,-8.409529999999999e-07,4.538596900808373,4.216729,0.003756813,0.01723667,0.05961295,0.5943661,0.6617545,0.2177169,
9,0.0009432232,10.514582,12.60263,7.514582,12.22836,50000000.0,2000000000.0,10.37138557252186,-15.0252,-66.5746,-86.6795,-8.42135e-07,4.4687332158772115,4.191164,0.003794407,0.01737044,0.05971729,0.5988903,0.6570878,0.2206769,
10,0.0009479449,10.485782,12.59992,7.485782,12.22869,50000000.0,2000000000.0,10.530512287836586,-15.0773,-66.5927,-86.6884,-8.386520000000001e-07,4.463990233752186,4.189516,0.003821984,0.01745352,0.05972574,0.5999113,0.6563507,0.2214046,
11,0.0009544633,10.544176,12.64891,7.544176,12.27886,50000000.0,2000000000.0,11.070027167138704,-15.0285,-66.5387,-86.6087,-8.404019999999999e-07,4.406334651627963,4.168217,0.003856302,0.01756389,0.05987556,0.604153,0.651934,0.224093,
12,0.0009625468,10.531754,12.65726,7.531754,12.29127,50000000.0,2000000000.0,11.411554345517573,-15.0598,-66.5425,-86.5902,-8.36593e-07,4.379367772903468,4.155699,0.003893731,0.01769776,0.05994149,0.6074871,0.6504503,0.2264396,
13,0.0009694386,10.573149,12.6917,7.573149,12.32649,50000000.0,2000000000.0,11.968052336461994,-15.0196,-66.5047,-86.5185,-8.36734e-07,4.326538986709063,4.136287,0.003928814,0.01781079,0.06001746,0.6116086,0.6466549,0.2292349,
14,0.0009781623,10.541588,12.69174,7.541588,12.33165,50000000.0,2000000000.0,12.261566517691236,-15.0771,-66.5229,-86.5186,-8.31653e-07,4.309352378798083,4.12692,0.003967632,0.01795489,0.06008315,0.6144922,0.645895,0.2312684,
15,0.0009850074,10.595231,12.73252,7.595231,12.37248,50000000.0,2000000000.0,12.83220439425223,-15.0208,-66.4756,-86.4336,-8.32712e-07,4.251137086180809,4.106395,0.004002691,0.01806633,0.06016483,0.6186956,0.6414432,0.234068,
16,0.0009937529,10.566338,12.73535,7.566338,12.37828,50000000.0,2000000000.0,13.051086389809285,-15.0787,-66.492,-86.44,-8.276809999999999e-07,4.236479666998921,4.096568,0.004041586,0.01821389,0.06030168,0.6219058,0.6407458,0.236222,
17,0.001000563,10.618383,12.77367,7.618383,12.41676,50000000.0,2000000000.0,13.32014814027309,-15.0208,-66.4466,-86.3556,-8.286469999999999e-07,4.180037149417296,4.076736,0.004076747,0.01832377,0.0603865,0.6261812,0.6363109,0.2390731,
18,0.001008943,10.584139,12.76982,7.584139,12.41786,50000000.0,2000000000.0,13.391379728711883,-15.0752,-66.4679,-86.3588,-8.23583e-07,4.166059692152165,4.068627,0.004114589,0.01846213,0.06044426,0.629053,0.6357937,0.2411439,
19,0.001015301,10.633485,12.80486,7.633485,12.453,50000000.0,2000000000.0,13.112480828054885,-15.0172,-66.4253,-86.2773,-8.245139999999999e-07,4.113086217918874,4.050373,0.004148482,0.01856502,0.06052077,0.6331354,0.6314657,0.243876,
20,0.001023891,10.590209999999999,12.79681,7.59021,12.45026,50000000.0,2000000000.0,13.045953912153323,-15.0828,-66.4536,-86.2897,-8.189170000000001e-07,4.103924846992358,4.043861,0.004186686,0.01870698,0.06057466,0.6357696,0.6313565,0.2457963,
21,0.001030054,10.640139,12.83474,7.640139,12.4896,50000000.0,2000000000.0,12.411965990446859,-15.03,-66.4089,-86.2146,-8.20223e-07,4.055482475487182,4.0262,0.004220119,0.01881013,0.06071892,0.6399805,0.6271036,0.2485026,
22,0.001037767,10.618921,12.83295,7.618921,12.49185,50000000.0,2000000000.0,12.11437924066405,-15.0582,-66.4217,-86.2038,-8.161229999999999e-07,4.036212431349864,4.016511,0.004256499,0.01893673,0.06077548,0.643438,0.6261992,0.2510284,
23,0.00104434,10.644597000000001,12.85268,7.644597,12.51299,50000000.0,2000000000.0,11.464137721042306,-15.0231,-66.3989,-86.1445,-8.153759999999999e-07,3.9956587213353245,4.001575,0.004290648,0.01904297,0.06084496,0.6474922,0.6230378,0.2538429,
24,0.001047216,10.575519,12.8219,7.575519,12.4864,50000000.0,2000000000.0,11.88032701486631,-15.1136,-66.4511,-86.2095,-8.09997e-07,4.021780440660821,4.007088,0.004299854,0.01909466,0.06082286,0.6472724,0.6260688,0.2539359,
25,0.001051564,10.61983,12.84852,7.61983,12.51257,50000000.0,2000000000.0,11.23660473487783,-15.0533,-66.4148,-86.1385,-8.11129e-07,3.9793174438032795,3.992683,0.004324285,0.01916712,0.06086441,0.6505745,0.6225011,0.2562097,
26,0.001039468,10.595442,12.81264,7.595442,12.47323,50000000.0,2000000000.0,12.18780399365599,-15.0587,-66.4432,-86.2108,-8.12326e-07,4.030655984393974,4.008045,0.004265453,0.0189905,0.06064099,0.6462491,0.6278076,0.2538247,
27,0.001044893,10.620901,12.83067,7.620901,12.49217,50000000.0,2000000000.0,11.615782068657253,-15.0225,-66.4212,-86.1561,-8.118669999999999e-07,3.9939754293283256,3.9945,0.004294016,0.01908069,0.06068663,0.6498265,0.6250221,0.256358,
28,0.001034401,10.542441,12.77121,7.542441,12.43221,50000000.0,2000000000.0,12.880570176484952,-15.102,-66.4904,-86.2834,-8.09331e-07,4.070355271619332,4.016859,0.004238837,0.01893088,0.06045457,0.6444781,0.6326579,0.2533359,
29,0.001040578,10.592051,12.80738,7.592051,12.46649,50000000.0,2000000000.0,12.173109364314712,-15.0467,-66.4482,-86.2098,-8.102349999999999e-07,4.022340122510927,3.999466,0.004272399,0.01903453,0.06059603,0.6486977,0.6284062,0.2560548,
30,0.001028915,10.556787,12.76457,7.556787,12.42095,50000000.0,2000000000.0,13.031737727074642,-15.0623,-66.4856,-86.2912,-8.10595e-07,4.0783415566121,4.01608,0.004215234,0.01886262,0.06037982,0.6444514,0.6341176,0.2537447,
31,0.001035432,10.591317,12.7904,7.591317,12.44766,50000000.0,2000000000.0,12.456739980523338,-15.0193,-66.4552,-86.2233,-8.10514e-07,4.033270288306556,4.000171,0.004249475,0.01896827,0.06045305,0.648545,0.6305148,0.2565456,
