Iteration No,Rb,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,Rd,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,Io,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,W,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,C1,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,C2,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
1,Rb,-0.12470612587563115,0.11514724007696049,-0.06602339137958542,0.16560869631905423,-0.06986708275640748,0.0,0.0,-0.16776018407695842,-0.2876025760880842,-0.005816311921353872,-0.012126079192445008,0.012299930179790124,-0.15127597688039046,-0.13450716438412322,-0.06304979045385002,-0.10976056682141806,-0.016197191220472876,0.3336402488827663,0.05486654443708136,0.7966611699676208,Rd,-0.10102860756036615,0.6385354758012356,0.32954069288338467,0.9183635459280364,0.30332331310894217,0.0,0.0,1.1685607280953836,-0.41030435234237134,-0.0774016894149139,-0.06737981739956048,0.6039024543184164,-0.6577048896561676,-0.16766739086597257,-0.051034857608739444,-0.09326899584657497,0.013585288133620105,-1.768286245002857e-05,-0.3726778717654764,-0.1010213205245704,Io,0.7359280692619957,0.12318124086209178,0.21428788997638504,0.17716347084392337,0.24041747067576677,0.0,0.0,2.6349715572392283,0.12529863924378978,-0.02624797174764009,-0.03763660428599464,-0.1328874809622443,-0.6981375928752304,-0.2819871009677666,0.8665055139959691,0.6102492059613864,0.1964354646236427,0.44502459951411716,-0.3235124954199979,0.7357970808356488,W,0.03236267209230107,0.03594478985907955,0.05441578765823779,0.051697025339430026,0.04533295527573171,0.0,0.0,-0.6393954214755495,-0.009738236210657895,-0.005816311921353872,-0.00960934577515829,-0.06716726578581755,-0.20623244252816997,-0.10958578621144054,0.01639180123868923,0.17169557781576997,-0.24892793250570622,-0.09230454203771851,-0.014267317118119797,0.0324172894220601,C1,0.0,0.6297701879661556,0.010866692845515684,0.9057570093730999,0.007385706196599334,0.0,0.0,-0.0028951284286679512,0.0006492157473756554,-0.0,-0.0,-0.0010852879570463134,1.802439292471896e-05,0.00025035174421538127,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.022669723418059035,-0.0020211961520110373,-0.0013994983210045208,-0.002906953388673459,-0.0022921157161922404,0.0,0.0,-0.08451088243370669,0.0006492157473756554,0.00014913620309533503,0.0020591455232493662,0.007355840597727137,0.02861873407075315,0.002389721194652711,-0.011442793185810735,-0.018812606889827298,-0.006054866246819668,-0.013721901268427086,0.009962647271176418,-0.022666972913717418,
2,Rb,-0.12176309183466338,0.10728283118003501,-0.06494866619796105,0.1517815109436101,-0.06860514597230857,0.0,0.0,-0.11905440961260601,-0.2911093108876201,-0.005833895531387957,-0.01250675536901993,0.011148986035295766,-0.15593639240176219,-0.13565560617298805,-0.06138307104051919,-0.10756176161184226,-0.01494426786627222,0.33838952133281774,0.056727314494930715,0.8002156553543085,Rd,-0.10400737811112196,0.6050954947172009,0.3150822168928216,0.8560764797418465,0.28899603614711766,0.0,0.0,1.3246091985335864,-0.4241502176733591,-0.07628940310273778,-0.06723815271780793,0.5925567471528637,-0.6545243875082364,-0.1597547508837363,-0.05234368644182735,-0.0964660443768113,0.015130436548633941,-1.749687286218648e-05,-0.3934871417110539,-0.10402606033016813,Io,0.7368452734986348,0.11565788914335075,0.2024774668721134,0.1636303681925306,0.2293539556437227,0.0,0.0,2.850690414499677,0.11723406637556492,-0.025130626904435523,-0.038093970481771565,-0.13924371920685732,-0.6971293317248748,-0.27806173758520414,0.8674136964755452,0.6092336982389339,0.20040212435390894,0.44916222348161605,-0.3425028817827462,0.7364274873682689,W,0.03161437958998579,0.03430157928965016,0.05179656129286857,0.048529158627445335,0.042637386202583095,0.0,0.0,-0.6610028219742505,-0.011196511957213457,-0.005534721401584636,-0.00940875174549809,-0.06950325336901983,-0.2035762679243392,-0.10904517391587545,0.015960163432076766,0.17171077163741752,-0.2492798656877601,-0.09122869515144055,-0.014753203950527777,0.03169659740483578,C1,0.0,0.5939157207264952,0.010554158257171736,0.8402595687817914,0.007287726128934237,0.0,0.0,-0.002254628248350037,-0.0059275651538182005,-0.0,-0.0,-0.0013046685785975053,-0.0006623106118570987,0.0006681407233294389,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.023314903029768776,-0.0018763257047356408,-0.0011366016584644265,-0.0026545864548247295,-0.002094174174974261,0.0,0.0,-0.09233402791172576,0.0013172367008575886,0.0001495870649122891,0.002180076623947131,0.007709405237176211,0.030053663495182955,0.002396090869890143,-0.011751199978306743,-0.01928108240842827,-0.006329735200427741,-0.0142249576444364,0.010841480559453722,-0.02335278905371345,
3,Rb,-0.12054409021311864,0.10588514161700734,-0.06482080925789985,0.14941180065473203,-0.06829387881714674,0.0,0.0,-0.09335435651240864,-0.2900944954734616,-0.0056893892889734385,-0.01263470316488964,0.0105333421702971,-0.1562037103585344,-0.1357250165282497,-0.06075840589188523,-0.10670796883307637,-0.01430021009138747,0.3414577528563118,0.05747408688542929,0.8015891426777998,Rd,-0.10468331902743037,0.5992454227059143,0.30995985474320387,0.845579807263706,0.2840158134935046,0.0,0.0,1.4043549151247412,-0.4282032643890833,-0.0757587100058434,-0.06719364864959065,0.5886836399443242,-0.6520396971062435,-0.15750775778427362,-0.05256217526281842,-0.09737403250738662,0.01593983228861978,0.0,-0.40156644539805625,-0.10468223969308181,Io,0.7379884195192907,0.11254666098137592,0.19777620979312205,0.1588116993386224,0.2247277208940024,0.0,0.0,2.9673035748154826,0.11233727615146526,-0.0247039271758074,-0.03836355324608533,-0.1419042389009419,-0.6984312090944136,-0.27633956327459086,0.8680451626294386,0.6090543999874718,0.20258630962794225,0.45184250269835274,-0.35002117117056025,0.73716180521306,W,0.031141949889545908,0.03370573427662997,0.050919089566674736,0.04756129494428416,0.04169345471131039,0.0,0.0,-0.6740457916965166,-0.011894535121914742,-0.005389947747438442,-0.009303735966863637,-0.07018283041556563,-0.2019411100097172,-0.10879784063516576,0.015749071140480755,0.17180464733678005,-0.24954373709113753,-0.09050750227094882,-0.014895773095771817,0.03133644326007657,C1,0.0,0.5896221491051846,0.01058793767180258,0.8320006533340624,0.007338048029180912,0.0,0.0,-0.0022094963915094273,-0.005286460054185633,0.0001497207707674981,-0.0,-0.0013018737513955947,0.0005077830945668511,0.0006951938698674113,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.023763291755369672,-0.0018450272292023183,-0.001131535323704202,-0.002603470480959826,-0.002084672735575888,0.0,0.0,-0.09707733643433122,0.0019824225203269492,0.0001497207707674981,0.0021823578193788996,0.007929594667518441,0.030267362000116673,0.0024331785445462304,-0.011944677401394667,-0.019631375755982335,-0.006507778824092858,-0.014560431350186061,0.011282441998298177,-0.02378255724870304,
4,Rb,-0.11899129104555138,0.10457868571345882,-0.06462303364501884,0.1471967415672867,-0.06799501867995689,0.0,0.0,-0.06540227891787759,-0.28974168567336367,-0.00569433413753053,-0.01287773738154473,0.009803400480728953,-0.15884137351029992,-0.13596269112907802,-0.06020191050334335,-0.10557003031323811,-0.01357314125200212,0.34449046469720174,0.05826025437637986,0.8028801304006644,Rd,-0.10535087993927211,0.5935294013188853,0.304766411474088,0.835405353418881,0.27903694479036506,0.0,0.0,1.4932269215500027,-0.433617991831541,-0.075524852771508,-0.06726318185894176,0.5847787443379429,-0.6529674076331264,-0.15523611340603438,-0.05277710055630561,-0.09827283841623323,0.01676384236720694,-1.72547189840153e-05,-0.4097519113862093,-0.10536358374744924,Io,0.7397240300345683,0.10957792521138437,0.19322528490871518,0.154233278308882,0.22025736820256767,0.0,0.0,3.1013725310975846,0.10740996127936897,-0.024425696432051742,-0.03863321214463419,-0.14468874203472923,-0.7009268027575007,-0.2748618407912796,0.8686196502582068,0.6093753364484095,0.20493079808213369,0.45450655299719367,-0.3575641452972779,0.7376894199085152,W,0.018242528722034,0.050957499129484156,0.0734755040073584,0.07172377219225817,0.04632627646326393,0.0,0.0,-0.9132047281359122,0.01657561130854176,-0.007342694019460152,-0.0002299595961065993,-0.07039550224709704,-0.12696421545074055,-0.10662141102425761,0.009253307919053998,0.17902045367001457,-0.12810074106987818,-0.061875422309245066,-0.008967684414707964,0.018522821800349417,C1,0.0,0.5854707816648832,0.01062296443479605,0.8240626735362109,0.007388958073890057,0.0,0.0,-0.0021474313162835657,-0.005967220071074092,-0.0,-0.0,-0.0012992458468283786,-0.0006224606159578462,0.0006991567935959206,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.02421643139630402,-0.0018047447608392903,-0.0010462010428242887,-0.0025402169318143467,-0.002075550020750663,0.0,0.0,-0.10236619633825564,0.0013260489046805141,0.00014985089833981506,0.002184616162930995,0.008149814857479194,0.030451232274252532,0.002493659230509366,-0.012134577450746203,-0.019977558144249404,-0.006702160543597407,-0.014925331929027435,0.011729256105345236,-0.02419994640409634,
5,Rb,-0.11640751965564493,0.10348559476106713,-0.06411556188875546,0.1453054303442468,-0.0672947510094289,0.0,0.0,-0.03527449440663073,-0.28806556984426057,-0.0056991593739897095,-0.013006026509281052,0.008841670439107144,-0.1605587838675028,-0.13662963058440353,-0.05976615462969037,-0.10355946291675437,-0.012645064176230654,0.34748317587867567,0.05916128490298269,0.8038942606395864,Rd,-0.10597575438133493,0.5879213593902987,0.2997402518298972,0.825507804559824,0.2742219767791785,0.0,0.0,1.591864377816156,-0.43775322161090136,-0.07498893913149515,-0.0672169865612135,0.5807209144409268,-0.6506657384179222,-0.15294081804354878,-0.053015707412569,-0.09910337587213973,0.01760192933331251,-1.7135123826695823e-05,-0.41801528388000536,-0.10606806216072082,Io,0.7431589581411722,0.10692967824297729,0.18914090757180796,0.1501413114505461,0.216434469462734,0.0,0.0,3.25408841415681,0.10311816010590835,-0.023996460522081008,-0.0390180795278268,-0.14783272974196382,-0.7037750168955843,-0.27414981450711357,0.868996595414687,0.6110780700508652,0.207648813859267,0.4571136980578604,-0.3650421677364517,0.7378689107052316,W,0.01805244432731674,0.05055799428857219,0.07293145164845204,0.07098911818988161,0.04588278477914672,0.0,0.0,-0.9409715732668583,0.01596668285510725,-0.007348916034894368,-0.00011509757973191432,-0.0710870303304564,-0.12650239104514402,-0.10691327182265696,0.00930244555531736,0.17955060065081133,-0.1291482554532195,-0.061532229625747746,-0.009222464069018914,0.01866759893827063,C1,0.0,0.5814361214132406,0.010579067711641589,0.8164018000254063,0.007523123270089221,0.0,0.0,-0.0021298803258731325,-0.005322227618369082,-0.0,-0.0,-0.0012967783310682158,-0.0005876720205549971,0.0007030684249568771,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.02469583168620489,-0.001765212703821869,-0.001041877880695426,-0.0024785574472361857,-0.001984120422880512,0.0,0.0,-0.10870527896436671,0.0019958353568839743,0.0001499778782466218,0.0023019515945565047,0.008370114682353932,0.031777549332409206,0.0025310463298655727,-0.012348379055720265,-0.020319756923425445,-0.0069126350830054665,-0.015284530444490506,0.012196970308451063,-0.02465263065893946,
6,Rb,-0.11198491104836723,0.10371812302998752,-0.06288608737325045,0.14561689640759426,-0.0659314362573494,0.0,0.0,-0.015239651938677804,-0.28420787016746835,-0.005849944425530311,-0.013354808479383959,0.007926920888152271,-0.16527893837095972,-0.1384937952992005,-0.05976261745051981,-0.09996439947096293,-0.011437148328715164,0.3497561057023914,0.05980379736873649,0.8038737780517197,Rd,-0.10569276770376454,0.5875697848218304,0.29762881046885614,0.8249290094065249,0.27239007645240265,0.0,0.0,1.648122491407166,-0.4395925468478177,-0.07499928750676443,-0.06734968069344764,0.5793750983470558,-0.6523774132039203,-0.15286534912525954,-0.052835586791487914,-0.09908028037186353,0.01808078596082789,-1.7030535419321876e-05,-0.42181991545910497,-0.1058927880152358,Io,0.7505068277919811,0.10648995006493253,0.18897829309878064,0.14950845208189217,0.21644325069211484,0.0,0.0,3.347707611356208,0.09960556197458444,-0.02399977200215268,-0.03948878714162403,-0.1495466866062191,-0.7104646481461978,-0.2761643428342346,0.8691386115133752,0.6163488946153508,0.21074627729230705,0.45912620410142524,-0.3682678562459908,0.7377260204982864,W,0.028423505662212183,0.03189039754713683,0.04816466233932442,0.04477308864021564,0.03886571524055341,0.0,0.0,-0.7208758242515412,-0.01726496407558913,-0.005099951550459043,-0.009210212744412884,-0.07193384925362105,-0.20033908579514345,-0.10739855117801171,0.01537529158045288,0.1709886337648588,-0.2525759653710144,-0.08884830323073843,-0.015366982276997782,0.030818841587395368,C1,0.0,0.5823522280502123,0.010721037796464978,0.8176037281372618,0.007591604675429372,0.0,0.0,-0.001843794817324673,-0.005312296638643716,-0.0,-0.0,-0.0013014347726790986,-0.0005536249905703327,0.0006821195760438864,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.02515768731728082,-0.0017743529462154815,-0.0010401006817492538,-0.0024911342551710795,-0.0019804186109822126,0.0,0.0,-0.11291881688562161,0.0013280741596579802,-0.0,0.0021874255267861986,0.008518482148465508,0.029681860029252445,0.002610871480684404,-0.012495820012378202,-0.020688386918819628,-0.0070809403623431355,-0.015582939899584917,0.012533460666907918,-0.02508728873120755,
7,Rb,-0.1005527973477121,0.10440160089456788,-0.05947976731132334,0.1462969039284029,-0.06207656383608636,0.0,0.0,0.017438888041250745,-0.2803004074675848,-0.006154187924895203,-0.013827784166726725,0.005911709796543735,-0.17358624804282652,-0.14331949322453896,-0.06018574445353485,-0.09043173691564087,-0.008734378480110331,0.35274779352948593,0.06143373331877295,0.8031901302216106,Rd,-0.10585642002445227,0.5830338282378597,0.29325279379497066,0.8169993872303976,0.2682036440176252,0.0,0.0,1.7527431012612642,-0.443420597086481,-0.0746007658211434,-0.06752567934751114,0.5756822999861716,-0.6530314818178854,-0.15109908624070348,-0.05300219784240725,-0.09950417654147864,0.018980476312531535,0.0,-0.42934230761572767,-0.1064273296107698,Io,0.7681287490590428,0.10667348358752318,0.18992065112006018,0.14948047009233162,0.21796684864829338,0.0,0.0,3.5176629916326867,0.09853791046365588,-0.024166445266016516,-0.04021580561823732,-0.15417739149349707,-0.7227023476426263,-0.28216985854618964,0.868294381202036,0.6299785012446856,0.21627664867272486,0.4617395730633914,-0.3738513415269107,0.7354847266347976,W,0.025059887189457675,0.030861330866987623,0.04656324947695421,0.043245669781520675,0.03708149707294442,0.0,0.0,-0.742831682195848,-0.018642307385020773,-0.004953370768823293,-0.008988059708375646,-0.07212285951767583,-0.19710853304925238,-0.10579300654786564,0.015416375311528892,0.1688059089092071,-0.25344814785824765,-0.08815735402795176,-0.01574682484281901,0.030977540819173123,C1,0.0,0.5792728123511949,0.010763764861971909,0.8117291138329585,0.00756429652042934,0.0,0.0,-0.0017798670113243192,-0.005326373538575674,-0.0,-0.0,-0.0013005761552225966,-0.0005546123252426049,0.0007093853814058373,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.025729591071250862,-0.0017468677849212682,-0.0009567790988479275,-0.0024478681008385512,-0.001973294744456653,0.0,0.0,-0.12003783099480476,0.001997390076961443,0.00015010214449299067,0.002304630694448996,0.008749330498869204,0.0321522464916442,0.002719310628746879,-0.012725908415967881,-0.02107147267936908,-0.007306643536241098,-0.015947129263065334,0.012986605545654306,-0.025551833819406674,
8,Rb,-0.08450505982201044,0.107331489847935,-0.054500819504270624,0.15053677450103273,-0.05650571299040604,0.0,0.0,0.03615317937326238,-0.27260245806498773,-0.006753572639916113,-0.014405419203464262,0.003805206711913304,-0.18494198667645065,-0.15097010028389,-0.06132857823905124,-0.0769870282368883,-0.005267311884412195,0.3546635650990187,0.06301430515395069,0.8007187315270441,Rd,-0.10512596291488224,0.5845399794731726,0.2921052694483963,0.819841066228126,0.26733444154615826,0.0,0.0,1.805690844107162,-0.44306190264577355,-0.07443937843118724,-0.06753260522583968,0.5754186024664821,-0.6513592767485216,-0.15170526728181402,-0.05286395676334777,-0.09903304988723173,0.019559508462512948,-1.682464731053583e-05,-0.431670657320802,-0.1062848129841977,Io,0.7932416487481673,0.10988586258966769,0.195932039709105,0.1541193860343048,0.22446237442261663,0.0,0.0,3.605659039251121,0.09816341555624337,-0.024913179071724204,-0.04102663389145954,-0.15767825312473757,-0.7405104135238338,-0.2923593145302939,0.8667186788376201,0.6500675594532032,0.22263618894888249,0.46348538384001814,-0.37415688144168774,0.7320056458639652,W,0.020428384288078295,0.02997322022405056,0.045098631344191516,0.04203865892785672,0.035562461809361394,0.0,0.0,-0.7565283678623287,-0.02188778860375418,-0.004652461151954534,-0.008758494875716621,-0.07146653855803675,-0.1922582259767835,-0.10372969190100483,0.015678182544621153,0.165577225763448,-0.2547097568565225,-0.08767323708402146,-0.01610869287629593,0.03150880799791012,C1,0.0,0.5822534810264557,0.010836420252313518,0.8166341592751151,0.007638126901321309,0.0,0.0,-0.0020556932521584794,-0.005306130570607431,-0.0,-0.0,-0.0013080398072044602,-0.0005158535563209786,0.0006640218045874199,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.026214643921495598,-0.0017794506740208018,-0.0009561547281374009,-0.002495751854642065,-0.002053259919719128,0.0,0.0,-0.12410221128886087,0.0013265326426489124,0.00015007939200334925,0.002304867072548386,0.00879954052129322,0.03218464555021445,0.0028220926694544086,-0.012883260359241049,-0.021465863185863878,-0.007464820982682661,-0.016218959997886234,0.01322242614141923,-0.02590520074462949,
9,Rb,-0.2937162699136384,0.06681197597773003,-0.12330759531938702,0.09348490707800518,-0.13223359469299795,0.0,0.0,0.07660850514487517,-0.31813220456300423,0.0022531115470358835,-0.007960359715967076,0.028380247822502657,-0.029811111795155904,-0.05196647041251049,-0.05334166840827064,-0.25370687213450105,-0.047741617210028155,0.34677469312827236,0.056080785551031964,0.8171675422302831,Rd,-0.10424892008594315,0.579100529150855,0.2870829342764159,0.8102912444098761,0.262749869974391,0.0,0.0,1.924073175289958,-0.447914170859619,-0.07390205874312278,-0.06772074135176338,0.5709298390400525,-0.6515597491447517,-0.1500299200890165,-0.05318354093274386,-0.09878851658335755,0.02084823340108723,-1.6697548774352233e-05,-0.440412985905385,-0.10717025660592502,Io,0.5623271352952218,0.06393026370425275,0.11553144065961818,0.08945274667306703,0.1365677817794059,0.0,0.0,3.807910675572677,0.04392620397732214,-0.014720328774034655,-0.03426415703829093,-0.1332327952169128,-0.5737866995157951,-0.18243142000645585,0.875973505214388,0.4542199276471972,0.17782119717756628,0.45464085826736966,-0.3914393175462953,0.750101166003328,W,0.006477788078146335,0.04785734706334426,0.08053874469060199,0.0669631391340187,0.08365798847923975,0.0,0.0,-0.9048758345908251,0.012645422357112725,-0.009913690807013386,-0.0021919831102004857,-0.018049362631889953,-0.11696336372648786,-0.10040170224785581,0.010462767963480748,0.17259205869280742,-0.13649313289333778,-0.06047852169253354,-0.01100309578111557,0.021116845487669976,C1,0.0,0.5783206598226917,0.010870746820303772,0.8092000326831186,0.007687048794768398,0.0,0.0,-0.0016708150238623491,-0.004658839815777128,0.0001502074364747511,-0.0,-0.001306203874686586,0.0006537920667291557,0.0006919318833741854,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.027151579816956723,-0.0017975036953505222,-0.0010315307201783084,-0.0025151099555473966,-0.0021262049857938034,0.0,0.0,-0.13311166375785805,0.0019966456353279877,0.0001502074364747511,0.002422718174422624,0.009143427122730667,0.033643964677071994,0.003054044174843266,-0.013071871309535413,-0.02216409025908202,-0.007786689583539164,-0.01664745613679765,0.013757674392987664,-0.026328084180992826,
10,Rb,-0.11735914186573573,0.09983041798884887,-0.06619089645012573,0.13983842970580063,-0.06926334709605743,0.0,0.0,0.08552918333773657,-0.2765747182850957,-0.00510566473502228,-0.013611971151858871,0.006677382275348027,-0.16086870714530044,-0.13509913794339642,-0.058320495323890935,-0.10507909006320006,-0.011201200688340903,0.35780289519466296,0.06155245968353062,0.8066679734747976,Rd,-0.10675725983651543,0.5804240446730649,0.285954196534583,0.8130346301829161,0.2616797056757513,0.0,0.0,1.9462478852485392,-0.44636639186060817,-0.07388197204798579,-0.06771378869606746,0.5713931404205711,-0.6505680188942762,-0.1490148265336722,-0.0529567889347577,-0.10095384770521615,0.020560649395057137,-1.6669130929586877e-05,-0.4419588491335388,-0.10672768316466542,Io,0.7402012500937565,0.0958059208173421,0.17182648778723242,0.1342010761200366,0.1985494766814695,0.0,0.0,3.845148955355998,0.07760010081381384,-0.021924325038611275,-0.03991306795372567,-0.155010659963871,-0.7046429312200039,-0.26389683199682146,0.8709612599110779,0.6034312849213168,0.21494919945738197,0.4657188487698124,-0.38736913055779526,0.7398671933645476,W,0.019420960015714403,0.05026806775117459,0.0847624429361511,0.07041348519098714,0.08831690066556351,0.0,0.0,-0.9101337113667837,0.013928223222993738,-0.010511662689740455,-0.0026531808177395104,-0.019555190949282205,-0.12771702505226057,-0.10648008027657725,0.009654671500457975,0.18368787499599176,-0.13438092186048872,-0.06019223175159445,-0.010192721665411627,0.019466623548015878,C1,0.0,0.5813300333727934,0.010952450491757464,0.8143037026726033,0.007686841354224703,0.0,0.0,-0.0017673614674164758,-0.004642741074331247,-0.0,-0.0,-0.0013116286612435053,-0.00044710698009458206,0.000644465852364166,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.026552176186619158,-0.0016593898290201792,-0.0007936558327335963,-0.0023244064548011223,-0.0017990479765253112,0.0,0.0,-0.13480304884238625,0.0019897461747201235,0.00015016660985861762,0.0024224694422767734,0.009181400628616164,0.03367660292024198,0.00269720893773428,-0.01316070396946251,-0.021657522379450317,-0.007701871923228472,-0.016719138312622735,0.013895010700844687,-0.026557713796369963,
