Corner,Temperature,vd,vg,vs,i_source,v_source,p_source,Io,gm1,gds1,vt,vdsat,cgd1,cgs1,gain_lower,gain_fo,gain_upper,gain_db,freq,f_lower,f_upper,s11_db,s12_db,s21_db,s22_db,s11_rad,s12_rad,s21_rad,s22_rad,Kf,nf_db,iip3_dbm
tsmc065_tt,-40.0,0.7533027,0.7425972,0.3366991,0.003847229,1.0,0.003847229,0.0009311537,0.02122849,0.002660188,0.5116613,0.04146249,6.835112e-14,3.025263e-14,7.148776,11.84585,11.52521,10.148776,1000000000.0,50000000.0,2000000000.0,-15.6815,-67.7148,-87.4718,-6.52607e-07,-1.32679,-0.245963,-0.239944,-3.14159,4.30979756744784,3.23693,7.13526309527353
tsmc065_tt,-32.0,0.7524897,0.7386696,0.3377526,0.003850036,1.0,0.003850036,0.0009325689,0.02099257,0.002630663,0.5058527,0.04287382,6.845104e-14,3.024594e-14,7.140229,11.80593,11.48028,10.140229,1000000000.0,50000000.0,2000000000.0,-15.6393,-67.7327,-87.4982,-6.54167e-07,-1.3113,-0.247312,-0.241224,-3.14159,4.342964172065898,3.322424,6.70530550794895
tsmc065_tt,-24.0,0.7516724,0.7348801,0.3388044,0.003852654,1.0,0.003852654,0.0009342456,0.02073566,0.002600215,0.5000475,0.04428867,6.858429000000001e-14,3.023706e-14,7.129109,11.75896,11.42807,10.129109,1000000000.0,50000000.0,2000000000.0,-15.5888,-67.7546,-87.5235,-6.55776e-07,-1.29375,-0.248719,-0.242555,-3.14159,4.378182179900543,3.410715,6.336090250614191
tsmc065_tt,-16.0,0.7508308,0.7312002,0.3398819,0.003855232,1.0,0.003855232,0.0009351553,0.02044508,0.002566953,0.4942532,0.04569944,6.873023e-14,3.022742e-14,7.113972,11.70176,11.36518,10.113972,1000000000.0,50000000.0,2000000000.0,-15.5278,-67.7824,-87.5505,-6.57495e-07,-1.27331,-0.250222,-0.243971,-3.14159,4.418270720008548,3.503133,6.020505765612128
tsmc065_tt,-8.0,0.7499863,0.7276279,0.3409558,0.00385761,1.0,0.00385761,0.0009363442,0.02014625,0.00253379,0.488462,0.04711322,6.889732e-14,3.021644e-14,7.097425,11.64052,11.29813,10.097425000000001,1000000000.0,50000000.0,2000000000.0,-15.4589,-67.8125,-87.576,-6.5925e-07,-1.25185,-0.251761,-0.245419,-3.14159,4.459238988098178,3.59728,5.751225355934125
tsmc065_tt,0.0,0.7491287,0.724155,0.3420402,0.003859865,1.0,0.003859865,0.0009374745,0.0198373,0.002500296,0.4826775,0.04852734,6.907697e-14,3.02047e-14,7.079206,11.57478,11.22639,10.079206,1000000000.0,50000000.0,2000000000.0,-15.3816,-67.845,-87.6008,-6.610589999999999e-07,-1.22933,-0.253344,-0.246906,-3.14159,4.501656947015198,3.693374,5.521597336076155
tsmc065_tt,8.0,0.7482604,0.7207689,0.3431314,0.003861978,1.0,0.003861978,0.0009385662,0.0195223,0.002466794,0.476899,0.04994157,6.92661e-14,3.019243e-14,7.059714,11.50555,11.15102,10.059714,1000000000.0,50000000.0,2000000000.0,-15.2962,-67.8794,-87.6248,-6.62918e-07,-1.20612,-0.254963,-0.248425,-3.14159,4.545165076196661,3.791021,5.325898619919869
tsmc065_tt,16.0,0.7473826,0.7174667,0.3442283,0.003863942,1.0,0.003863942,0.0009397413,0.01920638,0.002433789,0.4711261,0.05135655,6.946368e-14,3.0179689999999996e-14,7.039507,11.43421,11.07345,10.039507,1000000000.0,50000000.0,2000000000.0,-15.2037,-67.915,-87.6474,-6.648139999999999e-07,-1.18266,-0.256608,-0.249967,-3.14159,4.588978252221994,3.889658,5.159282916004258
tsmc065_tt,24.0,0.7464963,0.7142524,0.3453291,0.003865747,1.0,0.003865747,0.000941236,0.01889605,0.002401987,0.4653583,0.05277398,6.967061e-14,3.0166439999999996e-14,7.019373,11.36258,10.99559,10.019373,1000000000.0,50000000.0,2000000000.0,-15.1055,-67.9506,-87.6679,-6.66729e-07,-1.15948,-0.25826,-0.251515,-3.14159,4.631940778474253,3.988482,5.017700988852056
tsmc065_tt,32.0,0.7455561,0.7111172,0.3464958,0.003867733,1.0,0.003867733,0.0009414055,0.01856372,0.002367896,0.4596133,0.05417985,6.986539999999999e-14,3.0154169999999997e-14,6.99574,11.28287,10.90922,9.99574,1000000000.0,50000000.0,2000000000.0,-14.9953,-67.991,-87.6908,-6.68773e-07,-1.13466,-0.259998,-0.253143,-3.14159,4.679717616607978,4.090986,4.897785407666447
