n,Io,W,Rb,Rd,fo,iip3,gain,s11,nf,PWR,gm,CF,CF_wo_Io
1,0.000899118010408976,0.00011350315451725445,376.9151132078315,316.22776601683813,1000000000.0,-4.3564,14.9754,-29.0476,3.284742165452332,0.0023541,0.0194335,0.35964720416359036,0.0
2,0.0008795104973780041,0.00011350315451725445,376.9151132078315,316.22776601683813,1000000000.0,-4.4968,14.8815,-29.4286,3.310242722070444,0.0023049,0.0191081,0.35180419895120163,0.0
3,0.0008614080320647115,0.00011350315451725445,376.9151132078315,316.22776601683813,1000000000.0,-4.6273,14.7909,-29.6554,3.335048579450989,0.0022594,0.0188049,0.3445632128258846,0.0
4,0.0008466029052518953,0.00011350315451725445,376.9151132078315,316.22776601683813,1000000000.0,-4.7347,14.7139,-29.7214,3.3562846164279363,0.0022222,0.018555,0.3386411621007581,0.0
5,0.0008343816451216312,0.00011350315451725445,376.9151132078315,316.22776601683813,1000000000.0,-4.8238,14.6483,-29.6816,3.3744850720669644,0.0021915,0.0183474,0.33375265804865245,0.0
6,0.000824060181209813,0.00011350315451725445,376.9151132078315,316.22776601683813,1000000000.0,-4.8993,14.5914,-29.5775,3.390348732762441,0.0021655000000000003,0.018171,0.3296240724839252,0.0
7,0.0008152783495946989,0.00011350315451725445,376.9151132078315,316.22776601683813,1000000000.0,-4.9639,14.542,-29.4382,3.4042100794833847,0.0021434,0.0180203,0.32611133983787954,0.0
8,0.0008078045366889456,0.00011350315451725445,376.9151132078315,316.22776601683813,1000000000.0,-5.019,14.4992,-29.2842,3.416276685271951,0.0021246,0.0178916,0.32312181467557827,0.0038000000000000256
9,0.0008085506260302655,0.00011044864826977038,358.06935754743995,332.03915431768,1000000000.0,-4.9121,14.817,-29.1114,3.389828298947272,0.002128,0.0178441,0.3234202504121062,0.0
10,0.0008028111206270266,0.00011044864826977038,358.06935754743995,332.03915431768,1000000000.0,-4.9542,14.7845,-28.9665,3.398974829042787,0.0021135999999999998,0.017746099999999997,0.3211244482508106,0.0
11,0.000797623034150167,0.00011044864826977038,358.06935754743995,332.03915431768,1000000000.0,-4.9923,14.7548,-28.823,3.4073715834142777,0.0021005,0.0176573,0.3190492136600668,0.0
12,0.0007928458135583848,0.00011044864826977038,358.06935754743995,332.03915431768,1000000000.0,-5.0274,14.7271,-28.6809,3.415212485985537,0.0020884999999999996,0.0175753,0.3171383254233539,0.005480000000000019
13,0.000793619675317905,0.00010765873965312338,340.16588967006794,348.641112033564,1000000000.0,-4.9185,15.0427,-28.4831,3.3924064315387223,0.0020919,0.0175318,0.31744787012716197,0.0
14,0.000789190371830994,0.00010765873965312338,340.16588967006794,348.641112033564,1000000000.0,-4.9508,15.0175,-28.3455,3.399536261280474,0.0020808,0.0174565,0.3156761487323976,0.0
15,0.0007849524557777799,0.00010765873965312338,340.16588967006794,348.641112033564,1000000000.0,-4.9818,14.9932,-28.2083,3.406443729312864,0.0020702,0.0173844,0.31398098231111193,0.0
16,0.0007808807742708632,0.00010765873965312338,340.16588967006794,348.641112033564,1000000000.0,-5.0117,14.9696,-28.0716,3.4131582510131846,0.0020599,0.0173149,0.31235230970834527,0.0023400000000000534
