n,Io,W,Rb,Rd,fo,iip3,gain,s11,nf,PWR,gm,CF,CF_wo_Io
1,0.0008874520496137568,0.00011350315451725442,379.3937735409008,319.9002367173337,1000000000.0,-4.4351,14.9852,-29.3529,3.2856591838154947,0.0023241,0.0192252,0.92964,0.0
2,0.0008575275846108599,0.00011350315451725442,381.77860238350854,323.03478991627736,1000000000.0,-4.6485,14.8929,-29.5538,3.313710955026501,0.0022483,0.0187123,0.89932,0.0
3,0.0008442556645796631,0.00011350315451725442,384.3893583416268,328.7575710413033,1000000000.0,-4.7368,14.9274,-29.2439,3.3119164387881743,0.002214,0.0184692,0.8855999999999999,0.0
4,0.0008357103412602053,0.00011350315451725442,387.14023266030716,333.8655568862974,1000000000.0,-4.7932,14.9721,-28.8196,3.3059608326611576,0.0021916,0.0183069,0.8766400000000001,0.0
5,0.0008281447943945661,0.00011330495327174856,389.9382346284233,336.3879479745538,1000000000.0,-4.8484,14.9716,-28.4475,3.3075529085171285,0.0021720000000000003,0.0181625,0.8688000000000001,0.0
6,0.0008209669649748379,0.00011330495327174856,392.73528918987904,341.3008876439049,1000000000.0,-4.8963,15.0169,-27.9126,3.3010608657814218,0.0021531,0.018023700000000004,0.8612399999999999,0.0
7,0.0008140223913091968,0.00011330495327174856,395.52809554568637,343.73296526001434,1000000000.0,-4.9488,15.0181,-27.4862,3.301985052423657,0.0021351,0.0178944,0.85404,0.0
8,0.0008072632427242423,0.00011330495327174856,398.3224077151228,348.5617719457451,1000000000.0,-4.9945,15.0615,-26.9203,3.295911314975406,0.0021173000000000003,0.017763,0.8469200000000001,0.0
9,0.0008006718195747738,0.00011330495327174856,401.140521485395,353.37489789286894,1000000000.0,-5.0396,15.1039,-26.3572,3.2900674601064797,0.0020999,0.0176344,0.83996,0.007920000000000016
10,0.0008105347028978669,0.0001106923964304998,381.0834954111253,371.0436427875124,1000000000.0,-4.8691,15.4606,-26.3391,3.253163778281295,0.0021258,0.017745300000000002,0.8503200000000001,0.0
11,0.0008034877936574948,0.00011048471801756907,382.9435828514268,373.5898723344855,1000000000.0,-4.9202,15.4593,-25.9233,3.256056322667949,0.0021077,0.0176124,0.84308,0.0
12,0.0007966869467232067,0.00011048471801756907,385.7307813053036,378.68735010652415,1000000000.0,-4.9675,15.4984,-25.3642,3.2511645648830485,0.0020897999999999997,0.017480799999999998,0.8359199999999999,0.0
13,0.0007900627798057147,0.00011048471801756907,388.5383060247726,383.8155396344448,1000000000.0,-5.0138,15.5374,-24.8239,3.2463480102520252,0.0020723,0.0173521,0.82892,0.0027599999999999626
