n,Io,W,Rb,Rd,fo,iip3,gain,s11,nf,FOM,PWR
1,0.0013055324319339516,0.000183,375.5,474.0,999999999.9999999,-1.6774,19.5048,-17.4292,2.7935505474215576,11.548722207262395,0.0047028
5,0.0014426983814781133,9.803679087900243e-05,211.21874999999994,799.8750000000002,999999999.9999999,-8.3312,21.183,-21.3213,3.4838621619525707,4.843924781590565,0.0051373
6,0.0007213491907390566,0.00014705518631850364,105.60937499999997,399.9375000000001,999999999.9999999,-2.523,16.0688,-17.0572,5.0073394725643094,5.748789701339593,0.0027779
9,0.0006909568821050525,0.00016479752457735551,118.81054687499996,449.92968750000017,999999999.9999999,-3.0894,16.6397,-18.6756,4.715768512216259,6.390647312564571,0.0026502
11,0.0012430921018262656,8.868342620808124e-05,89.10791015624996,1012.3417968750003,999999999.9999999,-5.7985,22.2835,-17.2255,4.935784521593484,6.776195201327434,0.0044196999999999995
14,0.0009329724300547713,7.914845863083579e-05,100.24639892578121,1138.8845214843752,999999999.9999999,-2.8896,22.2321,-21.3465,4.924529648179452,10.835518466351186,0.0033641
15,0.0004664862150273857,0.00011872268794625368,112.73572963201664,569.4422607421876,999999999.9999999,-3.6854,16.007,-26.7346,5.45089162718877,5.681385260604161,0.0018392999999999999
17,0.0008249760306475937,8.081454815006667e-05,84.55179722401247,1281.2450866699223,999999999.9999999,-2.7366,22.4626,-19.7531,5.35989125763874,11.109814107463986,0.0029855999999999997
18,0.00041248801532379684,0.0001212218222251,121.90530194979652,640.6225433349612,999999999.9999999,-4.2297,16.1008,-25.4796,5.440581425489683,5.760647151015497,0.0016335
20,0.0006953334780852614,6.656380370185646e-05,91.42897646234739,1441.4007225036626,999999999.9999999,-2.7927,22.2893,-24.3746,5.5427081884369445,11.345191147090734,0.0025292
21,0.0003476667390426307,9.984570555278468e-05,120.5395493817145,720.7003612518313,999999999.9999999,-4.2736,15.8965,-22.2493,5.817691629271023,5.684260000001957,0.0013932
23,0.0005655610151123984,6.707090478240366e-05,90.40466203628588,1621.5758128166206,999999999.9999999,-2.7156,22.2089,-25.1445,5.754819514316005,11.898108330674717,0.0020807000000000004
24,0.00031915717300679756,0.00010060635717360549,106.3089132725442,810.7879064083103,999999999.9999999,-3.7879,16.2979,-23.9591,6.1100305752185635,6.495577005785169,0.0012955000000000002
26,0.0004838468354077604,5.907773818055989e-05,79.73168495440815,1824.272789418698,999999999.9999999,-2.4786,22.145,-25.9961,6.379820389031087,11.883830819286981,0.0017942000000000001
27,0.00031824633345677966,8.861660727083984e-05,89.47837052076854,912.136394709349,999999999.9999999,-2.8689,17.0596,-28.1726,6.47047051677143,7.70340173803632,0.001296
29,0.0004442490799024955,6.069371424343182e-05,67.1087778905764,2052.3068880960354,999999999.9999999,-2.3329,22.3737,-22.4398,6.95831865939439,11.883833379149975,0.0016503000000000002
30,0.00024134418873865928,9.104057136514774e-05,83.23947958498327,1026.1534440480177,999999999.9999999,-2.3329,16.4545,-27.5303,7.113050798268804,7.88055211430188,0.0010155000000000001
32,0.00026648665153948,5.488269963530154e-05,62.42960968873746,2308.8452491080398,999999999.9999999,-1.47,21.0743,-24.7683,7.994307357232666,12.158099860413937,0.0010477000000000002
34,0.00013859621394772038,2.9707059942854247e-05,46.822207266553086,1731.6339368310298,999999999.9999999,2.5275,16.2874,-18.603,11.026204171315406,10.347543786454594,0.0006023297999999999
37,0.00011218164852490044,3.342044243571103e-05,52.674983174872224,5844.264536804725,999999999.9999999,-0.6322636,21.2567,-26.0201,11.056887012862624,13.391921335053404,0.0004498005
39,0.0001143475144341155,1.3183623958437253e-05,39.506237381154165,4383.198402603544,999999999.9999999,1.229,19.7036,-15.8856,13.351353880937872,11.139197448808986,0.0004621238
40,0.0001009480280109512,1.977543593765588e-05,43.84691368166141,6574.7976039053165,999999999.9999999,-0.0638686,21.6467,-18.941,12.61523236879578,13.17552720892995,0.00040148180000000003
41,6.71184695226652e-05,2.966315390648382e-05,42.7053765380225,3287.3988019526582,999999999.9999999,4.1722,16.7568,-17.9196,13.040379758605965,13.217228366353432,0.00030850189999999996
42,0.0001006777042839978,1.483157695324191e-05,64.05806480703374,4931.098202928988,999999999.9999999,-0.8692031,20.0597,-24.3042,11.431241750220389,11.969437592349578,0.00040869409999999995
44,4.960630389333933e-05,3.337104814479429e-05,48.043548605275305,3698.3236521967406,999999999.9999999,-0.3570079,15.7545,-23.4291,13.313898178727214,8.561719808510805,0.00023600609999999998
45,7.4409455840009e-05,1.6685524072397146e-05,72.06532290791296,5547.485478295111,999999999.9999999,-0.36527050000000005,19.6162,-18.4785,11.475586188109057,13.146804906710392,0.0003125566
47,5.367015259529849e-05,1.251414305429786e-05,54.04899218093472,4160.614108721333,999999999.9999999,5.5348,16.182,-37.1428,13.73929225270809,14.37090728401277,0.0002395624
49,4.0252614446473865e-05,1.3335685893111937e-05,40.53674413570104,3120.4605815409996,999999999.9999999,2.3818,12.9243,-17.4995,15.951821850045686,6.668489780655562,0.00019043729999999997
50,6.03789216697108e-05,6.667842946555968e-06,60.80511620355156,4680.690872311499,999999999.9999999,0.4535277,16.0363,-24.5923,14.23013907555677,8.352856116937115,0.0002555042
52,2.6757970670688238e-05,1.5002646629750928e-05,45.60383715266369,10531.554462700873,999999999.9999999,0.4074126,17.9659,-23.2182,16.038125133171253,11.537369800245653,0.0001232345
53,4.013695600603236e-05,7.501323314875464e-06,68.40575572899553,15797.33169405131,999999999.9999999,-1.7684,21.5472,-17.8838,14.469610279387034,13.39569466893488,0.0001611206
55,3.755706162877796e-05,5.625992486156598e-06,51.30431679674665,11847.998770538483,999999999.9999999,0.7786025,19.6632,-36.3927,16.01411986487686,12.596765573185055,0.0001563521
57,1.3649210726147135e-05,9.276968854933837e-06,49.30301846604924,8885.999077903862,999999999.9999999,-3.418,13.6766,-32.1993,18.496408987805985,3.4997987613174555,6.79865e-05
58,2.0473816089220702e-05,4.638484427466919e-06,64.74299552540629,13328.998616855792,999999999.9999999,4.3961,17.5669,-19.1381,16.82009123093509,15.64089333258834,9.106019999999999e-05
60,1.5355362066915526e-05,3.47886332060019e-06,48.557246644054715,9996.748962641843,999999999.9999999,5.5227,13.8037,-30.8213,19.44711518766728,11.397370075310585,7.13103e-05
61,2.3033043100373288e-05,1.739431660300095e-06,72.83586996608207,14995.123443962764,999999999.9999999,-0.8251734000000001,16.4805,-15.3598,18.460480116796216,7.446912943203975,9.57257e-05
62,2.3285758850340016e-05,2.6091474904501424e-06,36.417934983041036,22492.685165944145,999999999.9999999,1.5064,20.0991,-15.6057,20.163757873919643,11.714721849251603,9.482099999999999e-05
63,1.7663385664023297e-05,3.9137212356752135e-06,50.55119895098962,33739.02774891622,999999999.9999999,0.1023001,21.4399,-37.6242,18.712270240225827,14.296395795600631,7.23161e-05
64,9.285554782196064e-06,5.87058185351282e-06,41.54604170888773,16869.51387445811,999999999.9999999,-2.15,15.2643,-19.9209,20.74681873808978,5.811985042830749,4.5627e-05
65,1.3928332173294096e-05,2.93529092675641e-06,59.87430037033842,25304.270811687165,999999999.9999999,2.4638,19.0255,-21.9925,18.795435415970896,14.92151687624716,6.0674199999999996e-05
67,1.0446249129970571e-05,2.2014681950673077e-06,44.90572527775382,18978.203108765374,999999999.9999999,8.697,15.5471,-24.1767,21.296086203758758,16.17526206866121,4.7919199999999993e-05
68,5.23903154174482e-06,1.1007340975336539e-06,67.35858791663073,28467.30466314806,999999999.9999999,4.4764,13.8165,-16.9235,22.608194091785823,11.76157246341797,2.4814299999999997e-05
70,7.750309555342756e-06,8.255505731502404e-07,50.51894093747305,64051.43549208313,999999999.9999999,0.15129990000000001,20.0111,-39.6291,23.178890545544405,11.933326880084241,3.21449e-05
71,6.004796890691412e-06,1.2383258597253606e-06,43.36432451868661,96077.15323812471,999999999.9999999,0.7574423,21.5135,-22.4983,23.925076612330134,14.401986765490257,2.48972e-05
