n,Io,W,Rb,Rd,fo,iip3,gain,s11,nf,FOM,PWR
1,0.0018077243751704014,8.294096202682053e-05,272.98490381937785,189.29987993091532,100000000.0,2.5321,12.9148,-16.4667,4.380980574801522,-5.1171172559467095,0.0065359
3,0.0017354154001635856,7.96233235457477e-05,293.5691352344187,272.59182710051806,100000000.0,2.1989,15.2749,-19.4865,3.9646850892537393,-2.2237913644331675,0.0062535
4,0.0020824984801963028,9.554798825489724e-05,234.85530818753494,327.1101925206217,100000000.0,2.0636,17.6772,-15.8364,3.6341432317234745,-0.16511988082337226,0.007476
6,0.0013327990273256337,9.172606872470134e-05,225.46109586003357,314.02578481979685,100000000.0,0.3852163,16.0584,-19.5403,3.9846723634640617,-2.187077585957753,0.004854
7,0.0015993588327907603,0.00011007128246964161,256.48793836959584,376.8309417837562,100000000.0,0.9232047,18.3889,-17.6904,3.447141030516851,0.8685740241239035,0.005767400000000001
8,0.0019192305993489124,0.00013208553896356995,205.19035069567667,452.19713014050745,100000000.0,-0.6585782,20.4283,-15.4028,3.2540769085291856,0.9189273109080869,0.0068804999999999995
10,0.001228307583583304,0.00012680211740502713,196.98273666784962,434.10924493488716,100000000.0,-0.37491050000000004,18.8437,-18.6241,3.570736321334998,0.900231471988902,0.004479
11,0.0014739691002999648,0.00015216254088603256,236.37928400141953,520.9310939218647,100000000.0,-0.4837574,20.8687,-18.2899,3.044453051327668,3.0666938415630813,0.0053091
12,0.001198092804749937,0.00018259504906323906,189.10342720113562,625.1173127062376,100000000.0,-0.9457013,21.5738,-19.7182,3.2222264750026124,3.8330107666357947,0.0043462
13,0.0014377113656999245,0.00021911405887588688,224.9055143461148,750.1407752474852,100000000.0,-5.9577,22.8233,-22.5084,2.829483497556859,0.12554271560958608,0.0051399
14,0.0011501690925599397,0.00026293687065106423,179.92441147689186,600.1126201979881,100000000.0,-1.0474,21.5383,-18.1422,3.188021942442203,3.9183346147590017,0.0041919
15,0.0013802029110719276,0.0003155242447812771,215.90929377227025,720.1351442375858,100000000.0,-2.9453,22.9471,-19.7633,2.77492847443012,3.5381398127048573,0.0049521
16,0.001104162328857542,0.0003786290937375325,172.7274350178162,576.1081153900686,100000000.0,-1.1926,21.291,-17.3912,3.2005834082911666,3.657495219043736,0.0040442
17,0.0013249947946290504,0.000454354912485039,207.27292202137943,691.3297384680824,100000000.0,-1.363,22.7012,-18.6687,2.7832867802910375,5.016108180570432,0.0047738
18,0.0010599958357032403,0.0005452258949820468,165.81833761710354,553.0637907744659,100000000.0,-1.3008,20.8595,-17.0822,3.2510277667418466,3.175014362551935,0.0039038
19,0.0012719950028438885,0.0005999435428010912,198.98200514052425,663.6765489293591,100000000.0,-0.7201891,22.2712,-18.2011,2.835968719158086,5.2778763186255295,0.004601600000000001
20,0.0014483418874762567,0.0007090408588184189,219.56617901585702,796.4118587152309,100000000.0,-6.0314,22.7284,-20.0915,2.664947439032841,0.2813933554374808,0.0051715
21,0.0011586735099810054,0.0008508490305821027,175.6529432126856,637.1294869721847,100000000.0,-0.5444123,21.4629,-17.889,3.038870416772543,4.598437852842873,0.0042297
22,0.0013904082119772065,0.0006806792244656822,210.78353185522275,764.5553843666218,100000000.0,-2.9955,22.7668,-19.5352,2.7124612081948567,3.4142696977543983,0.0049827000000000005
23,0.0011123265695817653,0.0008168150693588186,168.6268254841782,611.6443074932974,100000000.0,-0.7588691000000001,21.2086,-17.6648,3.1293268850790885,4.112830282929756,0.004075700000000001
24,0.0013347918834981183,0.000653452055487055,202.35219058101384,733.973168991957,100000000.0,-1.4966,22.6654,-19.0514,2.773271736613908,4.841417647061218,0.004803
25,0.0010678335067984947,0.000784142466584466,161.8817524648111,587.1785351935656,100000000.0,-0.9850289000000001,20.9312,-17.4287,3.225729152828649,3.5796920822609852,0.003931700000000001
26,0.0012814002081581936,0.0006273139732675728,194.2581029577733,704.6142422322787,100000000.0,-0.8772195,22.4878,-18.635,2.8446093138967603,5.296572358708225,0.0046259
27,0.001025120166526555,0.0006654232786597487,155.40648236621865,563.6913937858229,100000000.0,-1.2767,20.7279,-17.1493,3.3364809395554484,3.0358149022165106,0.0037895
28,0.001230144199831866,0.0006160055719184989,186.48777883946238,676.4296725429875,100000000.0,-0.6940656000000001,22.243,-18.264,2.922592903591056,5.233879023432758,0.0044589
29,0.0014761730397982393,0.0006283161896620148,223.78533460735486,811.715607051585,100000000.0,-8.556,22.7634,-21.0194,2.6474156411979806,-2.244570367596234,0.0052612
30,0.0011809384318385914,0.0007539794275944178,179.0282676858839,649.372485641268,100000000.0,-0.5737717,21.7508,-17.9888,2.9993591054361946,4.863849102615742,0.0043004
31,0.0014171261182063096,0.0006031835420755342,214.83392122306066,779.2469827695215,100000000.0,-4.5049,22.9278,-20.0915,2.688535701704521,2.0421950447759585,0.0050699
32,0.0011337008945650478,0.000723820250490641,171.8671369784485,623.3975862156173,100000000.0,-0.7510017,21.4926,-17.7231,3.0883015430140897,4.410259436539831,0.0041464
33,0.0013604410734780574,0.0005790562003925128,206.24056437413822,748.0771034587407,100000000.0,-2.2888,22.866,-19.4051,2.746905931253493,4.233510075471687,0.0048837
34,0.0010883528587824459,0.0006948674404710154,164.99245149931056,598.4616827669926,100000000.0,-0.965142,21.2036,-17.4789,3.184913015030984,3.880161838776602,0.0039956
35,0.0013060234305389351,0.0005944408371729,197.99094179917267,718.1540193203911,100000000.0,-1.1794,22.6482,-18.8485,2.8126403799730393,5.1457349079814545,0.0047074
36,0.0010448187444311481,0.00071332900460748,158.39275343933815,574.5232154563129,100000000.0,-1.1478,20.8397,-17.271,3.2833193658950095,3.3010943918310227,0.0038556
37,0.0012537824933173778,0.000570663203685984,190.0713041272058,689.4278585475754,100000000.0,-0.8181978000000001,22.4348,-18.43,2.889350787640161,5.294373584580724,0.0045369
38,0.001337648182092312,0.0006847958444231808,192.11646794180413,827.3134302570904,100000000.0,-3.4188,22.9329,-19.9696,2.831386037117372,3.0723642681435104,0.0047943
39,0.0010701185456738495,0.000821755013307817,153.6931743534433,661.8507442056723,100000000.0,-0.7483141000000001,21.4302,-17.9729,3.2561105533000783,4.259841476946867,0.0039297
40,0.0012841422548086194,0.0006574040106462535,184.43180922413197,794.2208930468067,100000000.0,-1.7694,22.8481,-19.5603,2.893322002461553,4.6697564162276395,0.0046197
41,0.0010273138038468955,0.0007888848127755042,147.54544737930559,635.3767144374453,100000000.0,-0.9534976000000001,21.1661,-17.7119,3.354532600604916,3.762578953001558,0.0037904
42,0.0012327765646162746,0.0006311078502204034,177.0545368551667,762.4520573249345,100000000.0,-1.0489,22.6887,-19.1476,2.9650296119818043,5.242827924515247,0.0044545
43,0.0009862212516930197,0.0007293055821082015,141.64362948413336,609.9616458599476,100000000.0,-1.1799,20.9161,-17.427,3.460952901892213,3.2449735575657304,0.0036579000000000004
44,0.0011834655020316236,0.0005834444656865612,169.97235538096004,731.953975031937,100000000.0,-0.8431548000000001,22.5103,-18.7674,3.0478116870722065,5.266048215873013,0.0042918
45,0.0014201586024379484,0.0006155414884084275,203.96682645715205,878.3447700383244,100000000.0,-9.1998,22.9309,-21.3976,2.765521272741241,-2.802874488443842,0.0050561
46,0.0011361268819503588,0.000738649786090113,163.17346116572165,702.6758160306596,100000000.0,-0.634922,21.9923,-18.3811,3.1243412086470723,4.960112692069595,0.004142000000000001
47,0.0013633522583404306,0.0005909198288720904,195.80815339886598,843.2109792367914,100000000.0,-5.0435,23.1221,-20.6822,2.8070070611641813,1.616672429371179,0.0048736
48,0.0010906818066723444,0.0007091037946465085,156.6465227190928,674.5687833894332,100000000.0,-0.7744828,21.7466,-18.0805,3.214876301074978,4.55580572831113,0.003996100000000001
49,0.0013088181680068133,0.0005672830357172068,187.97582726291134,809.4825400673199,100000000.0,-2.6947,23.0782,-20.0242,2.866020378602113,3.956593426644387,0.0046994
50,0.0010470545344054506,0.0006807396428606482,150.38066181032906,647.5860320538559,100000000.0,-0.9582586000000001,21.4705,-17.7901,3.3131027665624635,4.068050772682054,0.0038533
51,0.0012564654412865407,0.0005445917142885185,180.45679417239486,777.1032384646271,100000000.0,-1.5199,22.9289,-19.4728,2.937105800695572,4.997962560179693,0.0045276
52,0.0010051723530292325,0.0006535100571462222,144.3654353379159,621.6825907717017,100000000.0,-1.1537,21.1703,-17.5091,3.4179164058235054,3.5343211744303114,0.0037171
53,0.001206206823635079,0.0005228080457169778,173.23852240549908,746.019108926042,100000000.0,-1.0383,22.7198,-18.9932,3.0166487687336305,5.268670689052159,0.004365300000000001
54,0.0011547898170190078,0.0006273696548603733,205.26387515655298,596.8152871408336,100000000.0,-0.9974524,21.4284,-18.3752,2.9125108071981143,4.388847039306316,0.0042072
55,0.0013857477804228094,0.000549004550876423,246.3166501878636,716.1783445690003,100000000.0,-2.846,22.7071,-20.0971,2.592261888041741,3.7770433656540687,0.0049713000000000005
56,0.0011085982243382475,0.0006588054610517076,197.05332015029086,572.9426756552002,100000000.0,-1.1688,21.0527,-18.1959,2.999534122479263,3.8250143649814765,0.0040555
57,0.001330317869205897,0.0006002904099470555,236.46398418034903,687.5312107862403,100000000.0,-1.3994,22.4516,-19.4502,2.6492400535516976,5.006900946289348,0.0047865
58,0.0010642542953647176,0.0007203484919364666,189.17118734427922,550.0249686289923,100000000.0,-1.3452,20.626,-18.0786,3.0907969553427526,3.202281046013997,0.0039075
59,0.0012771051544376612,0.0005762787935491733,227.00542481313505,660.0299623547908,100000000.0,-0.9668849,22.2398,-19.0512,2.7199224902632944,5.236910811887441,0.0046106
60,0.0013169996379549106,0.0006915345522590079,181.60433985050804,792.035954825749,100000000.0,-1.918,22.8334,-19.1649,2.8915484937873,4.404050717569922,0.0047339
61,0.0010535997103639284,0.0008298414627108094,145.28347188040644,633.6287638605992,100000000.0,-0.7711558000000001,21.1958,-17.3207,3.3475391064829867,3.8792253205150464,0.0038862000000000002
62,0.001264319652436714,0.0006638731701686476,174.34016625648772,760.354516632719,100000000.0,-1.028,22.6931,-18.7519,2.9615557120249534,5.171303405066793,0.0045623
63,0.0010114557219493712,0.000796647804202377,139.4721330051902,608.2836133061752,100000000.0,-0.9858918999999999,20.9167,-17.0615,3.4519827390357944,3.3516393913186366,0.0037468
64,0.0012137468663392455,0.0006373182433619016,167.36655960622824,729.9403359674102,100000000.0,-0.7091975,22.5005,-18.3516,3.0398209086738355,5.297538348998159,0.0044004000000000005
65,0.0013052802030533957,0.0005882785451399974,200.8398715274739,875.9284031608922,100000000.0,-4.9456,23.1522,-21.5216,2.8155428309137926,1.91385825558514,0.0046681
66,0.0010442241624427167,0.0007059342541679968,160.67189722197912,700.7427225287138,100000000.0,-0.9941307,21.7483,-19.1213,3.2212306573850844,4.513722079579202,0.0038268
67,0.00125306899493126,0.0005647474033343974,192.80627666637494,840.8912670344565,100000000.0,-2.7403,23.0961,-21.0706,2.8742824270991068,4.099721973542526,0.0045004
68,0.001002455195945008,0.0006776968840012769,154.24502133309994,672.7130136275653,100000000.0,-1.1747,21.4726,-18.8401,3.3187016887005822,4.030582445977434,0.0036906
69,0.0012029462351340096,0.0005421575072010216,185.09402559971994,807.2556163530783,100000000.0,-1.6608,22.943,-20.5995,2.9442944992484494,5.041733469595872,0.0043386
70,0.0009623569881072076,0.0006505890086412259,148.07522047977596,645.8044930824626,100000000.0,-1.363,21.1748,-18.5491,3.422262417458371,3.506284692725213,0.0035623
71,0.0011548283857286492,0.0005328996635282398,177.69026457573116,774.9653916989552,100000000.0,-1.2006,22.7144,-20.1308,3.0215488418866823,5.27624500235146,0.004183200000000001
72,0.0011565838443008784,0.0006051079833883368,205.7535403061854,619.9723133591641,100000000.0,-0.9956674000000001,21.6366,-18.7571,2.9003343659753336,4.621312353326635,0.0042096
73,0.0013879006131610541,0.0006019135214688195,246.9042483674225,743.9667760309969,100000000.0,-3.6004,22.7217,-20.5718,2.586671545258448,3.0482930247984505,0.004972900000000001
74,0.0011103204905288434,0.0007222962257625834,197.523398693938,595.1734208247975,100000000.0,-1.0763,21.1571,-18.5901,2.9803183684424184,4.060206285593343,0.0040558
75,0.001332384588634612,0.0005778369806100668,237.02807843272558,714.208104989757,100000000.0,-1.8896,22.6124,-20.0026,2.6450793072264145,4.68543813761049,0.0047878
76,0.0010659076709076897,0.0006934043767320801,189.62246274618047,571.3664839918056,100000000.0,-1.31,20.8527,-18.3946,3.074442348827342,3.493248004972605,0.0039103
77,0.0012790892050892277,0.0005547235013856641,227.54695529541658,685.6397807901667,100000000.0,-1.1897,22.4197,-19.5491,2.713333139945136,5.206564724895406,0.004612300000000001
78,0.0010489983984043974,0.0006656682016627969,182.03756423633325,548.5118246321333,100000000.0,-1.4142,20.6278,-17.905,3.1492346500033506,3.0756276724013,0.0038587
