n,Io,W,Rb,Rd,fo,Vg,Vs,Vd,Vth,iip3,gain,s11,nf,FOM,PWR,gm
1,9.860872280987367e-06,0.00014848616543531798,62.5,1250.0,1000000000.0,0.3653103,0.0014242999999999999,1.7715,0.4923893,-10.3054,-3.593,-20.4935,21.108525975085577,-22.66461732984014,5.87688e-05,0.0005747303000000001
2,1.2326090351234209e-05,0.00011136462407648848,78.125,1562.5,1000000000.0,0.3852036,0.002133,1.7574,0.4926352,-10.4736,-0.0577371,-14.3921,18.467819766686507,-17.469663626074002,7.133049999999999e-05,0.000674772
3,1.540761293904276e-05,8.352346805736636e-05,58.59375,1953.125,1000000000.0,0.40492360000000005,0.0019367000000000002,1.7354,0.49266370000000004,-8.7222,3.4955,-25.1091,17.76252588907633,-12.32258463910484,8.72303e-05,0.0007971672
4,1.9259516173803447e-05,6.954243894718945e-05,73.2421875,2441.40625,1000000000.0,0.4215886,0.0028758,1.7042,0.4930797,-8.5853,6.5173,-16.427,15.495202532405717,-7.664953110735356,0.0001053428,0.0009274371
5,2.407439521725431e-05,5.4367468968129524e-05,91.552734375,3051.7578125,1000000000.0,0.4414188,0.0042071,1.6598,0.493659,-7.9442,9.5515,-12.3045,13.64138219651985,-2.8474689106539905,0.0001260476,0.0010566
6,3.0092994021567886e-05,5.633340081339676e-05,68.66455078125,3814.697265625,1000000000.0,0.4489371,0.0037979,1.589,0.4940045,-6.0271,11.8302,-19.1312,13.333625113091397,0.8084114784313199,0.0001537255,0.0012571000000000001
7,3.761624252695986e-05,4.225005061004757e-05,85.8306884765625,4768.37158203125,1000000000.0,0.4715698,0.005417099999999999,1.4991,0.4949198,-4.0541,14.6939,-13.8601,11.956850445374759,6.384610161501847,0.00018131379999999998,0.0013852
8,4.7020303158699825e-05,3.168753795753568e-05,64.37301635742188,5960.4644775390625,1000000000.0,0.4931709,0.0046683,1.3678,0.4954044,0.2287015,17.4265,-22.3803,12.374792060826573,12.211494982854296,0.0002151715,0.001523
9,5.877537894837478e-05,2.376565346815176e-05,80.46627044677734,7450.580596923828,1000000000.0,0.5181133,0.0064706,1.2008,0.49678680000000003,0.1437477,19.6876,-15.2903,11.399588527762782,14.769601696711398,0.0002505409,0.0016051
10,4.408153421128109e-05,2.9707066835189698e-05,60.34970283508301,5587.935447692871,1000000000.0,0.49267120000000003,0.0041998,1.4111,0.4949607,-0.26223399999999997,17.0069,-26.0347,12.828340541263332,11.039620637436986,0.00020460959999999998,0.0014576
