n,Io,W,Rb,Rd,fo,Vg,Vs,Vd,Vth,iip3,gain,s11,nf,FOM,PWR,gm
1,3.2397142792321627e-06,0.00021657453792759223,61.06063981251404,1250.0,1000000000.0,0.240142,0.0005801775,1.2881,0.39749310000000004,-19.3599,-1.3148,-22.027,19.3510082701414,-22.16666227028746,1.65641e-05,0.0002586135
2,4.049642849040204e-06,0.0002157796290877563,72.32827809646878,1562.5,1000000000.0,0.2481032,0.0008283753999999999,1.2821,0.3980334,-19.5351,1.4682,-16.4127,16.451740307008453,-17.462810144463624,2.0154e-05,0.0003107692
3,5.062053561300254e-06,0.00021018859695905113,83.40260178353259,1953.125,1000000000.0,0.2569341,0.0011430000000000001,1.2732,0.39871280000000003,-19.4341,4.073,-13.6458,13.886830376284763,-12.94010674626211,2.4396999999999997e-05,0.0003705135
4,6.327566951625318e-06,0.00019996830034521562,62.55195133764944,2441.40625,1000000000.0,0.266403,0.0010512,1.259,0.3985385,-17.8355,6.8055,-22.6518,12.736524145164713,-8.310542442883754,3.0072399999999997e-05,0.0004520169
5,7.909458689531648e-06,0.00018632186076321787,73.68403248447396,3051.7578125,1000000000.0,0.2769858,0.0014607,1.2395,0.3994081,-43.3774,9.0932,-17.1597,10.562574431948235,-30.016886518317357,3.6053299999999996e-05,0.000530403
6,5.932094017148736e-06,0.0001397413955724134,55.26302436335547,3730.125988513673,1000000000.0,0.27663540000000003,0.0008571640999999999,1.2421,0.39815839999999997,-17.0562,9.283,-31.7923,12.553907622180207,-4.531167998130567,2.7875499999999998e-05,0.0004145683
7,7.4151175214359195e-06,0.0001287230837072025,66.5220167989783,4662.657485642091,1000000000.0,0.28767309999999996,0.0012147,1.2149,0.3989264,-16.5385,11.6119,-20.1964,10.438614523190392,-0.18827377183126437,3.33774e-05,0.0004849493
8,9.268896901794899e-06,0.00011170454604227639,65.37980191604292,5099.682223114212,1000000000.0,0.30086430000000003,0.0014183,1.1894,0.3993574,-31.6636,13.9318,-21.5601,9.494037305673801,-12.756013848082603,4.02512e-05,0.0005709592
9,6.951672676346174e-06,8.377840953170729e-05,49.03485143703219,6374.602778892766,1000000000.0,0.30051799999999995,0.0008292845999999999,1.1922,0.3981812,-14.7085,14.0763,-26.9778,11.443648056896256,3.330464152789135,3.10234e-05,0.00044458479999999993
10,8.640046576761464e-06,7.286067715277544e-05,49.41572804477624,7015.173706896475,1000000000.0,0.3135238,0.0009851869,1.1601,0.39853710000000003,-12.8966,16.2486,-26.8797,10.520423038321976,7.535455008522877,3.71496e-05,0.0005187328999999999
11,1.080005822095183e-05,6.232609587699367e-05,50.151873573267636,7776.350235414397,1000000000.0,0.3275541,0.0011741,1.118,0.3989521,-10.5567,18.3822,-27.3553,9.746576719179497,12.084412230868878,4.44752e-05,0.0006017374
12,1.3127699190490144e-05,5.3933704165751086e-05,51.024230022305424,8288.66071417302,1000000000.0,0.3403338,0.0013694,1.0775,0.3993526,-10.7968,20.0667,-28.1656,9.21990394676384,13.447108340553633,5.195729999999999e-05,0.0006814831
13,1.2734422989598138e-05,5.3033045332346647e-05,51.306599381042766,7974.837679468629,1000000000.0,0.33980970000000005,0.00135,1.0902,0.39930489999999996,-10.5308,19.8936,-28.8088,9.281054793043339,13.571765849725015,5.07611e-05,0.0006684213
