n,Io,W,Rb,Rd,fo,Vg,Vs,Vd,Vth,iip3,gain,s11,nf,FOM,PWR,gm
1,3.887657135078596e-06,2.7264457499962192e-05,12.5,1750.0,6000000000.0,0.3201058,0.0001274569,1.2822,0.39648910000000004,-12.3614,1.6406,-4.3862,26.575181012404837,-12.131785641860688,1.831e-05,0.0002629565
2,6.8033999863875435e-06,2.8088604929825798e-05,21.875,3062.5,6000000000.0,0.3396676,0.00036337209999999997,1.2491,0.3970767,-13.3119,7.8944,-7.8784,17.583631337999464,0.02255967502347822,3.04386e-05,0.0004203621
3,1.1905949976178202e-05,2.2144939560736643e-05,38.28125,5359.375,6000000000.0,0.3703719,0.0009649801999999999,1.1649,0.39844799999999997,-12.4322,13.6608,-15.5051,11.29936874462673,11.210505831424124,4.8247999999999996e-05,0.0006167815
4,2.0835412458311855e-05,1.0144901806169894e-05,41.87134457845944,7172.815177050107,6000000000.0,0.4249769,0.0015148,1.0405,0.399561,-11.2087,20.2893,-17.5209,9.800255276818922,18.84296110521634,7.411809999999999e-05,0.0008181619
5,1.9408389755533364e-05,9.64237871711478e-06,43.54279884574011,6575.924923187157,6000000000.0,0.4241705,0.0015036000000000001,1.0729,0.39950470000000005,-10.9268,19.9256,-18.8264,9.803533215437623,18.99818741184108,7.01222e-05,0.0007815154
6,1.8334423636974497e-05,9.361817502076137e-06,44.35658356859424,6311.315220342071,6000000000.0,0.423028,0.0014698,1.0909,0.39942180000000005,-10.6752,19.6156,-19.5729,9.884781899586132,19.052749023956714,6.69106e-05,0.0007510786000000001
7,1.7888319008928555e-05,9.065821611320213e-06,45.08975501581941,6220.458113218061,6000000000.0,0.42336630000000003,0.0014644999999999999,1.098,0.39940050000000005,-10.6254,19.5187,-20.2618,9.907322944184955,19.074617235359973,6.547669999999999e-05,0.0007356169
8,1.7599392087142683e-05,8.871085041538207e-06,45.7977059337749,6227.642928115662,6000000000.0,0.4236182,0.0014656,1.1007,0.3993968,-10.6467,19.4833,-20.9586,9.90485367027026,19.08730530138343,6.447969999999999e-05,0.0007244301
9,1.719203027112858e-05,8.695292839021038e-06,46.15081714972951,6212.068671790981,6000000000.0,0.4234854,0.0014483999999999999,1.105,0.3993578,-10.5898,19.398,-21.3658,9.951264344339837,19.097752257769777,6.314979999999999e-05,0.0007105347
10,1.7044663962377793e-05,8.54075959811314e-06,47.07097302434344,6322.581211014972,6000000000.0,0.4239059,0.0014616,1.1037,0.3993812,-10.7143,19.4423,-22.3529,9.908751599015282,19.108049937707143,6.25251e-05,0.0007025146999999999
11,1.6875756792996e-05,8.415473745774035e-06,47.5198440861105,6371.951736315977,6000000000.0,0.4241264,0.001461,1.1041,0.39937740000000005,-10.753,19.4444,-22.8906,9.90851345723769,19.114931682436655,6.1906e-05,0.0006952772
12,1.6439411591658938e-05,8.282851563704403e-06,47.735472484844266,6422.063354716327,6000000000.0,0.42369,0.001435,1.1069,0.399324,-10.7042,19.3708,-23.2351,9.970503227534913,19.124374449317234,6.0451899999999996e-05,0.0006802781
13,1.629621587864553e-05,8.177158836804833e-06,47.820220674184945,6484.94636755141,6000000000.0,0.4238679,0.0014251,1.1067,0.399304,-10.7229,19.384,-23.3839,9.994301453730097,19.130257983538495,5.99275e-05,0.0006741350999999999
14,1.6018182382727364e-05,8.015365128586471e-06,47.849731977683405,6544.084383091047,6000000000.0,0.4239877,0.0014039999999999999,1.108,0.3992604,-10.7049,19.3664,-23.5029,10.050481941008801,19.138419987892664,5.89673e-05,0.0006634814
