n,Io,W,Rb,Rd,fo,Vg,Vs,Vd,Vth,iip3,gain,s11,nf,FOM,PWR,gm
1,1.262191651966383e-05,0.00018557413277345785,68.8069391083466,1557.7332800758131,1000000000.0,0.36655990000000005,0.0019697,1.7554,0.4926681,-10.2912,-1.959,-17.4576,18.426224215167263,-19.32035230283351,7.42468e-05,0.0007217492999999999
2,2.0195066431462127e-05,0.0001657909253053079,89.01236855571283,1978.4034116749704,1000000000.0,0.3900087,0.0037821,1.716,0.49341090000000004,-9.7734,2.5047,-12.6873,14.550478880127732,-12.188465438755042,0.0001128323,0.0010477000000000002
3,3.23121062903394e-05,0.00014634626486080874,35.60494742228513,2598.946389235869,1000000000.0,0.4124125,0.0023130000000000004,1.6312,0.49352140000000005,-5.3421,7.2275,-13.8932,15.400500731693974,-5.820717336407874,0.0001750933,0.0015551
4,4.995662642848015e-05,0.0001229844585969472,56.9679158756562,3224.870628338865,1000000000.0,0.43892250000000005,0.0050523,1.514,0.49500170000000004,-4.0358,11.1225,-30.0215,11.826226671090122,1.5837678997712157,0.0002495577,0.0020592
5,6.879089142862884e-05,0.00010024580905580208,60.59558791111708,3514.9450047599357,1000000000.0,0.4620903,0.006732300000000001,1.4095,0.496097,-0.6808852000000001,14.1684,-29.223,10.758395407545054,8.007201421349182,0.00032380639999999997,0.0024998
6,0.00010494921184720743,8.111717707938526e-05,68.77107203544259,3916.550704040407,1000000000.0,0.49280840000000004,0.010102600000000002,1.2246,0.4981621,1.168,17.485,-24.3825,9.449804155435688,13.162272181835755,0.00045333229999999997,0.0031649
7,7.890628331903401e-05,7.586393270442712e-05,59.93680723269116,3554.9965297553754,1000000000.0,0.48027620000000004,0.0072845,1.3679,0.49645670000000003,1.9639,16.1804,-30.246,10.578282364094374,12.391234797866268,0.00036079549999999997,0.0026494
8,0.00012496271490603108,6.150109618185582e-05,71.18341472291536,4147.511886253346,1000000000.0,0.514837,0.011573700000000001,1.1256,0.4991297,-1.1309,19.4144,-23.0295,9.155620749357912,12.550347740307924,0.0005175976,0.0033582
9,0.00011304774222455335,5.7530951130649975e-05,65.63676759313296,3922.355788195769,1000000000.0,0.511459,0.0100505,1.1995,0.4982193,0.23148490000000002,19.0536,-26.5926,9.622488986251291,13.359902764209185,0.0004791057,0.0031589
10,9.672524886927242e-05,5.593905957212371e-05,60.06093396920576,3709.416212147507,1000000000.0,0.5036998,0.0083126,1.2867,0.49717500000000003,2.5268,18.2715,-30.6378,10.260056698225524,14.70209994337567,0.0004232297,0.0028804
