n,Io,W,Rb,Rd,fo,Vg,Vs,Vd,Vth,iip3,gain,s11,nf,FOM,PWR,gm
1,7.573149911798297e-05,3.23600048511963e-05,70.28137030830602,1402.7164049376797,6000000000.0,0.5165351,0.0085111,1.6301,0.4948202,0.4924677,7.6735,-20.827,11.483308562421161,9.290653866949931,0.000354297,0.0023829
2,0.00011676604270109739,2.5186776817710837e-05,79.41760841804405,1549.5748972081342,6000000000.0,0.5543554,0.0131739,1.5429,0.49651490000000004,0.028950500000000004,10.9856,-18.6851,10.052030124939765,12.130702072243617,0.0005087639,0.0029321000000000004
3,0.00010884568248450369,2.5620977087258893e-05,68.41703250808858,1643.5232559681863,6000000000.0,0.5476609,0.0107999,1.5405,0.49588170000000004,1.6569,10.8191,-23.3181,10.593944739053267,13.246929552880038,0.0004800613,0.0028313
4,9.580645443087125e-05,2.625400202101703e-05,58.80168811062697,1718.4594835627747,6000000000.0,0.5378658000000001,0.008445399999999999,1.5533,0.49516129999999997,3.5723,10.2588,-27.1547,11.364755074749999,14.232694096054603,0.0004309754,0.0026406000000000003
5,0.0001040095959657497,2.4203801187702064e-05,55.60809213134526,1872.544390787219,6000000000.0,0.5461185000000001,0.0084387,1.5158,0.4953406,3.2808,11.1644,-25.708,11.379538772436169,14.5442609103955,0.00046037439999999997,0.0027107000000000003
6,9.194021138850814e-05,2.4639163710705493e-05,49.44825963572155,1920.9280717246702,6000000000.0,0.5375543,0.0068367,1.5344,0.4947881,4.2815,10.57,-21.2947,12.105306958384144,14.62995951462121,0.0004143614,0.0025285000000000004
7,0.00011646456729508732,2.0312581545943045e-05,50.58384285200832,2095.750865540344,6000000000.0,0.5610615,0.0082342,1.4588,0.495506,2.3461,12.5018,-21.8774,11.654356150332257,14.269790533419705,0.0005026446,0.0027415
8,0.00010343833807099012,2.1554171608690505e-05,46.723611931269296,2199.409046276313,6000000000.0,0.5504601,0.0069486999999999995,1.473,0.4951074,3.9449,11.9058,-19.2709,12.122152364008045,15.215584742638411,0.00045388089999999997,0.0025985
9,8.89926007793265e-05,2.2541389993338594e-05,42.79297865873121,2272.6153894134745,6000000000.0,0.5393463000000001,0.0056733,1.4987,0.4946238,4.8632,11.0952,-17.0315,12.78499682411657,15.182059254059551,0.00039882359999999996,0.0024003
10,0.0001374212797593927,2.115135988152117e-05,61.49701979812289,2546.3115471940064,6000000000.0,0.57108,0.011085900000000001,1.341,0.4970876,-0.0197775,13.5244,-27.4096,10.448095923198329,13.675822253538511,0.0005718395,0.0029836999999999997
11,0.00013316772839062818,2.0611653604226466e-05,57.59203460637349,2608.0584462210536,6000000000.0,0.5697709,0.010113899999999999,1.342,0.49678910000000004,0.4285218,13.5197,-26.7302,10.774117529998865,13.885875253817108,0.0005558069,0.0029069
12,0.0001270364318508463,2.027976370779919e-05,53.907170195279264,2656.863279909851,6000000000.0,0.567037,0.0091215,1.3504,0.4964448,0.9874008000000001,13.4028,-24.302,11.129641544954985,14.121297279612076,0.0005332382,0.0028168000000000004
13,0.00011859190700374054,2.016655386447714e-05,50.496444304818255,2689.3647244752924,6000000000.0,0.5625336,0.0081072,1.3683,0.496043,1.742,13.1383,-21.8407,11.523620782103341,14.444278024596823,0.0005024585,0.0027062
14,0.00010716443996440001,2.0343940540108122e-05,47.12909750402855,2704.1186793351803,6000000000.0,0.5555209,0.0070133,1.3976,0.49555790000000005,2.9262,12.6562,-19.6341,11.999435928293165,15.012871261354313,0.000460754,0.0025626000000000004
15,9.211179730257918e-05,2.0951102869875165e-05,43.53727299457845,2690.3551588215087,6000000000.0,0.5449279,0.005791800000000001,1.4421,0.4949577,4.7068,11.8222,-17.5532,12.640833991941907,15.835462178262613,0.0004052588,0.0023682
16,0.00011136389401090124,2.3005463442359583e-05,59.12939393835468,2832.3972948055452,6000000000.0,0.5531522999999999,0.009009000000000001,1.3685,0.4964005,1.2947,12.3832,-27.3808,10.864351438677529,14.202173846590632,0.00047470499999999996,0.0026855000000000004
17,9.881923902738894e-05,2.2437757682504508e-05,53.393388630418876,2772.8343349177694,6000000000.0,0.5466595999999999,0.0074567,1.4127,0.4956662,2.9524,11.9006,-24.6886,11.548386196526618,15.074172664118088,0.0004292568,0.0024968
18,8.54597196424807e-05,2.218080695184772e-05,48.35747746677204,2715.9310073850797,6000000000.0,0.5385235,0.0060647,1.4594,0.494971,4.2377,11.2123,-21.0719,12.31645429471697,15.384608846966854,0.0003795764,0.0022889
19,0.00010109380671619718,1.870528724862984e-05,48.73822126077372,2842.611746491426,6000000000.0,0.5566269,0.0068426,1.4009,0.49541340000000006,2.8065,12.7376,-21.2622,12.115176215909145,15.104133702550662,0.0004346806,0.0024027
20,8.691528737276043e-05,1.9484091749271604e-05,45.12852680644039,2848.7209008660816,6000000000.0,0.5454778,0.0056639,1.4424,0.4948562,4.5919,11.8825,-18.8707,12.720890993864739,15.94889511798171,0.0003823552,0.0022273
21,0.0001053886408530029,2.159710489256218e-05,60.88263029627353,2997.1246692119907,6000000000.0,0.5532954,0.0087825,1.3677,0.4962929,1.2438,12.4277,-27.376,10.961393901189446,14.328512398531576,0.00044935529999999996,0.0025377999999999998
22,9.321237369972614e-05,2.1157271932028877e-05,54.968137019418585,2930.761133675795,6000000000.0,0.5464302,0.0072525,1.4133,0.495558,2.9467,11.9092,-26.6378,11.64484513001723,15.223133344501823,0.000405273,0.0023579
