n,Io,W,Rb,Rd,fo,Vg,Vs,Vd,Vth,iip3,gain,s11,nf,FOM,PWR,gm
1,1.0472590706301172e-05,0.0001938386414456148,56.256564528531776,1184.843483538728,1000000000.0,0.3575205,0.0013746000000000001,1.771,0.49240750000000005,-9.969,-4.3543,-25.6592,21.1192872799554,-23.390889780964617,6.28347e-05,0.0006209278
2,1.3725099734036349e-05,0.00018870534920272487,62.69043010091525,1383.9970148255459,1000000000.0,0.3690943,0.0019479,1.757,0.49265359999999997,-9.8394,-1.7231,-20.8275,18.561913854724427,-19.128731188468777,8.06347e-05,0.0007813710999999999
3,1.779265020211677e-05,0.00018279825537946065,69.28541490748286,1588.3902840571059,1000000000.0,0.38067680000000004,0.0026953000000000003,1.7382,0.4929775,-9.5349,0.6827976,-17.8696,16.382111782134142,-15.221267040460384,0.0001020498,0.0009675304999999999
4,2.2796138053204776e-05,0.00017642974712013236,76.0551911662892,1790.8327753382632,1000000000.0,0.3922152,0.0036431000000000002,1.7142,0.4933898,-9.0367,2.8792,-15.9182,14.552416041509106,-11.601656419738049,0.0001272541,0.0011778
5,2.8885690620167085e-05,0.0001698400833460478,83.08025915533648,1985.629753874785,1000000000.0,0.4037444,0.0048236,1.6847,0.4939013,-8.3111,4.8885,-14.5313,13.024387842577845,-8.170185218135268,0.0001565028,0.0014110000000000001
6,3.9409565759467454e-05,0.00016350701048235513,33.23210366213459,2148.9848534276284,1000000000.0,0.41609890000000005,0.0026093,1.6313,0.4936164,-4.6698,7.6816,-12.4591,15.037459699648428,-5.156152104306957,0.0002122672,0.0018711
7,4.670626849198646e-05,0.00015527238277151143,53.171365859415346,2298.591745244564,1000000000.0,0.4263939,0.0046759,1.5978,0.4943981,-4.9733,9.0181,-26.5486,12.37132308084304,-1.912066931452137,0.0002423645,0.002075
8,5.222755344439297e-05,0.00014628888452911578,54.087198910847455,2381.014404464808,1000000000.0,0.433699,0.0051761,1.5721,0.4946925,-4.2639,10.0938,-26.9777,11.918440772213703,-0.053147704515208005,0.0002662688,0.0022373
9,5.869030965369355e-05,0.00013789583797260487,55.21317484959009,2469.169817686941,1000000000.0,0.44132940000000004,0.005761700000000001,1.5424,0.49503620000000004,-3.3886,11.1729,-27.4967,11.46370404873181,1.966503855055815,0.0002934778,0.0024159000000000003
10,6.6481792441277e-05,0.0001299816968069785,56.634981890502814,2564.333460592191,1000000000.0,0.4494821,0.006470900000000001,1.507,0.49544869999999996,-2.2359,12.273,-28.0883,10.996546139259962,4.277073376964574,0.0003253287,0.0026172
11,7.63246369076006e-05,0.00012245093946818635,58.55550609482395,2670.7387053580014,1000000000.0,0.4585076,0.0073803,1.4634,0.4959694,-0.5381969000000001,13.4234,-28.6673,10.49591474932813,7.181067145094674,0.0003642532,0.0028531
12,9.000147715018763e-05,0.00011524097889919795,61.52554478280184,2794.1510467469398,1000000000.0,0.4692387,0.008694499999999999,1.4052,0.4966934,2.5399,14.6884,-28.7535,9.910669967044148,11.590484992763693,0.00041636669999999996,0.0031544
13,0.00011161480162544188,0.00010875825453134026,67.23675963789641,2957.338677987262,1000000000.0,0.4832541,0.0109776,1.3172,0.4978747,2.5794,16.1552,-26.5485,9.138064433830541,13.217158178732864,0.0004947891,0.0035815
14,9.827515702597323e-05,0.00010622280268104247,62.96210203976795,2822.331493380807,1000000000.0,0.4771862,0.009446300000000001,1.3766,0.49707,4.1989,15.5406,-28.5718,9.6525205865335,14.082327066230633,0.00044695209999999995,0.0033089
15,0.00010965385188347274,0.0001026287614252754,66.94042780480481,2878.3574275133324,1000000000.0,0.4847598,0.010808400000000001,1.3353,0.49770380000000003,2.9554,16.2741,-26.7323,9.214797462339835,13.68466222024097,0.0004880129,0.0035267000000000002
16,9.679891137823684e-05,0.00010102610214304415,62.998139324246196,2760.3406924393757,1000000000.0,0.4785523,0.0093526,1.3903,0.49694920000000004,4.0378,15.6277,-28.7321,9.712823805762326,13.994410170239743,0.00044146409999999995,0.0032628
17,0.00011116576830249228,9.702860501021241e-05,67.61680616601267,2842.861131233866,1000000000.0,0.4879658,0.011016,1.3368,0.4977421,2.5993,16.5448,-26.3719,9.177544233573345,13.594372274392894,0.0004933501,0.0035366
18,9.874372535445962e-05,9.570467483333582e-05,63.57101748972421,2744.0207247573417,1000000000.0,0.48192219999999997,0.009559,1.3874,0.497015,4.2264,15.9292,-28.6177,9.661361412335733,14.474449734226274,0.00044840179999999997,0.0032847
19,0.00010618703851793062,9.29286626549414e-05,66.42919921280647,2771.010784079072,1000000000.0,0.4872643,0.010490399999999999,1.3624,0.4974264,3.4944,16.4229,-27.0297,9.36030117472221,14.32132926576776,0.0004753907,0.0034241000000000002
20,9.543619833212667e-05,9.230919587224667e-05,63.42865189713599,2680.910025562864,1000000000.0,0.4817224,0.0093103,1.4065,0.4968185,3.9519,15.8267,-28.7489,9.775056441625988,14.092043716130945,0.0004359938,0.0032029000000000003
