n,Io,W,Rb,Rd,fo,Vg,Vs,Vd,Vth,iip3,gain,s11,nf,FOM,PWR,gm
1,1.1118563926678992e-05,0.00019280291332857916,57.82070566066472,1231.05435442341,1000000000.0,0.3600435,0.0014906,1.7683,0.49245690000000003,-9.9655,-3.7517,-24.2339,20.508707459013877,-22.40989817856017,6.6417e-05,0.0006536315
2,1.541147881885233e-05,0.00018614501012103715,65.92288747475051,1473.3061574325127,1000000000.0,0.3742171,0.0022658,1.7494,0.49278910000000004,-9.7451,-0.6375896,-19.1715,17.539043871470255,-17.367927030924932,8.960689999999999e-05,0.0008601853
3,2.102946377060422e-05,0.000178515571902617,74.2746893291988,1731.1629230112874,1000000000.0,0.38842730000000003,0.0033256,1.7225,0.4932502,-9.2415,2.1822,-16.3232,15.093883215454674,-12.751883037191757,0.00011844649999999999,0.0011052
4,2.818481744868589e-05,0.00017034341662033794,82.9323689259047,1972.9754895630736,1000000000.0,0.4025904,0.0047182000000000005,1.6878,0.4938529,-8.4138,4.6935,-14.5142,13.147952379362568,-8.503454888765225,0.00015313839999999998,0.0013843000000000002
5,4.098272559503299e-05,0.00016232533895186956,33.17294757036188,2191.017259773003,1000000000.0,0.4180025,0.0026877,1.6225,0.49369290000000005,-4.4955,8.0124,-12.3966,14.87177707835092,-4.627491321466065,0.0002196049,0.0019263
6,5.034369601014469e-05,0.00015200509609402418,53.07671611257901,2380.1864009087335,1000000000.0,0.43048980000000003,0.0049441,1.5783,0.49459359999999997,-4.4907,9.663,-26.0537,12.094398464104552,-0.7663888050957377,0.0002582887,0.0021869000000000003
7,5.7973046412448444e-05,0.00014094583310227308,54.366427649429106,2486.4342513756114,1000000000.0,0.43983350000000004,0.0056247,1.5428,0.494998,-3.4753,11.0002,-26.6792,11.543653795370442,1.6641651655304361,0.0002905799,0.0024002
8,6.746673823343876e-05,0.00013072307948026378,56.07308419522746,2602.254885936216,1000000000.0,0.4498755,0.0064763,1.4995,0.4954988,-2.0754,12.3581,-27.4785,10.97868689670528,4.488923320107892,0.000329335,0.0026444999999999997
9,8.007222894320948e-05,0.00012118405425070367,58.539240015967806,2734.8820307437554,1000000000.0,0.4612,0.0076297,1.4435,0.4961624,0.19409590000000002,13.7838,-28.3768,10.364560124759539,8.24889538404216,0.00037873329999999996,0.0029402
10,9.950024564011053e-05,0.00011216451043603612,62.87415586907619,2904.5184050851585,1000000000.0,0.4755007,0.0095045,1.3609,0.4971944,4.3203,15.4089,-28.3832,9.603190402725657,14.086304794647166,0.0004512003,0.0033474
11,0.0001092420389910696,0.00010815179390328663,66.81638757047398,2932.980137449662,1000000000.0,0.48231450000000003,0.0107523,1.328,0.497743,3.0316,16.0585,-26.7411,9.208234588347473,13.568007439972083,0.00048629799999999997,0.0035327
12,9.260930659110435e-05,0.00010551637704467844,61.77824192328874,2767.529094934116,1000000000.0,0.4743697,0.0088952,1.4014,0.4967587,3.2044,15.222,-28.9712,9.866920528819055,12.739318269388988,0.0004258707,0.0031852
13,0.00011855040823205322,9.845238541340404e-05,68.92021288880744,2945.2276441351487,1000000000.0,0.4909311,0.011705,1.2998,0.4981698,1.3372,16.8749,-25.7526,8.971699156858982,12.67640213686597,0.0005190918,0.0036772000000000003
14,0.00010549713497577255,9.549063701874383e-05,64.00988022301222,2832.551685126949,1000000000.0,0.4854448,0.010063800000000001,1.3546,0.4973622,3.778,16.3513,-28.4125,9.479327557465396,14.421802487170627,0.000472895,0.0034192000000000003
15,9.498970810350699e-05,9.425136695418956e-05,61.59342250469916,2724.9330134183156,1000000000.0,0.4803817,0.009015,1.4012,0.49677390000000005,3.7475,15.7778,-29.3408,9.869756051965872,13.748549436849636,0.00043443869999999996,0.0032006
16,0.00011624799263164684,8.866002756113441e-05,67.66329153583337,2859.842509599169,1000000000.0,0.4942192,0.011341100000000002,1.3206,0.4979177,1.7481,17.1184,-26.5042,9.11801519186436,13.232339578482073,0.0005109473,0.0035958
17,0.00010315506945218476,8.716509794888928e-05,63.014434891160604,2772.321602466206,1000000000.0,0.4880691,0.009742200000000001,1.3714,0.4971488,3.9955,16.5198,-29.0717,9.630518878047218,14.720561395905747,0.0004639656,0.0033379
18,9.737661889782417e-05,8.603518233400663e-05,62.047531716206755,2705.5828719711635,1000000000.0,0.4855724,0.0092189,1.398,0.496833,4.1393,16.2059,-29.5214,9.832172875131594,14.528403055767084,0.0004427161,0.0032163
19,0.00010928246737391659,8.235898927152048e-05,65.90773162708858,2767.1770398451486,1000000000.0,0.4938925,0.0105847,1.3556,0.4974712,2.8576,16.9753,-27.5397,9.379970849496758,14.120771166319052,0.0004857831,0.0034341
20,9.553736194552729e-05,8.214455488697492e-05,61.68383274748211,2677.0034575620048,1000000000.0,0.4865458,0.0090296,1.4081,0.4967063,4.0306,16.2226,-29.8115,9.927379818905266,14.402063765857113,0.00043545929999999996,0.0031591
21,0.00011105831207759446,7.798315707091148e-05,66.28729867812982,2772.7301435365594,1000000000.0,0.497166,0.010740600000000001,1.3507,0.49753390000000003,2.4463,17.2209,-27.3174,9.354723794816186,13.932258375181915,0.0004915624,0.0034413
22,9.782722273567638e-05,7.79249624858603e-05,61.96585804984678,2702.074774270539,1000000000.0,0.490047,0.0091978,1.3989,0.4967996,4.2039,16.5249,-29.8414,9.88199572324818,14.851017304061882,0.000443269,0.0031816
23,0.00010365605021964496,7.550201675595059e-05,64.12394004156381,2725.0379301860607,1000000000.0,0.494662,0.0098958,1.3795,0.49710950000000004,3.6485,16.9208,-28.7247,9.644954175109593,14.754662329068251,0.00046436139999999997,0.0032833000000000003
24,9.342580124340465e-05,7.556146999326451e-05,61.45472404428159,2654.7615144358924,1000000000.0,0.4889788,0.0088199,1.419,0.4965607,3.9581,16.316,-30.1834,10.048600956946496,14.378514871300933,0.00042650019999999997,0.0030772
25,0.00011035198393691276,7.133545961026106e-05,66.20341532363149,2767.2851794613216,1000000000.0,0.5007086,0.0106359,1.3555,0.4974536,2.3553,17.4152,-27.3171,9.426759140380494,13.987392741925778,0.0004878149,0.0033815
26,9.780198244229435e-05,7.166943788708904e-05,62.021231864748955,2710.8401599268846,1000000000.0,0.4936585,0.009162000000000002,1.3995,0.49676620000000005,4.1915,16.7515,-30.0355,9.930686776235596,15.023955446815513,0.00044194709999999997,0.00314
27,9.907504544232916e-05,7.019256052613992e-05,62.86054832615159,2708.2336553014225,1000000000.0,0.49533,0.0093615,1.3967,0.4968342,4.084,16.8581,-29.5954,9.867316463928477,15.050144678860624,0.00044639669999999997,0.0031555
28,9.533327017953826e-05,6.957745743225898e-05,62.258788074239284,2676.1234501127037,1000000000.0,0.49366410000000005,0.0090201,1.4123,0.4966384,4.2403,16.6431,-29.9637,10.004255999166276,14.977558161524627,0.00043238319999999996,0.0030762000000000003
29,0.00010171380384615852,6.734537904210113e-05,64.44467999453859,2713.2145881215088,1000000000.0,0.4986987,0.009752700000000001,1.3894,0.4969785,3.6153,17.0804,-28.4263,9.747736260940847,14.849743027122143,0.0004554861,0.003186
30,9.141591036905924e-05,6.784787230004432e-05,61.59956253134353,2654.620946589222,1000000000.0,0.49254410000000004,0.008646800000000001,1.4273,0.4964331,4.0173,16.4569,-30.3806,10.166819322838144,14.543198947616379,0.00041721609999999996,0.0029825
31,0.00010734657909298766,6.406706982269428e-05,66.01176865552195,2769.734223205289,1000000000.0,0.5039386,0.0103344,1.3663,0.497273,2.4902,17.5165,-27.2334,9.570844299472553,14.176706154729988,0.00047502179999999995,0.0032638
32,9.527039485282554e-05,6.486571207162436e-05,62.00216664497947,2727.103298082022,1000000000.0,0.49664890000000006,0.008927,1.4074,0.4966253,4.2213,16.8586,-30.2031,10.063262731661771,15.126021235121208,0.00043064739999999996,0.0030353
33,9.716039785446947e-05,6.349194987089919e-05,62.90447825139372,2735.4219483984234,1000000000.0,0.4987045,0.0091715,1.4012,0.4967262,4.0614,17.0061,-29.5667,9.979739721726986,15.139504435291578,0.0004373295,0.0030618
34,9.262304198726235e-05,6.323437599647653e-05,61.96346444305788,2703.514295203581,1000000000.0,0.4963129,0.0087303,1.419,0.49648980000000004,4.2488,16.7325,-30.2214,10.157110064362435,15.028728326534328,0.0004203321,0.002969
35,0.00010028814821430853,6.096342244235351e-05,64.35298190984241,2757.359999873364,1000000000.0,0.5023176,0.0095677,1.3901,0.4968954,3.4866,17.2621,-28.346,9.853085491764954,14.855744389104789,0.00044813409999999997,0.0031002
36,8.967615748890534e-05,6.177437208313257e-05,61.29525118169535,2703.0427820806694,1000000000.0,0.4956085,0.008421,1.4286,0.4963361,4.0873,16.6119,-30.6818,10.294577352121792,14.716524832120843,0.000408709,0.0028957
37,0.00010393559743231957,5.842600983773663e-05,65.18217475644742,2816.6086187266915,1000000000.0,0.5061886,0.009898500000000001,1.3722,0.4970882,2.7037,17.5892,-27.6561,9.751897589715103,14.395376460739076,0.0004604329,0.003142
38,9.232089832995991e-05,5.945639165616381e-05,61.457051590969286,2776.025756793549,1000000000.0,0.49877940000000004,0.0085851,1.4122,0.4964747,4.2489,16.9315,-30.6152,10.231636268345019,15.173482754840942,0.000417625,0.0029257
39,9.625486451236646e-05,5.7863116064791314e-05,62.79858808591614,2803.867506390665,1000000000.0,0.5022837,0.009019399999999999,1.3973,0.4966819,3.9009,17.219,-29.5768,10.070961836192197,15.146071283035205,0.0004317803,0.0029883
40,8.927409446741565e-05,5.817372507884103e-05,61.052063322638084,2762.0039480754117,1000000000.0,0.4979739,0.0083118,1.424,0.4963176,4.1928,16.779,-30.8935,10.358224266750554,14.950530266132857,0.0004057497,0.0028526
41,0.00010021504236369865,5.5463070072084786e-05,64.08746061456232,2852.7815078409567,1000000000.0,0.5064278,0.009436,1.3799,0.4968945,3.1094,17.5463,-28.4274,9.932644792811528,14.700537357867562,0.0004454143,0.0030382
42,8.916768074237967e-05,5.6530297184975856e-05,60.764165556701144,2806.9162572810237,1000000000.0,0.4991368,0.0082378,1.4195,0.4963168,4.2242,16.8856,-31.1046,10.395179490312746,15.060915990565558,0.0004045303,0.0028323999999999997
43,9.807500553252844e-05,5.4171904137576473e-05,63.262164406678224,2880.583151373362,1000000000.0,0.5062349,0.0091473,1.3834,0.4967845,3.3637,17.5177,-29.1044,10.04508980004421,14.88604579000533,0.0004368032,0.0029815
44,8.782826890156199e-05,5.515086297625774e-05,60.33524894437259,2832.2477829131553,1000000000.0,0.4994016,0.008069000000000002,1.4213,0.4962505,4.1856,16.885,-31.3923,10.47573157258978,14.994929551821826,0.0003988167,0.0027904
45,9.842980253760835e-05,5.2557777518558656e-05,63.16779147059017,2927.397361341364,1000000000.0,0.5077591,0.0091254,1.3772,0.49680810000000003,3.1688,17.642,-29.1529,10.062403515901888,14.792228579849484,0.0004372063,0.0029676
46,8.796326049898947e-05,5.362614126131386e-05,60.126525556559855,2879.237867819777,1000000000.0,0.5006889,0.0080231,1.4158,0.4962629,4.2313,17.003,-31.5356,10.501508111834067,15.133567747166564,0.0003985189,0.0027754
47,9.592397251884334e-05,5.1486260944090786e-05,62.3058158666008,2949.9756686694723,1000000000.0,0.5072174,0.0088148,1.3826,0.4966799,3.4858,17.5795,-29.8903,10.187062597076155,15.007995326183842,0.00042731889999999997,0.0029063
48,8.653587331163365e-05,5.238851935787585e-05,59.71918064748752,2900.5773962667395,1000000000.0,0.5008386,0.007855000000000001,1.4184,0.49619189999999996,4.1976,16.987,-31.7806,10.584257631855236,15.058931292098663,0.00039252439999999997,0.0027328
49,9.641091067426593e-05,4.994196618249727e-05,62.28292747202423,2992.2973678530075,1000000000.0,0.5088385,0.008814299999999999,1.3766,0.4967076,3.2794,17.7013,-29.8874,10.197946716018773,14.901655649845258,0.00042827480000000003,0.0028955
50,8.652958241184698e-05,5.0986950318029255e-05,59.49863570260243,2943.8851505260095,1000000000.0,0.5020064,0.0078008,1.414,0.4961955,4.2395,17.0861,-31.9122,10.61538318056784,15.174412573571527,0.00039175,0.002716
51,9.429016021558496e-05,4.891841937398881e-05,61.54797426260433,3016.0878351872434,1000000000.0,0.5085097000000001,0.008551500000000002,1.381,0.4965993,3.5307,17.6548,-30.5273,10.308706674226132,15.07080218679413,0.0004198152,0.0028419
52,8.534922647440208e-05,4.980580468616942e-05,59.15028725895318,2966.044772788808,1000000000.0,0.5023037,0.0076592000000000006,1.4159,0.4961356,4.227,17.0804,-32.0945,10.688826296155085,15.13212247178006,0.0003867071,0.0026787
53,9.437482626700984e-05,4.755942372540463e-05,61.45058975687355,3055.4098820709155,1000000000.0,0.5098057,0.008516600000000001,1.3766,0.4966069,3.3968,17.746,-30.5962,10.333023506691529,15.00619978498676,0.0004193414,0.0028251
54,8.505458756335721e-05,4.856542214197322e-05,58.92229930565308,3005.4378669139514,1000000000.0,0.5032188,0.0075877,1.413,0.496125,4.2545,17.1511,-32.2048,10.728975858684418,15.206850456851377,0.0003848945,0.0026574
55,9.280679354991727e-05,4.654443850495569e-05,60.91290810067828,3083.1031717438586,1000000000.0,0.5098317,0.0083194,1.3789,0.4965292,3.5493,17.7295,-31.0546,10.421259934417016,15.112355932869892,0.0004128933,0.0027814000000000003
56,8.413713325060848e-05,4.7445642699802073e-05,58.62783496349206,3032.7625683869137,1000000000.0,0.503667,0.0074707,1.4135,0.49608080000000004,4.2554,17.1655,-32.3271,10.792037778298255,15.199609690846472,0.000380813,0.0026253
57,9.237364738015436e-05,4.537427523009243e-05,60.68482585633987,3117.5038714279367,1000000000.0,0.5107025,0.0082363,1.3768,0.4965097,3.5089,17.7826,-31.2431,10.465499802742308,15.100899418202703,0.00041057299999999996,0.0027567
58,8.362113159795838e-05,4.6320695876892016e-05,58.37100699979106,3067.4689035718184,1000000000.0,0.5043904,0.0073841,1.412,0.49605710000000003,4.2757,17.2113,-32.4126,10.841108434429376,15.241853180388327,0.00037822219999999996,0.0026006000000000002
59,9.125901409675775e-05,4.436143626207379e-05,60.26884121341976,3149.6074015520057,1000000000.0,0.5110338,0.008086399999999999,1.3774,0.4964556,3.5844,17.792,-31.5837,10.537233060121093,15.15810069296036,0.000405775,0.0027210999999999997
60,8.286323471644048e-05,4.526343291165571e-05,58.09579729584241,3100.1575025201682,1000000000.0,0.5049238,0.0072804,1.4115,0.49602240000000003,4.2842,17.2386,-32.4825,10.898844551479048,15.255133428231865,0.0003747233,0.0025717
61,9.053313125160996e-05,4.3319815321812055e-05,59.976861235561934,3184.512976636158,1000000000.0,0.5116512,0.007978,1.3763,0.49642230000000004,3.5922,17.8249,-31.8143,10.592893212796167,15.174163159972702,0.0004023901,0.0026920000000000004
62,8.224587675238685e-05,4.423197817517377e-05,57.85977986915166,3135.4907435128075,1000000000.0,0.505543,0.007191,1.4104,0.4959957,4.2991,17.2754,-32.5332,10.950150918078466,15.285589343317532,0.000371752,0.0025456
