n,Io,W,Rb,Rd,fo,iip3,gain,s11,nf,FOM,PWR,gm
1,0.001304131605284,0.000148608542553,461.171122677941,538.325175068964,1000000000,-2.9081,19.937,-20.087,2.76752165842604,10.8293481604219,0.0046768,0.0213307
2,0.000326032901321,0.000184314927953,115.292780669485,134.581293767241,1000000000,-4.9039,3.5281,-27.6918,8.55505186810443,-10.6326783616509,0.0013659,0.0091121
4,0.000633849900183,0.000199982681178,88.6613772453009,412.155212162176,1000000000,-2.758,16.0298,-15.1271,5.31837505649073,5.4904230275129,0.002497,0.0148603
6,0.000995138646136,0.000128517677421,107.82685048108,1053.48188373065,1000000000,-2.776,22.6207,-16.9371,4.28369301652953,12.033173785993,0.0035931,0.0169257
7,0.000248784661534,0.000142967147924,111.77617120724,263.370470932662,1000000000,-4.3623,7.1255,-23.046,8.01884744655996,-4.78694896946423,0.0010659,0.0072008
8,0.000358529482521,0.000157340717897,59.9226225701598,460.898324132159,1000000000,-1.1382,13.9562,-15.1191,7.33971617649767,4.51635081462764,0.0015303,0.0099484
11,0.000383621589436,0.000101477991278,74.3334662594253,1509.26939800201,1000000000,-2.3517,20.5893,-21.9549,6.36465861678936,11.2568767112407,0.0014985,0.0085915
12,0.000481174055807,8.67428941505517E-05,66.3983197778664,1866.85565262005,1000000000,-2.3545,22.3548,-19.0454,6.53468258222606,12.0202865845994,0.0017931,0.0092939
13,0.000359372916971,8.14904461292507E-05,68.0101924834422,1344.93803177566,1000000000,-1.657,19.9245,-21.4635,6.85355119390648,10.8732196047175,0.0014271,0.0080089
14,0.000449055507449,8.1399424628421E-05,59.713610561412,1877.82076856316,1000000000,-1.8229,22.1907,-17.6684,6.98152563319988,12.0795814972262,0.0016896,0.0088078
15,0.000374899484291,7.74274361472703E-05,60.785382836881,1561.28348371832,1000000000,-1.2763,20.8194,-18.845,7.15711873521172,11.6466596753836,0.0014681,0.008026
16,0.000436173120157,7.64281843236597E-05,56.4721993258402,1972.16809856389,1000000000,-1.7181,22.2855,-17.0663,7.26653282763428,12.05658173988,0.0016394,0.0084751
17,0.000328636377871,7.43996423570252E-05,58.0680061470087,1517.92219595941,1000000000,-0.9465153,20.17,-18.611,7.53278912601453,11.3503694684521,0.0013133,0.0073855
18,0.000381755774783,7.56334437305052E-05,51.7600956881968,2023.70015562733,1000000000,-1.1878,21.9287,-16.0123,7.74518327243885,12.152493098054,0.0014596,0.007817
19,0.000343063506616,7.16589841480146E-05,51.8977408315702,1855.48111211592,1000000000,-0.7676834,21.2382,-16.4468,7.89704760908609,12.0637192978789,0.0013424,0.0073506
20,0.000357655954199,7.044983529215E-05,49.6539639265787,2098.71426704896,1000000000,-0.9621478,21.8599,-15.7051,8.05409906006544,12.2014953912027,0.0013745,0.007369
21,0.000321000508165,6.81465135215434E-05,49.6711233731766,1968.75398247098,1000000000,-0.5779162,21.2386,-16.0326,8.21098125989693,12.1547191007953,0.0012606,0.006937
22,0.00032489812492,6.75212156251161E-05,47.5683254352259,2186.97988847712,1000000000,-0.6823338,21.6805,-15.354,8.39944950725471,12.2710598034766,0.0012606,0.0068666
23,0.000297898327874,6.55389415921111E-05,47.0047370888651,2128.80801058373,1000000000,-0.3583546,21.2752,-15.3971,8.58659049030364,12.2819561218847,0.0011737,0.0065157
25,0.00023625531737,5.79533825313736E-05,47.2328289938955,2416.19996315337,1000000000,-0.0824389,20.9001,-16.5201,9.10459425172416,12.513816424328,0.0009481441,0.0054245
26,0.000221946310419,5.87139752653418E-05,43.7123970849162,2619.43931114919,1000000000,0.2784556,20.9553,-15.151,9.53174070621197,12.7055046368147,0.0008931765,0.0051899
28,0.000136524758524,5.72628486806857E-05,52.5008850610992,2756.5328729462,1000000000,1.7745,19.027,-21.9421,9.83829843043651,13.7630484404167,0.0005856083,0.0037828
30,0.000134866279188,2.79217553289262E-05,64.4925083433413,4314.77902151018,1000000000,-1.3623,21.074,-27.0292,9.96716582405939,12.8751665595447,0.0005408298,0.0029876
31,0.00011584845755,3.13671016405338E-05,57.4348410337629,4559.9151831939,1000000000,-0.2634483,20.7007,-31.5821,10.5549235663504,13.5150682173631,0.0004750437,0.0027964
32,8.79281051557015E-05,3.46826494626609E-05,50.0560661086297,4428.3505505874,1000000000,2.8768,19.365,-23.6114,11.5485716792199,15.2140300115199,0.0003796997,0.0024375
33,3.71118275757445E-05,3.98395434895394E-05,41.4359100334521,3572.82555546546,1000000000,-3.0155,13.8226,-17.8193,14.7844286738132,3.48890678593066,0.0001853763,0.0014321
34,6.49456982575529E-05,2.60332534049969E-05,47.282916993377,5875.96046679366,1000000000,3.5727,19.3499,-22.4338,12.8519981381215,15.7841731551457,0.0002829884,0.0018285
35,3.85007507222959E-05,2.34090030451672E-05,45.8785301723493,4727.53026270515,1000000000,-0.557871,15.8516,-22.1649,14.5475710447487,8.26363751047882,0.0001835555,0.0013062
36,6.73763137640178E-05,1.38206613226878E-05,53.5489311786452,8273.177959734,1000000000,-0.0929127,21.0292,-34.8493,13.1380504079951,13.6240927160193,0.0002748076,0.0015262
37,4.58210647897692E-05,1.70060764424487E-05,50.2093310102244,7787.48437714502,1000000000,3.6709,19.1909,-28.8615,13.9790494080847,16.01997577307,0.000201376,0.0012906
38,3.53015832691503E-05,1.24542637052662E-05,50.9211221178183,6981.62100075766,1000000000,3.9322,17.3962,-32.3872,14.9644136569527,14.4453435452495,0.0001606706,0.0010359
39,6.1777770721013E-05,3.11356592631655E-06,61.7575976004994,12217.8367513259,1000000000,-1.1004,19.8443,-21.7735,16.1914557418358,8.95376551923309,0.0002346572,0.0008038889
40,4.00176942170242E-05,4.27665913428467E-06,59.3725902614587,12428.8022161882,1000000000,-0.5096375,19.6151,-23.9068,15.9096038017272,11.1983723202059,0.000162567,0.0007590641
41,3.32602999783952E-05,6.19184658069674E-06,56.0026386355757,15985.1565253755,1000000000,-0.0227948,20.845,-28.4361,15.8527209775641,13.7213779622938,0.0001368501,0.0007473909
42,2.09479050676347E-05,8.1587455329954E-06,52.8383469037944,15160.2804239948,1000000000,2.4962,18.7761,-35.7313,16.7943458306143,14.8329632195454,9.41198E-05,0.0006140543
43,3.66588338683608E-05,2.29946846407283E-06,56.9264806529464,22169.5654816098,1000000000,-1.7331,20.976,-25.7787,18.0166683058408,9.86029553140294,0.000139157,0.0005281237
44,1.67645927805364E-05,3.03700832206499E-06,55.3357960565033,17422.9492241135,1000000000,3.3201,17.6622,-28.0077,18.6067388948723,13.7625557185327,7.36763E-05,0.000410585
45,4.1911481951341E-06,5.31476456361374E-06,50.3835710852498,17704.5171989705,1000000000,-6.3585,10.8484,-39.1004,23.1906577254791,-2.15694186016934,2.22693E-05,0.0001794015
46,7.33450934148468E-06,4.43937641936203E-06,50.2844368006072,30982.9050981984,1000000000,-1.9416,17.1913,-38.3454,20.8313264200487,9.01437555753172,3.49946E-05,0.0002494758
47,1.28353913475982E-05,2.16775245452946E-06,51.070958835383,51246.2991807429,1000000000,-0.7621545,21.7952,-38.5393,20.4509738232057,13.4966743682483,5.15789E-05,0.0002749595
48,7.05181942042316E-06,2.65387800793368E-06,50.1451108246444,39456.2857354394,1000000000,1.9126,18.3324,-38.5566,21.5131108523356,13.6528733666153,3.24323E-05,0.0002133263
49,1.23406839857405E-05,7.38968246146863E-07,51.296218252905,69048.500037019,1000000000,-1.7281,21.3832,-37.5127,22.9638684720434,10.0004235893602,4.69117E-05,0.0001819835
50,4.00772916650697E-06,9.41507099919828E-07,50.5620708228204,44470.3292093902,1000000000,4.5834,15.4173,-39.5987,24.4776751339241,12.7432634839835,1.90339E-05,0.00011743
55,5.28200301429659E-06,5.98155011065831E-07,48.1818261045606,78124.6904439733,1000000000,0.8913975,19.2959,-32.4619,24.6894728381166,11.965141689249,2.26332E-05,0.0001144443
56,4.07195017317936E-06,8.81057738298214E-07,47.6871913771794,99671.7358337042,1000000000,1.8402,20.1453,-30.9431,24.7531444470857,14.7316052288899,1.78456E-05,0.0001056367
57,4.56716112715235E-06,1.29611761382391E-06,71.0158963955113,63171.0484119832,1000000000,3.1743,18.5132,-15.4434,22.2644494792063,16.2544354283197,2.08664E-05,0.0001312982
60,8.98933786023856E-06,8.2760915194058E-07,44.6155819539639,74496.4415054798,1000000000,-0.3338708,21.2328,-24.229,23.5960533121225,11.7938965438293,3.57108E-05,0.000163345
61,5.70596361671956E-06,1.08881611385852E-06,45.0988509661917,73583.3390066159,1000000000,2.2188,20.0824,-25.0502,23.8332445214038,14.5684770313737,2.46461E-05,0.0001404751
62,2.81729015005084E-06,1.59194985324525E-06,45.1036346846269,68353.3721274472,1000000000,3.0401,16.7009,-25.1752,25.3445610275604,13.0088424485966,1.38048E-05,9.91556E-05
66,3.95307242392018E-06,5.55417036908912E-07,59.1969539554536,228001.951815769,1000000000,-5.0819,23.0625,-21.6526,25.2589990337236,10.9034269457617,1.52445E-05,7.91353E-05
69,1.51791053421847E-06,1.26107867810276E-06,38.1713528343262,54440.8367464329,1000000000,-5.268,11.9347,-17.3258,28.855418128994,-1.26050670972977,8.0862E-06,6.28876E-05
70,2.65634343488233E-06,1.63285691355385E-06,66.7998674600709,85558.0842160504,1000000000,-2.0111,17.4232,-17.0346,23.8942148768994,10.4430924714977,1.28604E-05,9.2912E-05
73,1.68768202078144E-06,6.38075200833105E-07,51.1436485241168,39839.808075025,1000000000,-4.3152,9.7063,-37.2471,28.1290758056466,-2.22640894168437,8.9025E-06,6.2589E-05
76,9.04492083012553E-06,4.65348038294975E-07,46.9533085302249,85752.7860614645,1000000000,-0.5929243,20.7258,-28.8709,24.8404089464411,9.87496334593801,3.49283E-05,0.0001318141
77,4.83174021188507E-06,5.98499533153435E-07,47.0071036461415,76316.2641643212,1000000000,1.6843,18.8598,-29.0676,24.9528385419025,12.3706248199571,2.10598E-05,0.0001098025
78,2.44623801476648E-06,9.19845708179573E-07,36.8965164348432,101253.073554563,1000000000,-4.5851,18.138,-16.3181,27.2348695669638,5.66765039566483,1.16375E-05,7.8484E-05
79,4.28091652584134E-06,1.15974163187989E-06,64.5689037609756,118591.516029408,1000000000,0.1764273,21.0779,-18.1393,23.222803825489,15.4349364778672,1.82697E-05,0.0001112747
80,1.76852962118415E-06,1.3049270854387E-06,54.2558673083526,83297.0834171212,1000000000,-3.4007,15.3688,-27.9725,26.2776149140408,6.14529620473888,9.027E-06,6.81596E-05
83,6.54481369575449E-06,7.91421817739562E-07,53.3327011051447,59008.211936945,1000000000,0.7898722,18.9049,-30.4722,23.2984723326131,11.9294504325583,2.8101E-05,0.0001432191
84,4.7930158346619E-06,1.21628918028838E-06,51.6056023524399,75441.1089001951,1000000000,3.4211,19.6067,-35.8831,23.5091439656405,16.2546898921839,2.12979E-05,0.0001299919
85,1.57824093202491E-06,1.472936362744E-06,50.176625576665,54701.7447391745,1000000000,-2.7833,12.1881,-39.7491,27.2963331601226,2.87506803868548,8.3975E-06,6.60242E-05
88,8.45838499507099E-06,1.48862376188907E-06,42.4671487330139,41555.8776502278,1000000000,3.333,18.8992,-21.2255,22.5914715030195,13.9951032259921,3.68944E-05,0.0002056005
89,3.33603978570693E-06,2.49165038528412E-06,42.7080515040833,42133.4652994906,1000000000,-3.0336,14.8599,-21.6653,24.7585336051222,4.81772828324502,1.68445E-05,0.0001262831
90,5.83806962498713E-06,1.61123803182395E-06,36.196735478433,73733.5642741086,1000000000,3.881,20.3736,-15.7324,24.3373755727266,15.8873940472424,2.53855E-05,0.0001555228
91,2.69145518409116E-06,1.79078064927506E-06,37.9336900666959,51883.9164222975,1000000000,4.3581,14.9292,-17.0848,26.3168168335847,11.6452155190591,1.36001E-05,0.0001008065
95,2.7014276841803E-06,5.85515275233602E-07,49.2685028523892,228722.683177544,1000000000,-6.7971,22.0249,-37.2264,26.5937050676612,8.13039701452085,1.12544E-05,6.6183E-05
99,3.94306958375196E-06,9.103710120996E-07,59.1268027403283,162944.091016035,1000000000,-1.8952,21.9632,-21.7806,24.3064224503541,13.680424955698,1.6208E-05,9.4762E-05
103,7.4923404524534E-06,9.62024456690807E-07,61.1297819203788,76448.4385106919,1000000000,-1.089,21.0498,-20.3608,22.2491991154602,12.8704287168555,3.06699E-05,0.0001558197
104,5.12588395443448E-06,1.27309065293349E-06,57.7270863903417,78102.5515429582,1000000000,2.1263,20.0564,-23.3035,22.8469434263707,15.8441294961404,2.24607E-05,0.0001357093
105,1.94113688616461E-06,1.64279056208273E-06,54.7723344730564,57888.3629009174,1000000000,2.9891,13.7284,-27.0976,25.9213036072043,10.7666000330611,1.00942E-05,7.7811E-05
108,1.37024753355214E-06,6.95904386658568E-07,41.9350685809338,159223.133104806,1000000000,-8.1537,17.7997,-20.9596,28.6239937303695,2.71336995393571,6.7836E-06,4.87718E-05
109,2.18955803103518E-06,7.43519954072043E-07,60.1723925508756,213016.475092943,1000000000,-6.9445,20.875,-20.8298,25.9316749302046,8.17077300953398,9.6364E-06,6.23052E-05
112,3.32746795252689E-06,9.74404001127835E-07,56.5618089653619,156202.693078373,1000000000,-2.3908,21.1924,-24.4582,24.7197683478865,12.5627781400067,1.42355E-05,8.82864E-05
115,4.78019691491187E-06,2.80642769801163E-06,54.4971949677989,54412.8289314837,1000000000,-1.8515,17.8671,-28.0525,22.3240738653519,10.1776396752271,2.25912E-05,0.0001601048
116,8.36534460109577E-06,1.11788590647662E-06,53.9461273125399,86720.236441659,1000000000,-1.6517,22.099,-29.0692,22.4299106056536,12.8435803197991,3.31032E-05,0.0001673459
117,4.22322377141294E-06,1.35886135635976E-06,52.4529785804158,63820.7511034128,1000000000,3.0141,18.2636,-32.8536,23.6002928345204,14.7861371548943,1.95446E-05,0.0001263292
118,7.39064159997265E-06,3.39715339089939E-07,57.4533212921694,109825.977981307,1000000000,-1.5889,20.8143,-23.4564,24.9952653972811,9.70089990836724,2.84643E-05,0.0001054118
119,3.22780652951149E-06,4.28972876325942E-07,55.12825663622,86857.9938666558,1000000000,-0.4856475,17.6412,-26.4915,25.625419711986,9.85323733032762,1.4753E-05,8.0766E-05
122,7.34914857011609E-06,1.21728838006003E-06,52.2146370413543,72067.989293058,1000000000,0.159943,20.9793,-33.8844,22.5050268942625,13.8033525593951,3.05867E-05,0.000166008
123,4.55803447584901E-06,1.62175182652513E-06,50.8610961972411,68067.7664589954,1000000000,2.6109,18.9694,-38.7167,23.3388964255077,15.0757326407935,2.0825E-05,0.0001359828
124,7.97656033273576E-06,4.05437956631283E-07,51.0141772382127,102544.416915594,1000000000,-1.2712,21.0346,-38.0831,24.9939746657002,9.91851247224021,3.06527E-05,0.0001163927
125,3.34113556704647E-06,5.12577522294052E-07,50.1990653598293,77957.7393357647,1000000000,0.4944121,17.3746,-39.8402,25.687581771133,10.3266562163625,1.53692E-05,8.67638E-05
128,6.95875723092749E-06,1.68449394766188E-06,38.4336594161193,68835.9272717587,1000000000,2.7109,20.7653,-17.4102,23.542464372952,15.2302377500742,2.96671E-05,0.0001757331
129,3.21331740673667E-06,2.12868590684448E-06,39.7678721152037,50885.0659717749,1000000000,-0.8595816,15.7421,-18.6204,25.2921932567261,7.56350463068718,1.59944E-05,0.0001176706
132,2.85220462042739E-06,1.40341924923321E-06,53.190040685495,82222.9668224138,1000000000,2.237,17.7249,-30.4983,24.6922892081885,13.9276776673982,1.36669E-05,9.56347E-05
135,7.05949701977559E-06,5.31661664618797E-07,40.1441777378943,150551.091689566,1000000000,-3.1632,22.8989,-19.0265,25.8600592005239,9.7144307483226,2.61366E-05,0.0001117276
136,1.7648742549439E-06,6.44419686836532E-07,38.9995003767465,37637.7729223915,1000000000,-5.0895,9.5456,-18.0192,29.2672863485021,-4.48353385957667,9.2843E-06,6.4823E-05
137,3.08852994615182E-06,9.09728028935179E-07,68.2491256593064,65866.1026141852,1000000000,1.8668,16.7008,-16.4198,23.9422728846904,12.9556699810458,1.47476E-05,9.54579E-05
140,4.27615932573598E-06,3.50818781876495E-07,52.2532368329065,73682.5913528092,1000000000,0.8856896,17.2211,-33.2072,25.7545548057217,9.58925998636198,1.89432E-05,8.99152E-05
141,2.88554828134645E-06,5.37509006652759E-07,44.2709225803209,108366.806134399,1000000000,-3.7241,18.847,-23.9416,26.5174499604128,7.42225561560484,1.3161E-05,7.75697E-05
145,4.6602133572529E-06,1.21404723324203E-06,55.8081853911807,58973.5509669282,1000000000,4.9228,18.1766,-25.7076,23.2056120073439,16.6234268292458,2.13362E-05,0.0001322792
146,4.01959809589364E-06,4.50156199011155E-07,54.515752664126,63613.7907924505,1000000000,1.8791,16.541,-27.638,25.2172332312045,10.6009898352022,1.82598E-05,9.46936E-05
147,1.64599323348559E-06,7.87773348269521E-07,44.0317893473844,86948.1776285639,1000000000,-6.3523,15.2906,-23.6248,27.8315796973593,1.88403332161235,8.375E-06,6.01465E-05
149,4.3797679904253E-06,1.14863246640774E-06,45.7704472038001,48783.8147341995,1000000000,4.7671,16.7119,-26.2547,24.3292444012491,14.0393007119921,2.05424E-05,0.000128662
150,7.66459398324428E-06,2.87158116601935E-07,59.3479566360309,85371.675784849,1000000000,-0.4187756,19.142,-21.6288,25.1689675820112,8.7509250840102,3.03149E-05,0.0001046148
151,0.001474632670142,0.000145239351098,527.09666380573,543.470816875064,2000000000,-9.5322,18.2719,-15.2509,2.77231615049415,5.02603218222685,0.0052647,0.0221873
152,0.000368658167535,0.000202256541868,131.774165951433,135.867704218766,2000000000,-5.5022,4.0753,-22.6322,7.91620728460131,-7.35807190556364,0.0015103,0.0099246
155,0.001025403591159,0.000104960159002,125.160762636425,663.700488979738,2000000000,-1.162,19.568,-16.4914,4.21946737851413,13.5045792284539,0.0037651,0.0167702
156,0.001532522319971,9.97309530333109E-05,129.839660259043,913.58995140434,2000000000,-11.981,20.3114,-15.3985,4.10182381729188,2.05457112676388,0.0053989,0.0192508
162,9.32292694871477E-05,5.84563777939649E-05,53.199273947003,1595.87404171705,2000000000,1.4589,12.6993,-23.6025,10.9414472515652,10.1760828479551,0.000438077,0.0031122
163,0.000163151221603,2.14323428309451E-05,88.2796415621958,2556.26258833909,2000000000,-2.1773,18.0696,-16.6378,9.00075007538667,12.3025874032012,0.000658189,0.0032553
164,0.000181725721797,2.57019180826213E-05,62.855646640586,3627.89919097947,2000000000,-1.4579,20.0244,-30.5804,9.60011564199579,13.9710975152362,0.0007095703,0.0035356
165,0.000166664486866,2.58690513776122E-05,57.9267062832612,3599.25337529061,2000000000,-0.8488827,19.6808,-28.9826,9.99939637262129,14.1023619680354,0.0006604046,0.0033913
166,0.000152403316705,2.64515960269045E-05,52.8738586386185,3681.63718623686,2000000000,-0.1829776,19.3922,-23.9118,10.4543922109969,14.3101688926089,0.0006116264,0.0032455
167,0.000132877247321,2.72459056417636E-05,47.9423021579989,3695.69024963483,2000000000,0.933754,18.8195,-20.1028,11.0383867698838,14.7148414631522,0.000545315,0.0030344
168,0.000102578750923,2.93811755328312E-05,42.2720269467539,3625.54482811375,2000000000,3.9241,17.5107,-16.7509,11.995160052329,16.2956100334631,0.000440322,0.0026708
170,7.1354694610125E-05,1.64703281601153E-05,60.6952412697009,4533.93601168866,2000000000,2.3005,17.2964,-27.561,12.1547599442694,15.8439565155596,0.0003077021,0.0017915
171,2.96162039989201E-05,2.38612126996705E-05,45.686973785457,4737.37963941311,2000000000,-3.5252,12.2461,-22.4248,15.4424970429035,4.77065824575555,0.0001460119,0.0010893
172,5.18283569981101E-05,1.07514569214695E-05,50.4323082941644,6806.09240394569,2000000000,3.0624,17.7906,-29.7229,14.2228341329343,16.3320384065504,0.0002226313,0.0012645
173,2.06368774430414E-05,1.5860567151531E-05,44.2041928629516,6664.91418206756,2000000000,-3.6974,12.3963,-21.7081,17.0702903935273,4.62939740391048,0.0001022262,0.0007601264
174,3.61145355253225E-05,7.49206333303216E-06,47.622046633726,9741.58858395762,2000000000,3.7098,17.8395,-26.2738,15.8840992133756,16.8606117793914,0.0001558978,0.0008877476
175,1.25232070150041E-05,1.06524692308419E-05,44.1673713445742,8954.17305861287,2000000000,-4.5574,11.4938,-22.4755,19.158646743202,2.81923748195589,6.3414E-05,0.0004812452
176,2.19156122762572E-05,5.7280953102624E-06,46.3804551316485,13582.94905788,2000000000,4.2236,17.1145,-25.4175,17.6558953164482,16.8774200727397,9.75043E-05,0.000590361
177,3.66520874002345E-05,1.4320238275656E-06,50.0639184763798,17566.4490635736,2000000000,0.9136898,17.9756,-38.0841,19.9772203000536,10.4719569704914,0.0001410682,0.0004350479
178,3.32873035836812E-05,1.99252961338896E-06,49.7963846265047,23066.4444317894,2000000000,-0.6848858,20.1805,-36.1007,19.0599695965496,12.4555371233111,0.0001271941,0.0004756122
179,2.02194261637294E-05,2.57534577078657E-06,49.5981804925588,21086.4049107608,2000000000,1.1994,18.6171,-35.4649,18.9873868662068,14.624723302203,8.45254E-05,0.0004223597
180,1.40583683566589E-05,3.863481326167E-06,48.3077566779284,24811.8109357593,2000000000,3.2524,17.6993,-30.8902,19.2536747886949,16.8379006596839,6.1977E-05,0.0003784355
181,2.30706318639636E-05,9.65870331541751E-07,50.3377641837928,29614.8861826358,2000000000,0.3829447,18.7431,-42.8648,21.5322775973252,11.1485193330035,8.88418E-05,0.000289248
