n,Io,W,Rb,Rd,fo,iip3,gain,s11,nf,FOM,PWR
1,0.0018150762337473688,8.260501458190253e-05,270.7884114823356,189.29987993091532,1000000000.0,2.2688,12.8859,-16.3027,4.390845437274732,4.558254508770073,0.0065614
3,0.0017424731843974739,7.930081399862643e-05,304.5897519253073,272.59182710051806,1000000000.0,1.9304,15.1966,-19.4243,3.9509074086148424,7.437473078598947,0.0062751000000000005
4,0.0020909678212769687,9.516097679835171e-05,243.67180154024584,327.1101925206217,1000000000.0,1.8385,17.5475,-15.7513,3.6155018077166625,9.496550355098726,0.0075044000000000005
6,0.00133821940561726,9.135453772641764e-05,233.92492947863602,314.02578481979685,1000000000.0,-0.0446266,15.9679,-19.3396,3.9591906008421534,7.32241160159318,0.0048682
7,0.001404945039084499,0.00010962544527170116,233.4232338803933,376.8309417837562,1000000000.0,0.0037299000000000004,17.8631,-17.7282,3.5544334969099722,9.768450027981546,0.0050942
8,0.0016859340469013988,0.0001315505343260414,236.22865563452115,452.19713014050745,1000000000.0,0.040391800000000005,19.8835,-15.6702,3.164134023523749,11.795542428985314,0.006061700000000001
10,0.0010789977900168952,0.00012628851295299975,226.7795094091403,434.10924493488716,1000000000.0,-1.8329,18.0092,-20.364,3.5677765936308505,9.16535503472437,0.0039441
11,0.0012947973480202741,0.0001515462155435997,223.7793545412984,520.9310939218647,1000000000.0,-0.9699681000000001,20.0738,-17.021,3.180963356484524,12.058156471337686,0.0046890000000000005
13,0.0012453360893259012,0.0001454843669218557,273.44354797589,750.1407752474852,1000000000.0,-3.3058,21.4949,-18.9419,2.9567665804889485,11.797842182739991,0.0044658
14,0.0009962688714607209,0.00017458124030622684,218.754838380712,600.1126201979881,1000000000.0,-2.5541,19.8338,-18.981,3.292412771226649,11.12418006221824,0.0036379000000000003
15,0.001195522645752865,0.00013966499224498147,223.5477747417935,720.1351442375858,1000000000.0,-1.9992,21.326,-19.106,3.1710976857207287,12.666072669943958,0.004310100000000001
16,0.0009564181166022921,0.00016759799069397777,178.8382197934348,576.1081153900686,1000000000.0,-2.4289,19.499,-18.6065,3.576844910794476,10.538885219415844,0.0035185
17,0.0011477017399227506,0.0001464605631235213,183.31657744694755,691.3297384680824,1000000000.0,-1.5533,21.1129,-18.0219,3.3773518346353164,12.662242434376463,0.0041608999999999995
18,0.0013772420879073007,0.00017575267574822554,194.1762898497186,829.5956861616988,1000000000.0,-5.6944,22.1305,-15.5291,3.090730592962894,9.361200948495908,0.0049153
