n,Io,W,Rb,Rd,fo,Vg,Vs,Vd,Vth,iip3,gain,s11,nf,FOM,PWR,gm
1,0.00058,0.000183,375.5,158.0,1000000000.0,0.6871946000000001,0.23264230000000002,1.2021,0.4337515,-7.2432,7.8367,-25.1626,5.161603293352504,-4.919544545020804,0.0015593999999999998,0.014420500000000001
2,0.00087,0.00020910861289292527,260.1701120873395,237.0,1000000000.0,0.7082659,0.2377645,1.0834,0.43449990000000005,-4.5967,13.6582,-19.4395,3.7493265495952484,4.038098925430795,0.002319,0.020703199999999998
3,0.001305,0.000237096524342687,222.39150112085295,355.5,1000000000.0,0.7924205,0.291688,0.8337283,0.4422172,-1.8312,17.9883,-15.3949,2.9746193728070702,10.91192431231032,0.0034016000000000003,0.028743300000000003
133,1.1993166461360192e-06,1.7985977125590858e-06,61.02125452899728,11837.997933216691,1000000000.0,0.3810174,0.00017591749999999997,1.2659,0.39577249999999997,-17.1874,8.205,-20.6077,21.53301311956351,-7.732874245304735,5.3065e-06,6.9176e-05
134,1.7989749692040288e-06,2.0302359803210053e-06,58.74111208069735,17756.996899825037,1000000000.0,0.3920427,0.00024026429999999998,1.2274,0.3961696,-14.0963,14.1974,-22.7729,18.0965681419212,3.232357214291252,7.656e-06,9.66817e-05
135,2.698462453806043e-06,2.217861216900751e-06,64.30955149655028,26635.495349737554,1000000000.0,0.4045829,0.00036117880000000003,1.1504,0.3967678,-9.7212,19.4469,-18.8275,15.213978677496904,14.30680852025614,1.08085e-05,0.0001304489
136,1.3492312269030215e-06,2.874007730091109e-06,38.32024270871042,13317.747674868777,1000000000.0,0.3670111,0.0001253049,1.2565,0.3960523,-15.179,10.3703,-17.2426,22.068326671477596,-4.634881307693586,6.0046999999999994e-06,7.99928e-05
137,2.023846840354532e-06,3.325886711063608e-06,46.70802648491553,19976.621512303165,1000000000.0,0.3768433,0.00021563599999999998,1.2078,0.3964894,-12.1085,16.1877,-27.334,17.796986154512915,6.99337733969238,8.632899999999998e-06,0.00011158569999999999
138,3.035770260531798e-06,3.4903280639160315e-06,60.23932897647018,29964.932268454748,1000000000.0,0.3908087,0.0003760412,1.1129,0.39713889999999996,-12.4533,21.0269,-21.7163,14.631618810552908,13.279879041562511,1.20621e-05,0.00014822559999999997
139,1.517885130265899e-06,4.262341032872812e-06,55.08354677711802,14982.466134227374,1000000000.0,0.3561122,0.0002024911,1.2449,0.396438,-16.0681,12.3389,-27.5298,19.12052205475454,-1.0907330797497856,6.7523e-06,9.121769999999999e-05
140,2.2768276953988485e-06,4.793579464884236e-06,59.31016640764335,22473.699201341064,1000000000.0,0.36693570000000003,0.0003049977,1.1844,0.39688,-10.6531,17.8591,-22.4544,15.806110204429665,11.672327710129748,9.6453e-06,0.0001260186
142,2.6286268600412706e-06,3.76098834757483e-06,38.30567943967054,30592.597169401728,1000000000.0,0.3820484,0.00021431209999999998,1.1288,0.3968083,-8.2447,20.4793,-17.1013,16.997148062221655,15.034896640550274,1.0690899999999998e-05,0.00013439169999999998
144,1.9714701450309532e-06,4.605573854818472e-06,38.495682902835156,22944.447877051294,1000000000.0,0.36292630000000003,0.00017531559999999999,1.1955,0.3965745,-11.2053,17.1517,-17.2924,18.326968465276632,8.398403511391864,8.4827e-06,0.00011209959999999999
145,2.95720521754643e-06,4.0233348307044904e-06,56.02751582064536,34416.67181557694,1000000000.0,0.3840191,0.0003391884,1.0916,0.3971845,-12.9334,21.6623,-26.4153,14.894669196513417,13.290141866009211,1.1714199999999999e-05,0.00014516990000000001
146,1.478602608773215e-06,4.800196682778248e-06,46.4107237111858,23239.01665636234,1000000000.0,0.3504913,0.0001647041,1.2175,0.39649290000000004,-13.9973,15.428,-27.0051,18.883111324552864,4.450867658714472,6.536199999999999e-06,8.8659e-05
147,2.2179039131598225e-06,4.451634268283794e-06,52.695572684600656,34858.52498454351,1000000000.0,0.3688261,0.0002540602,1.1319,0.3969262,-9.5804,20.2952,-33.5908,16.05684933277888,15.152293451315789,9.151e-06,0.0001178942
148,1.1089519565799112e-06,4.267655595231803e-06,40.66191631818591,17429.262492271755,1000000000.0,0.3442563,0.0001126536,1.2517,0.3962288,-15.5627,11.3646,-19.3402,21.923621604858386,-3.1209775110417333,5.0434e-06,6.967789999999999e-05
149,1.6634279348698668e-06,4.674252020999263e-06,47.06081984995264,26143.893738407634,1000000000.0,0.3559398,0.0001832906,1.1982,0.39658620000000006,-12.5011,16.9481,-28.3088,18.03409069701871,7.8933061790310415,7.2251e-06,9.669589999999999e-05
150,2.4951419023048004e-06,3.733332149365297e-06,60.389218725317534,39215.84060761145,1000000000.0,0.38040769999999996,0.0003124365,1.0971,0.39709490000000003,-12.8297,21.4888,-21.392,15.221360133656937,13.583562222725545,9.9694e-06,0.0001246585
