n,Io,W,Rb,Rd,fo,iip3,gain,s11,nf,FOM,PWR
1,0.00029,0.00014149436397184055,187.75,301.05955145648414,999999999.9999999,-6.9749,8.9363,-16.1262,6.107816261825606,-2.23945052944525,0.0008538339999999999
2,0.0004438156997009309,0.0001481468417727947,133.95162552260769,526.8542150488472,999999999.9999999,-5.0746,15.5982,-27.1205,4.662143463015845,6.658073173287202,0.0012647
3,0.0006325110472899691,0.00015421887015041913,116.13582687509512,823.7389186249588,999999999.9999999,-4.0315,19.323,-24.1547,4.219676218126807,10.81996457857044,0.0017050000000000001
4,0.0007688624248965468,0.00015473258145542762,117.93629658367706,956.68063512975,999999999.9999999,-3.8234,20.0614,-22.1574,4.106193732260656,11.258561520130893,0.0019995
5,0.0006029323448337672,0.00015074195849998752,122.38711303031009,683.3253625631512,999999999.9999999,-4.149,18.3947,-25.2892,4.203890125927318,9.939890788612185,0.0016508
6,0.0007974099446502293,0.0001546500824682153,119.80281995194436,909.4537325788085,999999999.9999999,-3.6525,20.0114,-22.36,4.032779115201485,11.34003966587177,0.0020746000000000002
7,0.0006472304928031234,0.00015150618291458198,124.42803080842147,678.7121183348613,999999999.9999999,-3.9809,18.6061,-24.65,4.10079761993074,10.212379616595989,0.0017585
8,0.0008527911829734293,0.0001553000684313594,123.4997555774277,888.330998508439,999999999.9999999,-3.5705,20.0203,-22.1097,3.938149717688586,11.321802234291134,0.002206
9,0.0004896288937749809,0.00015282917565260167,126.49525099405984,500.68842840031704,999999999.9999999,-4.7057,15.8185,-27.824,4.605974244589924,6.9270048878839035,0.0013886
10,0.0006979727035301127,0.0001593209333877629,112.10401652426661,778.9937968927038,999999999.9999999,-3.6521,19.4138,-22.8068,4.173209894196561,10.961909433866513,0.0018709
11,0.0008412665885002865,0.00015974207989870144,115.45152975051315,891.8114977754301,999999999.9999999,-3.4895,20.045,-21.9355,4.04614570466255,11.297550347630295,0.0021809
12,0.0005688449619303714,0.00015635014148457875,119.86034656304905,567.124375970124,999999999.9999999,-4.2154,17.2647,-24.7121,4.366848325481377,8.661405045479357,0.0015846
13,0.0007867240026296757,0.00016201177904666395,112.78935002692114,824.4095661109299,999999999.9999999,-3.4021,19.8279,-22.0531,4.081967186834641,11.333672446288768,0.0020709
