n,Io,W,Rb,Rd,fo,iip3,gain,s11,nf,FOM,PWR
1,0.0002900000000000001,0.00014638583443654283,187.75,297.35770318447305,999999999.9999999,-6.9905,8.8607,-16.1883,6.1204862388091685,-2.3493306453159746,0.0008542087999999999
2,0.00048284024225316306,0.00015469023440051367,120.2594990289875,520.3759805728279,999999999.9999999,-4.5797,16.0269,-27.238,4.66500573005405,7.21828142143499,0.0013737
3,0.0007268908648929586,0.00016240665102126563,103.53599990215749,868.3127563284861,999999999.9999999,-3.5298,19.8398,-21.908,4.301089909113811,11.179344684554113,0.0019258
4,0.0008009321920071721,0.00015901944218498095,110.06688815666155,859.8188356459797,999999999.9999999,-3.3767,19.947,-21.9951,4.133642055685685,11.339709019138745,0.0020968000000000002
5,0.0007613982715464675,0.00015546420479018423,117.23402500238392,726.6825751711253,999999999.9999999,-3.3974,19.3776,-22.4046,4.027274697591282,11.06675258447406,0.0020291000000000003
6,0.0009712199692726284,0.00015732107013083734,122.32147474477362,871.4632745391441,999999999.9999999,-3.85,20.0226,-21.51,3.889161807178163,10.616000530431918,0.0024815
7,0.00024280499231815712,0.00016052293086321964,110.69424781855561,217.86581863478602,999999999.9999999,-4.2779,6.0288,-25.4909,7.852795726760568,-4.192914978730229,0.0007706753
9,0.0003257926873913788,0.00017306812944423267,66.52965897562106,658.34378335775,999999999.9999999,-2.621,16.0437,-18.5326,6.25970575443006,8.318613658960158,0.0010039
10,0.00039147930061946007,0.0001774368553817541,54.036038793998515,971.28249354306,999999999.9999999,-2.7052,18.7511,-15.0309,6.433514629233158,10.127708769075404,0.0011494
11,0.0003670967297714928,0.00016358446643477683,54.33729446109952,1089.5796983249336,999999999.9999999,-2.9177,18.9674,-15.8143,6.561894021375377,10.259931141994018,0.0010742
12,0.00038332450268849255,0.00015994492188207656,55.09818327068225,1169.5534957630334,999999999.9999999,-3.1466,19.3274,-16.1897,6.5084665770116725,10.344412600081368,0.0011031
13,0.0003931221848161178,0.00015452815726846376,57.088751656158415,1187.6995628212696,999999999.9999999,-3.2874,19.4388,-16.8711,6.395893163163498,10.385583340571042,0.0011223000000000001
14,0.00040417621191840466,0.00014944903140766243,59.3637133351675,1196.673012002158,999999999.9999999,-3.4124,19.5281,-17.6261,6.2691854483066916,10.42691193116749,0.0011453
15,0.0004173161704737314,0.00014476416142613672,61.85073184220966,1201.621433840548,999999999.9999999,-3.5257,19.6131,-18.4358,6.133945695511036,10.471246883715285,0.0011734
16,0.0004329359854530662,0.00014046947696327492,64.58649212388653,1201.3973418984438,999999999.9999999,-3.6225,19.6903,-19.2917,5.98859424342253,10.519004497253862,0.0012079
17,0.0004514296138141016,0.0001365374799080799,67.5968786737677,1197.1618136561756,999999999.9999999,-3.7055,19.7668,-20.1975,5.835104403834981,10.572898464856527,0.0012492
18,0.00047243981231274025,0.00013294746656217644,70.92399146628432,1186.766122464241,999999999.9999999,-3.7687,19.8318,-21.1304,5.673662550830427,10.631850558533237,0.0012969
19,0.0004963570605525467,0.00012967461100807856,74.5828439802255,1170.9122226611134,999999999.9999999,-3.8091,19.8855,-22.0485,5.5054582324074754,10.697133465451333,0.0013519
20,0.0005228334862929261,0.00012673351515691937,78.58686683614528,1148.616532888972,999999999.9999999,-3.8261,19.9251,-22.9003,5.332978284404616,10.767876732592606,0.0014136
21,0.000551698061628735,0.00012416669974977686,82.97437588117536,1120.747268581496,999999999.9999999,-3.82,19.9486,-23.6282,5.157293519190924,10.843727526734996,0.0014817
22,0.0005824945575750656,0.00012202651551439925,87.72305394896857,1086.584281147888,999999999.9999999,-3.7911,19.9541,-24.1747,4.9812360854216795,10.923212920377411,0.0015553
23,0.0006144979247516091,0.00012036229171184363,92.79933187974075,1048.8575071597743,999999999.9999999,-3.7441,19.9433,-24.531,4.808691423110652,11.003472407347378,0.0016328
24,0.0006474328292694534,0.00011922899407385655,98.1833018294985,1008.3243272570538,999999999.9999999,-3.6818,19.918,-24.7234,4.641309154981165,11.083654267885917,0.0017134000000000001
25,0.0006808797041223097,0.00011866341439097196,103.8224304217479,967.3576494523315,999999999.9999999,-3.6108,19.885,-24.795,4.482383002326017,11.162102684510955,0.0017958000000000002
26,0.0007131056128158319,0.00011868893167011195,109.71094477060804,925.8485599896092,999999999.9999999,-3.5362,19.8383,-24.8087,4.33253367187252,11.235077894096763,0.0018761000000000001
27,0.0007471540822504046,0.00011931677742488476,115.70188824614547,889.9881428479831,999999999.9999999,-3.457,19.8024,-24.7395,4.193748023549525,11.309675954953276,0.0019603
