n,Io,W,Rb,Rd,fo,Vg,Vs,Vd,Vth,iip3,gain,s11,nf,FOM,PWR,gm
1,3.8876571350785954e-06,0.00021672507121320964,61.11629532952942,1460.2744672307706,1000000000.0,0.2464585,0.0006817907,1.2837,0.39771870000000004,-19.0465,0.8909654,-22.3991,17.504355215743413,-18.49502194551432,1.95568e-05,0.00030285479999999997
2,5.831485702617893e-06,0.00021234854328625665,72.2693876642778,2116.414856383694,1000000000.0,0.2614905,0.0011285000000000002,1.267,0.3986902,-18.6092,5.4178,-17.0794,13.169081830826865,-10.598765965080698,2.78795e-05,0.00042116269999999996
3,8.747228553926838e-06,0.0001999523013304693,83.19936135941532,2867.221048807188,1000000000.0,0.2782613,0.0017820000000000002,1.2386,0.4000638,-46.457,6.6677,-13.9091,11.405755110621818,-36.80351834500754,3.92158e-05,0.0005729923
4,1.3120842830890257e-05,0.000204169947545626,124.79904203912298,2955.125826103274,1000000000.0,0.2932904,0.0037474,1.2113,0.40050490000000005,-22.1062,3.5173,-8.3247,14.087754016340712,-19.9929483418903,5.6093499999999994e-05,0.0007969692
5,1.9681264246335388e-05,0.0001998674603111526,110.91205675164778,3578.00106013337,1000000000.0,0.30927210000000005,0.0046427,1.1502,0.40064940000000004,-15.7444,6.7925,-9.8256,12.017106804074572,-9.718165903091139,8.000289999999999e-05,0.0010989
6,2.9521896369503082e-05,0.00018518583244462255,55.45602837582389,3676.645184756127,1000000000.0,0.32602159999999997,0.0033051,1.0809,0.40045890000000006,-21.8764,10.1482,-31.3912,12.371494777044262,-14.479800639284822,0.00011585749999999999,0.0015400000000000001
7,4.428284455425462e-05,0.00017510834560475132,83.18404256373583,3535.8350181357696,1000000000.0,0.3454738,0.0066584,1.017,0.4009712,-6.3037,12.5812,-15.3407,9.830284685446914,4.8389807905486775,0.00016162489999999998,0.0020381
8,6.274732132524187e-05,0.00015699779460524854,102.42134859443117,3722.605011204971,1000000000.0,0.36577319999999997,0.0102758,0.9264751,0.4015216,-1.46,14.8788,-12.4925,8.472693287534563,12.348632298274092,0.00021199879999999997,0.0025122
9,6.691917312229652e-05,0.0001648655988106011,51.21067429721558,3166.371190602596,1000000000.0,0.3629248,0.0058028,0.9412584,0.4008564,-4.7578,15.0651,-23.5977,10.2681684667704,6.770209999751334,0.00023429859999999999,0.0028277000000000003
10,0.00010037875968344477,0.00015196263102382985,72.50938890171545,3215.9618410881358,1000000000.0,0.38595,0.010609500000000001,0.8294349,0.401586,-3.4306,17.082,-21.5116,8.352534830308327,10.92385241023377,0.00032070870000000003,0.0035802
11,9.116422683204426e-05,0.0001483355216048729,69.5481757435442,2997.7667276862835,1000000000.0,0.38210320000000003,0.0096967,0.8820045000000001,0.4014434,-2.0716,16.6459,-23.0346,8.613645229014818,11.835779450659672,0.0002997654,0.0034214000000000002
12,7.911540271373746e-05,0.00014644371909365006,65.16354776616261,2785.2239029508146,1000000000.0,0.3758037,0.008373799999999999,0.9421193,0.4012387,0.1904235,15.8998,-25.8775,9.089978280938595,13.259708195048368,0.0002699033,0.0031702
13,7.57027692469054e-05,0.00014145054377423435,63.583143169632784,2656.2610379415296,1000000000.0,0.37506079999999997,0.0079842,0.9664826000000001,0.4011778,0.40503449999999996,15.6624,-27.2358,9.279844124791587,13.155766329668705,0.0002616566,0.0030983
14,9.11344810893174e-05,0.00013196824249279006,70.46313108824928,2719.138070949135,1000000000.0,0.38672280000000003,0.0099678,0.9153646,0.40148,-1.7972,16.7067,-22.6506,8.583903353244443,12.167843557404366,0.00030237490000000004,0.0034517000000000003
15,7.869896811213344e-05,0.00013134305685872844,65.60953338577167,2548.0509411069597,1000000000.0,0.379811,0.008493,0.97017,0.4012536,0.6224254,15.8762,-25.7278,9.12083418423919,13.62190742662483,0.00027058929999999995,0.0031775
16,7.724767696611301e-05,0.0001266664068741371,64.65364830430919,2462.907684700691,1000000000.0,0.38030590000000003,0.0082994,0.9838347000000001,0.4012234,0.8596718,15.7482,-26.6001,9.229509366320919,13.660677566741494,0.00026729809999999994,0.0031478
17,8.57434884777594e-05,0.00012011354822371792,68.03039537868207,2479.2781500180536,1000000000.0,0.3873587,0.0093603,0.9589112000000001,0.40138490000000004,-0.3598266,16.3337,-24.236,8.846394875897918,13.105419620106488,0.0002903346,0.0033499
18,7.074346449863312e-05,0.00011982602971694421,61.701817346736085,2297.517129787385,1000000000.0,0.37835230000000003,0.0075065,1.0204,0.4011012,-0.6254734999999999,15.1604,-29.4391,9.648921993254229,11.402889135285182,0.00025012149999999997,0.0029862
19,0.00010611519674794967,0.00011225282071033773,79.99353940152722,2612.485742638194,1000000000.0,0.4013621,0.0125082,0.8915768000000001,0.40186140000000004,-3.6925,17.4704,-18.7483,7.980833988145402,11.219707182463559,0.00034122289999999995,0.0037587000000000002
20,9.928875865475364e-05,0.00011160617661106261,76.7459349997658,2535.2501655312076,1000000000.0,0.3979933,0.0115503,0.9184821,0.40171589999999996,-2.8778,17.1198,-19.8438,8.217988602171575,11.618386831789875,0.00032472590000000003,0.0036274000000000002
21,9.034668060193505e-05,0.0001113847795737549,72.74578433624804,2446.082747193139,1000000000.0,0.3931889,0.01034,0.9523309000000001,0.401532,-1.4642,16.6045,-21.4672,8.566588204496702,12.42082883293297,0.0003022302,0.0034399
22,7.72152886996546e-05,0.00011167574287482963,67.032510241676,2316.424652244102,1000000000.0,0.38539100000000004,0.008621700000000001,1.0021,0.4012702,1.233,15.6865,-24.6539,9.190929715599058,14.011513793755807,0.00026758319999999996,0.0031346
23,8.067487357952929e-05,0.00010699771608085228,68.0442651509056,2299.796415084111,1000000000.0,0.3891213,0.009025,0.9949406000000001,0.4013317,0.9295073,15.9126,-24.0836,9.0546493729531,13.934458904591615,0.00027730239999999997,0.003219
24,6.878472326372937e-05,0.0001053121987518008,62.36745810419509,2155.3854466151665,1000000000.0,0.3821945,0.0074506,1.0426,0.4010917,-1.0623,14.8847,-28.8726,9.787188883737306,10.630345933593613,0.0002447227,0.0029172
25,0.00010317708489559406,0.00010086268599493905,81.91492058901075,2542.280134016787,1000000000.0,0.4044568,0.012556900000000001,0.9103329,0.4018676,-3.5788,17.387,-17.9893,8.012607347134153,11.312851469581776,0.0003334091,0.0036687
26,9.631628496001297e-05,0.00010071996383320953,78.19316589656914,2484.6790961028355,1000000000.0,0.40075580000000005,0.0115013,0.934486,0.401708,-2.7144,17.0339,-19.116,8.274755874572845,11.741577352670195,0.00031642540000000004,0.0035309
27,8.698601511116222e-05,0.00010091594928910042,73.63455674770677,2407.1239965064915,1000000000.0,0.3954009,0.010165200000000001,0.9677174000000001,0.4015055,-1.0917,16.4807,-20.8078,8.667060900366522,12.694492326003287,0.0002925448,0.0033295
28,7.257461718616097e-05,0.00010133334773399404,66.97115273467335,2263.8640517149333,1000000000.0,0.3864229,0.0082216,1.0221,0.4012097,1.0575,15.3904,-24.3667,9.416301641281052,13.511823157516039,0.0002539409,0.0029855000000000003
