n,Io,W,Rb,Rd,fo,Vg,Vs,Vd,Vth,iip3,gain,s11,nf,FOM,PWR,gm
1,5.916523368592419e-05,3.087385631530427e-05,62.5,1250.0,6000000000.0,0.5053728,0.0062462,1.6751,0.49387580000000003,-2.0567,6.1066,-24.4668,12.986059402404972,4.4998727206170095,0.0002863864,0.0020099000000000002
2,7.395654210740524e-05,2.432626523014563e-05,78.125,1562.5,6000000000.0,0.5291520000000001,0.0089772,1.6205,0.4948265,1.8868,8.7073,-17.4148,11.47262799659594,11.909708294092786,0.0003399579,0.0021741
3,9.244567763425654e-05,1.8244698922609224e-05,97.65625,1953.125,6000000000.0,0.5583146000000001,0.0127784,1.5444,0.4961248,-0.7860264,11.1943,-13.3086,10.398878894243628,12.16478023043875,0.00040193529999999996,0.0022682
4,0.00011555709704282067,2.280587365326153e-05,73.2421875,2441.40625,6000000000.0,0.5578512,0.011559100000000001,1.4148,0.4968091,-0.1183437,12.334,-20.6819,10.146658289164815,13.371726528567866,0.0004920809,0.0027549000000000002
5,8.97285245196023e-05,2.0805451416054112e-05,54.931640625,2646.182619308884,6000000000.0,0.545092,0.007108100000000001,1.4576,0.4952203,3.4434,11.6363,-26.8752,11.807989634208745,15.389812508405454,0.00039443,0.0023146
6,6.729639338970173e-05,1.9962157106582795e-05,41.19873046875,2728.454016645175,6000000000.0,0.5301817,0.0042679,1.5174,0.4940088,2.8547,10.4256,-16.7222,13.791258553699775,12.576018397039263,0.00030759849999999997,0.001924
7,8.412049173712716e-05,1.4971617829937096e-05,51.4984130859375,3410.567520806469,6000000000.0,0.5576519,0.0060275,1.4008,0.4949506,2.7944,12.8947,-25.4313,12.623814644432482,15.502660296980554,0.00036209519999999995,0.0019834
8,0.00010135193138562969,1.8714522287421368e-05,64.37301635742188,3771.5119834964034,6000000000.0,0.5587217000000001,0.0086424,1.2936,0.49660250000000006,0.3508693,13.0333,-24.815,11.032633549917277,14.215081040118976,0.00042409269999999996,0.0023214999999999998
9,7.601394853922226e-05,1.6834646329619706e-05,48.279762268066406,3418.5404517287757,6000000000.0,0.5456051,0.005278,1.4262,0.49470870000000006,4.3166,12.0225,-22.1325,12.928888005384039,16.186520284596956,0.00033360270000000003,0.0019366000000000001
10,9.501743567402782e-05,2.104330791202463e-05,60.34970283508301,3801.326556731098,6000000000.0,0.5484347,0.007780400000000001,1.31,0.49636070000000004,1.4435,12.2162,-27.4148,11.226888489824972,14.50074057752948,0.00040308769999999997,0.0023116
11,7.126307675552087e-05,1.8476549948442523e-05,45.262277126312256,3038.6722542143275,6000000000.0,0.5372506,0.0048099,1.4771,0.4943463,4.1162,11.1798,-19.5425,13.274513566568992,14.966829402409248,0.00031955549999999997,0.0019331
12,8.90788459444011e-05,1.3857412461331892e-05,56.57784640789032,3798.3403177679093,6000000000.0,0.5656991,0.006773100000000001,1.3453,0.49542050000000004,1.3027,13.5706,-30.1078,12.247792448792296,14.924023336695685,0.0003758248,0.0019753
13,6.680913445830082e-05,1.5477837167713636e-05,45.20102390733254,3829.887164798714,6000000000.0,0.5423972,0.0043911,1.4279,0.4943575,4.6228,11.8724,-19.9681,13.614248910133444,16.15566058962712,0.0002951204,0.0017342
14,8.351141807287602e-05,1.3652347726658608e-05,56.501279884165676,4787.358955998392,6000000000.0,0.5625633,0.0062258,1.2725,0.49571740000000003,1.1558,13.6334,-30.1769,12.386041599096293,15.018872571270563,0.0003486616,0.0018501000000000001
15,6.263356355465702e-05,1.3884475632799117e-05,45.65392822890326,4101.847678552609,6000000000.0,0.5442753,0.0041484,1.4273,0.494162,4.6942,12.0577,-20.6823,13.881418586485815,16.419592663365158,0.0002763007,0.0016073
16,7.829195444332128e-05,1.3578783985589328e-05,57.067410286129075,4977.947127149645,6000000000.0,0.5590510000000001,0.0059498,1.281,0.4955789,1.4381,13.3926,-29.9963,12.488046058747425,15.209635515859146,0.0003285944,0.0017733000000000002
17,5.871896583249096e-05,1.4121973677151398e-05,45.190395019781775,4157.375351466458,6000000000.0,0.5399238000000001,0.0039051999999999997,1.4408,0.49402870000000004,4.2422,11.6927,-20.3899,14.059664157936824,15.660253759927894,0.00026124439999999997,0.0015515000000000001
18,7.33987072906137e-05,1.0591480257863548e-05,56.487993774727215,5196.719189333072,6000000000.0,0.5682551,0.005483200000000001,1.2955,0.494991,1.1448,14.0367,-30.8514,13.093113195230693,15.219228360871476,0.00030683999999999996,0.0015757000000000002
19,9.174838411326712e-05,1.3239350322329435e-05,70.60999221840902,5167.241988072891,6000000000.0,0.5715802999999999,0.0081862,1.201,0.4966861,-0.8291033,14.1982,-19.8099,11.485024881713208,14.258858056737616,0.00037383089999999994,0.0019034
20,7.465417381345201e-05,1.18157765490717e-05,57.57718177969218,4620.414034219497,6000000000.0,0.5635479,0.0057967,1.3349,0.494996,1.5166,13.5862,-29.8029,12.797255617771825,15.329997088965968,0.0003155972,0.0016677999999999999
21,9.094469693223319e-05,1.4769720686339626e-05,71.97147722461523,4669.490827146879,6000000000.0,0.5653165,0.0084718,1.2504,0.4965834,-0.5354255000000001,13.6482,-19.377,11.246608770454607,14.239438572854503,0.00037558199999999996,0.0019825
22,6.83849090680145e-05,1.3368464481473603e-05,54.95839919885226,4088.5611077234953,6000000000.0,0.5518155,0.005306600000000001,1.4052,0.4945788,3.2976,12.584,-30.5565,12.983101187703598,16.178147562896495,0.0002968974,0.0016690000000000001
23,8.528130426569208e-05,1.6710580601842002e-05,68.69799899856532,4304.5539599980775,6000000000.0,0.5546332,0.007866399999999999,1.307,0.4961879,0.5750426,12.7832,-21.0646,11.337594608835314,14.575254919859834,0.00035961799999999997,0.0020023
24,6.396097819926907e-05,1.5579153702508394e-05,51.523499248924,3692.568676365022,6000000000.0,0.5402319,0.0048433,1.4528,0.49433130000000003,3.9506,11.554,-26.5697,13.197440087424637,15.763488265912265,0.000284336,0.0016929
25,7.995122274908633e-05,1.1684365276881295e-05,64.404374061155,4615.710845456278,6000000000.0,0.5689921000000001,0.0068085,1.312,0.4954097,0.4084389,13.9087,-23.0842,12.275728869529054,14.847943530056664,0.0003342006,0.0017223
26,5.9963417061814746e-05,1.2749366395749098e-05,51.50589754180119,4618.947043608802,6000000000.0,0.5465523,0.004418,1.4038,0.4942747,4.0986,12.3096,-27.7309,13.593152773167834,16.60223480958524,0.00026232979999999995,0.0015077
27,7.495427132726843e-05,1.5936707994686374e-05,64.38237192725148,4991.905039855118,6000000000.0,0.5490567,0.006536800000000001,1.2932,0.4958551,1.4858,12.4726,-23.2904,11.903823159703679,15.105869213518798,0.00031767439999999997,0.0018051999999999999
28,5.621570349545132e-05,1.5054844593939063e-05,48.28677894543861,3854.6388928416845,6000000000.0,0.5347507,0.004080599999999999,1.4742,0.4939409,3.0409,11.1027,-23.3963,13.837225107186324,14.23480133090269,0.00025330279999999996,0.0015452999999999999
29,7.026962936931415e-05,1.1291133445454296e-05,60.358473681798266,4818.298616052106,6000000000.0,0.562566,0.0057432,1.3416,0.49486860000000005,1.4423,13.5154,-26.3297,12.824537296424836,15.408763068388765,0.0002977609,0.0015812
30,8.54805670706347e-05,1.411391680681787e-05,75.44809210224783,4920.82292592675,6000000000.0,0.5642298,0.008372600000000001,1.2539,0.4964785,-0.6548454,13.5809,-17.7223,11.291980373529714,14.26542367923225,0.0003536153,0.0018757
31,6.411042530297603e-05,1.2840687104447296e-05,56.586069076685874,4342.134027975286,6000000000.0,0.5503180999999999,0.0051402999999999996,1.4056,0.4944753,3.3509,12.5029,-30.3749,13.073572382987644,16.326521111545507,0.0002789124,0.0015781
