Iteration No,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
1,0.8504707041351935,0.2492282355363198,0.0,0,0.2736976285988737,0.32754484000000006,0.0,0,
2,0.9332414563754037,0.320935018408703,0.0,0,0.2908063579667006,0.32150008,0.0,0,
3,0.8672697338528508,0.26044172421209755,0.0,0,0.2795945296407532,0.32723348,0.0,0,
4,0.8076668182654777,0.20556511787547205,0.0,0,0.26937388039000565,0.33272782,0.0,0,
5,0.7549039182689941,0.15690837389917522,0.0,0,0.2600504643698188,0.33794508,0.0,0,
6,1.0672974758779386,0.11456100709810801,0.3583753509133665,0,0.251574337866464,0.34278678,0.0,0,
7,0.780271389913091,0.18823532801174903,0.0,0,0.25578066190134197,0.3362554,0.0,0,
8,0.7198801721514831,0.13101525788145807,0.0,0,0.24712665427002514,0.34173826,0.0,0,
9,0.6650007800728445,0.07873080869068705,0.0,0,0.23929361138215746,0.34697636,0.0,0,
10,0.6158157659762806,0.03169697908515445,0.0,0,0.23218812689112617,0.35193066,0.0,0,
11,0.5823927104064621,0.0,0.0,0,0.22585093040646212,0.35654178,0.0,0,
12,0.5811236785401364,0.0,0.0,0,0.22385093854013638,0.35727274,0.0,0,
13,2.466192785673529,1.7136705767508547,0.0,0,0.39022900892267415,0.36229320000000004,0.0,0,
14,2.374283427356323,1.6364810499398115,0.0,0,0.3682147574165118,0.36958762,0.0,0,
15,2.288970782815623,1.563367355916641,0.0,0,0.3489778068989822,0.37662562,0.0,0,
16,2.208509713042032,1.4931536591325814,0.0,0,0.33197349390945075,0.38338256000000004,0.0,0,
17,2.1337025960809046,1.4266627276062998,0.0,0,0.31707582847460475,0.38996404,0.0,0,
18,2.0630062554789506,1.3628322289804655,0.0,0,0.3038273264984852,0.3963467,0.0,0,
19,1.9953395272603847,1.3008435435137793,0.0,0,0.29192044374660553,0.40257554,0.0,0,
20,1.9309046622391326,1.2410269323176777,0.0,0,0.28130092992145483,0.4085768,0.0,0,
21,1.86985297340621,1.1835009330048618,0.0,0,0.27193832040134813,0.41441372,0.0,0,
22,1.8108727685202497,1.1272496045042413,0.0,0,0.2634945640160085,0.4201286,0.0,0,
23,1.754541936596783,1.0729241418939721,0.0,0,0.2559885947028109,0.4256292,0.0,0,
24,1.6998201674458457,1.0196322828250208,0.0,0,0.24912628462082478,0.4310616,0.0,0,
25,1.6465089025983226,0.9672198164515744,0.0,0,0.2428726861467482,0.43641640000000004,0.0,0,
26,1.5949378026277061,0.9160654328439275,0.0,0,0.23723816978377865,0.44163420000000003,0.0,0,
27,1.5441208899961243,0.8653037887332116,0.0,0,0.2320223012629127,0.44679479999999994,0.0,0,
28,1.4951187280065403,0.8159041164878928,0.0,0,0.2273704115186475,0.45184420000000003,0.0,0,
29,1.4471495578518838,0.7672398774548226,0.0,0,0.22307028039706128,0.4568394,0.0,0,
30,1.40033603933104,0.7193771790259786,0.0,0,0.21917946030506147,0.46177939999999995,0.0,0,
