Iteration No,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,
1,0.0009613675,0.0006763567,22.00617411570944,11.609819807437773,11646496.140377104,7.642185771593242,-5.6606487061427515,0.01912503,0.002464034,3.0,0.01236942,0.001976773,3.0,
2,0.0009523306,0.0006551698,21.432519852730376,11.534068027885082,11646496.140377104,7.744838147800204,-6.997874772103991,0.01890754,0.002397169,3.0,0.01199341,0.001947476,3.0,
3,0.0009635103,0.0006726571,21.91646620630322,11.676774144996159,11646496.140377104,7.677567177844519,-6.273718189645251,0.01910458,0.002438591,3.0,0.01228603,0.001955014,3.0,
4,0.0009743436,0.0006892955,22.355479056996224,11.810736527687178,11646496.140377104,7.616243282340034,-5.564757507232159,0.01929597,0.002480115,3.0,0.01255664,0.001964698,3.0,
5,0.0009848239,0.0007049015,22.744733008806598,11.936103275222436,11646496.140377104,7.560302786218913,-5.760084322719585,0.01948045,0.002521548,3.0,0.01280727,0.001974665,3.0,
6,0.0009948767,0.0007190572,23.083511943215136,12.054710480766078,11646496.140377104,7.509446027198784,-13.583753509133665,0.01965881,0.002561149,3.0,0.01303147,0.001985095,3.0,
7,0.001003176,0.000678101,22.494117375906008,12.100633422182593,11646496.140377104,7.534683971408052,-7.18783073288364,0.01980596,0.002589587,3.0,0.01234472,0.00198539,3.0,
8,0.001012637,0.0006960543,22.951877936948335,12.207970377152613,11646496.140377104,7.482759925620151,-6.227174001079547,0.01997144,0.002630611,3.0,0.01263133,0.002006513,3.0,
9,0.001021704,0.0007131778,23.370153530474504,12.30740949728509,11646496.140377104,7.435761668292945,-5.043744423243126,0.02012946,0.002671327,3.0,0.01289692,0.00202943,3.0,
10,0.001030311,0.0007293423,23.746424167318764,12.402091201430075,11646496.140377104,7.393128761346757,-4.7070269213649,0.02028119,0.002709878,3.0,0.01314466,0.002053349,3.0,
11,0.001038499,0.0007442099,24.067469927052365,12.485805682984875,11646496.140377104,7.355105582438773,-6.09195004879102,0.0204203,0.002749021,3.0,0.01337354,0.002077807,3.0,
12,0.001041656,0.0007447077,24.097315476352925,12.51063758301335,11646496.140377104,7.343105631240818,-6.24643494747275,0.02047465,0.002765761,3.0,0.0133845,0.002078075,3.0,
13,0.001044774,0.000766692,10.290635385993163,12.544943749821638,59323926.644253075,8.341374053536045,-4.329787269148042,0.0205282,0.002782572,3.0,0.0137784,0.001973925,3.0,
14,0.001051887,0.0007960511,10.908151600481508,12.62902515886617,59323926.644253075,8.20928854449907,-3.564404875691878,0.02064792,0.002821905,3.0,0.01422484,0.001968306,3.0,
15,0.0010584,0.0008247281,11.493061152666872,12.704458081369008,59323926.644253075,8.093866841393893,-2.7299210454640033,0.02075699,0.002859816,3.0,0.01465664,0.001963107,3.0,
16,0.001064295,0.0008526178,12.05477072693935,12.773959217372896,59323926.644253075,7.9918409634567045,-1.690098888310807,0.02085761,0.002894294,3.0,0.01507993,0.001959149,3.0,
17,0.001069633,0.0008801872,12.586698179149602,12.83429767581315,59323926.644253075,7.902454970847629,-0.6520388171335725,0.02094396,0.00292848,3.0,0.01548857,0.001955489,3.0,
18,0.001074437,0.0009072965,13.097342168156276,12.88852940418681,59323926.644253075,7.822963958990911,-5.513830029804019,0.02102485,0.002961658,3.0,0.0158878,0.001952884,3.0,
19,0.001078676,0.0009342017,13.593251651889766,12.93677626085525,59323926.644253075,7.751522662479633,-5.665952500650818,0.02109618,0.002992748,3.0,0.01628796,0.001950245,3.0,
20,0.001082336,0.000960548,14.071784541458578,12.983828460585107,59323926.644253075,7.687805579528729,-5.804040430704028,0.02116039,0.003019553,3.0,0.01667192,0.001950026,3.0,
21,0.00108546,0.0009866086,14.531992535961106,13.022685572249891,59323926.644253075,7.631629922408089,-5.931197616822672,0.02120931,0.003045049,3.0,0.0170501,0.001950974,3.0,
22,0.001088079,0.001012564,14.98200316396607,13.057553746143887,59323926.644253075,7.580967384096051,-6.069991775689445,0.02124997,0.003068039,3.0,0.01743019,0.001951971,3.0,
23,0.001090251,0.001037895,15.416606864848223,13.089537944601767,59323926.644253075,7.535931568216865,-6.18884374908788,0.02128591,0.003089098,3.0,0.01779471,0.001956173,3.0,
24,0.001091984,0.001063324,15.842941737399833,13.11879217742752,59323926.644253075,7.494757707724949,-6.321098261218083,0.0213149,0.003107655,3.0,0.01816037,0.001960395,3.0,
25,0.001093313,0.001088769,16.262241468387405,13.145559181520731,59323926.644253075,7.457236116880489,-6.468899154042695,0.02133754,0.003123685,3.0,0.01852851,0.001964329,3.0,
26,0.001094279,0.001113892,16.67147653724858,13.170564963912286,35210770.16582692,7.423429018702672,-6.604645411867651,0.02135452,0.003137343,3.0,0.01888819,0.001970615,3.0,
27,0.001094896,0.001139078,17.077569690134307,13.196274807901684,35210770.16582692,7.392133807577476,-6.7522741609278825,0.02136866,0.003146605,3.0,0.01925054,0.001976513,3.0,
28,0.001095244,0.001163977,17.472767068096857,13.21823026409152,35210770.16582692,7.364222469111885,-9.181228400671557,0.02137355,0.003155412,3.0,0.01960591,0.001984671,3.0,
29,0.001095387,0.00118881,17.86208098036142,13.239129003186406,35210770.16582692,7.338421682382368,-9.204613340002233,0.02137949,0.003163368,3.0,0.01995981,0.001993633,3.0,
30,0.001095187,0.00121371,18.24498256779217,13.258841454299134,35210770.16582692,7.315076761830369,-9.250542485311598,0.02137999,0.003169316,3.0,0.02031486,0.002002134,3.0,
