Iteration No,Rb,Rd1,Rd2,Rbias1,Rbias2,Rbias3,Rbias4,C1,C2,C3,C4,Cload,len1,len2,W1,W2,W3,Ibias1,Ibias2,frf,frf_fund2,flo,f_lower,f_upper,Alo,Temp,
1,347.8152428883326,261.7228064842117,316.2315008463898,1000,10542.6257806746,18748.061193512025,17016.796177287688,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2613419557321423e-11,6.000000000000001e-08,6.33075757467245e-08,0.0001600267696308654,6.939541848042625e-05,3.7892348852585697e-05,0.00103084542694147,0.0011409255900024318,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4941840563518728,27,
2,333.568302598524,259.2574491246229,307.21152839295377,1000,10542.6257806746,17939.241421002513,16415.73552820317,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2118069986205862e-11,6.000000000000001e-08,6.11680046825239e-08,0.000154549270443655,6.718613336736156e-05,3.6544947489960535e-05,0.0010144664347106114,0.0011060523323445106,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4621707586018934,27,
3,333.24530396584817,267.22492006219437,310.632444513465,1000,10542.6257806746,17854.922415705827,16491.200983009167,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2116722266140015e-11,6.000000000000001e-08,6.15607396777695e-08,0.00015542757264072138,6.764978606869271e-05,3.668612076315225e-05,0.0010390214277607682,0.00111600250238277,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4676434868201188,27,
4,332.89763983038705,275.0344420510455,314.0049835310867,1000,10542.6257806746,17777.35400948798,16561.18843605253,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2115453383751459e-11,6.000000000000001e-08,6.19420130292273e-08,0.0001562974605128062,6.814824152759678e-05,3.681934478037657e-05,0.0010629029280155933,0.0011256481837559076,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.47289220194345444,27,
5,330.35806709910463,278.5395134570263,317.3293446429908,1000,10542.6257806746,17706.200107264656,16625.46310342205,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2114242083033096e-11,6.000000000000001e-08,6.231624357755706e-08,0.00015695316174586154,6.860572059709416e-05,3.6946874176422075e-05,0.0010860370178737955,0.0011349247792597865,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4778752702368992,27,
6,327.0073706291903,275.59961810573134,320.5999230992533,1000,10542.6257806746,17642.71266107322,16678.883921977762,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.211306789534708e-11,6.000000000000001e-08,6.261804407089676e-08,0.00015688012879045533,6.880154599863052e-05,3.703118482105697e-05,0.0010931506640774248,0.0011425804325738617,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4802070791934987,27,
7,326.68730512057846,279.1570013156845,323.8162765249156,1000,10542.6257806746,17582.48217628863,16733.573250316385,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2111870981397601e-11,6.000000000000001e-08,6.29841273919924e-08,0.0001577360222774484,6.926085836142291e-05,3.7151351133341035e-05,0.0011044059351499392,0.0011514086336802455,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.48477638239846826,27,
8,323.1138831357183,275.8986757072833,326.9409138902723,1000,10542.6257806746,17551.878561485668,16761.080137844245,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2111887720214074e-11,6.000000000000001e-08,6.329852300968171e-08,0.00015748546768936804,6.938063816802507e-05,3.719585558633865e-05,0.0011098074194496872,0.0011574641162695883,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4861357441159931,27,
9,322.37701230418736,277.5735658316713,330.00520883923787,1000,10542.6257806746,17525.073249134795,16785.072916035137,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2111882687242873e-11,6.000000000000001e-08,6.368759827467326e-08,0.00015764000247452394,6.96203278319486e-05,3.7237549214002526e-05,0.0011136319581619898,0.0011633975638538766,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4872825004307767,27,
10,321.6410549876092,278.5002148819716,332.9999237467873,1000,10542.6257806746,17502.50461559402,16804.91353682389,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2111859192940433e-11,6.000000000000001e-08,6.407694655355389e-08,0.0001577935879889668,6.985834032460292e-05,3.7277059682023886e-05,0.0011174013636196703,0.0011690995928319737,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4881990729599301,27,
