Iteration No,Rb,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,Rd1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,Rd2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,Rbias3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,Rbias4,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,Cload,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,len2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,Ibias1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,Ibias2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,W3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,
1,Rb,1.8994508291195458e-05,0.0001588490022975887,0.0,0.0,-3.514057066530635e-05,-0.0001047139233410909,0.0,0.0,0.0,Rd1,-0.00309909896091746,-0.0006834469249516912,0.0,0.0,-0.0023713658337830125,-4.4286202182761536e-05,0.0,0.0,0.0,Rd2,-0.0008665949202000419,-0.0008418126847978325,0.0,0.0,-7.326509861007017e-06,-1.745572554120233e-05,0.0,0.0,0.0,Rbias3,1.729186593995015e-06,3.2302923272052636e-06,0.0,0.0,1.98842515440128e-06,-3.4895308876117498e-06,0.0,0.0,0.0,Rbias4,-1.7405542673199484e-06,-3.484577596823473e-06,0.0,0.0,-2.121753438333554e-06,3.865776767837078e-06,0.0,0.0,0.0,Cload,208677261.5562948,901926.0703660899,0.0,0.0,207775335.48592868,0.0,0.0,0.0,0.0,len2,-859495.258538986,-2249511.1689887573,0.0,0.0,202994.3193436673,1187021.5911059938,0.0,0.0,0.0,Ibias1,-472.5038829801494,-111.05074690043918,0.0,0.0,-497.2258279611851,135.77269188146664,0.0,0.0,0.0,Ibias2,-92.97363384676308,-134.36141664013277,0.0,0.0,-54.9192041331679,96.30698692653515,0.0,0.0,0.0,W1,-837.5463319168924,-127.9833356350609,0.0,0.0,-745.4429139287827,35.87991764690757,0.0,0.0,0.0,W2,-2500.095258408996,-1175.4656693810382,0.0,0.0,-1352.431878252669,27.80228922471125,0.0,0.0,0.0,W3,-2333.4612177259073,-841.5937925098062,0.0,0.0,-1620.8143357952213,128.9469105790836,0.0,0.0,0.0,Alo,-0.546208858858163,-0.21071198909356745,0.0,0.0,-0.33549686976460963,0.0,0.0,0.0,0.0,
2,Rb,0.0028435175842573437,0.001259543437555527,0.0,0.0,0.0016846367850302994,-0.00010066263832848082,0.0,0.0,0.0,Rd1,0.0008543664016476846,0.0008181523117949414,0.0,0.0,8.162855013486739e-05,-4.5414460282110944e-05,0.0,0.0,0.0,Rd2,0.002237338819225016,0.00036608655203622826,0.0,0.0,0.00188885329676716,-1.7601029578361143e-05,0.0,0.0,0.0,Rbias3,5.4003018070116487e-05,2.3723169400108923e-05,0.0,0.0,3.380479982724329e-05,-3.5249511572358384e-06,0.0,0.0,0.0,Rbias4,5.571696671758865e-05,1.8817117173533056e-05,0.0,0.0,3.307515779115872e-05,3.824691752896834e-06,0.0,0.0,0.0,Cload,77837004908.61784,30257995350.112938,0.0,0.0,47579009558.505066,0.0,0.0,0.0,0.0,len2,14546302.53609918,3750907.0727926204,0.0,0.0,9595223.144215208,1200172.3190913512,0.0,0.0,0.0,Ibias1,522.4297453655604,269.0553400981943,0.0,0.0,116.28110659571128,137.09329867165215,0.0,0.0,0.0,Ibias2,766.6985519365421,199.08762829096574,0.0,0.0,470.670333506161,96.94059013941724,0.0,0.0,0.0,W1,5384.987024154326,2301.759395796694,0.0,0.0,3045.571428623669,37.656199733944966,0.0,0.0,0.0,W2,11548.061040065802,4217.135600381993,0.0,0.0,7251.986510861813,78.93892882197666,0.0,0.0,0.0,W3,23596.178851919347,9233.084687009685,0.0,0.0,14227.235603593566,135.85856131607886,0.0,0.0,0.0,Alo,1.5055492527201595,0.5794417016035083,0.0,0.0,0.9261075511166527,0.0,0.0,0.0,0.0,
3,Rb,-2.4139484408127817e-05,0.00016051981886767636,0.0,0.0,-8.794747619665108e-05,-9.671182707916975e-05,0.0,0.0,0.0,Rd1,-0.0030096076593141914,-0.0006604617550380121,0.0,0.0,-0.002302991010596543,-4.615489367964191e-05,0.0,0.0,0.0,Rd2,-0.0009239640876808678,-0.0008897430833108948,0.0,0.0,-1.642219314500933e-05,-1.7798811224977223e-05,0.0,0.0,0.0,Rbias3,4.004983705541252e-06,4.158437844598553e-06,0.0,0.0,2.391803986881904e-06,-2.545258125939824e-06,0.0,0.0,0.0,Rbias4,-3.065993049816798e-06,-4.473892130799848e-06,0.0,0.0,-2.5272276691412203e-06,3.935126750124016e-06,0.0,0.0,0.0,Cload,229441931.72780976,965731.5971503785,0.0,0.0,228476200.13008678,0.0,0.0,0.0,0.0,len2,-1174713.4723517438,-2538832.765882183,0.0,0.0,-85331.2886844004,1449450.582214794,0.0,0.0,0.0,Ibias1,-455.32791296169034,-108.19143292240385,0.0,0.0,-488.3003422432196,141.16386220393036,0.0,0.0,0.0,Ibias2,-108.6122079780088,-144.5648538992972,0.0,0.0,-58.773432525571806,94.72607844685895,0.0,0.0,0.0,W1,-891.7854364822265,-137.47500469044266,0.0,0.0,-781.8097528031433,27.499321011350464,0.0,0.0,0.0,W2,-2252.24219734523,-1202.770280691722,0.0,0.0,-1365.1025228091753,315.63060615566735,0.0,0.0,0.0,W3,-2204.165062891126,-982.6322775063545,0.0,0.0,-1660.006530747394,438.4737453624707,0.0,0.0,0.0,Alo,-0.6405292417106533,-0.27184607917389175,0.0,0.0,-0.36868316253676153,0.0,0.0,0.0,0.0,
4,Rb,-2.0202241094347253e-05,0.00016421025991893233,0.0,0.0,-8.59444967848952e-05,-9.846800422839894e-05,0.0,0.0,0.0,Rd1,-0.0027814291569106483,-0.0006172137220494628,0.0,0.0,-0.002116862066780669,-4.735336808052994e-05,0.0,0.0,0.0,Rd2,-0.000891681508259253,-0.0008667109353509454,0.0,0.0,-7.0716055010175706e-06,-1.789896740730793e-05,0.0,0.0,0.0,Rbias3,2.764911129008113e-06,3.922687888579757e-06,0.0,0.0,2.1601878118055444e-06,-3.317964571377382e-06,0.0,0.0,0.0,Rbias4,-2.4938253396434137e-06,-4.166574320511122e-06,0.0,0.0,-2.2670489796897956e-06,3.939797960557419e-06,0.0,0.0,0.0,Cload,216068308.32138196,-2252314.0380607583,0.0,0.0,218320622.35927093,0.0,0.0,0.0,0.0,len2,-1356615.3637197048,-2500029.3284894316,0.0,0.0,-15149.112498723878,1158563.0772684058,0.0,0.0,0.0,Ibias1,-413.40937669327093,-98.43569417851486,0.0,0.0,-454.59929188515764,139.62560937040027,0.0,0.0,0.0,Ibias2,-98.06663242650059,-140.10658149822777,0.0,0.0,-53.510015890112605,95.5499649618404,0.0,0.0,0.0,W1,-872.2553103079509,-133.21041866068916,0.0,0.0,-767.006468387867,27.96157674060518,0.0,0.0,0.0,W2,-2638.387850956337,-1287.8079290633314,0.0,0.0,-1435.1034707804217,84.52354888739559,0.0,0.0,0.0,W3,-2037.2933264150124,-944.9089023867143,0.0,0.0,-1529.7705435254222,437.3861194971051,0.0,0.0,0.0,Alo,-0.6000165513608028,-0.2533189660088059,0.0,0.0,-0.34669758535199685,0.0,0.0,0.0,0.0,
5,Rb,0.0004726775404907014,0.0001680820588063242,0.0,0.0,-8.38202088940964e-05,-0.00010022299952922919,0.0,0.0004886386901077038,0.0,Rd1,-0.0012069432088659944,-0.0005765179150886646,0.0,0.0,-0.0019489946965603117,-4.8532103472061034e-05,0.0,0.0013671015062550443,0.0,Rd2,-0.0008608851641798532,-0.0008414136660147757,0.0,0.0,-1.4845224919912967e-06,-1.7986975673089545e-05,0.0,0.0,0.0,Rbias3,1.952290547339067e-06,3.6436979227982894e-06,0.0,0.0,1.9849552578729457e-06,-3.6763626333321876e-06,0.0,0.0,0.0,Rbias4,-1.917135919113156e-06,-3.815946373639911e-06,0.0,0.0,-2.042694121189189e-06,3.941504575716091e-06,0.0,0.0,0.0,Cload,206306371.89061892,-2135399.0449182694,0.0,0.0,208441770.93573764,0.0,0.0,0.0,0.0,len2,-1262869.500063818,-2473017.4768778663,0.0,0.0,34596.9018815019,1175551.074932608,0.0,0.0,0.0,Ibias1,-373.81135095920763,-88.71260515802314,0.0,0.0,-423.21107584629135,138.11233004510913,0.0,0.0,0.0,Ibias2,-86.65039615410572,-134.84845992590158,0.0,0.0,-48.181961146830325,96.38002491862555,0.0,0.0,0.0,W1,-636.4424594246445,-82.71035914771264,0.0,0.0,-699.2196421648017,34.58789402118118,0.0,110.89964786669236,0.0,W2,-2429.658762325328,-1178.7328547633767,0.0,0.0,-1283.9128188835637,32.98691132167816,0.0,0.0,0.0,W3,-1915.658729005002,-912.8497461971663,0.0,0.0,-1438.9384168262407,436.1294340184709,0.0,0.0,0.0,Alo,-0.5570735556464363,-0.23075576901919964,0.0,0.0,-0.3263177866272345,0.0,0.0,0.0,0.0,
6,Rb,0.0006648710348501367,0.00017243003648326354,0.0,0.0,-7.284462733767449e-05,-0.00010267646949823896,0.0,0.0006679620952027893,0.0,Rd1,0.0008972766185449272,-0.0005531286927162246,0.0,0.0,-8.639639664460573e-05,-5.004675935197922e-05,0.0,0.0015868484672577447,0.0,Rd2,-0.0008300535737125983,-0.0008118011219209786,0.0,0.0,1.9242724059825333e-06,-1.8075857454827812e-05,0.0,-2.1008667427689826e-06,0.0,Rbias3,1.351850431566166e-06,3.296538856930407e-06,0.0,0.0,1.8414053117006334e-06,-3.7107905480545287e-06,0.0,-7.530318901022569e-08,0.0,Rbias4,-8.851374684695256e-07,-3.424366368032903e-06,0.0,0.0,-1.4474670651956415e-06,3.946596831127773e-06,0.0,4.0099133631223266e-08,0.0,Cload,200025347.72027236,-2061859.0051639522,0.0,0.0,202087206.72518438,0.0,0.0,0.0,0.0,len2,-752583.4523378039,-2454111.453538484,0.0,0.0,72557.32669289103,1190347.7446883828,0.0,438622.9298194221,0.0,Ibias1,-13.712597007069707,-81.35472630083446,0.0,0.0,-22.158370193441442,137.06715107320508,0.0,-47.26665158599355,0.0,Ibias2,-51.481738982641986,-129.14784630972824,0.0,0.0,-21.203881284118353,97.10775728403776,0.0,1.7622313271719636,0.0,W1,103.04298301754372,-154.8377073995788,0.0,0.0,-153.3247882243651,28.925826976037857,0.0,382.27965166547074,0.0,W2,-1007.8312854664819,-1165.5128357320286,0.0,0.0,-350.7697328500624,32.30051343704916,0.0,476.15076967860307,0.0,W3,-1108.9047425082708,-874.6906947603134,0.0,0.0,-651.335487027097,435.1653653629784,0.0,-18.043926083754453,0.0,Alo,-0.2552724000221564,-0.20491446818379408,0.0,0.0,-0.05035793183836232,0.0,0.0,0.0,0.0,
7,Rb,-2.9328731689004315e-05,0.00017337988922443764,0.0,0.0,-9.855194721379671e-05,-0.00010415667369964185,0.0,0.0,0.0,Rd1,-0.0012216811567500139,-0.0005598462148553192,0.0,0.0,-0.0006110366131588753,-5.079832873582548e-05,0.0,0.0,0.0,Rd2,-0.0008004537408563512,-0.0007848204534224744,0.0,0.0,2.5139408740987768e-06,-1.8147228307976556e-05,0.0,0.0,0.0,Rbias3,1.0988978901790839e-06,3.0059917134505813e-06,0.0,0.0,1.8315602752865446e-06,-3.7386540985580728e-06,0.0,0.0,0.0,Rbias4,-9.66125960070246e-07,-3.049977856315642e-06,0.0,0.0,-1.8648535631895689e-06,3.948705459434948e-06,0.0,0.0,0.0,Cload,203936346.25404412,1799232.3582197942,0.0,0.0,202137113.8959156,0.0,0.0,0.0,0.0,len2,-1131291.810265948,-2443577.627980421,0.0,0.0,109469.58291277918,1202816.2348016847,0.0,0.0,0.0,Ibias1,-98.19724831671387,-81.41872195440057,0.0,0.0,-154.05146131190395,137.27293494959036,0.0,0.0,0.0,Ibias2,-71.3557365017887,-123.95619602491706,0.0,0.0,-45.10294657190577,97.70340609503025,0.0,0.0,0.0,W1,-840.2141832866923,-156.20001972252695,0.0,0.0,-713.2084282254175,29.194264661243214,0.0,0.0,0.0,W2,-2394.154693600377,-1153.4095840115485,0.0,0.0,-1272.3723058736064,31.627196284745416,0.0,0.0,0.0,W3,-1756.1166261925746,-840.3290299531772,0.0,0.0,-1350.3942683662656,434.6066721268605,0.0,0.0,0.0,Alo,-0.49537361361145194,-0.18184095233449576,0.0,0.0,-0.31353266127695495,0.0,0.0,0.0,0.0,
8,Rb,0.0007320115955505787,0.00017588346583046377,0.0,0.0,0.0,-0.0001050545872522531,0.0,0.0006611827169723703,0.0,Rd1,0.0009938509671744622,-0.0005404349889292493,0.0,0.0,0.0,-5.144058695399726e-05,0.0,0.0015857265430577105,0.0,Rd2,-0.0007631962073114425,-0.0007449759990398991,0.0,0.0,0.0,-1.8220208271536978e-05,0.0,0.0,0.0,Rbias3,-1.2952463045719043e-06,2.512786372233608e-06,0.0,0.0,0.0,-3.770116149435757e-06,0.0,-3.7916527369734354e-08,0.0,Rbias4,1.4987021202639581e-06,-2.495702760679116e-06,0.0,0.0,0.0,3.954564814706062e-06,0.0,3.984006623715882e-08,0.0,Cload,-2852609.238986905,-2852609.238815035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,len2,-765837.4976831427,-2436459.46267133,0.0,0.0,0.0,1215480.8389032073,0.0,455141.12608497456,0.0,Ibias1,25.867968517872065,-76.90825085409939,0.0,0.0,0.0,136.58021493657483,0.0,-33.803995564602495,0.0,Ibias2,-15.827461921510931,-115.92745824654936,0.0,0.0,0.0,98.36299354296663,0.0,1.7370027820744978,0.0,W1,281.0458874421286,-153.98473529864927,0.0,0.0,0.0,29.289441519444853,0.0,405.74118122132285,0.0,W2,-593.2503463188774,-1124.7578606292134,0.0,0.0,0.0,30.984311352452185,0.0,500.5232029578413,0.0,W3,-372.316785508987,-788.1652772068065,0.0,0.0,0.0,433.79310599397803,0.0,-17.9446142960551,0.0,Alo,-0.14460793912687933,-0.14460793912687933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9,Rb,7.004726686587756e-05,0.0001764493801590126,0.0,0.0,0.0,-0.0001064021132931458,0.0,0.0,0.0,Rd1,-0.0006022746493087658,-0.0005500815753004094,0.0,0.0,0.0,-5.2193074008356355e-05,0.0,0.0,0.0,Rd2,-0.0007349023715668214,-0.0007166911298805279,0.0,0.0,0.0,-1.8211241686304158e-05,0.0,0.0,0.0,Rbias3,-1.6126980991449392e-06,2.175272502810381e-06,0.0,0.0,0.0,-3.7879706019553993e-06,0.0,0.0,0.0,Rbias4,1.8239609742252908e-06,-2.1350917511524294e-06,0.0,0.0,0.0,3.959052725377637e-06,0.0,0.0,0.0,Cload,857710.6085164932,857710.6082300436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,len2,-1202347.2071358971,-2427652.2586952313,0.0,0.0,0.0,1225305.0515592797,0.0,0.0,0.0,Ibias1,59.25964480445687,-77.62896968627412,0.0,0.0,0.0,136.88861449072974,0.0,0.0,0.0,Ibias2,-11.903771726293671,-110.72152200665204,0.0,0.0,0.0,98.81775028035837,0.0,0.0,0.0,W1,-126.30749215024842,-155.77052812483942,0.0,0.0,0.0,29.463035974582183,0.0,0.0,0.0,W2,-1164.8730341143116,-1244.8377064853696,0.0,0.0,0.0,79.96467237103808,0.0,0.0,0.0,W3,-320.0096595180606,-753.3912754506533,0.0,0.0,0.0,433.38161593259275,0.0,0.0,0.0,Alo,-0.12130984273925649,-0.12130984273925649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,Rb,7.032982812230247e-05,0.00017703718840872865,0.0,0.0,0.0,-0.00010670736028641541,0.0,0.0,0.0,Rd1,-0.00035313078451657535,-0.0005408527907909749,0.0,0.0,0.0,-5.245456265396668e-05,0.0,0.00024017656892837502,0.0,Rd2,-0.0007056275303095813,-0.000687470241153221,0.0,0.0,0.0,-1.8157289156360296e-05,0.0,0.0,0.0,Rbias3,-1.9679930433193906e-06,1.8370695120278372e-06,0.0,0.0,0.0,-3.805062555347228e-06,0.0,0.0,0.0,Rbias4,2.203803958103334e-06,-1.7605517723044993e-06,0.0,0.0,0.0,3.9643557304078335e-06,0.0,0.0,0.0,Cload,4003863.4012886854,4003863.4015751355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,len2,-1165960.1618091962,-2399763.949810566,0.0,0.0,0.0,1233803.7880013697,0.0,0.0,0.0,Ibias1,60.720562625447094,-75.985284296603,0.0,0.0,0.0,136.70584692205196,0.0,0.0,0.0,Ibias2,-5.970163945479168,-105.32055248945396,0.0,0.0,0.0,99.35038854397479,0.0,0.0,0.0,W1,-124.9492624068952,-154.51028706337732,0.0,0.0,0.0,29.56102465650413,0.0,0.0,0.0,W2,-1148.5443000382288,-1227.63039703694,0.0,0.0,0.0,79.0860969987113,0.0,0.0,0.0,W3,-279.609134716224,-712.3443801909992,0.0,0.0,0.0,432.73524547477524,0.0,0.0,0.0,Alo,-0.09650397790040473,-0.09650397790040045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
