Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
1,Rd,-0.0009351906599054331,-0.0009921807845426611,0.0,0.0,0.0001291706370061049,-7.218051236889504e-05,0.0,0.0,Ibias,263.55611195197247,55.13426760878252,0.0,0.0,98.84323731450341,109.57860702868147,0.0,0.0,W1,-23870.57554371101,-13933.518606868567,0.0,0.0,-9752.873614408854,-184.18332243403614,0.0,0.0,W2,-9614.564628060758,-2343.09996289077,0.0,0.0,-8160.843094745653,889.3784295752989,0.0,0.0,Alo,-3.026875079803333,-1.1122255738875073,0.0,0.0,-1.9146495059159825,0.0,0.0,0.0,Rbias2,-4.5755921375325496e-06,-1.087961596905719e-06,0.0,0.0,1.2979588456597665e-06,-4.785589386287858e-06,0.0,0.0,Rbias3,2.7242923842333044e-06,7.731922920642436e-07,0.0,0.0,-7.012753714987498e-07,2.652375463667108e-06,0.0,0.0,
2,Rd,-0.0005751815206125952,-0.0005838480714903453,0.0,0.0,7.906702565546107e-05,-7.040047477777179e-05,0.0,0.0,Ibias,271.2853401663818,86.15140444390886,0.0,0.0,75.62337983250826,109.51055588996203,0.0,0.0,W1,-19056.453883389873,-11658.653332396183,0.0,0.0,-7261.030662266036,-136.76988872785705,0.0,0.0,W2,-6684.215700078731,-1312.8514832019225,0.0,0.0,-6197.329231012799,825.9650141357267,0.0,0.0,Alo,-2.0010275691151436,-0.5507973126295818,0.0,0.0,-1.4502302564856444,0.0,0.0,0.0,Rbias2,-5.512235853608104e-06,-4.904440131518873e-06,0.0,0.0,4.120819882970406e-06,-4.728615605059796e-06,0.0,0.0,Rbias3,4.768163743487794e-06,2.9496271708142432e-06,0.0,0.0,-8.029193344970088e-07,2.6214559071704718e-06,0.0,0.0,
3,Rd,-0.0009350242435092035,-0.00032143762916476276,0.0,0.0,-0.0005459110564709147,-6.767555787352601e-05,0.0,0.0,Ibias,182.7643251908603,107.77209238748775,0.0,0.0,-34.2775592051914,109.26979200856127,0.0,0.0,W1,-22728.63474941271,-10086.957510640148,0.0,0.0,-12534.355538147363,-107.32170062529417,0.0,0.0,W2,-10800.015492449766,-603.8268230474811,0.0,0.0,-10983.991444904606,787.8027755019814,0.0,0.0,Alo,-2.1515046222327947,-0.19317031929028228,0.0,0.0,-1.9583343029425346,0.0,0.0,0.0,Rbias2,-1.7560315164203754e-05,-7.531165851242063e-06,0.0,0.0,-5.339265341452205e-06,-4.689883971509643e-06,0.0,0.0,Rbias3,-5.024734149838789e-08,4.4527488980787705e-06,0.0,0.0,-7.131626097236351e-06,2.6286298576590153e-06,0.0,0.0,
4,Rd,-0.0006363567123294083,8.288050397545275e-05,0.0,0.0,-0.0006514819507266413,-6.775526557818736e-05,0.0,0.0,Ibias,184.20144933667888,146.93592424522336,0.0,0.0,-70.89781334355712,108.16333843501803,0.0,0.0,W1,-19775.298255698526,-8035.081536245633,0.0,0.0,-11660.742471119016,-79.47424833387811,0.0,0.0,W2,-9494.68492823874,358.1228895070362,0.0,0.0,-10595.692721331834,742.8849035863017,0.0,0.0,Alo,-1.6269285531803486,0.17558261180208118,0.0,0.0,-1.8025111649824348,0.0,0.0,0.0,Rbias2,-2.1950025311187653e-05,-1.1086697562989544e-05,0.0,0.0,-6.25606237722311e-06,-4.607265370974617e-06,0.0,0.0,Rbias3,8.039128127562781e-07,6.5052620367913525e-06,0.0,0.0,-8.327424992465819e-06,2.6260757684310507e-06,0.0,0.0,
5,Rd,-0.00021995487163352167,0.00024184047569617703,0.0,0.0,-0.0003946871414921154,-6.710820583758921e-05,0.0,0.0,Ibias,222.13439473378622,158.25555068466105,0.0,0.0,-42.813589585173084,106.69243363429725,0.0,0.0,W1,-14449.482760750183,-6550.655073891214,0.0,0.0,-7838.279316072847,-60.54837078604615,0.0,0.0,W2,-8615.140484272802,-961.3946522066624,0.0,0.0,-7938.223377308245,284.47754524212365,0.0,0.0,Alo,-0.9650395084753587,0.34751297697689953,0.0,0.0,-1.3125524854522725,0.0,0.0,0.0,Rbias2,-1.8180484653764467e-05,-1.210338122813073e-05,0.0,0.0,-1.5858568994111184e-06,-4.49124652622229e-06,0.0,0.0,Rbias3,4.1925402529413e-06,7.260326514529487e-06,0.0,0.0,-5.721110233198489e-06,2.6533239716102804e-06,0.0,0.0,
6,Rd,3.1706462712526346e-05,0.00024395475783773053,0.0,0.0,-0.00014755559154253772,-6.469270358268309e-05,0.0,0.0,Ibias,246.7525958983439,151.52405696590597,0.0,0.0,-10.17811908127665,105.40665801371668,0.0,0.0,W1,-10557.274505427413,-5635.695808066843,0.0,0.0,-4876.860281249628,-44.71841611111836,0.0,0.0,W2,-3033.7675148281373,796.0557459750529,0.0,0.0,-4499.3237812274565,669.5005204243492,0.0,0.0,Alo,-0.47585855523289045,0.4396886758249743,0.0,0.0,-0.9155472310578843,0.0,0.0,0.0,Rbias2,-1.3521920813691098e-05,-1.171878540319985e-05,0.0,0.0,2.5959753129165176e-06,-4.399110723407994e-06,0.0,0.0,Rbias3,6.8693155344272666e-06,7.386344833055326e-06,0.0,0.0,-3.240116442398025e-06,2.7230871437699215e-06,0.0,0.0,
7,Rd,8.576863341784301e-05,0.00014989709880413126,0.0,0.0,-2.5467796835666278e-06,-6.158168570273443e-05,0.0,0.0,Ibias,248.68710967841312,134.49778973181643,0.0,0.0,9.595859216305186,104.59346073029276,0.0,0.0,W1,-8496.141110967017,-5172.957026208108,0.0,0.0,-3287.0692759177728,-36.114808841102516,0.0,0.0,W2,-1739.8044169512414,643.3930929957158,0.0,0.0,-3039.629452041156,656.431942094176,0.0,0.0,Alo,-0.23932120426844317,0.4647503552420383,0.0,0.0,-0.7040715595104875,0.0,0.0,0.0,Rbias2,-1.0293598902039694e-05,-1.0868642153247987e-05,0.0,0.0,4.920733952818527e-06,-4.345690701610294e-06,0.0,0.0,Rbias3,8.088180325297044e-06,7.108841929396102e-06,0.0,0.0,-1.8188875606190852e-06,2.7982259565199777e-06,0.0,0.0,
8,Rd,1.4157678879626065e-05,3.800460415481687e-05,0.0,0.0,3.5334304783763234e-05,-5.918123005895889e-05,0.0,0.0,Ibias,232.1624528825775,116.00720434943312,0.0,0.0,12.464566459699737,103.69068207344414,0.0,0.0,W1,-9583.797816289833,-6151.4684959875085,0.0,0.0,-3632.7650296849365,200.43570938254837,0.0,0.0,W2,-1614.2698425299707,445.30541605589275,0.0,0.0,-2704.535278598425,644.9600200125176,0.0,0.0,Alo,-0.20814783679703772,0.45105088309073865,0.0,0.0,-0.6591987198877882,0.0,0.0,0.0,Rbias2,-8.738201030388076e-06,-9.90845283374759e-06,0.0,0.0,5.485058507182925e-06,-4.314806703823511e-06,0.0,0.0,Rbias3,8.08443555416791e-06,6.7818308086606365e-06,0.0,0.0,-1.5850655088056085e-06,2.8876702543127904e-06,0.0,0.0,
9,Rd,-0.00010988756535912197,-5.309631173857952e-05,0.0,0.0,0.0,-5.6791253620542454e-05,0.0,0.0,Ibias,202.17354611280203,99.52300616337317,0.0,0.0,0.0,102.65053994943034,0.0,0.0,W1,-4351.6501659789665,-4330.205359756123,0.0,0.0,0.0,-21.44480622284407,0.0,0.0,W2,906.299592892697,273.6221996578102,0.0,0.0,0.0,632.6773932348868,0.0,0.0,Alo,0.43475815291305225,0.43475815291305225,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.33899829168362e-05,-9.10446594538401e-06,0.0,0.0,0.0,-4.285516971452057e-06,0.0,0.0,Rbias3,9.48315513963458e-06,6.505847023543142e-06,0.0,0.0,0.0,2.977308116091438e-06,0.0,0.0,
10,Rd,-0.00038535333046919504,-0.00033126026318861933,0.0,0.0,0.0,-5.409306728056773e-05,0.0,0.0,Ibias,157.2642136955228,56.9709997930107,0.0,0.0,0.0,100.29321390251138,0.0,0.0,W1,-4906.624003124793,-5058.727123942478,0.0,0.0,0.0,152.1031208177136,0.0,0.0,W2,364.3679666137203,-268.6912954699824,0.0,0.0,0.0,633.0592620836311,0.0,0.0,Alo,0.22543171290607514,0.22543171290607067,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.0156523669054033e-05,-5.9438068428531195e-06,0.0,0.0,0.0,-4.212716826201043e-06,0.0,0.0,Rbias3,7.837228930762229e-06,4.727532596428257e-06,0.0,0.0,0.0,3.1096963343340195e-06,0.0,0.0,
