Iteration No,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,0.001401354,7.602140661987632,7.2778661376141685,82.7324450203883,18.229748952879174,0.004971918,0.01570324,0.09844449,0.4821857,0.2087926,9999000.0,0.01103431,0.002919739,2.0,
2,0.001366034,8.112416396686314,6.702762273566179,85.4112944478955,17.472222858054614,0.004846317,0.01602475,0.09523818,0.4731441,0.2092713,9999000.0,0.01091364,0.002889844,2.0,
3,0.001348517,8.608866728312206,6.2937353874306154,88.75613334643177,16.560326899632667,0.004788861,0.01669533,0.0915485,0.4627228,0.208068,9999000.0,0.01093687,0.002921686,2.0,
4,0.001324729,9.001093272509294,6.360321835641486,86.39273337599062,15.877456611524519,0.004718847,0.01721779,0.08816278,0.4533615,0.204588,9999000.0,0.01091305,0.002956692,2.0,
5,0.001290931,9.3455352977207,5.996693785215939,83.34243731749055,15.420662693237674,0.004618493,0.01743664,0.08528838,0.4456998,0.2001894,9999000.0,0.01082178,0.002970393,2.0,
6,0.001255548,9.621044645849077,5.953169963477549,79.32469372939954,15.169701597173116,0.004509047,0.0174433,0.08325773,0.4401634,0.1964783,9999000.0,0.01065688,0.002956229,2.0,
7,0.001224911,9.88614838164656,5.561499413290122,79.93553501821796,15.03562514573697,0.004416869,0.01744467,0.08146187,0.4352579,0.1926313,9999000.0,0.01049634,0.002948433,2.0,
8,0.001192984,10.169736464230558,5.2818237087819995,80.57949310116237,14.866792294721956,0.004319312,0.01749011,0.07947433,0.4295749,0.1887135,9999000.0,0.01031563,0.002938028,2.0,
9,0.001150768,10.523958345542454,4.974504919046268,89.34027050715332,14.916803104819198,0.004205969,0.01736049,0.07727319,0.4237862,0.180236,9999000.0,0.01003804,0.002947176,3.0,
10,0.00112616,10.739771933424716,4.869724182176469,90.1637156090105,14.90122915599876,0.004143498,0.01728684,0.07614786,0.4206466,0.1742725,9999000.0,0.009873184,0.002955211,3.0,
11,0.001104558,10.905813552176467,4.7434431724206405,89.64253740628601,14.895237371838094,0.004089306,0.01716828,0.07508022,0.4179264,0.1692114,9999000.0,0.009727034,0.002967772,3.0,
12,0.001085105,11.090744978536451,4.568344410278925,86.04926464155793,14.859267313511078,0.00404059,0.01711056,0.07399043,0.414922,0.1644886,9999000.0,0.009594483,0.00298134,3.0,
13,0.001066381,11.270331046834507,4.402798940982166,83.21346840338373,14.823129019297934,0.003993665,0.01704624,0.07309421,0.412317,0.1597815,9999000.0,0.009466022,0.002991388,3.0,
14,0.00104732,11.411800894630966,4.270099826002877,81.51721740781315,14.81605637379138,0.003946497,0.01691021,0.07221348,0.410006,0.155172,9999000.0,0.009334238,0.003005618,3.0,
15,0.001029709,11.573289141532882,4.116107391290257,79.3280172181174,14.787908963545043,0.003902551,0.0168247,0.07142507,0.4076767,0.1506967,9999000.0,0.009211699,0.003016971,3.0,
16,0.001011405,11.700820640553415,3.994489630880267,77.92261488481043,14.78732528462961,0.00385736,0.01667037,0.0706442,0.4055946,0.1462465,9999000.0,0.009083104,0.003032707,3.0,
17,0.0009941088,11.842063665989855,3.857087143798296,76.47342142362652,14.771065182251348,0.003814435,0.01655577,0.06983104,0.4032515,0.1419538,9999000.0,0.008960954,0.00304922,3.0,
18,0.0009771882,11.982606873808193,3.7239126625130297,75.24943087858549,14.743742371707791,0.003772351,0.01643053,0.06907413,0.4010477,0.1377687,9999000.0,0.00885364,0.00306647,3.0,
19,0.0009603871,12.094846422920922,3.6318020412309124,74.64726212785177,14.747044474128586,0.003730623,0.01626669,0.06851177,0.3994386,0.1335924,9999000.0,0.008732672,0.003083324,3.0,
20,0.0009476043,12.112883981140477,3.7308120769112634,79.44423323852357,14.768061750622545,0.003693142,0.0160797,0.06835762,0.3990727,0.1314869,9999000.0,0.008635732,0.003077922,3.0,
21,0.0009345296,12.124810238825564,3.873610490723692,89.52346067046841,14.79836939935312,0.003655171,0.01588695,0.06820086,0.3987069,0.1292443,9999000.0,0.008536287,0.003074614,3.0,
22,0.0009224992,12.125054131338723,4.053314524733281,78.6245295127072,14.828849946393523,0.003619237,0.01571007,0.06805104,0.3983375,0.1273377,9999000.0,0.008440962,0.003069578,3.0,
23,0.000910712,12.125881696254783,4.211653423926904,73.5249493816946,14.853071672734071,0.003584688,0.01553489,0.06790747,0.3979949,0.1253434,9999000.0,0.00835176,0.003067542,3.0,
24,0.0008990032,12.122248586579829,4.35792935917047,70.14015889926179,14.876824889614916,0.003550621,0.01535963,0.06776568,0.3976605,0.1233048,9999000.0,0.008262718,0.003067424,3.0,
25,0.0008874347,12.114564754312966,4.49018579262335,67.8984073000583,14.900179573075878,0.00351723,0.01518512,0.06762678,0.3973373,0.1212329,9999000.0,0.008174312,0.003069404,3.0,
26,0.0008763209,12.104914387596445,5.138255778144156,66.97131522408287,14.922297517734926,0.003485467,0.01501775,0.06748455,0.3970017,0.119183,9999000.0,0.008088936,0.003073715,3.0,
27,0.0008650959,12.09164527899996,5.228725614209949,65.57774296969336,14.94462786939252,0.003453555,0.01484745,0.06734184,0.3966672,0.117077,9999000.0,0.008002333,0.003080099,3.0,
28,0.0008540733,12.075644495142484,5.303685696224264,64.58595278382202,14.96693814044415,0.003422521,0.01467868,0.06720358,0.3963485,0.114949,9999000.0,0.007916891,0.003089163,3.0,
29,0.0008432256,12.057234864870397,5.366454516309773,63.75734687614147,14.989251700880278,0.003392212,0.01451117,0.06706897,0.3960418,0.1128115,9999000.0,0.00783242,0.003100775,3.0,
30,0.0008328263,12.036712416994781,5.4186916782841905,63.12108121509331,15.011330880078106,0.003363074,0.01434819,0.06694956,0.3957773,0.1107742,9999000.0,0.007751058,0.003113319,3.0,
31,0.0008402681,12.06274107795826,5.392177218110973,59.4909637655074,14.947349571946194,0.003378927,0.01449044,0.06689681,0.3954385,0.1130664,9999000.0,0.007815571,0.003084626,3.0,
32,0.0008296837,12.040270010448433,5.461364246367367,63.048135194881894,14.973180427644833,0.003348165,0.01432625,0.06676785,0.395129,0.1111573,9999000.0,0.007731955,0.003092576,3.0,
