Iteration No,Rd,Ibias,W1,W2,Rbias1,Rbias2,Rbias3,C1,C2,Cload,Alo,flo,frf,mismatch,Temp,
1,318.74785036373817,0.0021287445589650783,2.719896926584119e-05,3.1623615471574346e-05,11429.239338331674,17607.690485753363,31600.76039173819,2.7574740000000003e-12,2.786148e-12,4.9731105361105816e-11,0.23567773318934201,1000000000.0,1010000000.0,0,27,
2,328.33144547857023,0.0020735839241377975,2.9257814912798924e-05,3.25462100042295e-05,11429.239338331674,17642.227186795444,31324.305456920374,2.7574740000000003e-12,2.786148e-12,4.9931299273164076e-11,0.253043838694637,1000000000.0,1010000000.0,0,27,
3,342.432778030614,0.0020519406172557976,3.2712489399444406e-05,3.42719648279695e-05,11429.239338331674,18157.167403500884,31712.826686275766,2.7574740000000003e-12,2.786148e-12,4.8473865444083134e-11,0.27292352729436975,1000000000.0,1010000000.0,0,27,
4,352.0165899650723,0.0020304052436537247,3.634812986490795e-05,3.5924690190059385e-05,11429.239338331674,18980.524684638764,31992.779517655992,2.7574740000000003e-12,2.786148e-12,4.647771863640538e-11,0.28879097601218473,1000000000.0,1010000000.0,0,27,
5,354.6677594090733,0.0019977577349372375,3.9440233664425626e-05,3.7389756737091905e-05,11429.239338331674,19731.205842673542,31774.315901839345,2.7574740000000003e-12,2.786148e-12,4.52123415852892e-11,0.3018559587247222,1000000000.0,1010000000.0,0,27,
6,351.91430794432466,0.001959594149709699,4.1635516645026745e-05,3.802388767962631e-05,11429.239338331674,20160.967377705187,31211.827476445105,2.7574740000000003e-12,2.786148e-12,4.4874375769895183e-11,0.30932806993870865,1000000000.0,1010000000.0,0,27,
7,349.9639171197632,0.0019201229553300512,4.466620767428202e-05,3.845981698397337e-05,11429.239338331674,20522.958060840352,30380.515044320095,2.7574740000000003e-12,2.786148e-12,4.522548231175493e-11,0.3139630544530241,1000000000.0,1010000000.0,0,27,
8,349.60027345064606,0.0018894317167938136,4.612125297044857e-05,3.852007224103311e-05,11429.239338331674,20814.0594944026,29525.58231225878,2.7574740000000003e-12,2.786148e-12,4.547752934124062e-11,0.3062828731005061,1000000000.0,1010000000.0,0,27,
9,353.8835934479647,0.0018708271498426771,4.8538976717384057e-05,3.925714678130521e-05,11429.239338331674,21019.08359016543,29142.99893978046,2.7574740000000003e-12,2.786148e-12,4.552483369678017e-11,0.31353237911948195,1000000000.0,1010000000.0,0,27,
10,355.8886845814697,0.001848028128414387,5.011285281808543e-05,3.923504900085787e-05,11429.239338331674,21564.46958843372,28336.72445743499,2.7574740000000003e-12,2.786148e-12,4.4973812303987916e-11,0.3070893863559612,1000000000.0,1010000000.0,0,27,
11,363.1532612481975,0.0018360021894870348,5.1763615424443285e-05,3.931143728459425e-05,11429.239338331674,21898.8797146461,27802.735518580976,2.7574740000000003e-12,2.786148e-12,4.4720428040319365e-11,0.3047152656214391,1000000000.0,1010000000.0,0,27,
12,372.1315110652145,0.001825885790500425,5.393243618332912e-05,3.941221948308354e-05,11429.239338331674,22146.657372760164,27328.12922525679,2.7574740000000003e-12,2.786148e-12,4.382583335335125e-11,0.30310981179569235,1000000000.0,1010000000.0,0,27,
13,381.01909361747016,0.0018159825654043371,5.6166762015253086e-05,3.952203711135827e-05,11429.239338331674,22391.72393805396,26872.79904340263,2.7574740000000003e-12,2.786148e-12,4.27684671573013e-11,0.3016672371674645,1000000000.0,1010000000.0,0,27,
14,389.937267588674,0.001806450939252775,5.7814812605937135e-05,3.962929372114867e-05,11429.239338331674,22637.921587545545,26424.826857275035,2.7574740000000003e-12,2.786148e-12,4.1770857617881304e-11,0.3003000741940678,1000000000.0,1010000000.0,0,27,
15,398.90907279887415,0.0017972152748526294,6.0002579518040705e-05,4.000723948218458e-05,11429.239338331674,22869.687615762556,25998.135601559658,2.7574740000000003e-12,2.786148e-12,4.081552503973029e-11,0.2991672306049347,1000000000.0,1010000000.0,0,27,
16,407.9590471419973,0.001788192700580799,6.163422750305224e-05,4.012042366667967e-05,11429.239338331674,23109.793350591644,25568.859964677384,2.7574740000000003e-12,2.786148e-12,3.9897549076839275e-11,0.29807446379678004,1000000000.0,1010000000.0,0,27,
17,416.9819492513923,0.0017794789935569062,6.379511951920227e-05,4.0239846172882867e-05,11429.239338331674,23342.777577560122,25166.039909078947,2.7574740000000003e-12,2.786148e-12,3.901248034744494e-11,0.29718301545653064,1000000000.0,1010000000.0,0,27,
18,426.08495710420056,0.0017710292688841542,6.591224055168898e-05,4.0362170308464005e-05,11429.239338331674,23576.076959394384,24772.997686096336,2.7574740000000003e-12,2.786148e-12,3.8168305217438357e-11,0.29642104570720185,1000000000.0,1010000000.0,0,27,
19,435.1689309398255,0.0017627610391409935,6.805826018425414e-05,4.049188741176348e-05,11429.239338331674,23804.647936565267,24393.637417049253,2.7574740000000003e-12,2.786148e-12,3.735286600436669e-11,0.2957769148863812,1000000000.0,1010000000.0,0,27,
20,435.37378013854067,0.0017598049050932417,6.805968837938004e-05,4.0472106212124085e-05,11429.239338331674,23844.60034098264,24339.188089966945,2.7574740000000003e-12,2.786148e-12,3.657314017068536e-11,0.2957769148863812,1000000000.0,1010000000.0,0,27,
21,435.5805807862586,0.0017569174032469547,6.806102403954796e-05,4.045365781780647e-05,11429.239338331674,23895.917679563157,24287.151506403905,2.7574740000000003e-12,2.786148e-12,3.655593201805825e-11,0.2957769148863812,1000000000.0,1010000000.0,0,27,
22,435.788394364916,0.0017540193186336979,6.806236695592295e-05,4.043516289870208e-05,11429.239338331674,23948.067071402886,24235.568933355476,2.7574740000000003e-12,2.786148e-12,3.653857635356646e-11,0.2957769148863812,1000000000.0,1010000000.0,0,27,
23,435.9997186871745,0.0017511271742653533,6.806373098572388e-05,4.041665915503209e-05,11429.239338331674,23998.952611567063,24184.749148341725,2.7574740000000003e-12,2.786148e-12,3.652115227250036e-11,0.2957769148863812,1000000000.0,1010000000.0,0,27,
24,436.2116318126834,0.0017482021585789296,6.806511764855621e-05,4.0398159075352664e-05,11429.239338331674,24050.370629601402,24134.286725108977,2.7574740000000003e-12,2.786148e-12,3.650345086715238e-11,0.2957769148863812,1000000000.0,1010000000.0,0,27,
25,436.4273070614434,0.00174528604315902,6.806652621297732e-05,4.0379643262040904e-05,11429.239338331674,24099.84165145877,24083.73047950977,2.7574740000000003e-12,2.786148e-12,3.6485717363960424e-11,0.2957769148863812,1000000000.0,1010000000.0,0,27,
26,436.64690073130026,0.0017423753417851059,6.806795531609722e-05,4.036102127459345e-05,11429.239338331674,24147.276119216105,24033.851571342933,2.7574740000000003e-12,2.786148e-12,3.646768671821178e-11,0.2957769148863812,1000000000.0,1010000000.0,0,27,
27,436.8683953127946,0.0017394345914740026,6.806942220326946e-05,4.0342349340829804e-05,11429.239338331674,24195.429412156187,23984.98605462331,2.7574740000000003e-12,2.786148e-12,3.644934678921141e-11,0.2957769148863812,1000000000.0,1010000000.0,0,27,
28,437.09371014386977,0.001736461768937359,6.807089232458405e-05,4.032346406118983e-05,11429.239338331674,24244.113921383905,23937.090993713817,2.7574740000000003e-12,2.786148e-12,3.6430866778069755e-11,0.2957769148863812,1000000000.0,1010000000.0,0,27,
29,437.32073098175874,0.001733469602139717,6.807234515222265e-05,4.0305194445840933e-05,11429.239338331674,24298.680008983156,23888.847417826688,2.7574740000000003e-12,2.786148e-12,3.6412087247723e-11,0.2957769148863812,1000000000.0,1010000000.0,0,27,
30,437.53270848963064,0.0017305479860828044,6.807382777267722e-05,4.028625299683978e-05,11429.239338331674,24347.4640390633,23840.620501659007,2.7574740000000003e-12,2.786148e-12,3.639318509657707e-11,0.2957769148863812,1000000000.0,1010000000.0,0,27,
31,437.7601962484247,0.001727789303922233,6.807530042303809e-05,4.026787641941248e-05,11429.239338331674,24392.40579693816,23792.918821664534,2.7574740000000003e-12,2.786148e-12,3.637555318808062e-11,0.2957769148863812,1000000000.0,1010000000.0,0,27,
32,437.9909035637189,0.0017250677677726866,6.807676811986984e-05,4.024967018834335e-05,11429.239338331674,24437.47198056222,23746.17394493889,2.7574740000000003e-12,2.786148e-12,3.635665016048569e-11,0.2957769148863812,1000000000.0,1010000000.0,0,27,
33,438.223847256999,0.001722362072907042,6.807823662403653e-05,4.0231302742513345e-05,11429.239338331674,24482.399868104454,23700.13935773778,2.7574740000000003e-12,2.786148e-12,3.633749965967991e-11,0.2957769148863812,1000000000.0,1010000000.0,0,27,
34,438.45458856269556,0.0017197180269780976,6.807972710723869e-05,4.021319376453129e-05,11429.239338331674,24527.765668132117,23654.620637978645,2.7574740000000003e-12,2.786148e-12,3.631818398019722e-11,0.2957769148863812,1000000000.0,1010000000.0,0,27,
35,438.6807032267406,0.0017170297886864839,6.808120076813047e-05,4.019488554252767e-05,11429.239338331674,24573.62957345556,23608.476767233817,2.7574740000000003e-12,2.786148e-12,3.629907115663301e-11,0.2957769148863812,1000000000.0,1010000000.0,0,27,
36,438.90451563864076,0.0017144018810586834,6.808269120951741e-05,4.017662454376968e-05,11429.239338331674,24619.860285836345,23562.340463413017,2.7574740000000003e-12,2.786148e-12,3.6280361073833926e-11,0.2957769148863812,1000000000.0,1010000000.0,0,27,
37,439.12811827812357,0.001711816596843656,6.808416494098855e-05,4.015856579323148e-05,11429.239338331674,24666.561271464994,23516.443760925624,2.7574740000000003e-12,2.786148e-12,3.62618604778564e-11,0.2957769148863812,1000000000.0,1010000000.0,0,27,
