Iteration No,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,0.001401354,7.602140661987632,7.277862852914808,82.73249752981374,18.22974895275921,0.004971918,0.01570324,0.09844449,0.4821857,0.2087926,9999000.0,0.01103431,0.002919739,2.0,
2,0.001366034,8.112416396686314,6.702770313662299,85.30310349527068,17.472227106506082,0.004846318,0.01602474,0.09523821,0.4731442,0.2092713,9999000.0,0.01091364,0.002889844,2.0,
3,0.001348562,8.608409724502568,6.294084490303277,88.62231290622074,16.56080106596477,0.004788994,0.01669515,0.09155196,0.4627316,0.2080731,9999000.0,0.01093706,0.002921675,2.0,
4,0.001324856,9.001691250523075,6.35196485463014,86.39192975855326,15.87775142858332,0.004719184,0.0172215,0.08815229,0.4533325,0.2046152,9999000.0,0.01091357,0.002956963,2.0,
5,0.00129106,9.351151502996263,5.984638985138076,83.34751821541442,15.419201056173556,0.004618542,0.017452,0.08522237,0.4455168,0.200291,9999000.0,0.01082159,0.002971191,2.0,
6,0.001256099,9.64054708394923,5.925386560926725,79.82312016321143,15.194958309089692,0.004510556,0.01746398,0.08319253,0.4399814,0.1965914,9999000.0,0.01066081,0.002957941,2.0,
7,0.001218291,9.980697634410935,5.395908358208914,81.06880569210514,15.00428717264429,0.004395827,0.01750975,0.08091357,0.4335686,0.1919142,9999000.0,0.01045404,0.002946734,2.0,
8,0.001184072,10.233626192006167,5.171001689547666,86.39198512333311,15.076748220792036,0.004297133,0.01732525,0.07966952,0.4302518,0.1865669,9999000.0,0.01023994,0.002930091,2.0,
9,0.001165668,10.411590670714197,4.957865175283189,90.56623699254331,14.868492342540842,0.004241861,0.01740505,0.07814704,0.4259715,0.1841048,9999000.0,0.01015363,0.002933258,3.0,
10,0.001129693,10.638030817331611,4.90636662910093,87.07717066202474,14.94194095729592,0.004147319,0.01714465,0.0769863,0.4230358,0.1763169,9999000.0,0.009913497,0.002931041,3.0,
11,0.001106299,10.80911469181869,4.827879757830573,88.82880451193901,14.946375492576031,0.004088664,0.01701347,0.07586222,0.4202132,0.1707889,9999000.0,0.009754956,0.002944026,3.0,
12,0.001086606,10.999647532764987,4.651670346297308,85.97855549127996,14.908003607866966,0.004039346,0.01696273,0.07473788,0.4171338,0.1659889,9999000.0,0.009620049,0.002957933,3.0,
13,0.001067832,11.187086680560292,4.473415279070224,82.55397389554395,14.864683463236908,0.003992067,0.01691311,0.07378694,0.4143761,0.1612937,9999000.0,0.009490804,0.002968208,3.0,
14,0.001048594,11.331973738596538,4.337875248100531,81.44068346506964,14.85633824381987,0.003944223,0.01678286,0.07287426,0.4119955,0.1566714,9999000.0,0.009357007,0.00298216,3.0,
15,0.001030907,11.506247168684409,4.171991061553257,78.85805502313298,14.80790961095455,0.003899776,0.01670877,0.07204208,0.4095423,0.152217,9999000.0,0.009247237,0.002993137,3.0,
16,0.00101236,11.63750618278469,4.052144487032976,77.84832554384485,14.806309531141451,0.003853817,0.01655963,0.07122413,0.4073731,0.1477223,9999000.0,0.009115881,0.003008662,3.0,
17,0.0009949275,11.783510687925283,3.912666585408388,76.40774741534239,14.787599793415197,0.003810381,0.01645255,0.07037394,0.4049354,0.1434096,9999000.0,0.008991712,0.003024816,3.0,
18,0.0009777907,11.921010947450757,3.78195195822056,75.43999795026554,14.77393721197566,0.003767793,0.01633251,0.06958341,0.4026496,0.1391465,9999000.0,0.008868762,0.003042139,3.0,
19,0.0009614514,12.05739304853135,3.653795026642811,74.38214386592739,14.757272593986102,0.003726975,0.01621668,0.06892112,0.4006301,0.134979,9999000.0,0.008750925,0.003058318,3.0,
20,0.0009561475,12.066519389600764,3.6552104675911465,75.20352310980553,14.759251947746597,0.003711461,0.01614071,0.0688509,0.4004608,0.1340986,9999000.0,0.008710702,0.003056008,3.0,
21,0.0009506099,12.074997890312243,3.721708365259417,77.38376720739384,14.772299515176053,0.003695596,0.01606064,0.06877968,0.4002958,0.1331134,9999000.0,0.008668773,0.003054749,3.0,
22,0.0009450518,12.082201657058967,3.7914245981368424,80.6904520549495,14.785054798272181,0.003679612,0.01598015,0.06870781,0.4001281,0.1321315,9999000.0,0.008626589,0.003053525,3.0,
23,0.0009396586,12.087955891325326,3.8605399460033993,85.70240388315366,14.79730387550509,0.003663988,0.01590205,0.06863724,0.3999608,0.1311972,9999000.0,0.008585513,0.003052184,3.0,
24,0.0009343959,12.092547567512737,3.900538793835679,89.48057862023398,14.808910414145995,0.003648627,0.01582585,0.06856755,0.399793,0.1303039,9999000.0,0.008545289,0.003050705,3.0,
25,0.0009290513,12.096030947099443,3.9788347706250846,84.81215443458748,14.82074367185396,0.003632996,0.0157483,0.0684966,0.3996216,0.1293976,9999000.0,0.008504361,0.003049319,3.0,
26,0.0009237051,12.098230752219454,4.056279766668638,80.15601769753926,14.832469036976143,0.00361737,0.01567052,0.06842557,0.3994499,0.128487,9999000.0,0.008463331,0.00304814,3.0,
27,0.0009186705,12.09980287075913,4.125766865270776,77.27123775317244,14.843333009189994,0.003602679,0.01559708,0.06835872,0.3992886,0.1276235,9999000.0,0.008424572,0.003047268,3.0,
28,0.0009137227,12.100508062330796,4.191889822165194,74.83162196284664,14.854110773675917,0.003588314,0.01552461,0.06829343,0.3991323,0.1267593,9999000.0,0.008386403,0.003046822,3.0,
29,0.0009088025,12.10041796385945,4.25566647610529,72.91286019971878,14.864719203551363,0.00357405,0.01545233,0.06822858,0.3989773,0.1258937,9999000.0,0.008348361,0.003046637,3.0,
30,0.0009038908,12.099461782238079,4.31750513262152,71.4913616704851,14.875288862963188,0.003559848,0.01537995,0.06816402,0.3988236,0.1250211,9999000.0,0.00831032,0.003046761,3.0,
31,0.0008989932,12.097754146427185,4.377245810037337,70.26394746814702,14.88581814623271,0.003545765,0.01530748,0.06810008,0.3986727,0.1241355,9999000.0,0.008272322,0.003047343,3.0,
32,0.0008941303,12.095250138240603,4.434392185382151,69.30778480585141,14.89636898348881,0.003531844,0.01523524,0.06803695,0.3985249,0.1232431,9999000.0,0.008234522,0.003048347,3.0,
