Iteration No,Rd,Ibias,W1,W2,Rbias1,Rbias2,Rbias3,C1,C2,Cload,Alo,flo,frf,mismatch,Temp,
1,1577.6438179336074,0.00028759655400502435,9.413419968734023e-06,1.5256433777797959e-06,108940.03880889415,42068.77803863142,188256.2713313372,2.8929520000000005e-13,9.186996e-13,1.0372366452499848e-11,0.28278261469601923,1000000000.0,1010000000.0,0,27,
2,1663.112057588587,0.0002889387518235595,9.88502031110339e-06,1.6497906803109589e-06,108940.03880889415,43261.40670120208,192547.56716873107,2.8929520000000005e-13,9.186996e-13,1.0088141650398374e-11,0.31224675186349227,1000000000.0,1010000000.0,0,27,
3,1778.9723885709282,0.00029666460285530754,1.055967035116618e-05,1.8046305088996119e-06,108940.03880889415,45291.17128831224,200650.55625395762,2.8929520000000005e-13,9.186996e-13,9.569706524926557e-12,0.3477804507919204,1000000000.0,1010000000.0,0,27,
4,1892.1154174641656,0.0003055459953490985,1.1304632906762608e-05,1.963916646461334e-06,108940.03880889415,47637.490078039875,209443.92236783326,2.8929520000000005e-13,9.186996e-13,8.946453813133467e-12,0.38424631990522196,1000000000.0,1010000000.0,0,27,
5,1965.082980918399,0.0003100034510533536,1.1933918620850414e-05,2.0933428032418316e-06,108940.03880889415,49599.4322807087,215312.11060205015,2.8929520000000005e-13,9.186996e-13,8.411481753327532e-12,0.41473165411270413,1000000000.0,1010000000.0,0,27,
6,1987.984488747606,0.00030848002442941924,1.2369460298054094e-05,2.179849640291954e-06,108940.03880889415,50864.40056820126,217051.14285089474,2.8929520000000005e-13,9.186996e-13,8.099146175369797e-12,0.4364622081581845,1000000000.0,1010000000.0,0,27,
7,1979.5300681702663,0.00030333561016678755,1.2651260453473838e-05,2.233894634109455e-06,108940.03880889415,51528.22073233503,215923.30282713217,2.8929520000000005e-13,9.186996e-13,8.005844310795405e-12,0.4510901746692589,1000000000.0,1010000000.0,0,27,
8,1960.9885541270278,0.00029722324129784244,1.2852214731401878e-05,2.271965561944567e-06,108940.03880889415,51825.81609028153,213584.15968523646,2.8929520000000005e-13,9.186996e-13,8.040036655720344e-12,0.46161905313222334,1000000000.0,1010000000.0,0,27,
9,1943.7845969198888,0.0002915823035147581,1.3029337042670852e-05,2.305431014130613e-06,108940.03880889415,51974.561925732385,211092.5780367171,2.8929520000000005e-13,9.186996e-13,8.116056708079372e-12,0.4704122487928315,1000000000.0,1010000000.0,0,27,
10,1931.0851818869994,0.0002868409852927475,1.3209578690250138e-05,2.3395038706722524e-06,108940.03880889415,52095.299434500106,208861.68826356903,2.8929520000000005e-13,9.186996e-13,8.18788992072946e-12,0.47867364852091593,1000000000.0,1010000000.0,0,27,
11,1922.611857655806,0.0002829402703116558,1.3401441399664741e-05,2.375444668092711e-06,108940.03880889415,52237.77918074547,206951.41661401629,2.8929520000000005e-13,9.186996e-13,8.241736024113335e-12,0.48681604496591907,1000000000.0,1010000000.0,0,27,
12,1917.0852021369976,0.0002796805240962868,1.360375573450022e-05,2.4129063945126196e-06,108940.03880889415,52407.118197971904,205293.85951887036,2.8929520000000005e-13,9.186996e-13,8.2780589570455e-12,0.49484256864216475,1000000000.0,1010000000.0,0,27,
13,1913.0925390586838,0.0002768653025266629,1.3812965111551399e-05,2.4510477270869546e-06,108940.03880889415,52599.10212224471,203787.33927297624,2.8929520000000005e-13,9.186996e-13,8.301923300773664e-12,0.5026874343051567,1000000000.0,1010000000.0,0,27,
14,1909.7387749016787,0.0002743577740297397,1.4025527037405609e-05,2.4893837810726447e-06,108940.03880889415,52805.6224512977,202370.12867856122,2.8929520000000005e-13,9.186996e-13,8.319249583724047e-12,0.5102349030142459,1000000000.0,1010000000.0,0,27,
15,1906.4569954012532,0.0002720684440948355,1.4239191615690031e-05,2.52757739881829e-06,108940.03880889415,53020.65351702629,200994.354731531,2.8929520000000005e-13,9.186996e-13,8.333859331106124e-12,0.5174589482718559,1000000000.0,1010000000.0,0,27,
16,1903.0020965276162,0.00026993390043944564,1.4452410170254088e-05,2.565323356954807e-06,108940.03880889415,53236.73656601155,199628.02010998543,2.8929520000000005e-13,9.186996e-13,8.348205255917557e-12,0.5243347547379577,1000000000.0,1010000000.0,0,27,
17,1899.2455470140637,0.0002679206147642327,1.4664633329862133e-05,2.602698921426851e-06,108940.03880889415,53456.45981354596,198262.80716260025,2.8929520000000005e-13,9.186996e-13,8.363361416275018e-12,0.5308811058421523,1000000000.0,1010000000.0,0,27,
18,1895.1939038831074,0.0002660169010380887,1.4875418456346787e-05,2.6395955892343068e-06,108940.03880889415,53678.418044254504,196887.23133475435,2.8929520000000005e-13,9.186996e-13,8.379903448614841e-12,0.5371344302362385,1000000000.0,1010000000.0,0,27,
19,1890.8848336529786,0.00026420689076641865,1.5084684573756713e-05,2.6761836500700264e-06,108940.03880889415,53902.924258947314,195502.5693656379,2.8929520000000005e-13,9.186996e-13,8.39781843777563e-12,0.5431148153901677,1000000000.0,1010000000.0,0,27,
20,1886.3007403581435,0.0002624878680722135,1.5292443079397847e-05,2.7124020165294208e-06,108940.03880889415,54127.12999545444,194110.04269951113,2.8929520000000005e-13,9.186996e-13,8.416955927687343e-12,0.5488445122402379,1000000000.0,1010000000.0,0,27,
21,1881.5244724627596,0.00026085691928283113,1.5499336533635637e-05,2.7484786972056767e-06,108940.03880889415,54355.695051901595,192721.00505518058,2.8929520000000005e-13,9.186996e-13,8.437410837344914e-12,0.5543553323323419,1000000000.0,1010000000.0,0,27,
22,1876.6785621611834,0.0002593036680212939,1.570543994669144e-05,2.7845668902814622e-06,108940.03880889415,54586.78027661466,191329.81107871066,2.8929520000000005e-13,9.186996e-13,8.458829285572602e-12,0.559683693337188,1000000000.0,1010000000.0,0,27,
23,1871.7176964038085,0.0002578311197012233,1.591016083640662e-05,2.8205905425115502e-06,108940.03880889415,54823.20062207939,189941.03920404313,2.8929520000000005e-13,9.186996e-13,8.48067145332616e-12,0.564840023743402,1000000000.0,1010000000.0,0,27,
24,1866.580630204632,0.00025642342601992196,1.611368702976903e-05,2.856551733685955e-06,108940.03880889415,55062.577929764644,188554.65977125277,2.8929520000000005e-13,9.186996e-13,8.503148920250359e-12,0.5698372536191896,1000000000.0,1010000000.0,0,27,
25,1861.4176878233093,0.000255090129992351,1.6316202216670083e-05,2.892449053898956e-06,108940.03880889415,55304.079587307526,187168.28534604912,2.8929520000000005e-13,9.186996e-13,8.52655066255816e-12,0.5746971015778671,1000000000.0,1010000000.0,0,27,
26,1856.176275154081,0.00025382560326213215,1.6518208448482843e-05,2.928378617463426e-06,108940.03880889415,55548.82874609988,185781.46256720088,2.8929520000000005e-13,9.186996e-13,8.550200426966327e-12,0.5794509957834802,1000000000.0,1010000000.0,0,27,
27,1850.9218364728695,0.00025262608846344755,1.6719492874905504e-05,2.9644486844025244e-06,108940.03880889415,55800.74952688338,184400.60998184755,2.8929520000000005e-13,9.186996e-13,8.574344216240125e-12,0.5840952115367678,1000000000.0,1010000000.0,0,27,
28,1845.647763175388,0.0002514934898863339,1.692015545012961e-05,3.0005941553535916e-06,108940.03880889415,56055.880054584355,183020.65234257455,2.8929520000000005e-13,9.186996e-13,8.598685258108045e-12,0.588641516530067,1000000000.0,1010000000.0,0,27,
29,1840.3136204359143,0.00025041682112272564,1.711992639960707e-05,3.036911736013044e-06,108940.03880889415,56315.12431254665,181650.2803592773,2.8929520000000005e-13,9.186996e-13,8.623256629318775e-12,0.5931222512374783,1000000000.0,1010000000.0,0,27,
30,1835.0304462669162,0.00024940049492193773,1.7319105243968567e-05,3.073429737991221e-06,108940.03880889415,56579.41744790819,180288.44545648052,2.8929520000000005e-13,9.186996e-13,8.648251109188463e-12,0.5975364728719481,1000000000.0,1010000000.0,0,27,
31,1829.6834853674463,0.0002484441526996409,1.7517684613184277e-05,3.110043614756375e-06,108940.03880889415,56849.01928038952,178930.70953707022,2.8929520000000005e-13,9.186996e-13,8.673149996811839e-12,0.6018589716493369,1000000000.0,1010000000.0,0,27,
32,1824.3165749266552,0.00024754055362643347,1.771537333853297e-05,3.1467223443125455e-06,108940.03880889415,57122.608379309575,177575.05925548627,2.8929520000000005e-13,9.186996e-13,8.698495907336291e-12,0.6061266801140293,1000000000.0,1010000000.0,0,27,
33,1818.9381697863216,0.0002466824989398462,1.7912348767431755e-05,3.1835532666625517e-06,108940.03880889415,57401.01283791892,176224.38837448903,2.8929520000000005e-13,9.186996e-13,8.724085790773128e-12,0.6103284278796213,1000000000.0,1010000000.0,0,27,
34,1813.67783399281,0.00024587950482397555,1.810930409290031e-05,3.2206358835408424e-06,108940.03880889415,57683.84020272924,174886.11151701538,2.8929520000000005e-13,9.186996e-13,8.749881977054335e-12,0.6145074608500216,1000000000.0,1010000000.0,0,27,
35,1808.4269567344927,0.0002451358144793214,1.830575294787507e-05,3.2580266271270106e-06,108940.03880889415,57972.09100891055,173556.3556753121,2.8929520000000005e-13,9.186996e-13,8.775259867487924e-12,0.6185763861203475,1000000000.0,1010000000.0,0,27,
36,1803.2065193834155,0.00024443799743207825,1.850130294436142e-05,3.2955359341577406e-06,108940.03880889415,58264.39508180506,172234.48945167894,2.8929520000000005e-13,9.186996e-13,8.800739366287931e-12,0.6226043392508889,1000000000.0,1010000000.0,0,27,
37,1798.0368940559335,0.0002437843973678331,1.8696013303990507e-05,3.3332644679032233e-06,108940.03880889415,58561.63482255688,170921.6275734651,2.8929520000000005e-13,9.186996e-13,8.826218260696862e-12,0.6265944979770042,1000000000.0,1010000000.0,0,27,
38,1792.9682372494926,0.00024318583252825327,1.8890630672387666e-05,3.3712564544098462e-06,108940.03880889415,58865.37419508963,169622.7699669561,2.8929520000000005e-13,9.186996e-13,8.851594959927688e-12,0.6305868217308741,1000000000.0,1010000000.0,0,27,
