Iteration No,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,
1,0.0002240615,6.954765694637621,-2.923327384104688,51.863239764862485,28.26474889663174,0.0007444014,0.003421447,0.07268206,0.4056531,0.2806737,9999000.0,0.001115012,0.0004947829,
2,0.0002269105,7.607211603348352,-2.5935638464238053,54.33969823816683,26.790405181680757,0.0007512398,0.003502045,0.07186819,0.4028294,0.2830869,9999000.0,0.001158245,0.0005033409,
3,0.0002335986,8.044479086851414,-3.0851593328246807,56.3182269438081,25.181938992636077,0.0007719926,0.003642168,0.07113017,0.4004036,0.2831986,9999000.0,0.001213148,0.0005217376,
4,0.0002404509,8.194623069041771,-3.6131676167466154,60.18248999362193,23.83243548291164,0.0007942237,0.003787789,0.07040017,0.3980846,0.2818524,9999000.0,0.001264675,0.0005417202,
5,0.0002441313,8.198808416555025,-4.0899366922870115,65.48000497882546,22.947014058214354,0.000805816,0.003884661,0.06968031,0.3957228,0.2810324,9999000.0,0.001299113,0.0005543723,
6,0.0002438798,8.229224323024209,-4.22407332017778,66.39658174297526,22.446666898839638,0.0008037052,0.003917763,0.06898817,0.3933155,0.2815588,9999000.0,0.001320145,0.0005570806,
7,0.0002412692,8.308251704335778,-4.105893195320661,64.36815735057843,22.173408919583657,0.0007933523,0.003909117,0.06835688,0.3910139,0.2830357,9999000.0,0.001332262,0.0005534096,
8,0.0002379274,8.389144770043568,-3.9319520963369925,62.46133901851621,22.004794708259148,0.0007806102,0.003884067,0.06779724,0.3889214,0.2847238,9999000.0,0.001339504,0.0005475254,
9,0.0002348666,8.45201197004286,-3.7888309794131914,61.197209393082716,21.873385178366178,0.0007689169,0.003859588,0.06730126,0.3870358,0.2863973,9999000.0,0.001342581,0.0005419545,
10,0.0002322586,8.49769732135722,-3.69783412664907,60.32332826672476,21.75097369023351,0.0007590211,0.003839835,0.06684969,0.3853211,0.2876993,9999000.0,0.001346829,0.000537435,
11,0.0002301349,8.531861913460443,-3.65017254127541,59.75460681149876,21.63001111873969,0.0007509251,0.003826042,0.06643169,0.3837342,0.2887322,9999000.0,0.001351606,0.0005340263,
12,0.0002283808,8.558913335057097,-3.6327462010691747,59.30721796606889,21.511132909541757,0.0007442018,0.003816835,0.0660396,0.3822453,0.289552,9999000.0,0.001356892,0.000531468,
13,0.0002268711,8.581691946274582,-3.6355612650959657,58.98021221116605,21.396512794468382,0.0007384069,0.003810485,0.06566802,0.3808328,0.2902014,9999000.0,0.00136244,0.0005294711,
14,0.0002255234,8.601840058235101,-3.652177112370552,58.6876168583037,21.287844746176194,0.000733241,0.003805796,0.06531433,0.3794851,0.2907238,9999000.0,0.001368072,0.0005278311,
15,0.000224282,8.620338642884873,-3.6724524172671806,58.44047984617745,21.18551919173564,0.0007285047,0.003801969,0.06497637,0.3781932,0.2911442,9999000.0,0.00137366,0.000526414,
16,0.0002231082,8.63764608355942,-3.698533874473817,58.21702198290609,21.0896407637006,0.0007240584,0.003798461,0.0646524,0.3769501,0.2914819,9999000.0,0.001379076,0.0005251263,
17,0.0002219805,8.654217137398007,-3.726209510366246,58.01493874126899,20.9995686893757,0.0007198257,0.003794997,0.0643409,0.3757504,0.2917445,9999000.0,0.001384312,0.000523921,
18,0.0002208898,8.670119210844485,-3.7549971693294992,57.83234637734978,20.91474271861188,0.0007157772,0.003791466,0.0640413,0.3745926,0.291931,9999000.0,0.001389334,0.0005227798,
19,0.0002198289,8.685547233352732,-3.784373027867794,57.65291188968142,20.83443194731208,0.0007118823,0.003787802,0.06375259,0.3734729,0.2920498,9999000.0,0.001394166,0.0005216857,
20,0.0002187995,8.700438349813343,-3.8133613690011643,57.49138582305605,20.758194634019,0.0007081422,0.003784065,0.06347439,0.3723902,0.2921076,9999000.0,0.001398812,0.0005206409,
21,0.0002178012,8.714861061175354,-3.8423182496893986,57.34683149329098,20.685357891603676,0.0007045525,0.003780306,0.06320566,0.3713409,0.2921053,9999000.0,0.001403322,0.0005196491,
22,0.0002168288,8.728880353628885,-3.870828787256251,57.204193595845055,20.61532211652355,0.0007010926,0.003776485,0.0629456,0.3703221,0.2920473,9999000.0,0.001407709,0.0005186997,
23,0.0002158824,8.742561142100323,-3.802418877320136,57.034653565578964,20.54797615684077,0.0006977654,0.003772595,0.06269453,0.3693359,0.29193,9999000.0,0.001411972,0.0005177935,
24,0.0002149559,8.755841253719376,-3.8133306258660227,56.9242566872596,20.48303633405471,0.0006945432,0.003768587,0.06245141,0.3683778,0.2917642,9999000.0,0.001416101,0.0005169152,
25,0.0002140546,8.768849369984924,-3.823550342656361,56.81475205313947,20.420308078108977,0.0006914458,0.003764557,0.06221624,0.3674488,0.2915444,9999000.0,0.001420114,0.0005160802,
26,0.0002131757,8.78146000872317,-3.832802436042684,56.72007678099418,20.359348370150325,0.0006884625,0.003760512,0.06198814,0.3665456,0.2912727,9999000.0,0.00142403,0.0005152863,
27,0.0002123156,8.793927408507978,-3.8410559271626,56.62627585262425,20.300090151032105,0.0006855814,0.003756402,0.06176685,0.3656678,0.290947,9999000.0,0.001427862,0.0005145267,
28,0.0002114775,8.806125904683979,-3.848599337675367,56.546604397108595,20.24237861911488,0.0006828116,0.003752297,0.06155228,0.3648151,0.2905706,9999000.0,0.001431615,0.0005138086,
29,0.0002106579,8.817993717220912,-3.8543103346759366,56.46766908584014,20.185977125726495,0.0006801345,0.003748152,0.06134406,0.3639857,0.2901529,9999000.0,0.001435302,0.0005131198,
30,0.0002098578,8.829658034670583,-3.8603557176246426,56.402190574404756,20.13083393644476,0.0006775564,0.003744005,0.06114192,0.3631793,0.2896885,9999000.0,0.001438933,0.0005124677,
31,0.0002090757,8.841181910768423,-3.8969499273266095,56.46969881507013,20.07703283508804,0.0006750743,0.003739847,0.06094563,0.3623955,0.2891746,9999000.0,0.001442504,0.0005118516,
32,0.0002083071,8.852565977585572,-3.905000542786169,56.41741906112122,20.024423418895417,0.0006726721,0.003735614,0.06075494,0.3616334,0.2886137,9999000.0,0.001445996,0.000511261,
33,0.0002075485,8.863747947483805,-3.9125220778605154,56.36544329232552,19.972918046354334,0.0006703353,0.003731271,0.06056927,0.3608906,0.2880091,9999000.0,0.001449419,0.0005106883,
34,0.0002068089,8.874791850773576,-3.9205829937940706,56.31351177451319,19.922264496825527,0.0006680911,0.003726989,0.06038854,0.360167,0.2873627,9999000.0,0.001452822,0.0005101554,
35,0.0002060897,8.885822473798658,-3.928467695247292,56.287571955954576,19.872710096982303,0.0006659468,0.00372278,0.06021308,0.3594644,0.2866715,9999000.0,0.001456239,0.0005096662,
36,0.000205382,8.896715171512737,-3.9045730103181455,56.20080577229558,19.824138884149953,0.000663871,0.003718508,0.06004245,0.3587811,0.285939,9999000.0,0.001459611,0.0005091993,
37,0.000204685,8.907470387477636,-3.919967831236697,56.212020551984594,19.77642265871738,0.0006618604,0.003714172,0.0598764,0.3581161,0.2851656,9999000.0,0.001462959,0.0005087539,
38,0.000204058,8.918089112561116,-3.9362862870679294,56.10002261597376,19.72935775515839,0.0006600538,0.003710743,0.05971659,0.3574696,0.2844521,9999000.0,0.001464174,0.0005084124,
39,0.0002034044,8.928633564454016,-3.952532982113098,56.11151733918891,19.683173767236674,0.0006582342,0.003706677,0.05955991,0.3568417,0.283617,9999000.0,0.001467122,0.0005080543,
40,0.0002027597,8.939103765465745,-3.9687438394603305,56.12304721165876,19.637533910558005,0.0006564718,0.003702583,0.05940656,0.3562275,0.2827418,9999000.0,0.001469998,0.0005077204,
41,0.0002021304,8.949499901006208,-3.9846527139351338,56.13455928974406,19.59268067847506,0.0006547855,0.003698538,0.05925744,0.3556305,0.2818333,9999000.0,0.001472822,0.0005074192,
42,0.0002015152,8.95976052940295,-4.000271672258165,56.14586812151532,19.548740462973633,0.0006531708,0.003694509,0.0591128,0.3550521,0.2808935,9999000.0,0.001475577,0.0005071456,
43,0.0002009188,8.969886419131107,-4.015963781080373,56.03555883249754,19.505307559128198,0.0006516434,0.0036906,0.0589723,0.3544913,0.2799192,9999000.0,0.001478329,0.0005069151,
44,0.000200343,8.979814939283846,-4.03082781097833,56.04761116863891,19.462265368889813,0.0006502056,0.003686866,0.05883555,0.3539462,0.2789149,9999000.0,0.001481074,0.0005067324,
