Iteration No,Rd,Ibias,W1,W2,Rbias1,Rbias2,Rbias3,C1,C2,Cload,Alo,flo,frf,mismatch,Temp,
1,209.1948848146804,0.0031806203735756603,5.3615275717752876e-05,0.00012037474668564272,13166.850206104678,1980.5528284146928,3594.6748256013193,2.393574e-12,2.469872e-11,4.6860272404269237e-11,0.10557553846791302,1000000000.0,1010000000.0,0,27,
2,196.78562749242508,0.003050464566674135,5.057434391245811e-05,0.00011397321048544743,13166.850206104678,1872.90781044301,3382.2416615941825,2.393574e-12,2.469872e-11,7.607974890633011e-11,0.09985159654389635,1000000000.0,1010000000.0,0,27,
3,195.35870292262422,0.0030127822336322926,5.037012544691127e-05,0.00011329276171293173,13166.850206104678,1858.8145834551785,3341.7329532253975,2.393574e-12,2.469872e-11,8.08773207271053e-11,0.10042996769644973,1000000000.0,1010000000.0,0,27,
4,195.84107004550052,0.0029951198549925057,5.063239222333932e-05,0.0001135513942908974,13166.850206104678,1860.9816566608295,3332.1534821095447,2.393574e-12,2.469872e-11,8.146805886345995e-11,0.10248157579339999,1000000000.0,1010000000.0,0,27,
5,196.7823307758315,0.0029827218358278638,5.101493433097113e-05,0.00011397388828026433,13166.850206104678,1864.761073943599,3326.7279998164736,2.393574e-12,2.469872e-11,8.126739863855843e-11,0.10473579218211287,1000000000.0,1010000000.0,0,27,
6,197.8276748134975,0.0029707426029640556,5.1450273201806796e-05,0.00011446321274906335,13166.850206104678,1869.3819800698075,3322.6816115751703,2.393574e-12,2.469872e-11,8.087867567398612e-11,0.10694765036038728,1000000000.0,1010000000.0,0,27,
7,198.7976873552361,0.002958503322750588,5.1912195817467486e-05,0.00011498514375946265,13166.850206104678,1873.723426076126,3318.972729866421,2.393574e-12,2.469872e-11,8.045130351046132e-11,0.10926258368759832,1000000000.0,1010000000.0,0,27,
8,199.75553625096975,0.00294785929538229,5.23476311456995e-05,0.00011541509490098798,13166.850206104678,1877.6884588777511,3314.920434512486,2.393574e-12,2.469872e-11,8.005874978188139e-11,0.11166186858782388,1000000000.0,1010000000.0,0,27,
9,200.72821892130875,0.0029377837034725517,5.276322092380134e-05,0.00011583482941091763,13166.850206104678,1881.989871076768,3310.8658773225347,2.393574e-12,2.469872e-11,7.967485962037895e-11,0.11375973157157783,1000000000.0,1010000000.0,0,27,
10,201.73026539965838,0.0029287991063894187,5.32239957207529e-05,0.00011625264638207591,13166.850206104678,1885.806337807978,3307.4614941153254,2.393574e-12,2.469872e-11,7.928877361996056e-11,0.11588718730444014,1000000000.0,1010000000.0,0,27,
11,202.70530784001363,0.0029176149415769894,5.360942426705928e-05,0.00011667106292848022,13166.850206104678,1890.7636728148927,3304.381303153569,2.393574e-12,2.469872e-11,7.889492574482323e-11,0.11856757342902188,1000000000.0,1010000000.0,0,27,
12,203.7255872174098,0.002908733426050795,5.404381411718053e-05,0.00011707333506377633,13166.850206104678,1894.7951838600832,3301.1957336884993,2.393574e-12,2.469872e-11,7.851542951085884e-11,0.12065466023643281,1000000000.0,1010000000.0,0,27,
13,204.75756647246916,0.002900095183157352,5.445965431265425e-05,0.00011754145773069603,13166.850206104678,1898.386952523773,3298.160318944157,2.393574e-12,2.469872e-11,7.812221590116218e-11,0.12272953588727047,1000000000.0,1010000000.0,0,27,
14,205.8055755493633,0.0028898534447315866,5.486443810404276e-05,0.00011797082843387399,13166.850206104678,1902.0511774507063,3295.0962163051004,2.393574e-12,2.469872e-11,7.772847950568637e-11,0.12527723871770588,1000000000.0,1010000000.0,0,27,
15,206.8214739104105,0.0028836364732580237,5.526603045758286e-05,0.00011834417793826506,13166.850206104678,1905.6422132777786,3292.577770312674,2.393574e-12,2.469872e-11,7.733266830456756e-11,0.1273306937184401,1000000000.0,1010000000.0,0,27,
16,208.07126520735693,0.002875788226244952,5.5699917615445844e-05,0.00011870456024164216,13166.850206104678,1909.1359351959907,3290.0432828974303,2.393574e-12,2.469872e-11,7.695281349790447e-11,0.1293504785508647,1000000000.0,1010000000.0,0,27,
17,209.2000453936179,0.0028673664410420576,5.615450049165554e-05,0.0001190858260788805,13166.850206104678,1913.193021701725,3287.629254475869,2.393574e-12,2.469872e-11,7.64905922657253e-11,0.13139772012241305,1000000000.0,1010000000.0,0,27,
18,210.4223926966428,0.0028597173219463115,5.657708580069225e-05,0.00011943681753726029,13166.850206104678,1916.531898662195,3284.790168966875,2.393574e-12,2.469872e-11,7.607787215936746e-11,0.1333503583207311,1000000000.0,1010000000.0,0,27,
19,211.53993330226325,0.0028529457151971987,5.7020346830722975e-05,0.00011979442604458599,13166.850206104678,1919.9324924863993,3282.3242523201175,2.393574e-12,2.469872e-11,7.563593448979662e-11,0.13533301636793918,1000000000.0,1010000000.0,0,27,
20,212.78388341017268,0.002845568644288515,5.742335698595275e-05,0.0001201219345702639,13166.850206104678,1922.8688318770921,3279.2604384825713,2.393574e-12,2.469872e-11,7.523635873728081e-11,0.13737147383511378,1000000000.0,1010000000.0,0,27,
21,214.0058784716418,0.0028383840099155087,5.784674013930147e-05,0.00012045780525535518,13166.850206104678,1926.1450499349444,3276.9519289687837,2.393574e-12,2.469872e-11,7.479652149458163e-11,0.13945004484093027,1000000000.0,1010000000.0,0,27,
