Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,L,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Cload,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
1,Rd,-0.0012403343727411002,-0.0008988949219166996,0.0,0.0,-0.0001348662927367402,-0.00020657315808764073,0.0,0.0,Ibias,448.7658960623178,85.04821612462308,0.0,0.0,94.24462489349008,269.4730550442046,0.0,0.0,L,-478921.30322043266,-5286537.473844868,0.0,0.0,-2241550.49604241,7049166.66666666,0.0,0.0,W1,-32286.599520697477,-14778.775286343109,0.0,0.0,-16974.771162249857,-533.0530721051341,0.0,0.0,W2,-11173.541198047218,-1431.693943582729,0.0,0.0,-11981.017926335988,2239.1706718715,0.0,0.0,Cload,1967626663.0772514,62323.924279901956,0.0,0.0,1967564339.1531785,0.0,0.0,0.0,Alo,-2.727586788549795,-0.37124013451906346,0.0,0.0,-2.3563466540307734,0.0,0.0,0.0,Rbias2,-1.234047365923398e-05,-5.281852586626016e-06,0.0,0.0,6.932565515842635e-06,-1.3991186588449934e-05,0.0,0.0,Rbias3,7.530625300848711e-06,3.3815265951405276e-06,0.0,0.0,-4.031010331019008e-06,8.18010903672641e-06,0.0,0.0,
2,Rd,-0.0005320715317431642,-0.00017210467673045213,0.0,0.0,-0.000186527736605036,-0.00017343911840765744,0.0,0.0,Ibias,478.1621614856034,146.59537587337203,0.0,0.0,46.482274887261944,285.08451072497314,0.0,0.0,L,1716982.3480595185,-3518214.052470001,0.0,0.0,-907400.396208051,6142596.79673796,0.0,0.0,W1,-25174.39829250278,-11859.156472677156,0.0,0.0,-13053.525845972226,-261.7159738533982,0.0,0.0,W2,-6157.783315468958,-33.817696078115645,0.0,0.0,-8055.825490553937,1931.8598711634925,0.0,0.0,Cload,45198982779.8936,18570.713263197555,0.0,0.0,1408527318.0241618,0.0,43790436891.15628,0.0,Alo,-1.3637061028653266,0.20688812420809505,0.0,0.0,-1.5705942270733384,0.0,0.0,0.0,Rbias2,-1.7247431389309538e-05,-1.1039456201410985e-05,0.0,0.0,7.1895090711235515e-06,-1.3397484259021269e-05,0.0,0.0,Rbias3,1.0188778368369351e-05,6.533931265002786e-06,0.0,0.0,-4.114356734581996e-06,7.769203837949049e-06,0.0,0.0,
3,Rd,-0.00031481705473328204,-0.00011312411119529455,0.0,0.0,-5.1413668902775214e-05,-0.00015027927463523062,0.0,0.0,Ibias,470.8773792765784,143.49937392171412,0.0,0.0,33.02359229820565,294.35441305665734,0.0,0.0,L,2356501.2815659186,-3347786.6805665903,0.0,0.0,168079.88799416664,5536208.074138425,0.0,0.0,W1,-19030.902144829935,-9546.988059464757,0.0,0.0,-9370.726716336083,-113.1873690289786,0.0,0.0,W2,-2708.8763285873183,238.7921272094199,0.0,0.0,-4709.30619144888,1761.637735652065,0.0,0.0,Cload,792426892.089996,-22835.59761597087,0.0,0.0,792449727.6876119,0.0,0.0,0.0,Alo,-0.5809277146294938,0.3291504388950294,0.0,0.0,-0.9100781535245744,0.0,0.0,0.0,Rbias2,-1.958505235753792e-05,-1.0945896894543127e-05,0.0,0.0,4.327586537246441e-06,-1.2966742000241895e-05,0.0,0.0,Rbias3,1.168502500082956e-05,6.545399779399194e-06,0.0,0.0,-2.5380089611951775e-06,7.677634182625444e-06,0.0,0.0,
4,Rd,-0.00028306275438860404,-0.00015086893790796648,0.0,0.0,2.737714398756473e-06,-0.0001349315308793758,0.0,0.0,Ibias,454.9441466720204,132.68560583051504,0.0,0.0,23.39962781349651,298.85891302801275,0.0,0.0,L,2325537.2775213867,-3207797.218218152,0.0,0.0,385218.5404150817,5148115.955324617,0.0,0.0,W1,-15264.546114366323,-7890.5943613262525,0.0,0.0,-7311.975630538036,-61.976122502052235,0.0,0.0,W2,-1989.2121915351029,221.7933444599337,0.0,0.0,-3877.0735612288727,1666.0680252339855,0.0,0.0,Cload,677724111.1335435,-136907.81220620722,0.0,0.0,677861018.9458699,0.0,0.0,0.0,Alo,-0.37986118169855876,0.36401860620038773,0.0,0.0,-0.7438797878989301,0.0,0.0,0.0,Rbias2,-1.9326843837143624e-05,-1.0332333358538174e-05,0.0,0.0,3.7259379405311237e-06,-1.2720448419136006e-05,0.0,0.0,Rbias3,1.1941593742881183e-05,6.402101053638276e-06,0.0,0.0,-2.254919525599848e-06,7.794412214842804e-06,0.0,0.0,
5,Rd,-0.00025429454892415213,-0.00017439216646919232,0.0,0.0,4.388232635019819e-05,-0.00012378470880517267,0.0,0.0,Ibias,443.51012764229904,124.79953010821254,0.0,0.0,17.06401894472458,301.64657858935857,0.0,0.0,L,2290949.915440421,-3065625.420283332,0.0,0.0,512481.6561431632,4844093.679580487,0.0,0.0,W1,-12813.12546479207,-6783.95989274054,0.0,0.0,-6001.299775514218,-27.865796537393766,0.0,0.0,W2,-2644.6114257668532,-301.4817422113147,0.0,0.0,-3470.012011968381,1126.8823284125765,0.0,0.0,Cload,598514022.7141694,-224469.46296821107,0.0,0.0,598738492.1767058,0.0,0.0,0.0,Alo,-0.25898141162988003,0.38197194315927024,0.0,0.0,-0.6409533547891487,0.0,0.0,0.0,Rbias2,-1.90862007765787e-05,-9.824578669036812e-06,0.0,0.0,3.29617010219203e-06,-1.2557792209734265e-05,0.0,0.0,Rbias3,1.2197598703835732e-05,6.300453894048949e-06,0.0,0.0,-2.070359137024291e-06,7.96750394681101e-06,0.0,0.0,
6,Rd,-3.663210310732407e-05,0.0,0.0,0.0,7.679816215597557e-05,-0.00011343026526330861,0.0,0.0,Ibias,315.7764537826077,0.0,0.0,0.0,11.687238487523254,304.08921529508274,0.0,0.0,L,5164064.093703574,0.0,0.0,0.0,590843.3732945375,4573220.720408998,0.0,0.0,W1,-4561.827026778677,0.0,0.0,0.0,-5072.363443437078,510.53641665834544,0.0,0.0,W2,-1340.8522976914032,0.0,0.0,0.0,-2892.195348279049,1551.3430505876815,0.0,0.0,Cload,538716755.5124793,0.0,0.0,0.0,538716755.5125598,0.0,0.0,0.0,Alo,-0.5665052900274865,0.0,0.0,0.0,-0.566505290027508,0.0,0.0,0.0,Rbias2,-9.432972031951625e-06,0.0,0.0,0.0,2.9618567167015238e-06,-1.2394828748653306e-05,0.0,0.0,Rbias3,6.233366622678228e-06,0.0,0.0,0.0,-1.928706984519167e-06,8.162073607197395e-06,0.0,0.0,
7,Rd,-1.8214186035166393e-05,0.0,0.0,0.0,9.681740782403448e-05,-0.00011503159385922563,0.0,0.0,Ibias,314.0231042101492,0.0,0.0,0.0,8.329509807129355,305.6935944030178,0.0,0.0,L,5316648.800187952,0.0,0.0,0.0,675948.2680335243,4640700.532154427,0.0,0.0,W1,-4441.825609462624,0.0,0.0,0.0,-4444.7023042942365,2.8766948315461662,0.0,0.0,W2,-1047.295822868298,0.0,0.0,0.0,-2557.8564692908853,1510.5606464226225,0.0,0.0,Cload,466608937.0649736,0.0,0.0,0.0,466608937.0650543,0.0,0.0,0.0,Alo,-0.49353156913285334,0.0,0.0,0.0,-0.4935315691328515,0.0,0.0,0.0,Rbias2,-9.782143605441412e-06,0.0,0.0,0.0,2.5818846489756045e-06,-1.2364028254417214e-05,0.0,0.0,Rbias3,6.3595457973927885e-06,0.0,0.0,0.0,-1.6493782503306695e-06,8.008924047723432e-06,0.0,0.0,
8,Rd,-1.7769970154408753e-06,0.0,0.0,0.0,0.00011536933937338176,-0.00011714633638885772,0.0,0.0,Ibias,312.55271133062604,0.0,0.0,0.0,6.198565584941422,306.35414574568034,0.0,0.0,L,5414927.164686897,0.0,0.0,0.0,708276.357997892,4706650.806688874,0.0,0.0,W1,-4009.4529474406586,0.0,0.0,0.0,-4023.2221317902768,13.769184349420497,0.0,0.0,W2,-1320.8354865539634,0.0,0.0,0.0,-2394.442134980795,1073.6066484267706,0.0,0.0,Cload,413151916.09846866,0.0,0.0,0.0,413151916.09810513,0.0,0.0,0.0,Alo,-0.44297831004413313,0.0,0.0,0.0,-0.4429783100441431,0.0,0.0,0.0,Rbias2,-1.0122889836295086e-05,0.0,0.0,0.0,2.2765575198649978e-06,-1.2399447356160462e-05,0.0,0.0,Rbias3,6.491774026557396e-06,0.0,0.0,0.0,-1.429001067445088e-06,7.920775094002228e-06,0.0,0.0,
9,Rd,0.0006879034725895121,0.0,0.0,0.0,0.0008073173481242223,-0.00011941387553471794,0.0,0.0,Ibias,411.9265057203738,0.0,0.0,0.0,105.41572955511197,306.51077616526163,0.0,0.0,L,8372094.128040364,0.0,0.0,0.0,3593414.5510955863,4778679.576944711,0.0,0.0,W1,-2.319328164633167,0.0,0.0,0.0,-27.893048007572233,25.5737198428947,0.0,0.0,W2,4430.120747133341,0.0,0.0,0.0,2962.0392083592874,1468.0815387739347,0.0,0.0,Cload,12451538196.539883,0.0,0.0,0.0,12451538196.539713,0.0,0.0,0.0,Alo,0.11625378209724657,0.0,0.0,0.0,0.11625378209725049,0.0,0.0,0.0,Rbias2,1.5919097878170852e-06,0.0,0.0,0.0,1.4066173620015133e-05,-1.247426383219795e-05,0.0,0.0,Rbias3,1.4172312843564135e-05,0.0,0.0,0.0,6.298707102613847e-06,7.873605740950206e-06,0.0,0.0,
10,Rd,0.0014306328486411032,0.0,0.0,0.0,0.0015627386165344927,-0.00013210576789337634,0.0,0.0,Ibias,516.7904147567322,0.0,0.0,0.0,218.3469474876571,298.4434672690778,0.0,0.0,L,11593374.75806289,0.0,0.0,0.0,6514668.7252937695,5078706.03276915,0.0,0.0,W1,4299.377675960526,0.0,0.0,0.0,4234.136482696617,65.24119326400567,0.0,0.0,W2,9242.596375422436,0.0,0.0,0.0,8314.71256575086,927.8838096715936,0.0,0.0,Cload,27767707727.85757,0.0,0.0,0.0,27767707727.85738,0.0,0.0,0.0,Alo,0.6662266818203734,0.0,0.0,0.0,0.6662266818203745,0.0,0.0,0.0,Rbias2,1.6779521665764757e-05,0.0,0.0,0.0,3.0162700680889405e-05,-1.338317901512484e-05,0.0,0.0,Rbias3,2.2940097022382875e-05,0.0,0.0,0.0,1.4870796480521751e-05,8.069300541861294e-06,0.0,0.0,
