Iteration No,Rd,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Ibias,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W1,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Alo,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias3,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,Rd,-0.0008314124685222375,0.007312845717785504,0.04582718843711407,-0.01334956152838559,0.007735437314850251,-0.0004410288347055617,-0.0007929880675581827,-8.940971448892298e-05,-2.1215351089212155e-07,-0.0020768906056263677,0.0,-0.0009067249044747262,0.0011694183951945958,0.0,Ibias,0.008197762470076824,0.0003975744673789141,0.04682444816875307,-0.01160143438160471,0.008854395267856413,0.008955643247980555,0.0036706126736459,0.003132345375666312,0.0018527366105675484,-0.004904743567858548,0.0,0.0058666798548475466,0.012690054818311857,0.0,W1,-0.0003179975039860711,0.0048569904639283335,0.044189289494362766,-0.01587645477230947,0.005527439844251466,-0.00016759567155293157,0.004261480991891634,-0.003919751936879547,-0.002005274984894744,0.0001733499008200641,0.0,-0.00019186555249018863,0.0002539957291088059,0.0,W2,0.0012284652179126601,0.0016662100648060225,0.05119009843740773,-0.01403397424388766,0.0051786847494805395,0.0006522323814166039,0.0011714093500300499,0.00013234355097824034,0.0,0.0030772915599770545,0.0,0.003397043112425611,-0.0017147144624130694,0.0,Alo,0.0,0.00415592127438917,0.052396800411210656,-0.013278874731992258,0.004312316678924399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.004131302768266024,-0.0016759599787235454,0.04679758002858709,-0.015574171486831935,0.007492963098686779,-0.002232016053355248,-0.003952400061373661,-0.0004432918617516954,-4.243070217842431e-07,-0.010302409563621436,0.0,-0.0027386081935695424,0.005897696489052371,0.0,Rbias3,0.00410465493273643,0.0016258211559116488,0.05106993031915361,-0.01377302380645633,0.006819107609270589,0.0021275928712202056,0.003905189608979397,0.00044318452716052867,4.243070217842431e-07,0.010296454796035843,0.0,0.002706349603314912,-0.00565570311240466,0.0,
2,Rd,-0.0007686957125790118,0.00789867198795371,0.0005555916656588694,-0.0006352412231208255,0.0015560337604748977,-0.00041086542287606403,-0.0007107911427483689,-8.69829901016695e-05,0.0,-0.0019049848677367611,0.0,-0.0008372207601604698,0.000903424763168748,0.0,Ibias,0.008300268449382798,0.0008426521209446505,0.0016175175987799182,0.0010423853391632596,0.0026077456395294987,0.008990155850225001,0.003940434354056364,0.0031051081385346743,0.001836288190234114,-0.004570830886809242,0.0,0.005828509107479117,0.01173129257976686,0.0,W1,0.0007476731187749916,0.006341229632627461,-0.0023671041613713448,-0.003318831015385057,-0.0011688212284079221,0.0003993778114094688,0.005230943457276122,0.00014030215132498764,-0.0009050079169502436,-0.00040151316340140015,0.0,0.0005013609608087708,-0.0008341447909642189,0.0,W2,0.0011864055112101193,0.0017116064935054503,0.005144668889752016,-0.0014337897817013408,-0.0009520932114201288,0.0006342628033096545,0.0010957718038366133,0.0001343295365239801,2.13596392961135e-07,0.002944010310958669,0.0,0.0033745582732364605,-0.0013821180384506776,0.0,Alo,0.0,0.004276859933640786,0.006320861882156873,-0.0006231320542936404,-0.0018206063490027989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.003994292822794937,-0.001754311712665653,0.0013094363468955283,-0.0030680856053593893,0.001271133122415686,-0.0021789799196551478,-0.0037015066675055107,-0.000451203899965449,-4.2719278592227e-07,-0.009882384333686366,0.0,-0.0026630536294312925,0.004763607335043172,0.0,Rbias3,0.003971442177355742,0.0016891419711447268,0.004927399363001593,-0.0011515664860173723,0.0007246230322401008,0.0020672812294384585,0.0036625592076288556,0.0004508781209761744,4.2719278592227e-07,0.009873573700006634,0.0,0.002634718350215897,-0.004572130024930279,0.0,
3,Rd,-0.000791281812501948,0.006975814135493407,-0.00840503964425211,-0.0008989456034883613,-0.0013687452599928215,-0.0004250344034497831,-0.0007162385248979366,-9.35842248043707e-05,-2.162777092359786e-07,-0.0019399631804153435,0.0,-0.000874316158626322,0.0007866830520457163,0.0,Ibias,0.008295194769672849,0.0007810346110859419,-0.007014471092222213,0.0009088668768756737,-0.00046667555878441457,0.008981033485041295,0.00416204459895013,0.0030508013759099465,0.0017992142630823607,-0.004489105350082424,0.0,0.005760248050746595,0.011135848752095986,0.0,W1,-0.00027900688186495535,0.00437471474399586,-0.009685730773693902,-0.0030938023099721535,-0.003424354100857212,-0.0001482335137535613,0.00397133881284923,-0.0038114504069028253,-0.001945850549940152,0.00010203900822977215,0.0,-7.52905778165323e-05,0.0009750888439953579,0.0,W2,6.31195896676834e-05,0.002171607995773405,-0.003009553296345928,-0.002220571898309716,-0.004165384973049819,3.392408772479533e-05,5.6775005022445924e-05,7.318197674271788e-06,0.0,0.0001539750303825913,0.0,0.0031111265868672545,-6.2209459606069e-05,0.0,Alo,0.0,0.0036466268364392213,-0.0023014658908034683,-0.0008133687535221332,-0.0045987030575739985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.003898778132812858,-0.0013488817771908188,-0.006324383786536911,0.0035510891739463234,-0.0016309356258221344,-0.0021379550068264487,-0.0035353358896642938,-0.0004603811627818113,-4.325554184719572e-07,-0.009545229859668951,0.0,-0.0026003497725832314,0.003933059777602911,0.0,Rbias3,0.0038786530462519976,0.0012847262707772738,-0.00420568906063657,-0.0009213344280387042,-0.0021811995003737108,0.0020263496747468255,0.003501853194394743,0.0004598267538670774,4.325554184719572e-07,0.009533620631187562,0.0,0.0025736002870497088,-0.003776291939396043,0.0,
4,Rd,-0.0008555202785465621,0.005374650308628652,-0.017310661027833296,0.016530587327572486,-0.002745863102008085,-0.0004609923628932006,-0.0007654713537067226,-0.0001037504190791377,0.0,-0.002073985802285239,0.0,-0.0009820073400003218,0.0007431073346214847,0.0,Ibias,0.00821842654883123,0.0001646588115431447,-0.0159850152558019,0.017835900419758063,-0.001995990142706644,0.008940812727096755,0.004285798403445424,0.002993244896294853,0.0017661792327178067,-0.00457829657515492,0.0,0.005803842503345445,0.010807772881498477,0.0,W1,-0.00023809717805063543,0.00378047558673403,-0.017141228828892106,0.009730007265707021,-0.004666561665716682,-0.00012854125674327343,0.003828758730719516,-0.003756308840985427,-0.0019128318645086908,0.00013300953636244267,0.0,-0.00016892068074352137,0.001129339228675051,0.0,W2,0.0011370724548724763,0.0011038342063676954,-0.010751408013490761,0.011924030496437749,-0.005000078325586381,0.0006122173708263639,0.0010150206228636905,0.00013784307862385476,2.1888452506736844e-07,0.002758292783480305,0.0,0.0032599423991815737,-0.0009779589625075855,0.0,Alo,0.0,0.0026987699698551985,-0.010260547546985946,0.014828946198957171,-0.00576928989304943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0038439567224430285,-0.000652545662738648,-0.011855999483592007,0.006725144882360777,-0.0028342660019882054,-0.002112759707608779,-0.0034439201105868748,-0.0004654044454110545,-4.3776905013473687e-07,-0.009310065692266594,0.0,-0.002521452926454343,0.0033869566093932355,0.0,Rbias3,0.0038258504731615317,0.0005788819841115861,-0.013006031575447734,0.014728296667944668,-0.0035503807562345295,0.0020042191777214506,0.0034116749803023557,0.0004648381221627893,4.3776905013473687e-07,0.009296824923940706,0.0,0.0024948110741223675,-0.0032507851082847826,0.0,
5,Rd,-0.0009418583914563855,0.0022465656150787204,-0.038680840585877896,-0.10199641153473533,-0.0034208132670553093,-0.0005075926290109149,-0.000837138920395289,-0.00011549251778430305,-2.213390793021966e-07,-0.002261635162822129,0.0,-0.0011586076945869898,0.0007382876608660916,0.0,Ibias,0.008097652164795669,-0.001805872610146117,-0.03521639725660396,-0.10041052971392296,-0.00273949263348933,0.008882025422635465,0.004345407443701244,0.002934481059978496,0.001736405077075725,-0.004783421309123033,0.0,0.005875676676967228,0.01065129038175441,0.0,W1,0.0004991580628365514,0.004166422865937253,-0.04070356974614966,-0.06334319999941992,-0.005458719444821351,0.00027107040921004046,0.004569411471713213,-0.0005099474433898798,-0.0009851802419458175,-0.0003332809834427491,0.0,0.00045824612735187426,-0.0005049789952453324,0.0,W2,0.0011228816027545143,0.0005232946609035294,-0.028786503958631568,-0.07257613822943632,-0.005199006941050559,0.00060495570825489,0.0009968517621199709,0.00013792049421078824,0.0,0.0026998157363770777,0.0,0.0032140796763882183,-0.0008722047424782329,0.0,Alo,0.0,0.0008225918773672402,-0.029038159683386813,-0.08773517837906142,-0.006132289767556737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.003826579763576527,0.0009823318013283784,-0.026684393665308975,-0.03532193529284497,-0.0027611049199276925,-0.002100191682052221,-0.003407432873233979,-0.0004690221668177124,-4.426781586043932e-07,-0.009182610405320044,0.0,-0.002314315803067764,0.0030434749250727094,0.0,Rbias3,0.0038095528278604025,-0.0010905053342453882,-0.03256891218900426,-0.08806466412347937,-0.004105881100757023,0.0019955807309044874,0.003377655902743016,0.00046844412618814483,4.426781586043932e-07,0.009169423028277302,0.0,0.0022785170669080133,-0.0029203688578617448,0.0,
6,Rd,-0.000882138267337156,-0.0003955763934319926,-0.03385347688386752,0.012927805812094254,-0.0022500373009345367,-0.0004836677113566068,-0.0007823932729878785,-0.00010928280931568447,0.0,-0.0021012008151937646,0.0,-0.002132675630223977,0.0006247624403711112,0.0,Ibias,0.007996561004115318,-0.0034811621681032,-0.015776796720681673,-0.020560007998432696,-0.0016679031580174545,0.00883145880936214,0.004465398395832156,0.0028636604994854045,0.0016975980559359332,-0.004933908504444737,0.0,0.00596941229251179,0.010508966012992192,0.0,W1,-8.955718450109018e-05,0.0028428627889768997,-0.027023480912758413,-0.017105641132646846,-0.003361828315208008,-5.620677144436859e-05,0.003590112276051387,-0.0036402685200841423,-0.001850741160981915,0.0003847184300598488,0.0,-0.0009071144050343889,0.0012078281045231358,0.0,W2,0.0012403670053420994,3.391074797803467e-06,-0.018563204143303962,-0.0174251767598292,-0.0036784854539753113,0.0006600074106096622,0.0010990139620564846,0.0001541350372434199,2.2455000740537984e-07,0.0029573347863126767,0.0,0.002238308389254158,-0.0008687402714701767,0.0,Alo,0.0,-0.0007748713268568632,-0.008909839436597696,-0.010639213570962315,-0.004734484888556794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.003689756001450664,0.0023935373471616543,-0.023936137896946943,-0.014423578124604739,-0.001018495296253829,-0.0020345403878218675,-0.003276762461869835,-0.0004568282474110223,-4.491000148107597e-07,-0.008778684551959673,0.0,-0.0033482819357142386,0.0026489513949984355,0.0,Rbias3,0.0038088670568375295,-0.0024806184157312103,-0.015163673391862635,-0.0173783806308567,-0.0028420681322325735,0.00199714961711849,0.0033703094836400223,0.00047320287030534546,4.491000148107597e-07,0.009087543009894873,0.0,0.0023724785847554974,-0.0026337889309187407,0.0,
7,Rd,-0.0010225060694209493,-0.0006440828475336864,0.0014968460217630612,0.004792372811201551,-0.000806665510330473,-0.0005469085973201281,-0.0009103349330796653,-0.00012564363587717867,-2.2697976861881124e-07,-0.002426710637623821,0.0,-0.0011905582527758818,0.0007068208209217797,0.0,Ibias,0.007999606307823617,-0.003434336954161568,-0.012687303063370613,0.004948293017822113,-0.00034152111991820374,0.008834884211601907,0.004608854875327669,0.0028224382813500943,0.0016707980767549377,-0.004889640837003412,0.0,0.005866932091407949,0.010494812354183734,0.0,W1,-0.00022600847167239134,0.0026364885917233806,-0.01275258841561,-0.007156490401374544,-0.0018617407850971344,-0.00012077462989548318,0.0033164521759019502,-0.003605984465745552,-0.0018251443194114455,3.683345263283064e-05,0.0,9.732933429292929e-05,0.0012738573492707152,0.0,W2,0.0010780968628566804,-7.816537261768598e-05,-0.007472525277155993,-0.0073928526637223775,-0.002176654522241242,0.0005818696743949578,0.0009597178416550523,0.00013267095591659983,2.2697976861881124e-07,0.00256422219411962,0.0,0.0034501801316528294,-0.0007384182531497803,0.0,Alo,0.0,-0.0011055003632326062,-0.005648825258930232,0.014676086923646007,-0.003217237168724468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.004064507192172787,0.0025011837834288102,0.017436174234069693,-0.00776732535347397,0.0004754266432228062,-0.0022091488982494425,-0.003626394904723468,-0.0004993032048698825,-4.539595372376225e-07,-0.009641770117511024,0.0,-0.0015851095472838625,0.0028554462124122672,0.0,Rbias3,0.0039032027587615724,-0.0025627205443810143,-0.010169884666037417,0.0011483647064884563,-0.0014397499103129816,0.00204045558928591,0.003469799102530635,0.0004808867799389278,4.539595372376225e-07,0.009287555081359028,0.0,0.0025392488335790712,-0.0026335772861172117,0.0,
8,Rd,-0.0010060287202570321,-0.000226292633428518,-0.016533891875171174,0.02775189782283153,-0.00028084416262142884,-0.0005378123654534961,-0.0009010686517955186,-0.00012262370359317874,0.0,-0.0023892588539069764,0.0,-0.0011592282945009453,0.0006940108072808597,0.0,Ibias,0.008015626979454724,-0.002949183171077378,0.006485257622745145,0.027931788319658663,0.00010003822785485466,0.008844661571427562,0.004736469972408021,0.002788919007352032,0.0016491799096821063,-0.004832363688274281,0.0,0.005823975572703606,0.010512799935799608,0.0,W1,-0.0001872331229367288,0.002511155126973533,-0.006522619987507029,-0.002869683431538299,-0.0013221969926880603,-0.00010029541104951364,0.0032253570093896495,-0.0035643444777122835,-0.0018067244497905418,0.0001152053535427008,0.0,-0.00014153696295256772,0.0012109885848137515,0.0,W2,0.0011317823102890098,-1.7743875188333035e-05,0.0021295923160396797,-0.003165170241554579,-0.0016617219283407204,0.0006055055461121473,0.0010130511721053843,0.00013815193138509314,2.2898915714100528e-07,0.0026891684427491963,0.0,0.003128350022712334,-0.0007721946550490597,0.0,Alo,0.0,-0.0010376360969630999,0.01393212663235555,0.036926186065814125,-0.002689131731251257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.004029703929473685,0.0022422933697777508,-0.0050195903019183054,-0.003421354068992706,0.0009703830122008589,-0.002193806571713631,-0.003614691585815713,-0.0004903715744698421,-4.57978314154896e-07,-0.009557035415628254,0.0,-0.0026793983822639687,0.0028232290755740635,0.0,Rbias3,0.003893703750624013,-0.002312392853721058,0.007327694165960305,0.0001655140559555487,-0.0009583896033560652,0.0020335330116249086,0.0034792708635805556,0.00047545954619383144,4.5797831428201057e-07,0.009259630290993729,0.0,0.0034719377615997945,-0.0026186422668769906,0.0,
9,Rd,-0.0010964287748477146,0.00012076605400866263,0.0013482274267280743,-0.0033188536547104994,-0.0002189329187424054,-0.0005775996978787828,-0.0009864219991702816,-0.00013272109330214932,0.0,-0.002603595022628743,0.0,-0.0004248063672641857,0.0007583703440884034,0.0,Ibias,0.008020542613582426,-0.0025536641274072625,0.0014656742894658958,-0.006283346513556098,7.959731029875788e-05,0.008849029594590758,0.004830854757526349,0.0027607985090290325,0.0016323782690795424,-0.0048044345102321445,0.0,0.00583869459555822,0.010540414084732006,0.0,W1,-0.0002667502040971115,0.00241687025996901,-0.006512520114987483,-0.002956260068293043,-0.0012670678965609886,-0.00013675336391782365,0.003055948418621801,-0.003549883466385177,-0.0017942327245730723,-7.826055419938262e-05,0.0,0.0004123857948305856,0.0012352480023182905,0.0,W2,0.0011590818476961084,3.942257838080573e-05,0.0004817113809022479,-0.003226317409348492,-0.001628003153922127,0.0006170332002283423,0.001041949065348869,0.00014033726140336484,2.3056190229101157e-07,0.0027543897490125875,0.0,0.0029861790934872677,-0.0007926059410172856,0.0,Alo,0.0,-0.0009695212535693627,0.008647469531320806,0.0038922655801144324,-0.0026257484014426532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.004087638358869139,0.0020176094834713763,-0.0013129520474968372,-0.0035331766171255666,0.0009751368079035525,-0.0022183872860322413,-0.0036817711174332184,-0.0004939272296362587,-4.6112380483799825e-07,-0.009696673544687714,0.0,-0.0029640727535600723,0.0028726778150219338,0.0,Rbias3,0.004089536936834273,-0.0020998792907843643,0.003168227199483918,0.00024765406752996083,-0.0009468449543422813,0.002123847991937425,0.0036706657041975913,0.0004958000578580593,6.916857071290098e-07,0.009729123042770205,0.0,0.0028068214695406114,-0.0027540635751577038,0.0,
10,Rd,-0.000847930402027336,0.0003527778419720509,-0.0034226871043122374,-0.003163828016037655,-0.0002744535883541809,-0.0004497256493955609,-0.0007652211253398141,-0.00010108888989922986,0.0,-0.0020071189090368614,0.0,-0.0020743516687223716,0.0005748163271384003,0.0,Ibias,0.008136071075324757,-0.0022508990544558177,-0.002460933609369105,-0.0029350547497483926,-4.593113280936441e-05,0.008912161628268694,0.005037105696740772,0.002738543745962974,0.0016156144286992972,-0.004490985083882837,0.0,0.004997662686136425,0.010442958309541426,0.0,W1,0.0005240345244000695,0.0029957373053182096,-0.008141002067202523,-0.0027239977038882135,-0.0017948658995550057,0.0002780961802309928,0.00392494941619986,-0.001081752718795906,-0.001044139358078736,0.00010981983087757028,0.0,-0.0007095951394919683,-0.00028775443846495947,0.0,W2,0.0012801138566524153,7.806971283086245e-05,-0.0015595738891593085,-0.0030808891707894046,-0.001698933100520635,0.0006788214879069839,0.0011540503370181198,0.00015303029187003475,2.3249596026031274e-07,0.0030342573272438282,0.0,0.0022035886686655724,-0.0008584154668528966,0.0,Alo,0.0,-0.0009315082639699775,0.0045552688827335515,0.0074894888468075745,-0.002678441148348035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.004019209442676788,0.0018539050404703002,-0.0005627878421257667,-0.003353945662362527,0.0008955488288797563,-0.0021655072484588387,-0.0036330002101248766,-0.00047928325437150167,-4.649919207787478e-07,-0.009506521359957039,0.0,-0.004165275134409911,0.0027708917167235917,0.0,Rbias3,0.004301530625563702,-0.0019462153228457949,-0.0002675841950062765,0.0003951084601951661,-0.0010430522782101472,0.0022293872750988046,0.003873891034868338,0.0005147151642732173,6.974878810390606e-07,0.010206784281552195,0.0,0.00204166840248567,-0.002839107871209274,0.0,
