Iteration No,Rd,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,Ibias,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,W1,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,W2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,Alo,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,
1,Rd,-0.028509107018884757,0.6487213177363218,1.0102548639165552,0.8199984574821516,-0.5688052808204391,-0.016811189891500395,-0.024637178040891345,-0.0003158775332648216,0.0,-0.09921206645702271,Ibias,0.9114453809606445,-0.09377843921403646,1.4466163670538268,0.9748551205542129,-0.05556102944049646,0.9448343075493439,0.4378165993591485,0.36164920679075013,0.13044701042474502,-0.414846522745636,W1,-0.027791251806178946,0.2737171078941974,1.2726734536736237,0.6832905516164265,-0.9075707128479319,-0.016432559488536398,0.4561317845442625,-0.35838853547967,-0.13034213543312956,0.012634244387951481,W2,0.08737323446073904,0.3480159523516802,-0.10861202415805597,0.9691898807161249,-1.436929209510603,0.05164518696388492,0.07545484414336223,0.000947632599780324,0.0,0.30441879372666963,Alo,0.0,0.2634689884582441,-0.05007719036103862,0.9608893460167003,-1.3258233420739765,0.0,0.0,0.0,0.0,0.0,
2,Rd,-0.03013145525118114,0.5792287088918274,1.1735100587378597,0.9525613139371866,-0.5459664970403179,-0.01785290578929029,-0.025848470032567593,-0.0003400907300302215,0.0,-0.1043229309725482,Ibias,0.910914945382529,-0.08644120728732926,1.6103876144177698,1.072782268691168,-0.06298565175761862,0.9443729395725009,0.45152719993357726,0.35988813282254034,0.1289300090475712,-0.4116133871410738,W1,-0.027007285512197467,0.24622824812119745,1.3495652814885497,0.7061485783232249,-0.8750054916389912,-0.016021838528856004,0.4435198937279177,-0.3566933411162547,-0.12884225380045333,0.01219301767062813,W2,0.0855661034296392,0.30465578961018647,0.024571783364029685,1.0283559190958127,-1.3966608265815919,0.05050693860050754,0.07326500678037721,0.0009378259524811432,0.0,0.29646200004225454,Alo,0.0,0.2253826357446177,0.07456977139919413,1.0228707808538142,-1.2884679886573027,0.0,0.0,0.0,0.0,0.0,
3,Rd,-0.03182720117988834,0.5026962223411235,1.4156143890061172,1.1083949268070368,-0.5108499664285151,-0.018830813975401033,-0.02710312657196876,-0.0003646227201939047,0.0,-0.10959290065502632,Ibias,0.9100655343914482,-0.09780888794143651,1.84474327695042,1.196780129215699,-0.05546748674584874,0.9438465127253973,0.46386845362826795,0.35819494251617534,0.12754688524128008,-0.4094530767386628,W1,-0.026288644111824265,0.2227763031909471,1.4697451431341098,0.7348018506300239,-0.825611034692014,-0.01560267443676027,0.4318907958405131,-0.35504876933061497,-0.1274587882076711,0.011812408453834154,W2,0.08393644232737149,0.2674867842429039,0.21503393724087402,1.066435629020839,-1.3397876726132116,0.049575000057643225,0.07141371484175509,0.0009271834884554823,0.0,0.28936025745800753,Alo,0.0,0.18676180547875557,0.23900731903246727,1.1065206918651296,-1.2365217175516634,0.0,0.0,0.0,0.0,0.0,
4,Rd,-0.03341055700172316,0.41700211599945314,1.7819654793729158,1.2854951197615225,-0.4589494271958367,-0.019773573200973425,-0.028296253754674094,-0.0003791432058693905,0.0,-0.11440368979075924,Ibias,0.9091919942640776,-0.12442114408704236,2.14582554153694,1.3403180939384876,-0.028748787129853168,0.9433157568238326,0.47587662322863356,0.3564683358024966,0.12620404585231484,-0.4071310328813863,W1,-0.025464404119836852,0.2026308730155606,1.6210423358865391,0.7496373556557159,-0.7519241312951747,-0.01512096774192329,0.4205239000332716,-0.3533509361098382,-0.12609791771284243,0.011392537713867282,W2,0.08247739542416906,0.23276287666339088,0.49625097782667793,1.1076034017316339,-1.2590762148609658,0.04877481389579101,0.06971963553987937,0.0009267945032184243,0.0,0.2825523284912175,Alo,0.0,0.14519943951129327,0.4748544860131801,1.1854110584376791,-1.1641979351074319,0.0,0.0,0.0,0.0,0.0,
5,Rd,-0.03469192351863661,0.328505184083557,2.0344979410337776,1.2098339629389314,-0.38797846174504114,-0.02055588769267787,-0.029183526744663162,-0.0003941779280809984,0.0,-0.11788262086314927,Ibias,0.9085146393021315,-0.15960230691725377,2.2936612721638086,1.2714230049458761,0.018462969550520937,0.9429032759180603,0.4884104123914082,0.3546109868681119,0.12481937776439106,-0.403305376872462,W1,-0.024560184387044416,0.1844829903744186,1.6394228858034858,0.7497456513788708,-0.6525399502043115,-0.014593111110047442,0.4088966663139128,-0.35154279110360387,-0.12474833657044229,0.010924653142265268,W2,0.08100086729808081,0.20055983535810978,0.6703771186753429,1.1103498990926979,-1.152953956475089,0.047937585420696455,0.06804034708940478,0.0009268508038673301,0.0,0.2757071553887316,Alo,0.0,0.1017973266098164,0.5966607968911456,1.112070001868683,-1.0696714985877254,0.0,0.0,0.0,0.0,0.0,
6,Rd,-0.035427885945895056,0.2553303551903513,2.409053549441944,1.5727105504036527,-0.30197909574463927,-0.02095600831866514,-0.02960812339240068,-0.0004098828802903088,0.0,-0.11954874630103558,Ibias,0.9082299302102906,-0.18783005417017473,2.5138507188105597,1.5272395921957689,0.0800365858306386,0.9427016517796729,0.5019377134562988,0.35257478178320084,0.1233863625336359,-0.39713990757237594,W1,-0.023501933458036077,0.16872988112831855,1.6507958931591413,0.8344522012462982,-0.5385229278789005,-0.013944111999104508,0.39679977652051324,-0.34954380574744354,-0.12333284813613075,0.010276396530173105,W2,0.07949737629045223,0.17355463779731795,0.9393327628794366,1.3724273124297102,-1.0315584617127067,0.04709125823697337,0.06632728870521698,0.0009168432848366597,0.0,0.2684708593508095,Alo,0.0,0.0639653759873389,0.801193082639169,1.315206984692779,-0.9603248153917849,0.0,0.0,0.0,0.0,0.0,
7,Rd,-0.03568327720480814,0.20670083986716134,2.553948140628812,1.35279857314839,-0.22350553009110094,-0.021186819038572814,-0.02962004270101357,-0.00041527785367810675,0.0,-0.11938209692638391,Ibias,0.9083065845786822,-0.20089730394377056,2.5629478276941207,1.306565868629398,0.1327669147640197,0.9426105083375452,0.5160161626213282,0.3503961532156738,0.12194608388207587,-0.38893542128309416,W1,-0.022308899880727494,0.15499077176738252,1.5346030573980916,0.7585921961651586,-0.43793387881539586,-0.013312790506996524,0.38453162577921707,-0.34737992459428213,-0.12187440359762655,0.009584495170649179,W2,0.07797152353890456,0.15337376089892646,1.0000566942873579,1.2643972094870894,-0.9225800136999815,0.04618888901515738,0.06467529028189206,0.0009179826239024647,0.0,0.26111387949405607,Alo,0.0,0.03610887876724158,0.8510422781302228,1.1132211142979371,-0.861510185852389,0.0,0.0,0.0,0.0,0.0,
8,Rd,-0.03562862730863681,0.17685746304321343,2.605811314391218,1.7257350723549008,-0.16876695011688136,-0.021122280609913734,-0.029411678470425272,-0.00042079721582210134,0.0,-0.11810583929041277,Ibias,0.9085160243593549,-0.20253643762696458,2.5483196900893437,1.0805754792624616,0.1616246118655962,0.9427163749859139,0.5298316882340066,0.34814325443237637,0.12052817082703202,-0.3798028518382632,W1,-0.02101390410674088,0.14260737959377368,1.4163452793021634,0.6791861423669039,-0.3670407593080852,-0.01250770341999134,0.3726212274253974,-0.3451533794778121,-0.12047416268475294,0.008817001866682416,W2,0.07656661868677557,0.1383490606659088,1.0187344057512875,1.1725825244274806,-0.842757191180833,0.04547502766605113,0.06312973976986391,0.0009080360973124564,0.0,0.25397163948370644,Alo,0.0,0.016074308336190987,0.8617941341673063,0.917500777413648,-0.789828271965779,0.0,0.0,0.0,0.0,0.0,
9,Rd,-0.03543040675703646,0.15913331466121955,-89.55838653722257,-16.072117215214227,-0.1340489607067269,-0.02105547992119916,-0.029105443547411083,-0.000426263675485771,0.0,-0.11631822471285214,Ibias,0.9087058466726987,-0.19813382337375227,-90.77454755819751,-15.1668878654826,0.17152423480356907,0.9426766673149573,0.5428653691672612,0.3459017551967796,0.1192062153600033,-0.37057207115449964,W1,-0.01969622773058258,0.13205433912603212,1.3317629729200509,1.1217872323413076,-0.32047126531361625,-0.011753862285319662,0.3614309924495452,-0.34292912693347116,-0.11917004842571034,0.008064951963650657,W2,0.07525042143086208,0.1272596692390978,-3.699834477974491,1.6893585039257981,-0.7872598211590828,0.044647764652165176,0.06176842389322907,0.0008973972115727523,0.0,0.24726976432879172,Alo,0.0,0.0018629196006302532,-4.079706841040925,1.4429544373220542,-0.7411286312765284,0.0,0.0,0.0,0.0,0.0,
10,Rd,-0.03517351881696592,0.14778579290488814,-84.82787912073461,-2.632076017723034,-0.11284302070708152,-0.020885853631585963,-0.028777127916473407,-0.00042023272942808866,0.0,-0.11435517804116697,Ibias,0.9088720986207284,-0.19119554353200732,-86.04025938195097,-1.640505769183214,0.16952050718470185,0.9427114843714285,0.5549106007257925,0.3436935844659209,0.11799314669942008,-0.36171979975284185,W1,-0.018342554027689667,0.12266440357413358,-84.56743546897933,-0.003493456603773876,-0.29021557278429994,-0.011047063077856797,0.3510772497971535,-0.3407178824359187,-0.1179386631777881,0.007371111584222826,W2,0.0740969417061461,0.11862566134245606,-84.39086518689409,-0.6003974870405667,-0.7483595017451966,0.04401564195089182,0.060578544582367395,0.0008972536655373528,0.0,0.24106417437991604,Alo,0.0,-0.00872261790570217,-85.9349712146004,-0.991575675205775,-0.7083100550304643,0.0,0.0,0.0,0.0,0.0,
