Iteration No,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,
1,0.003908049,9.814743242572051,-4.128273415821006,48.56287854634249,11.87177492045166,0.017202497,0.05368131,0.09841911,0.5727022,0.2251266,
2,0.003886304,10.273420756407258,-4.046480880984689,49.03315287690263,11.508128594160606,0.017100927999999998,0.05401522,0.09754493,0.5708509,0.2264308,
3,0.003865639,10.69129899036416,-3.9852842261319736,49.66249354661838,11.184689506464622,0.017005261,0.05432291,0.09672072,0.569105,0.2275731,
4,0.003843706,11.063494953101854,-3.94428014182472,50.52093414052814,10.89123827264286,0.016904524,0.0545907,0.0959196,0.5674077,0.2286439,
5,0.003818183,11.384587723131698,-3.9281490684665954,51.61130784954253,10.620108790438652,0.016787875,0.05480226,0.0951163,0.5657051,0.2297373,
6,0.003786925,11.651954863288887,-3.9417250129422996,52.79085469741699,10.366751131703767,0.016645291000000003,0.05493918,0.09428952,0.5639519,0.2309412,
7,0.003748428,11.869572870744097,-3.973952371990123,53.79544977772248,10.130039703223444,0.016469687,0.05498624,0.09342416,0.5621155,0.232327,
8,0.003703087,12.048041787971718,-4.01505254430397,55.39305850750124,9.91223450855559,0.016262779,0.05494263,0.09252328,0.5602014,0.2339025,
9,0.003652872,12.19915019211869,-4.065205826313928,56.433919372416156,9.7150267180355,0.016033563,0.05482183,0.09160422,0.5582452,0.235621,
10,0.0036001,12.3315175812835,-4.111135791530728,57.24158308672057,9.538818123982542,0.015792725,0.05464236,0.09068786,0.5562906,0.2374119,
11,0.003546537,12.450304616093423,-4.151039004887771,57.88112782650603,9.382298168382242,0.015548338000000002,0.05441981,0.08979006,0.5543707,0.2392209,
12,0.003493618,12.558983072800551,-4.186661481269226,58.73996975263222,9.243085335369596,0.015307032,0.05417006,0.08892134,0.5525076,0.2410036,
13,0.003441976,12.659446296128152,-4.0144852482537985,49.34815933255064,9.11896858428764,0.015071667000000002,0.0539013,0.08808636,0.5507114,0.2427398,
14,0.003392029,12.75304200963139,-0.7190221449413912,48.6592624386723,9.00786298117902,0.014844167,0.05362005,0.08728788,0.548988,0.2444163,
15,0.003343918,12.840810054345495,-0.8388200590141253,48.08373539603579,8.90789118387423,0.014625130000000002,0.05333124,0.08652453,0.5473348,0.2460298,
16,0.003297696,12.92358274894778,-0.9518105096576193,47.583767135604916,8.817494735156918,0.014414816,0.05303775,0.0857959,0.5457511,0.247579,
17,0.003253263,13.001882393657313,-1.0582000727153584,47.12654745249267,8.735471758556026,0.014212718000000001,0.0527412,0.08509936,0.5442317,0.2490684,
18,0.003210674,13.07624619642197,-1.1578357472834,46.71315755504946,8.660869192871058,0.014019083000000002,0.05244458,0.08443403,0.5427749,0.2504961,
19,0.003169766,13.147074459305584,-1.2510646294004175,46.33456099845634,8.59271908248215,0.01383317,0.05214793,0.08379763,0.5413762,0.251869,
20,0.003130384,13.214675544474781,-1.3380757908977756,45.98129813805244,8.530250505372518,0.013654225,0.05185115,0.08318809,0.5400313,0.2531917,
21,0.003092448,13.279421273131803,-1.4191339827523919,45.621997228254614,8.472979305589066,0.013481923,0.05155518,0.08260347,0.5387365,0.2544653,
22,0.003055834,13.341408471030068,-1.4946296858563954,45.32004295428207,8.420286192118676,0.013315653,0.0512595,0.0820427,0.5374896,0.2556966,
23,0.003020548,13.40102681914776,-1.564598079739845,45.02000324627865,8.371648519381258,0.013155441,0.05096611,0.08150409,0.5362873,0.2568849,
24,0.002986463,13.458395509572176,-1.6293715029964844,44.77856616086383,8.326731509591704,0.013000728000000001,0.05067456,0.0809861,0.5351264,0.2580332,
25,0.002953534,13.513629541236213,-1.6892705170627735,44.490528548489806,8.285232768123823,0.0128512748,0.05038526,0.08048789,0.5340055,0.2591444,
26,0.002921646,13.566985662523823,-1.744470555289226,44.20477493758371,8.246731488662123,0.0127065679,0.05009805,0.08000744,0.5329203,0.2602212,
27,0.00289076,13.618496008368679,-1.795229836824376,43.97329495270199,8.21100540490977,0.0125664253,0.04981287,0.07954471,0.531871,0.2612656,
28,0.002860842,13.668299431575246,-1.841789709926715,43.696946415690746,8.177830091012012,0.0124306793,0.04953037,0.07909844,0.5308551,0.2622799,
29,0.002831722,13.716495010192393,-1.8844438661428953,43.472278720133275,8.147045040288496,0.0122985772,0.04924906,0.07866684,0.5298687,0.2632664,
30,0.002803504,13.763107617372501,-1.9232591193912185,43.29498589751127,8.118492369659688,0.0121705623,0.04897082,0.07825061,0.5289137,0.2642249,
31,0.002776092,13.808338648549665,-1.9583377547398442,43.025377650386105,8.091696670615852,0.0120462082,0.04869531,0.07784805,0.5279865,0.2651574,
32,0.002749402,13.852208301589435,-1.9901256697036018,42.84971862983396,8.066712077875021,0.0119251275,0.04842196,0.07745813,0.5270849,0.2660679,
33,0.002723407,13.894770682563342,-2.018678433509308,42.633035244521295,8.043438107016232,0.0118072006,0.04815115,0.07707989,0.5262069,0.2669563,
34,0.002698146,13.936183928955227,-2.0439826960182614,42.41344681141321,8.021583184948025,0.0116925913,0.04788349,0.0767141,0.5253546,0.2678222,
35,0.002673474,13.976393563470754,-2.0664552258334936,42.28160669921088,8.001314213299104,0.01158066,0.04761746,0.07635925,0.5245246,0.2686681,
36,0.002649437,14.015484501220122,-2.0860628165105766,42.067360754663696,7.9823328464813965,0.0114715939,0.04735432,0.07601503,0.5237164,0.269495,
37,0.002626012,14.053574600269963,-2.1029274924032535,41.850378662220066,7.964531183229661,0.0113653007,0.0470941,0.07568114,0.5229296,0.2703029,
38,0.002603073,14.090676168587525,-2.1173236474029267,41.72020947351004,7.947797967714246,0.0112611993,0.04683566,0.07535566,0.5221596,0.2710957,
39,0.002580653,14.126698087177093,-2.129298582704635,41.55030252688583,7.932298999855219,0.011159456100000001,0.04657917,0.07503995,0.52141,0.2718706,
40,0.002558799,14.161891901318363,-2.138791586391193,41.37756846988175,7.917666787584516,0.0110602622,0.04632633,0.07473271,0.5206779,0.272629,
41,0.002537432,14.19606323281618,-2.146220685071505,41.208056634397934,7.904120762690435,0.0109632835,0.04607553,0.07443475,0.5199652,0.2733704,
42,0.002516497,14.229392302652833,-2.151406909135787,41.03964993274428,7.891420200536552,0.010868247000000001,0.0458265,0.07414478,0.5192692,0.2740994,
43,0.002497034,14.241679691618188,-2.169979433368532,42.29291820320098,7.86813180656289,0.010778041300000001,0.0455957,0.07386247,0.5185882,0.2751052,
44,0.002483093,14.2772898046222,-2.1567558823878485,41.29065691523529,7.868544493402434,0.0107149887,0.04543879,0.07364618,0.5180653,0.2755296,
45,0.002466018,14.309643539991361,-2.153323519834089,40.835157363298435,7.855435776289756,0.0106375685,0.04523493,0.07340179,0.5174728,0.2760974,
46,0.002452612,14.166237958563084,-2.2191207242073006,51.6208273149029,7.778740975660428,0.0105673763,0.04508428,0.07315118,0.5168588,0.2782425,
47,0.002463346,14.26382308601539,-2.157039397541297,44.58285182229932,7.831959702439417,0.010617031100000002,0.04527544,0.07317912,0.516926,0.2775933,
48,0.002460322,14.314404002212214,-2.1379265342946354,42.08226112481883,7.811308371168629,0.0106038959,0.04526858,0.07307627,0.5166749,0.277535,
49,0.002448862,14.349420079311077,-2.126180088053786,40.99858930613165,7.796274342117464,0.010552168900000002,0.04513889,0.07289461,0.5162312,0.2778512,
