Iteration No,Rd,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,Ibias,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,W1,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,W2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,Alo,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,
1,Rd,-0.0281726252664662,0.6643909583007542,0.7931534049580408,0.6339669345646265,-0.3945944556599966,-0.016625493380410774,-0.02442190773661014,-0.00030481885073805964,0.0,-0.09816698693090864,Ibias,0.9114778243568482,-0.09842327462797187,1.2301936540250407,0.7879572177796408,0.12725612834455627,0.9448570169784057,0.4341734581365375,0.36208415215297113,0.13083588643451216,-0.4159881595511178,W1,-0.02796791954247813,0.28168328288043365,1.0726710270955793,0.4843792737616819,-0.7359424002980014,-0.01654992295595381,0.45935913262921096,-0.35881242982181183,-0.13073111994332245,0.012792801916786153,W2,0.08786993203002509,0.3600100946922112,-0.3205389161558594,0.771572132222627,-1.2681236844979442,0.05191688160155015,0.07605999182955603,0.0009449384372569633,0.0,0.3065386320408157,Alo,0.0,0.273403281596778,-0.2618885382483916,0.7627769922024881,-1.1562611157952438,0.0,0.0,0.0,0.0,0.0,
2,Rd,-0.029385246239099754,0.6114666926343084,0.8892804075346205,0.6779435950618895,-0.3813678422821344,-0.0173323927215977,-0.025307681797834658,-0.0003178022681479838,0.0,-0.1019737597535222,Ibias,0.9111742159131131,-0.08815075559107016,1.323622375542816,0.8214043207813126,0.11654299874823813,0.9446154033278354,0.44522636397666426,0.360715826030113,0.12963104726645133,-0.4131063441899137,W1,-0.027378197897032067,0.25839573441525254,1.1074655483207623,0.487678612172548,-0.7159743904246608,-0.016192103726746402,0.44931780338948624,-0.35747629323226465,-0.12952594101192738,0.012409972494909315,W2,0.08640600426522851,0.3242134529495614,-0.24038465714251486,0.7832459899046506,-1.242256111956829,0.05108494696897293,0.07425684834755089,0.0009431551183659418,0.0,0.30013584724339726,Alo,0.0,0.2431193621952373,-0.18519942084674734,0.7894463084738131,-1.1323383366258746,0.0,0.0,0.0,0.0,0.0,
3,Rd,-0.030680567947504726,0.556302953419716,1.010362961248979,0.7694139105888008,-0.36314003016913843,-0.018117922447658984,-0.02625043466928051,-0.00034118852712514554,0.0,-0.1060318640472006,Ibias,0.910638577477095,-0.08879944879063242,1.4458357003524867,0.8916177801922488,0.11238546562445102,0.9442724813220983,0.4552222993944861,0.35938524857962545,0.12853515607840313,-0.41112064650875196,W1,-0.026826095245835763,0.2385527913204452,1.154690068248397,0.5065648250356712,-0.6891173064977182,-0.015900961473056346,0.44001692840092915,-0.35620082232638567,-0.12841215592903252,0.012084029263557894,W2,0.08508295782405106,0.2931514737562331,-0.14895431486998548,0.8161777923635245,-1.2095283196249147,0.05030208004452794,0.07271333586510345,0.0009408532111906723,0.0,0.29432301093582597,Alo,0.0,0.2141295738132475,-0.1048641825956222,0.8384931007155798,-1.1023767399919449,0.0,0.0,0.0,0.0,0.0,
4,Rd,-0.031948333197186596,0.4967876398326687,1.1794368754087547,0.9030692183723643,-0.3386209606610324,-0.018841110225873852,-0.027220753718121375,-0.0003544635298599791,0.0,-0.10999637427458837,Ibias,0.9099811484020848,-0.09936541526458005,1.6051127072465896,0.991939602860841,0.11596379155711672,0.9439011710711198,0.46465789960561554,0.3580811429572396,0.1274568533349186,-0.4094576763254992,W1,-0.026224690441991626,0.22131858575355354,1.221822933195063,0.5143117242357657,-0.6527192186227421,-0.015457400634303588,0.43109906998811254,-0.3549222473821799,-0.12736873327590814,0.011765019753422841,W2,0.08387738292158718,0.2652974460444995,-0.022542630285345002,0.8602037551339974,-1.167399833675333,0.04960210651302363,0.0713125129371844,0.0009382858143820474,0.0,0.2889208940190328,Alo,0.0,0.18422337687557877,-0.0009912841118695538,0.8868349876144371,-1.0644949176933611,0.0,0.0,0.0,0.0,0.0,
5,Rd,-0.0331833230623076,0.43218337146514596,1.4174595269676933,1.0529313089840349,-0.30739375246519834,-0.019591520665957242,-0.028101030869892497,-0.0003784840242995164,0.0,-0.11360802098745446,Ibias,0.9093068614050163,-0.11860413948255973,1.7969462321064191,1.1211539911776427,0.12759291953225202,0.943413028748428,0.47397680314644514,0.35674221978777987,0.12640861820055707,-0.4075089243235635,W1,-0.025614277786056957,0.20564835127747996,1.3007262022726465,0.543431969713078,-0.6051414297887052,-0.015177620753082335,0.4223183496447034,-0.3536302400324737,-0.12632023292701616,0.011491386030906601,W2,0.08270949820895523,0.23863016994273262,0.15341469923773388,0.894926181828792,-1.1143453714687495,0.0489400832446147,0.06999711325774005,0.0009251831704920963,0.0,0.2836718286495075,Alo,0.0,0.15282062834306845,0.14033339261145703,0.9707961262569644,-1.0177508830805126,0.0,0.0,0.0,0.0,0.0,
6,Rd,-0.034196610706578964,0.3649094674286317,1.646711773415842,1.0824164111190857,-0.26896945378968534,-0.020227943146206614,-0.02883188282023164,-0.0003924084033936511,0.0,-0.1165664680013895,Ibias,0.9087584253715077,-0.144001270177929,1.9473420154450412,1.1253841345593583,0.14737343245644968,0.9430595115459182,0.483552903410646,0.3553417177221852,0.12536530154433617,-0.40486496129751604,W1,-0.02492787683939128,0.19135489486269605,1.3343808824433103,0.5294195544496272,-0.5461808092941138,-0.014760931485092789,0.4134026026598946,-0.3522554786576584,-0.12527664150079879,0.01112837380250454,W2,0.08157013936108996,0.21327199917542067,0.30923151505596985,0.9069305149677834,-1.0501081679806115,0.048265902951153225,0.06869414505276815,0.000922690029602481,0.0,0.278425850389613,Alo,0.0,0.11987920030256718,0.2597380512777573,0.9415077478171948,-0.9618080421563424,0.0,0.0,0.0,0.0,0.0,
7,Rd,-0.034947983528028984,0.30293948217515226,1.6752807829381695,1.993904006789558,-0.22406071559673726,-0.020680417302411006,-0.029316425345689054,-0.00039604316485108065,0.0,-0.11849677394362518,Ibias,0.9084341489285676,-0.1685306819472434,1.851276682272416,1.93277113892881,0.17371804000046975,0.9428533766306642,0.4936507751757617,0.3538378081215698,0.12428050818737317,-0.4009434977424069,W1,-0.024170132119377425,0.17837312214586504,1.2690349789918784,0.5009165091704286,-0.4792113466104491,-0.014286853174562924,0.404264776060338,-0.3507872053652969,-0.12419155849643619,0.010631566714152302,W2,0.08040703996448559,0.19042016250835267,0.29693170845764316,0.8689125694702021,-0.9776995629198595,0.04759653295173453,0.06739868010614744,0.0009205327615377255,0.0,0.27293426937032655,Alo,0.0,0.08830480150292078,0.16798282420052252,0.8185602049454231,-0.898648905553219,0.0,0.0,0.0,0.0,0.0,
8,Rd,-0.035402894936034005,0.25256806613148414,2.0783747224599174,1.325450526834162,-0.17889701480500655,-0.02094353000800746,-0.029558104517386042,-0.000410707445730711,0.0,-0.11932322228279062,Ibias,0.908323244903511,-0.18648930151905457,2.176239030592439,1.2602747957171576,0.1997357483075874,0.9426986617723868,0.504198652303326,0.352246483263454,0.12315213778473619,-0.39567768621542027,W1,-0.023304880495646434,0.16677594315785801,1.2998581581751956,0.603453313039602,-0.41375797746567466,-0.013829124776293007,0.3949028286414462,-0.34920940978313003,-0.12309858561580835,0.010175179829198274,W2,0.07928520177895516,0.17157504217111863,0.6069487429695987,1.12413653690673,-0.906296112996714,0.04692309967440084,0.06608711668880382,0.0009186877075658004,0.0,0.2673763640833245,Alo,0.0,0.06183333378143294,0.4688095014191797,1.0667270979966013,-0.8361285722029631,0.0,0.0,0.0,0.0,0.0,
9,Rd,-0.03561581133967993,0.2155297808303859,2.218444840321546,1.201800511801531,-0.1398763042502309,-0.02108077911316869,-0.029568513126983557,-0.00041482805049185924,0.0,-0.11917443691351692,Ibias,0.9083537556202284,-0.19642691404270396,2.243014162344485,1.1343289087576731,0.21904641084944723,0.9427162259567766,0.5149226138565559,0.3505733687814792,0.12206105847395628,-0.3894389719082724,W1,-0.022420714440582457,0.15629750619708266,1.239625328742581,0.553056605535494,-0.3578715343092983,-0.013297106825216832,0.3855398479036557,-0.34757132367919485,-0.1219894053724139,0.009634115804624534,W2,0.07813030404569475,0.15606981051919946,0.6807935823462656,1.0711615329281248,-0.8439161548024084,0.04629663412929152,0.06482818979227904,0.0009060717945017556,0.0,0.26177632723738575,Alo,0.0,0.04079497786682896,0.5348531438470123,0.923260142573478,-0.7815373033544819,0.0,0.0,0.0,0.0,0.0,
10,Rd,-0.035610121941057726,0.18894067493819303,2.30617546028102,1.0130269757414494,-0.11005040286167544,-0.021155310435662336,-0.029446019535033487,-0.00043004653543375073,0.0,-0.11840181557874999,Ibias,0.9085025415960633,-0.20026082326040928,2.273143515105616,1.012609152675729,0.2291093585239676,0.9426049019406029,0.5254897482465952,0.34886698175478503,0.12097993386910272,-0.38266826557556993,W1,-0.02144384878197862,0.1465116853545727,1.1773029251298162,0.531419438941381,-0.31460718339081306,-0.012841355750835526,0.3763929669216302,-0.34587870967514506,-0.1209260052210069,0.00905599087492239,W2,0.0770256381767104,0.14356834300570862,0.7313558143701644,1.0345870932189432,-0.793850707463021,0.04560327619203032,0.06363195147500304,0.0009042004078590009,0.0,0.25626348131664045,Alo,0.0,0.023740827992966722,0.5800620863040347,0.8095057574072073,-0.7381085573562672,0.0,0.0,0.0,0.0,0.0,
