Iteration No,Rd,Ibias,W1,W2,Rbias1,Rbias2,Rbias3,C1,C2,Cload,Alo,flo,frf,mismatch,Temp,
1,1568.646879816279,0.00028936100173694536,9.367705362396747e-06,1.5072455483401244e-06,108940.03880889415,42032.24049986642,188452.2306807713,2.8929520000000005e-13,9.186996e-13,1.0372366452499848e-11,0.27793711157512535,1000000000.0,1010000000.0,0,27,
2,1630.7632589691111,0.00028931279842105644,9.710149603524586e-06,1.6003938274215828e-06,108940.03880889415,42843.695619504695,191201.10627685284,2.8929520000000005e-13,9.186996e-13,1.0146001954916436e-11,0.30026469349707247,1000000000.0,1010000000.0,0,27,
3,1710.664385814801,0.00029314737788713955,1.0167247132512972e-05,1.7103845018035433e-06,108940.03880889415,44123.704464641596,196168.40690667572,2.8929520000000005e-13,9.186996e-13,9.759536966297936e-12,0.32584068992486476,1000000000.0,1010000000.0,0,27,
4,1792.0714443804386,0.000298095572978955,1.0669293187838779e-05,1.8239108552009428e-06,108940.03880889415,45581.43341772605,201703.9427866963,2.8929520000000005e-13,9.186996e-13,9.303691852805409e-12,0.35218805832170647,1000000000.0,1010000000.0,0,27,
5,1857.5806336732714,0.00030150075209437783,1.1129944848007e-05,1.9253311373404977e-06,108940.03880889415,46899.32133213738,206120.58223199466,2.8929520000000005e-13,9.186996e-13,8.881060160350859e-12,0.3761017373878802,1000000000.0,1010000000.0,0,27,
6,1899.152540198352,0.0003021798726789145,1.1501649122054667e-05,2.0060477442710034e-06,108940.03880889415,47887.96131505013,208587.7124347125,2.8929520000000005e-13,9.186996e-13,8.567861884798751e-12,0.39573882891641643,1000000000.0,1010000000.0,0,27,
7,1920.1728833931704,0.00030053372562677456,1.1786945550305558e-05,2.0674487476890835e-06,108940.03880889415,48550.10474564353,209310.3782929566,2.8929520000000005e-13,9.186996e-13,8.380313835942467e-12,0.41126230389044693,1000000000.0,1010000000.0,0,27,
8,1928.2930231721932,0.000297581058770561,1.2013088273808817e-05,2.115448078224243e-06,108940.03880889415,48983.286415324204,208927.25139891932,2.8929520000000005e-13,9.186996e-13,8.288573621071552e-12,0.4237211158600888,1000000000.0,1010000000.0,0,27,
9,1930.2431602187437,0.0002941908929312124,1.2206601717736424e-05,2.155586787645443e-06,108940.03880889415,49283.4862450466,207998.193011299,2.8929520000000005e-13,9.186996e-13,8.253670016918536e-12,0.43421659705759236,1000000000.0,1010000000.0,0,27,
10,1925.117257797686,0.00029110983108511653,1.2283331375778792e-05,2.1534615092471268e-06,108940.03880889415,49663.27922057007,206274.3151113401,2.8929520000000005e-13,9.186996e-13,8.245331281156265e-12,0.43284626710213936,1000000000.0,1010000000.0,0,27,
