Iteration No,Rd,Ibias,W1,W2,Rbias1,Rbias2,Rbias3,C1,C2,Cload,Alo,flo,frf,mismatch,Temp,
1,322.3669857717461,0.0021094210841444854,2.6563844817911106e-05,3.124041079508914e-05,11438.963067160825,18055.369215028328,30623.413146415394,2.7551299999999998e-12,2.774804e-12,4.8923758745623437e-11,0.2830645527961517,1000000000.0,1010000000.0,0,27,
2,326.3676768562301,0.002056240599057582,2.8925047402868846e-05,3.185488896723697e-05,11438.963067160825,18084.084039003825,30170.438410007573,2.7551299999999998e-12,2.774804e-12,4.937073277242662e-11,0.29672024859063356,1000000000.0,1010000000.0,0,27,
3,336.0660592062092,0.002029435736570223,3.1543468783599646e-05,3.330749131713612e-05,11438.963067160825,18354.469548697547,30104.32618462051,2.7551299999999998e-12,2.774804e-12,4.8765534817961e-11,0.3106165371796281,1000000000.0,1010000000.0,0,27,
4,343.83217135845223,0.0020072475937539824,3.426716636113653e-05,3.443105613713391e-05,11438.963067160825,19036.759662262153,30195.799075498562,2.7551299999999998e-12,2.774804e-12,4.735823173212452e-11,0.3278446284922293,1000000000.0,1010000000.0,0,27,
5,349.119517180187,0.0019799038415511247,3.706789797219035e-05,3.539716267923204e-05,11438.963067160825,19587.602161680272,30042.494940620647,2.7551299999999998e-12,2.774804e-12,4.628855480948377e-11,0.33801350874670716,1000000000.0,1010000000.0,0,27,
6,352.0454217165736,0.001956121773073385,3.943876527895167e-05,3.607274679465359e-05,11438.963067160825,19985.406177867888,29715.864649027004,2.7551299999999998e-12,2.774804e-12,4.558752383062919e-11,0.34648283971773447,1000000000.0,1010000000.0,0,27,
7,352.86710364161985,0.0019244464210192394,4.1687013639692846e-05,3.666121760643048e-05,11438.963067160825,20806.404729066522,29312.190497373427,2.7551299999999998e-12,2.774804e-12,4.5208638793214735e-11,0.3506735266807257,1000000000.0,1010000000.0,0,27,
8,352.15861172738107,0.0018934296543642107,4.3531701077189867e-05,3.656053834263251e-05,11438.963067160825,21494.58274424275,28439.235718771048,2.7551299999999998e-12,2.774804e-12,4.5103366522240863e-11,0.3400790630384075,1000000000.0,1010000000.0,0,27,
9,355.1422105251679,0.0018696169075307248,4.592263247855643e-05,3.71126212965951e-05,11438.963067160825,21747.385206532752,28009.310609153483,2.7551299999999998e-12,2.774804e-12,4.5194107936540546e-11,0.3454323063764393,1000000000.0,1010000000.0,0,27,
10,356.88772357792726,0.0018449516765433958,4.783935053512745e-05,3.7080450544650013e-05,11438.963067160825,22275.666322090077,27223.932322673838,2.7551299999999998e-12,2.774804e-12,4.481442598911133e-11,0.33346052979497476,1000000000.0,1010000000.0,0,27,
11,363.16857180744637,0.0018309951698388949,5.050563568719008e-05,3.7148772958318205e-05,11438.963067160825,22626.731783924883,26778.731467322534,2.7551299999999998e-12,2.774804e-12,4.459524174614638e-11,0.3283253520154364,1000000000.0,1010000000.0,0,27,
12,371.8866311421465,0.0018207603425533121,5.213519244149745e-05,3.7244805834585154e-05,11438.963067160825,22907.725043829567,26326.236652616753,2.7551299999999998e-12,2.774804e-12,4.382398573197023e-11,0.3245949505233402,1000000000.0,1010000000.0,0,27,
13,381.133674744544,0.0018114651873556496,5.384698250937246e-05,3.7356150239354844e-05,11438.963067160825,23153.074423660433,25899.60296075018,2.7551299999999998e-12,2.774804e-12,4.279662933918736e-11,0.32156331923294246,1000000000.0,1010000000.0,0,27,
14,391.26900205364007,0.0018032022217464774,5.5893485620057284e-05,3.746789241625452e-05,11438.963067160825,23403.819642443643,25517.649297223274,2.7551299999999998e-12,2.774804e-12,4.1758299945175245e-11,0.31890611304235283,1000000000.0,1010000000.0,0,27,
15,400.43810218226497,0.0017941325398778429,5.801959854320114e-05,3.759022909638013e-05,11438.963067160825,23649.53738228552,25111.891986514802,2.7551299999999998e-12,2.774804e-12,4.067660414102428e-11,0.316282802203267,1000000000.0,1010000000.0,0,27,
16,409.48209314513264,0.0017852387778742199,5.9594347145528915e-05,3.7756467813101404e-05,11438.963067160825,23880.28371642477,24750.937601828387,2.7551299999999998e-12,2.774804e-12,3.974520462077651e-11,0.3141192704258592,1000000000.0,1010000000.0,0,27,
17,419.0761457099074,0.0017770471920914577,6.170890034210087e-05,3.8074585036889635e-05,11438.963067160825,24105.398496235655,24392.081790400247,2.7551299999999998e-12,2.774804e-12,3.886737558398826e-11,0.3121301020018585,1000000000.0,1010000000.0,0,27,
18,428.4531641918774,0.0017688847379386326,6.386521179289453e-05,3.8204376573097394e-05,11438.963067160825,24334.451804885422,24029.604584653687,2.7551299999999998e-12,2.774804e-12,3.7977571551415736e-11,0.31017701337524495,1000000000.0,1010000000.0,0,27,
19,437.90889219655105,0.0017608457445105212,6.597394928105395e-05,3.834215285880422e-05,11438.963067160825,24560.204244451856,23683.40326782516,2.7551299999999998e-12,2.774804e-12,3.714640394641123e-11,0.30843775097360704,1000000000.0,1010000000.0,0,27,
20,441.49724689524294,0.0017530335902964356,6.652019137789813e-05,3.848180827896636e-05,11438.963067160825,24703.203039684755,23348.904011042803,2.7551299999999998e-12,2.774804e-12,3.634430492917696e-11,0.3068787639666946,1000000000.0,1010000000.0,0,27,
21,442.7934414322687,0.0017353928706746093,6.653557897813822e-05,3.8364256918762144e-05,11438.963067160825,25001.2096917972,23034.170610991485,2.7551299999999998e-12,2.774804e-12,3.6048909525739154e-11,0.3068787639666946,1000000000.0,1010000000.0,0,27,
22,444.1190489763603,0.0017188866445468527,6.655044559317422e-05,3.824696752162353e-05,11438.963067160825,25280.36201083054,22722.246384272486,2.7551299999999998e-12,2.774804e-12,3.594338312173042e-11,0.3068787639666946,1000000000.0,1010000000.0,0,27,
23,445.49350388014057,0.0017030978291117885,6.656441093089597e-05,3.813384544293471e-05,11438.963067160825,25570.92488237847,22436.149064952308,2.7551299999999998e-12,2.774804e-12,3.5836099230314004e-11,0.3068787639666946,1000000000.0,1010000000.0,0,27,
24,446.8005875816079,0.0016882737430439505,6.657764975510975e-05,3.802314465333619e-05,11438.963067160825,25879.28369402793,22147.269864564078,2.7551299999999998e-12,2.774804e-12,3.572553622122305e-11,0.3068787639666946,1000000000.0,1010000000.0,0,27,
25,444.92877156968063,0.0016903337268342484,6.719317849572455e-05,3.8425152762693546e-05,11438.963067160825,25666.620862938176,22392.40479414838,2.7551299999999998e-12,2.774804e-12,3.562102367710646e-11,0.31149506615123046,1000000000.0,1010000000.0,0,27,
26,446.25581626064826,0.0016760192254959847,6.720478733149024e-05,3.8317693756895274e-05,11438.963067160825,26001.279215895203,22115.238061680837,2.7551299999999998e-12,2.774804e-12,3.5770881377350975e-11,0.31149506615123046,1000000000.0,1010000000.0,0,27,
27,447.5097642759542,0.0016622192348658385,6.721639911794845e-05,3.820773949497998e-05,11438.963067160825,26316.365603135673,21829.62317730744,2.7551299999999998e-12,2.774804e-12,3.566450840361404e-11,0.31149506615123046,1000000000.0,1010000000.0,0,27,
28,448.76091643470966,0.0016494286764991652,6.722749841112701e-05,3.809783113865268e-05,11438.963067160825,26524.65760028164,21544.205899627854,2.7551299999999998e-12,2.774804e-12,3.556457440641528e-11,0.31149506615123046,1000000000.0,1010000000.0,0,27,
29,446.61433258728533,0.0016514765618084314,6.782436706319297e-05,3.8585063543945277e-05,11438.963067160825,26311.94179608786,21775.676166036726,2.7551299999999998e-12,2.774804e-12,3.546541984011008e-11,0.3198991021266422,1000000000.0,1010000000.0,0,27,
30,447.84835325763027,0.0016386309116034354,6.777854977041238e-05,3.84789667879328e-05,11438.963067160825,26665.99355226739,21510.221867235014,2.7551299999999998e-12,2.774804e-12,3.563587898531905e-11,0.3198991021266422,1000000000.0,1010000000.0,0,27,
31,449.0432559308952,0.001626327392282306,6.773152218489444e-05,3.836988646309545e-05,11438.963067160825,26981.24633571534,21233.28872035913,2.7551299999999998e-12,2.774804e-12,3.553768634722198e-11,0.3198991021266422,1000000000.0,1010000000.0,0,27,
32,450.2177027079517,0.0016150566985014241,6.768468999587172e-05,3.8262577253067484e-05,11438.963067160825,27302.001255569798,20961.74125144646,2.7551299999999998e-12,2.774804e-12,3.544312067708422e-11,0.3198991021266422,1000000000.0,1010000000.0,0,27,
33,447.9115509237636,0.0016171806865716866,6.826638431019813e-05,3.856666501163523e-05,11438.963067160825,26891.827830715953,21154.463736365895,2.7551299999999998e-12,2.774804e-12,3.535066305358862e-11,0.323514687358848,1000000000.0,1010000000.0,0,27,
34,449.09634860684304,0.0016058835344625437,6.82742764040025e-05,3.845765564690186e-05,11438.963067160825,27268.111437034033,20896.526718015248,2.7551299999999998e-12,2.774804e-12,3.553267219022538e-11,0.323514687358848,1000000000.0,1010000000.0,0,27,
35,450.25741716650776,0.001595111058354101,6.828186512992173e-05,3.834657042319726e-05,11438.963067160825,27587.242725317967,20627.629749341755,2.7551299999999998e-12,2.774804e-12,3.5438930551454107e-11,0.323514687358848,1000000000.0,1010000000.0,0,27,
36,452.20638229978823,0.0015996861308153715,6.86861846244056e-05,3.857246669329301e-05,11438.963067160825,27019.764010029558,20763.977919617595,2.7551299999999998e-12,2.774804e-12,3.534754498736862e-11,0.3262400446282774,1000000000.0,1010000000.0,0,27,
37,453.3581694676652,0.001588640468396636,6.869320063856117e-05,3.846339358266065e-05,11438.963067160825,27340.653613449053,20495.12647639607,2.7551299999999998e-12,2.774804e-12,3.519520053708226e-11,0.3262400446282774,1000000000.0,1010000000.0,0,27,
38,454.51334697944594,0.0015784078465695742,6.869926792775576e-05,3.835548955246258e-05,11438.963067160825,27679.581649002565,20233.13589202716,2.7551299999999998e-12,2.774804e-12,3.5105784743831934e-11,0.3262400446282774,1000000000.0,1010000000.0,0,27,
39,452.0510321338314,0.0015796811648774278,6.881409847940574e-05,3.8420156559618996e-05,11438.963067160825,27387.065584696993,20271.579877410048,2.7551299999999998e-12,2.774804e-12,3.501656093260835e-11,0.32701508116463973,1000000000.0,1010000000.0,0,27,
40,453.2001361116199,0.0015703001579287195,6.88193922212213e-05,3.830670803212524e-05,11438.963067160825,27752.981272675956,20030.71420746644,2.7551299999999998e-12,2.774804e-12,3.5207295587985056e-11,0.32701508116463973,1000000000.0,1010000000.0,0,27,
41,463.67730587902395,0.001585208847840025,7.035823049783327e-05,3.890573657219769e-05,11438.963067160825,27101.690322080856,20535.30250468948,2.7551299999999998e-12,2.774804e-12,3.5118026322193474e-11,0.3400795567437597,1000000000.0,1010000000.0,0,27,
42,464.85159495459123,0.0015731717397401007,7.036419496110803e-05,3.8786432824875276e-05,11438.963067160825,27375.59004161327,20260.51751277655,2.7551299999999998e-12,2.774804e-12,3.4324505658126764e-11,0.3400795567437597,1000000000.0,1010000000.0,0,27,
43,466.04643383643815,0.0015625193065399888,7.036870400793683e-05,3.8676261402905866e-05,11438.963067160825,27708.70643496895,19998.428025723384,2.7551299999999998e-12,2.774804e-12,3.423779649663078e-11,0.3400795567437597,1000000000.0,1010000000.0,0,27,
44,467.226547340447,0.001552615276309071,7.03722087538881e-05,3.8564997027597824e-05,11438.963067160825,28047.390784297706,19737.251342717518,2.7551299999999998e-12,2.774804e-12,3.415001843952565e-11,0.3400795567437597,1000000000.0,1010000000.0,0,27,
45,468.4141182900644,0.0015434704225257116,7.037436268782053e-05,3.8454891165641276e-05,11438.963067160825,28401.402698960715,19480.94723248195,2.7551299999999998e-12,2.774804e-12,3.4063762857191905e-11,0.3400795567437597,1000000000.0,1010000000.0,0,27,
46,469.6066865178347,0.0015349719831382672,7.037506255255597e-05,3.833889032189661e-05,11438.963067160825,28752.808006168423,19220.239689747643,2.7551299999999998e-12,2.774804e-12,3.397740095300436e-11,0.3400795567437597,1000000000.0,1010000000.0,0,27,
