Iteration No,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,0.00136472,7.74855401181772,7.516060098469623,92.58205462149533,17.49356136022538,0.004879766,0.01523076,0.09883422,0.4837179,0.2000327,9999000.0,0.01081461,0.002921368,2.0,
2,0.00132946,8.163231221857615,7.165063899255387,95.54265264240442,16.92413252986583,0.004756425,0.01562377,0.09515458,0.4734971,0.2001276,9999000.0,0.01067008,0.002895576,2.0,
3,0.001308847,8.518447904010612,7.202227831346065,80.29111940773035,16.31417653093768,0.004688221,0.01607881,0.09194295,0.4646905,0.1992891,9999000.0,0.01066138,0.00290739,2.0,
4,0.001283812,8.826618378209337,6.9328617802833605,74.39886926362726,15.766591017081106,0.004615318,0.01642715,0.08927497,0.457176,0.1954018,9999000.0,0.01059821,0.002926005,2.0,
5,0.001256135,9.116918535492157,6.021768781251993,77.86315117422436,15.387556674204397,0.004532296,0.01669148,0.0864809,0.4496727,0.1920447,9999000.0,0.01049665,0.002939917,2.0,
6,0.001230591,9.351913963876306,6.3791636129872415,82.51270252880161,15.115345382187574,0.004457368,0.01683639,0.08435615,0.4439263,0.1884724,9999000.0,0.01038867,0.002948206,2.0,
7,0.001192006,9.64716848460366,9.865182884963303,76.37976882742322,14.956221627307972,0.004348191,0.01677331,0.08231397,0.4385528,0.1819793,9999000.0,0.0101863,0.002949691,2.0,
8,0.00114795,10.007247613957277,5.822548539179209,76.14357952558271,15.038550395996054,0.004229209,0.01653736,0.0806296,0.4342714,0.1732843,9999000.0,0.009902499,0.002952237,2.0,
9,0.001124836,10.203771370033458,5.677768714431238,75.3222267937349,14.860657896264552,0.00415931,0.01657877,0.07893867,0.4295473,0.1703337,9999000.0,0.009777616,0.002949609,3.0,
10,0.001088325,10.49328599055623,5.412148645072378,87.36934123745556,14.967329624605322,0.00406183,0.01635793,0.07750613,0.4258262,0.1627752,9999000.0,0.009532388,0.002956042,3.0,
11,0.001065857,10.735730837142583,5.245966220534683,86.34350782291082,14.937229814590546,0.004003014,0.01635247,0.07610768,0.4218364,0.1577244,9999000.0,0.009380282,0.002970504,3.0,
12,0.001045765,10.91210799956158,5.112038305380736,88.43342780494578,14.934704819103764,0.003952735,0.01624481,0.07520172,0.4194037,0.1528338,9999000.0,0.009242939,0.002985891,3.0,
13,0.001026736,11.076418520813455,4.954735874700049,91.21007539643952,14.925724647050288,0.003905532,0.01613792,0.07417502,0.4167301,0.1483277,9999000.0,0.009112009,0.003006131,3.0,
14,0.001009076,11.254065329973757,4.766409358069794,89.8694872303144,14.899678734115056,0.003862057,0.01606425,0.07320357,0.4140227,0.1439257,9999000.0,0.008989212,0.00302691,3.0,
15,0.0009914099,11.427680129871929,4.603606014581857,87.12530601573053,14.873495339603204,0.003817788,0.01598433,0.07236504,0.4115492,0.1395041,9999000.0,0.00886626,0.003045225,3.0,
16,0.0009744041,11.559238907507364,4.472161879041323,84.74070959362663,14.870856824918963,0.003774992,0.01585274,0.0715527,0.4093667,0.1355829,9999000.0,0.008748557,0.003065527,3.0,
17,0.000957726,11.715220460656157,4.314294876759888,81.29908389965902,14.842840102071886,0.003733556,0.01575213,0.07069598,0.4069011,0.1315116,9999000.0,0.008640973,0.003089421,3.0,
18,0.0009412052,11.859242688300151,4.172034234858586,79.59690212109115,14.831029583365831,0.003692465,0.0156419,0.06986917,0.4044937,0.1274947,9999000.0,0.008522986,0.003115341,3.0,
19,0.0009251515,11.993978489283613,4.036352164353389,78.55869700888488,14.822931028794578,0.003652421,0.01552246,0.06910277,0.4022361,0.1236131,9999000.0,0.008407699,0.003142765,3.0,
20,0.0009124517,12.05155696045357,4.060890470885369,81.10810057868389,14.841133418403,0.003619374,0.01536336,0.06888173,0.4016221,0.1207038,9999000.0,0.008317999,0.003159038,3.0,
21,0.0008925922,12.070558712420635,4.262861275194268,84.77637997771322,14.887171736473107,0.003562029,0.01507102,0.06861934,0.4010006,0.1172373,9999000.0,0.008166005,0.003168298,3.0,
22,0.0008736678,12.075040890375506,4.991100103032579,78.05432984511708,14.932363962208797,0.003507702,0.014789,0.06837085,0.4004148,0.1138647,9999000.0,0.008019868,0.003182554,3.0,
23,0.0008554162,12.068364262664646,5.305386668061999,70.94362974998978,14.974602302065046,0.003455406,0.01451392,0.06813198,0.3998511,0.1105778,9999000.0,0.007877898,0.003201462,3.0,
24,0.0008372206,12.051028126965207,5.521243100499049,67.26976554604187,15.016822833644841,0.003404174,0.01423497,0.06790018,0.3993184,0.107151,9999000.0,0.007735495,0.003229715,3.0,
25,0.0008487695,12.097009884259668,5.273559377529892,71.65028198413867,14.904863557018274,0.003429304,0.0144568,0.06780826,0.3987813,0.1105162,9999000.0,0.007835995,0.003179232,3.0,
26,0.0008306324,12.08097387723851,5.536706633601284,67.70810517868358,14.95177329358432,0.003378666,0.01417643,0.06758145,0.398267,0.1070024,9999000.0,0.007693487,0.003208998,3.0,
27,0.0008129155,12.05596302358455,5.704106559188801,65.30665173248363,14.993831602090602,0.003329407,0.01389918,0.06736143,0.3977678,0.1035485,9999000.0,0.007553211,0.003245509,3.0,
28,0.0007975268,12.029597614802954,5.8158254912618474,64.02398972878285,15.030189944880753,0.003285906,0.01365755,0.06716491,0.3973024,0.1006783,9999000.0,0.007430179,0.003278987,3.0,
29,0.0008091354,12.109805052322148,5.621190372245252,67.13352794708126,14.879964363312785,0.003311154,0.01388275,0.06708326,0.3967957,0.1040212,9999000.0,0.007534301,0.003215157,3.0,
30,0.0007916232,12.080901347283714,5.804325382339584,64.89596805313522,14.92782184645028,0.003263209,0.01360075,0.06688886,0.3963823,0.1004703,9999000.0,0.007394307,0.003261062,3.0,
31,0.0007745468,12.046216875620356,5.922658503500571,63.58567182623392,14.97031328574958,0.003216907,0.01332217,0.06670218,0.3959868,0.09700152,9999000.0,0.00726854,0.003315523,3.0,
32,0.0007580893,12.006895674584875,6.010502846301975,62.67370047175986,15.012914572243963,0.003172666,0.01304939,0.06652773,0.3956259,0.09360932,9999000.0,0.007132891,0.003380544,3.0,
33,0.000772202,12.07259804892268,5.929428612180416,63.8638543021315,14.909301970129649,0.00320321,0.01332427,0.06655551,0.3953468,0.09748897,9999000.0,0.007255152,0.003283395,3.0,
34,0.0007550892,12.033735504045938,6.043258002590861,62.69350847406258,14.956869943635777,0.003157572,0.01304145,0.06636049,0.3949315,0.09387414,9999000.0,0.007113808,0.003351821,3.0,
35,0.0007388708,11.99244604620257,6.114110905724573,62.02703966568926,14.998859155893186,0.003114306,0.01277039,0.06617655,0.3945334,0.09050596,9999000.0,0.006979318,0.003426657,3.0,
36,0.000754067,12.09666752159263,5.987135240605298,63.33516500333394,14.917778897543734,0.003149657,0.01305332,0.06619372,0.3943163,0.09445051,9999000.0,0.007108279,0.003321951,3.0,
37,0.0007377241,12.057080319326214,6.071998068444188,62.518002542824604,14.95944382336754,0.003105867,0.01278045,0.06600722,0.3939086,0.09105501,9999000.0,0.006972662,0.0033939,3.0,
38,0.0007214334,12.013485371688022,6.136930358949996,61.808513249387886,15.00267274606405,0.003062973,0.01250354,0.06582872,0.3935293,0.08762039,9999000.0,0.00683711,0.003481769,3.0,
39,0.000728597,12.019279458833452,6.135331622791625,62.04116436074543,14.967337108226058,0.003078797,0.0126376,0.06585103,0.3934682,0.08955789,9999000.0,0.006897335,0.003419794,3.0,
40,0.000712542,11.974076014546831,6.198765204663644,61.52243549021233,15.014696692279749,0.003037185,0.01236144,0.0656812,0.3931195,0.08609957,9999000.0,0.006763319,0.0035163,3.0,
41,0.0007416107,12.317324911595994,5.674982970817837,66.93252705035013,14.774384077175107,0.003110387,0.0129258,0.06563585,0.3924339,0.09261365,9999000.0,0.007014217,0.00333696,3.0,
42,0.0007256249,12.289766348337956,5.786596243288486,65.15772263481634,14.808249382396237,0.003066365,0.01265825,0.06544738,0.3919913,0.08946195,9999000.0,0.006880672,0.003403667,3.0,
43,0.0007093204,12.255662038439139,5.914646334572041,63.701172286491186,14.85284175299115,0.003023028,0.01237871,0.06526854,0.3915982,0.08607875,9999000.0,0.006744322,0.003493125,3.0,
44,0.0006930832,12.216462809602698,6.008653200349968,62.79210779217121,14.897537520869824,0.00298057,0.01209555,0.0650977,0.3912314,0.0826897,9999000.0,0.006608067,0.00359992,3.0,
45,0.0006768062,12.173020319812181,6.075979215286949,62.01662548602425,14.942922441852001,0.002938774,0.01180669,0.06493483,0.3908922,0.07928382,9999000.0,0.00647103,0.003727128,3.0,
46,0.0006604645,12.125958514343706,6.120747103757537,61.50324775100174,14.989236142456601,0.002897502,0.01151197,0.06477944,0.3905768,0.07588955,9999000.0,0.006332812,0.00387591,3.0,
47,0.0006451533,12.079757817984976,6.1454876061682455,61.17015602641091,15.033359284287268,0.002859077,0.01123277,0.06463836,0.390289,0.07279228,9999000.0,0.006202559,0.004031639,3.0,
48,0.0006582138,12.197778607790852,6.100880405229546,62.18629648224335,14.876191644973831,0.002887637,0.01149891,0.06459565,0.389922,0.07588941,9999000.0,0.006320526,0.003857584,3.0,
49,0.0006412574,12.148691816474159,6.159360969915596,61.556468104014755,14.927924543286334,0.002845548,0.01118757,0.0644447,0.3896254,0.07238853,9999000.0,0.006176193,0.004035914,3.0,
50,0.0006247289,12.098804293773512,6.182793136690222,61.16522586911938,14.975789293561824,0.002805145,0.01088016,0.06430569,0.3893578,0.06905595,9999000.0,0.006034827,0.00423233,3.0,
51,0.0006079076,12.045979771146113,6.187446364964515,60.88509663184041,15.024283972938653,0.00276486,0.01056316,0.06417503,0.3891183,0.06573221,9999000.0,0.005890255,0.004457946,3.0,
52,0.000621786,12.147242682565471,6.188658354762964,61.478131733539044,14.892117217784776,0.002795108,0.01084818,0.06413592,0.3887696,0.06873574,9999000.0,0.006015739,0.00423765,3.0,
53,0.0006042104,12.091882050267419,6.215917883965389,61.03075746206429,14.946625450794013,0.002753114,0.01051465,0.06401153,0.3885608,0.06525896,9999000.0,0.005864351,0.00447694,3.0,
54,0.0005869057,12.035954219457414,6.213708805646945,60.79953608367504,14.997347153080984,0.002712202,0.01018405,0.06389606,0.3883691,0.06197197,9999000.0,0.005714445,0.004734097,3.0,
55,0.0005731283,11.974396633717692,6.216797658912554,60.58953298723057,15.036473244366944,0.002678753,0.009923796,0.06379155,0.3881539,0.0595499,9999000.0,0.005594149,0.004938291,3.0,
56,0.0006112129,12.42775661669608,5.906162302906083,63.898308821757325,14.720450296101815,0.002770708,0.01068869,0.06380798,0.3876685,0.06646357,9999000.0,0.005930509,0.00438465,3.0,
57,0.0005934382,12.384875585971669,5.955805403787593,63.02489339081714,14.763458497037249,0.002727039,0.01035379,0.06366553,0.3873748,0.06316584,9999000.0,0.005776645,0.004624283,3.0,
58,0.0005706124,12.30419223369313,6.037523000750525,61.85156966392192,14.847558969719534,0.002672387,0.009918106,0.06350242,0.3870626,0.05902026,9999000.0,0.005578416,0.004974872,3.0,
59,0.0005475637,12.156766212581658,6.078473896087985,60.92685932176785,14.987454804759047,0.002617959,0.009476923,0.06334958,0.3867708,0.05506811,9999000.0,0.005376513,0.005358136,3.0,
60,0.0005386141,11.54055087638425,6.3855657564680826,60.12107553620048,15.201966676105275,0.002565908,0.009308534,0.06357375,0.3875288,0.05596392,9999000.0,0.00527702,0.005141069,3.0,
61,0.0005816128,12.087443549487622,6.3420064232822995,60.735400448734396,14.963260440516187,0.00266547,0.01015345,0.06372109,0.3875073,0.06411726,9999000.0,0.005648298,0.004423164,3.0,
62,0.0005642508,12.030030328948778,6.318371892518101,60.72308292312013,15.000024849315059,0.002623422,0.009824004,0.06358609,0.3872372,0.06086004,9999000.0,0.005497766,0.004675453,3.0,
63,0.0005698119,12.019078729450417,6.344678571170675,60.76211971900939,14.981038343130024,0.002634813,0.009935174,0.06361002,0.387237,0.06207791,9999000.0,0.005545455,0.004568198,3.0,
64,0.0005525042,11.96158727861711,6.345964411034146,60.48251912693456,15.034815492006464,0.002594414,0.009602558,0.06349105,0.3870275,0.05880323,9999000.0,0.005394984,0.004846308,3.0,
65,0.0005979427,12.09114624135748,6.367039716684303,61.34173739705609,14.94647393922197,0.002678293,0.01049635,0.06384621,0.3875441,0.07042027,9999000.0,0.005768083,0.003909327,3.0,
66,0.0005826496,12.042110281263765,6.400494908100413,60.95484280807503,14.992106455817616,0.002640927,0.01020788,0.0637251,0.3873233,0.06722494,9999000.0,0.005637039,0.004099819,3.0,
67,0.0005689789,11.998120427472603,6.417546601642627,60.68995070082002,15.032809001672726,0.002607444,0.009950198,0.06360968,0.3870887,0.06449726,9999000.0,0.005519099,0.004280537,3.0,
68,0.0005909356,12.174103961435037,6.311795912247021,62.07689243600268,14.84091191864521,0.002655533,0.01039604,0.06360347,0.3867127,0.06954898,9999000.0,0.005713174,0.003932336,3.0,
69,0.0005751849,12.127273658931434,6.375052201846302,61.467507128185574,14.889576824636418,0.002617021,0.01009791,0.06347942,0.3864832,0.06627507,9999000.0,0.005577793,0.004132697,3.0,
70,0.0005567241,12.05323762486504,6.425449663280574,60.890393461913106,14.959748466051042,0.002572459,0.009745128,0.06334257,0.386236,0.06255104,9999000.0,0.005418498,0.004395385,3.0,
71,0.0005664073,11.895486944671337,6.616607251291242,60.484163971225314,14.997688462427627,0.002576647,0.009968744,0.06333961,0.3859103,0.06645562,9999000.0,0.00549614,0.004045367,3.0,
