Iteration No,Rd,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Ibias,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W1,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Alo,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias3,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,Rd,-0.0007950348789495732,0.001609304531707615,0.0012124541979903005,-0.0058473341364020295,8.409866638906643e-06,-0.0004446934545632154,-0.0006736367719010597,-0.0001036078394709312,0.0,-0.0019311842513749305,0.0,-0.0010800204538120213,0.0006226534965809485,0.0,Ibias,0.008334310334720657,-0.003534321879614712,0.0033030157462209287,-0.010171798954107464,0.0009738718124419833,0.008984447205050516,0.0037778810775036848,0.0031356548369582578,0.0019331515331560442,-0.004138323384126782,0.0,0.005677504782881643,0.009952529089111654,0.0,W1,-0.00017292924555955037,0.004766169979883378,-0.003378221360038354,0.009755929844133194,-0.0015570592807076485,-9.672594956389825e-05,0.004597932079554824,-0.003943067492210709,-0.0020799312988003015,8.598594129857267e-05,0.0,-0.00011835840589730669,0.00177964570023359,0.0,W2,0.0009555073568203968,0.00019596502411224693,0.003052402212899717,1.2372786558664649e-05,-0.0012472878845637457,0.000534451856912872,0.0008088893791249699,0.0001245520023328103,0.0,0.0023226202515887738,0.0,0.003154066582151243,-0.0007424603815747334,0.0,Alo,0.0,-0.00012350315298038017,0.0067304279822461175,0.014807321052202104,-0.0023175837099896897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0031002696523828623,0.0020794927861749685,0.0019865977032496917,0.008603875486437991,0.0010566929213599713,-0.0017650436516833384,-0.002630860180319281,-0.00040350396856479487,-2.0673206429382823e-07,-0.007522770027100572,0.0,-0.0018567474925124847,0.0024529603938976043,0.0,Rbias3,0.0030841491294917836,-0.0021514169034068434,0.003266457720960556,0.00674493173932914,-0.0002607307515566265,0.001673031042882099,0.0026085369344668275,0.00040249217325743196,2.0673206429382823e-07,0.007502773296565994,0.0,0.0018336306163606634,-0.0023738878498018785,0.0,
2,Rd,-0.000794307463180487,0.0012197145620111793,-0.045302540811831014,-0.05182899212730007,-0.0009234383316835719,-0.0004440309686372211,-0.0006675725513112718,-0.00010603798577014645,0.0,-0.0018897943112294118,0.0,-0.0010449781070057302,0.0005163048733655165,0.0,Ibias,0.008319919365757471,-0.003246657288490209,-0.03765242708710841,-0.05187624555007914,-0.00012850550211822274,0.008974177034222083,0.0040419181797990925,0.0030748914030201734,0.001868226859256399,-0.0040604094587652914,0.0,0.005777838591650662,0.00962744545472125,0.0,W1,-0.0003272005175033613,0.004224197503307301,-0.017298496896104125,-0.01616554192169871,-0.0024144551388902017,-0.00017365983905975145,0.004195530272142978,-0.0038956611442140447,-0.0020143734776834,-0.00033078895664560257,0.0,0.0012689689299423608,0.0019913136453679446,0.0,W2,0.0003166699261354348,0.0008748787238758042,-0.01615645590524929,-0.026971107819279177,-0.002324474877875079,0.00017702371003432835,0.0002656209096779868,4.2352139014244896e-05,0.0,0.0007545186171223372,0.0,0.003162113123800301,-0.00020479517719449299,0.0,Alo,0.0,-0.0007039302579049055,-0.03324609943392313,-0.019820819670727585,-0.003117418934084211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0031772298527221114,0.0021682198750102833,0.007861752083708373,-0.0065957391426515535,0.00018512382801582337,-0.0018082908907424324,-0.0026734904571687882,-0.00042404685092413245,-2.1119453530523326e-07,-0.007553680751680313,0.0,-0.001968120201535526,0.002088012885864506,0.0,Rbias3,0.0031614339656702213,-0.0022217245664936758,-0.030575913545638864,-0.031377669233899175,-0.0012100568135147414,0.001713682019584144,0.002651088693701879,0.00042310102151678136,4.223890706104665e-07,0.007534193184748149,0.0,0.001945627399232234,-0.0020172152276437985,0.0,
3,Rd,-0.0008198055234873692,0.00029098621042477886,0.014177412612085069,-0.00020412152148990457,-0.0015277870440739893,-0.0004577429263681496,-0.0006866179773254586,-0.00011115588525266317,0.0,-0.001916813312920744,0.0,-0.0010599003130927279,0.00045126384833126654,0.0,Ibias,0.008280570609093343,-0.0034995624558020392,0.013967877450786446,0.002351837868746811,-0.000904702497971877,0.008952009728210197,0.004250314544422135,0.0030136078948956825,0.0018141106822712808,-0.0040488917858528106,0.0,0.005838831370798134,0.009421852589435778,0.0,W1,-0.00013523352996940022,0.003719964342498278,-0.004800622391582806,0.00034292975994857337,-0.002985661644712207,-7.572168632845887e-05,0.0041128665616423764,-0.00379789858820061,-0.0019585078670642606,6.62354338495733e-05,0.0,-9.567241764191377e-05,0.0019275019863175442,0.0,W2,0.0009687916158267664,-0.00016134299425495194,0.007079209744801447,-0.0007987728864376583,-0.002591856296527727,0.0005407168305418389,0.0008110052920584518,0.00013116829512222717,2.1519699671690203e-07,0.002265051124220997,0.0,0.003005239471813268,-0.0005286528467113939,0.0,Alo,0.0,-0.0013738321684937111,0.018338755266658787,-0.007505123968930714,-0.0035902499408980762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0032494248754818956,0.0024942068238337826,-0.014976920846711586,0.007935389610852476,-0.0004031457231108397,-0.001847395845886976,-0.002725326065797156,-0.0004398379647377947,-2.1519699671690203e-07,-0.007590982146038135,0.0,-0.002063522733454717,0.001810558610987879,0.0,Rbias3,0.0032349082818695354,-0.002526462275989365,0.011938142543591764,-0.002380070998091082,-0.0018380980084750386,0.0017520505112705745,0.0027048021588662466,0.00043875033376675237,4.3039399343380407e-07,0.007570910802447322,0.0,0.0020400736114837793,-0.001745551852348745,0.0,
4,Rd,-0.0008373500169807736,-0.00022899064695821076,-0.09637341772534946,0.06991351487263706,-0.0011568375116699935,-0.0004658400569582078,-0.0007049305570351897,-0.0001140297218805957,-2.1873414178101116e-07,-0.0019421520170232675,0.0,-0.0010530080079560267,0.0004210519120780321,0.0,Ibias,0.008250429190566861,-0.0035070019004118007,0.47250114968537626,-0.008948824228276612,-0.0007048522490941158,0.008938929018542152,0.004435340275093215,0.00295827598709922,0.0017656219924054464,-0.0040777515867304525,0.0,0.005916093378032598,0.009381733797447356,0.0,W1,-0.0001355338632137241,0.0033124646921430722,0.39811168775099154,-0.00523746230191472,-0.002607954221438387,-7.540108828900663e-05,0.0038905105267801705,-0.003767797401668,-0.0019198295623568094,6.704134762328637e-05,0.0,-9.812977851927472e-05,0.0019128470388806514,0.0,W2,0.0009853467641678531,-0.00028745995775803217,0.4380377044958652,-0.007498627815447906,-0.002169015138619,0.0005479579088590166,0.0008278977181068553,0.00013430416162563133,0.0,0.0022845234793129514,0.0,0.0029410626888880767,-0.0004904297839546246,0.0,Alo,0.0,-0.0018404656170536633,0.4844618945290377,-0.014114779993464758,-0.003118997728407805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0033579683006547023,0.002611487352798768,0.0015879658457651172,0.06186871714306379,-6.931010500908133e-05,-0.0019017107813590764,-0.0028294622012949,-0.00045701499535640976,-4.374682835620223e-07,-0.007781402218403209,0.0,-0.0021956537943672166,0.001710523392817089,0.0,Rbias3,0.0033439475561841073,-0.002635755912920824,0.45819126844862385,-0.009420407602089549,-0.0015179275224007326,0.0018070260814097554,0.0028081560100198994,0.00045611888752253825,2.1873414165958933e-07,0.007761955109932508,0.0,0.002171121349737398,-0.0016452466759284826,0.0,
5,Rd,-0.0008486348999113054,-0.0004214140819583577,0.09149632210941823,0.08874666571847743,-0.0008251946536901057,-0.00047040175663729276,-0.0007171323333820628,-0.00011516993925830211,0.0,-0.0019448597123482127,0.0,-0.0010336631210909907,0.00038062299037706855,0.0,Ibias,0.008215677455050674,-0.003345717190334007,0.09500234826130098,0.08928591964766568,-0.0005104725723116746,0.008922629942969324,0.004617325725459847,0.0028983278388639,0.0017225862277163238,-0.004078737918828348,0.0,0.005995246102327979,0.009316589549977229,0.0,W1,-0.00012021000927456102,0.0029926997601758816,-0.00935599308816056,0.002832556205024907,-0.0022542617844470434,-6.641225551029635e-05,0.0036815189545802776,-0.0036857849536717662,-0.0018742520949125373,5.936117997525965e-05,0.0,-8.764701118925948e-05,0.0018789646102254727,0.0,W2,0.0009967081563685277,-0.00032824255656621214,-0.003947554967793486,0.005419649896288678,-0.001818790353472921,0.0005524793614539728,0.0008417468073530981,0.00013540562135683267,2.223839695024305e-07,0.002286446853258631,0.0,0.0028790137805872295,-0.000442869645639622,0.0,Alo,0.0,-0.0020614718319809737,0.09821925958265922,0.07800798206194777,-0.002767635933726409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.003474148877310141,0.002622936686441209,-0.0030104867787109197,0.0005101840565692032,0.00024070728422066764,-0.0019601544118035986,-0.0029392240831849583,-0.0004710866792551586,-2.223839695024305e-07,-0.007959084525633958,0.0,-0.002336936070079505,0.0015813371601988196,0.0,Rbias3,0.0034598192073303485,-0.002644579813510592,-0.004020542777585715,0.08125459895376719,-0.0012395934906365006,0.0018646178449069667,0.0029188544095549718,0.00047016161950208567,4.44767939004861e-07,0.007940338889852183,0.0,0.0023140716323779235,-0.0015163693396785419,0.0,
6,Rd,-0.0008491854726713281,-0.00045973008700023714,0.006718273748135568,0.01828531352395846,-0.000545852596233391,-0.0004686622239849593,-0.0007216511378032326,-0.0001143959272678985,0.0,-0.0019339701728211536,0.0,-0.0010020531983400082,0.0003558096008216279,0.0,Ibias,0.008195249274535531,-0.003136179506935853,0.009397548500251936,0.016805429827868347,-0.0003400138036625195,0.008914004856677782,0.004762897509501788,0.0028495847664929985,0.001690145413776975,-0.00407805068540544,0.0,0.006071037004736905,0.009304980723870681,0.0,W1,-0.00011051600409882158,0.0027701396150998357,-0.003458826482732519,0.000949924861350293,-0.0019625385923997167,-6.057386332026686e-05,0.0035138173919705517,-0.003623920721844299,-0.0018417471548767756,5.4649911605046e-05,0.0,-8.085731859790338e-05,0.0018343358639117196,0.0,W2,0.0010182099495282249,-0.00032432317810433115,0.0054775778659706285,0.009373421807433072,-0.001549776734226834,0.0005624395383106242,0.0008647934622564734,0.00013739365772373304,2.2526261679669704e-07,0.0023218253707173167,0.0,0.0028386694350672485,-0.00042229070831549043,0.0,Alo,0.0,-0.0022044984794828575,0.01293116776091489,0.009208709503586284,-0.0024883082933029963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0035828313387633584,0.0025913662469789394,-0.09171905832166567,-0.06937845993493255,0.00048473776447896673,-0.0020137444339349926,-0.0030481593738325456,-0.00048247815956518425,-2.2526261679669704e-07,-0.008157162534143047,0.0,-0.0024728863271235254,0.0015246560111470363,0.0,Rbias3,0.0035690168382508736,-0.0025994009769999466,0.009003544673918286,0.00918966527958204,-0.0010163458475488405,0.0019174992955484588,0.0030273710694514013,0.0004816483445486764,4.505252335933941e-07,0.008139653339162565,0.0,0.0024497842360958156,-0.0014578357143294042,0.0,
7,Rd,-0.0008389219517350717,-0.00019859048218548073,-0.4312499829884563,-0.019035165297010537,-0.00030122483942375875,-0.00045996139544014173,-0.0007207879661199443,-0.00011103825996978034,-2.2802271471730556e-07,-0.0019134044366585687,0.0,-0.0009493142750556941,0.000356308508247195,0.0,Ibias,0.008186200405031437,-0.0027382315359314353,-0.4291569477942634,-0.018708347649373958,-0.00018799686622362466,0.008914281824326485,0.00490243130306416,0.0028046272096947746,0.0016604614085235726,-0.004103213936969846,0.0,0.006186741014892424,0.009411155270162175,0.0,W1,0.0003791927221842517,0.00341482529623656,-0.4312983341336193,0.0006321942060296128,-0.0021105880016008783,0.00020813253143659732,0.004052867323146042,-0.001003231893687047,-0.0010637259641257252,-0.00019068102800702397,0.0,0.0002876412436311464,-5.424296985681455e-05,0.0,W2,0.0010427799860067376,-0.0002616434386939327,-0.4298740391065785,-0.004723884494243457,-0.0013470263988905277,0.0005715020338342973,0.0008948740588470213,0.0001380081655641433,0.0,0.0023782924761221918,0.0,0.0027880584706909874,-0.0004376729630324168,0.0,Alo,0.0,-0.0022272020882944978,-0.42709246460099315,-0.022617055824806588,-0.0022967346327258807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0037449475925457006,0.002431522059939212,-0.03844033373195255,-0.08069662234060608,0.0006975048996231325,-0.0020907545229729174,-0.003220592715450819,-0.0004951771855980315,-4.560454294346111e-07,-0.008535586190297508,0.0,-0.0026722166046554106,0.0016171185388570738,0.0,Rbias3,0.003731524841317909,-0.002470937352037458,-0.4286490549863573,-0.02263703745688762,-0.000828459367473287,0.001993012726441683,0.003199726231733553,0.0004943267831693212,4.560454294346111e-07,0.008519650311876018,0.0,0.002650618968614634,-0.001542873473865491,0.0,
8,Rd,-0.0008232065856527076,0.00047925149505428314,0.00650860076798978,-0.012690742099666906,-0.00021081748373812353,-0.0004468920784004884,-0.0007177687369689376,-0.00010591643763582263,0.0,-0.0018939973211652798,0.0,-0.0008925019835902629,0.00038885766962486234,0.0,Ibias,0.008182412125963589,-0.0021017973510597805,0.00519065857656015,-0.004278375305545091,-0.00011137955306350993,0.008919161952034082,0.005009868564268958,0.0027695784178515628,0.0016374552871776039,-0.0041717570489651894,0.0,0.006288614621420294,0.009645567073375185,0.0,W1,-0.0001263121216080894,0.0025125045289501593,-0.004420310227102022,-0.004090571324494092,-0.0014759690808049002,-6.857074218843582e-05,0.0031951895586719067,-0.0035202952761764113,-0.0017917366881630896,6.463366848577162e-05,0.0,-9.674325642452028e-05,0.0015730444405378913,0.0,W2,0.0010793153011889754,-8.023118601356551e-05,0.0017911777362167305,-0.00435877025016127,-0.0012797969325980861,0.000585925169458245,0.0009396904947342209,0.0001389068034568307,2.3027074774639907e-07,0.0024855108050758556,0.0,0.0027642517308003704,-0.0005043633014557834,0.0,Alo,0.0,-0.0018678339812986703,0.012233961489528527,-0.012553946741807185,-0.0023182568868370373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.003936582603771872,0.0021023680324449285,-0.0021251084901348265,0.008949295208829741,0.0009391964354652895,-0.0021777121915705624,-0.0034370661338933447,-0.0005060176411639599,-4.605414953649722e-07,-0.0090533302786231,0.0,-0.0028900785549183655,0.0018934794191659396,0.0,Rbias3,0.003924386950651088,-0.00213987913030312,0.005841038351653508,-0.008571796004189187,-0.0007908770136284335,0.002076984135804007,0.003413483167809103,0.000505397521505825,4.6054149549279815e-07,0.00904121146578198,0.0,0.002868467848368421,-0.0018040557041998802,0.0,
9,Rd,-0.000825009156890308,0.00042165143723835494,0.007858288204270435,-0.010735061825486007,-0.0005416879240536594,-0.0004462278599096004,-0.0007226109053927548,-0.00010489155695173733,-2.3280323261926117e-07,-0.001891581055304938,0.0,-0.000879253184007132,0.0003732698130497567,0.0,Ibias,0.008156744627661415,-0.0019930022982044973,0.0059023277369802075,-0.00677896774050732,-0.0005270224189424244,0.008906765785671128,0.005127642159219288,0.0027193262820363138,0.0016130935987724664,-0.004179443057950454,0.0,0.006332320680214986,0.009642294961806703,0.0,W1,0.00035294033974736847,0.0030356380917060445,-0.0069861452271180674,-0.0027792620430835244,-0.002171777207018777,0.00019089704782767857,0.0037487702646215853,-0.0011923180362679417,-0.0010769477540658158,-0.00018140861144917518,0.0,0.0002749136394802874,7.119587714774584e-06,0.0,W2,0.0010917147032990023,-8.579767242895582e-05,-0.0005933223027612657,-0.0031082025534434573,-0.0016092942161299968,0.0005904825560007883,0.0009560419741634199,0.00013909532552288723,0.0,0.0025044955871914906,0.0,0.00272847696207342,-0.0004888783564195695,0.0,Alo,0.0,-0.0019668113248225007,0.013144760714005993,-0.017543652220113642,-0.002668122370437881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.004029920806233019,0.0020899121068245364,-0.005700289234123074,0.0047368379146550624,0.0006060744041501474,-0.002221281895314438,-0.0035352441707075135,-0.0005121697641980535,-6.984096978577835e-07,-0.009233639614474487,0.0,-0.0030025724061980104,0.001858890449547619,0.0,Rbias3,0.0040174745474008105,-0.00213695149750354,0.006041217822150991,-0.01059291281329085,-0.0011579604538837513,0.002119101485582789,0.003512926471626126,0.0005119164029491596,4.6560646523852235e-07,0.009221310873890535,0.0,0.0029815038757915057,-0.0017673528932139837,0.0,
10,Rd,-0.0008196081133852022,0.0013800306524898054,-0.002217400551627961,0.013307217998842278,-0.0004127541051239387,-0.0004392108975509725,-0.0007274759092378264,-0.00010128231147657207,-2.348375933723091e-07,-0.0018964805449478489,0.0,-0.0008504689485990833,0.00041440547867726424,0.0,Ibias,0.008139112856913185,-0.0011631497631797844,-0.00230971018575031,0.013101249236713557,-0.00043516844749817105,0.008903376064483248,0.005208482980426041,0.002682239456414458,0.0015940775837654775,-0.004266006123783056,0.0,0.006391997472196913,0.009875028839238423,0.0,W1,0.0003454850343418239,0.0029092873291693203,-0.00693718755211618,0.013966240984226523,-0.0019765426481628944,0.0001851382258736985,0.0036202624659720834,-0.0012636419854791445,-0.0010823664678218164,-0.0001812315389568904,0.0,0.00027222979173750257,2.706321493444938e-06,0.0,W2,0.001125582891139945,0.00014424726471454075,-0.002381257022458608,0.012886541783005797,-0.0015557837716815215,0.0006029302063355321,0.0009982925712484342,0.00013908577295741666,0.0,0.0026048194073788875,0.0,0.002710968122573261,-0.00056223829025431,0.0,Alo,0.0,-0.001148687919206604,0.0035483478485005358,0.0011227432729254785,-0.0026248806928030406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.004198194473158346,0.0014317170346631936,-0.001917647989438461,-0.00016711161409728632,0.0007395690385093574,-0.0022940398785767694,-0.0037321348116784946,-0.0005182815862436434,-7.045127801169273e-07,-0.009704795325086482,0.0,-0.0031859802601404866,0.0021633657437885477,0.0,Rbias3,0.004185330668688171,-0.0015154377004161772,-0.0003043485400532976,0.0003714327849196562,-0.001104214515508177,0.0021886686542765487,0.0037089044885262857,0.0005180235421377484,4.696751867446182e-07,0.009696194506288456,0.0,0.0031647893476430627,-0.0020547745938657197,0.0,
