Iteration No,Rd,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Ibias,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W1,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Alo,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias3,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,Rd,-0.0007950348789495732,0.001609304531707615,0.0012114080904438679,-0.00412415258836684,8.40986402475437e-06,-0.0004446934545632154,-0.0006736367719010597,-0.0001036078394709312,0.0,-0.0019311842513749305,0.0,-0.0010800204538120213,0.0006226534965809485,0.0,Ibias,0.008334310334720657,-0.003534321879614712,0.0033029484195002327,-0.00845836873086682,0.0009738718115742199,0.008984447205050516,0.0037778810775036848,0.0031356548369582578,0.0019331515331560442,-0.004138323384126782,0.0,0.005677504782881643,0.009952529089111654,0.0,W1,-0.00017292924555955037,0.004766169979883378,-0.003378745650018623,0.01150061601998524,-0.0015570592819867354,-9.672594956389825e-05,0.004597932079554824,-0.003943067492210709,-0.0020799312988003015,8.598594129857267e-05,0.0,-0.00011835840589730669,0.00177964570023359,0.0,W2,0.0009555073568203968,0.00019596502411224693,0.003051798512826416,0.0017434321980167112,-0.0012472878851677999,0.000534451856912872,0.0008088893791249699,0.0001245520023328103,0.0,0.0023226202515887738,0.0,0.003154066582151243,-0.0007424603815747334,0.0,Alo,0.0,-0.00012350315298038017,0.006730362414288523,0.016563991081222723,-0.0023175837133230606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0031002696523828623,0.0020794927861749685,0.0019853948840908475,0.010349807115492457,0.0010566929211321674,-0.0017650436516833384,-0.002630860180319281,-0.00040350396856479487,-2.0673206429382823e-07,-0.007522770027100572,0.0,-0.0018567474925124847,0.0024529603938976043,0.0,Rbias3,0.0030841491294917836,-0.0021514169034068434,0.0032660204287897955,0.008487645466129219,-0.0002607307541570243,0.001673031042882099,0.0026085369344668275,0.00040249217325743196,2.0673206429382823e-07,0.007502773296565994,0.0,0.0018336306163606634,-0.0023738878498018785,0.0,
2,Rd,-0.0007933413520524625,0.001243553405567727,-0.04422232477293861,-0.04791464952085509,-0.0009094647522719108,-0.00044351010900077205,-0.0006669278053851263,-0.00010599062592822656,0.0,-0.001887191127304536,0.0,-0.0010434782608695484,0.0005135125328505287,0.0,Ibias,0.008321051847190586,-0.0032262324323648205,-0.036674876674024234,-0.050064947613674096,-0.00011701224593324485,0.008974557499781068,0.004046370043804692,0.0030740436002113167,0.0018673167804999504,-0.004056611737649513,0.0,0.005780850814484925,0.009619548032946417,0.0,W1,-0.00032591727271220916,0.00421962335058989,-0.01685379780177348,-0.014047542758462414,-0.002400345960153363,-0.00017315408904548755,0.0041923005041001075,-0.0038941040085591298,-0.002013507889461015,-0.00033068304030580933,0.0,0.0012675495136528305,0.0019932303428543416,0.0,W2,0.0003168849233530001,0.0008717706533947307,-0.015555715649121607,-0.024716395441652852,-0.002310398090112801,0.0001771515710525139,0.0002656190395728446,4.2375220485234e-05,0.0,0.0007532779830532758,0.0,0.00315856088128437,-0.0002042300854068353,0.0,Alo,0.0,-0.0007031465705825973,-0.03230865269976863,-0.017217697393904698,-0.0031028291738515556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.00317788158288921,0.0021658311473492205,0.007733472605647375,-0.007252453381063176,0.00019784952876716224,-0.0018087554113282633,-0.0026734716344467575,-0.0004243831014350602,-2.11258827984349e-07,-0.007553260200098148,0.0,-0.00197163951716864,0.0020803132219111044,0.0,Rbias3,0.003162827667290419,-0.0022130104734935955,-0.029724051019100153,-0.02902549661957226,-0.0011967686005038196,0.0017142885996861532,0.0026517100745782752,0.00042343675656061506,2.11258827984349e-07,0.007533279351741417,0.0,0.0019482011016055086,-0.0020101631248930817,0.0,
3,Rd,-0.0008195706122773248,0.0003160263854593568,0.01538332285023791,-0.0017759364393467444,-0.001529017244008845,-0.0004574073307261165,-0.0006861735714307111,-0.00011097228695607668,0.0,-0.001913999943809071,0.0,-0.00105753675573629,0.0004498106630939831,0.0,Ibias,0.008280568378335807,-0.0034811898146132987,0.015046906070806363,0.0023507096482827425,-0.0009069202221628466,0.008952206376723426,0.004252658689302719,0.003013115183576428,0.0018135621127805478,-0.00404573933076721,0.0,0.005842257179426522,0.009417803210071945,0.0,W1,-0.00013532089400464185,0.003726770428493238,-0.004455900502382083,-0.00045520610154283,-0.002986355765998688,-7.534521126750534e-05,0.004110198355796325,-0.0037971017520130245,-0.0019579841609261043,6.572319597360575e-05,0.0,-9.571317576325452e-05,0.001928989109901481,0.0,W2,0.0009678884283051434,-0.0001514118240331611,0.007445417422198532,-0.0008214715005928337,-0.0025938132323505792,0.0005406499154127009,0.0008105930766766729,0.00013131720623136496,2.1523405089397586e-07,0.002264690890263427,0.0,0.003004643027388881,-0.0005272455515376799,0.0,Alo,0.0,-0.0013629020786960755,0.01938354349024908,-0.008297964393256568,-0.0035922718982860594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.003250759555413482,0.0024865250154348767,-0.015278112233298183,0.007130857541407369,-0.00040464557368046655,-0.0018479853800408036,-0.0027260313599362955,-0.0004400812752325678,-2.1523405089397586e-07,-0.007591781690621312,0.0,-0.0020653401946544307,0.0018071582187499076,0.0,Rbias3,0.003235469058915861,-0.0025166524023508916,0.012547593771615712,-0.002412375884710268,-0.0018397923276081262,0.0017527900139633309,0.002704880044044629,0.0004389933116350791,4.304681017879517e-07,0.007571713539179133,0.0,0.0020428194474158457,-0.0017421129124568261,0.0,
4,Rd,-0.000838214478519218,-0.00024353283167183066,-0.3422304951872433,0.07301853117665603,-0.001211162377143424,-0.00046642619997461026,-0.0007054319477285774,-0.00011427732754629071,-2.1876725527355002e-07,-0.0019427827231874228,0.0,-0.0010550384692693646,0.00041864144693982687,0.0,Ibias,0.00824893411992533,-0.003515608344074168,0.08570555235541022,0.07632739303540194,-0.0007604455829524158,0.008937957079252979,0.004437099999087061,0.0029573179783443752,0.001765232982751513,-0.004075192489337956,0.0,0.005914066267362512,0.009371206703188344,0.0,W1,-0.00013476868474333843,0.003313721701147374,0.03146117586877598,-0.005385193299361807,-0.002661629937553563,-7.477557573935398e-05,0.00388930987574286,-0.0037670064549885337,-0.0019194638977148724,6.644613365288643e-05,0.0,-9.719942963759918e-05,0.0019187732984739345,0.0,W2,0.0009838892996001695,-0.00028757653172961514,0.06093693505975175,-0.006869594588021704,-0.0022153963869114106,0.0005474872588921361,0.0008265544305568986,0.00013410780497341693,0.0,0.002281146880711866,0.0,0.002940518667480804,-0.0004867048848000534,0.0,Alo,0.0,-0.0018411757607982532,-0.337544936435714,0.06669644530454766,-0.0031708153075397268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.003354415933553698,0.0026269170322007263,-0.2768647578296943,0.07051122228739669,-0.0001254032482437127,-0.0019003833277775753,-0.0028247710693776315,-0.00045699727358943274,-4.3753451054710004e-07,-0.0077685752722246515,0.0,-0.002191233743867318,0.0016978236459224004,0.0,Rbias3,0.003340393758262264,-0.0026367766966879473,0.07542495958824397,-0.009140250570023153,-0.0015705047597755896,0.0018052341169092277,0.002804076775828989,0.00045587690763306454,2.1876725527355002e-07,0.007749152556233978,0.0,0.0021676416492950805,-0.001632496426669518,0.0,
5,Rd,-0.000849675857021926,-0.0004584809686968859,0.09940857020756812,0.09248511201317054,-0.0008761248693008426,-0.000471295230055354,-0.0007192731555480798,-0.00011533160720372752,0.0,-0.001953343007032034,0.0,-0.0010363781111603365,0.0003904216996857066,0.0,Ibias,0.008218045777381802,-0.0033888265092925822,0.10255055349990917,0.09306499162538949,-0.0005592968157234416,0.008923939878085471,0.004599862995589308,0.002903703874565325,0.0017257694397788967,-0.004092892543706372,0.0,0.005991352392393516,0.009345613065885931,0.0,W1,-0.00012422627337891018,0.0030122957049882764,0.08852408140785062,0.07758359322809025,-0.0023114889774907346,-6.906152013453303e-05,0.0036955137064499663,-0.0036967240056973746,-0.0018785592190310562,6.206884321414964e-05,0.0,-9.057582388241946e-05,0.0018714372317976907,0.0,W2,0.0009969954760931958,-0.0003372859993635493,0.09843792254985281,0.08371026056771386,-0.0018595591489333817,0.0005522715172418934,0.0008424569457628703,0.00013516864364255098,2.2207816752394516e-07,0.0022913313297441384,0.0,0.0028822180589125066,-0.00045305255647933186,0.0,Alo,0.0,-0.002089088572248425,0.10584505930701132,0.08247719572327893,-0.002803261045562198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.003471168754225488,0.0026406131466711336,-0.00320853471267873,0.0023763590006319695,0.00018994254491808756,-0.0019582140293732844,-0.0029389849655687902,-0.0004704376257835212,-4.441563350478903e-07,-0.007970891277293233,0.0,-0.002331135677817076,0.0016168291835284862,0.0,Rbias3,0.003457631275716281,-0.002655606459195788,0.10187497567122017,0.08473615563718946,-0.001287168385688024,0.001862675249123437,0.0029179535867514075,0.0004693996413185948,4.441563349246122e-07,0.007952635735171637,0.0,0.0023092067941402348,-0.0015507944758223373,0.0,
6,Rd,-0.0008497144829112636,-0.0004966831566512481,-0.09712893382790055,0.018128863622811586,-0.0005100165109047657,-0.0004696114223877766,-0.0007226548130709462,-0.00011457205613704148,0.0,-0.0019344997280770018,0.0,-0.0010027327115297783,0.0003504568661557088,0.0,Ibias,0.008191931293584554,-0.0031519069088766513,-0.09357507527043413,0.018663568122709553,-0.0003164051672256977,0.008911606996805713,0.004776166867997264,0.0028439779370350855,0.0016871980017078838,-0.004074865033360257,0.0,0.0060741906617747116,0.009290329934953472,0.0,W1,0.0003963706448062994,0.0036223322296382336,-0.002899052027572255,0.0009364086897909485,-0.0023419171341633495,0.0002186277100399926,0.004212519846308179,-0.0008895973445905683,-0.0010569799245994849,-0.00019737627505332208,0.0,0.00029475140223653797,-9.16005361683691e-05,0.0,W2,0.0010190062572844139,-0.0003425099119968446,0.00605623479507348,0.009249228847897457,-0.0015117643982963736,0.0005621855401026989,0.0008650498501292322,0.00013727253613921242,2.255612300561341e-07,0.00231811006910832,0.0,0.0028338517169269654,-0.00041559502520883995,0.0,Alo,0.0,-0.0022359952688065076,-0.09088036855377007,0.009110280063017527,-0.002449664875509715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.003587683372292159,0.002589487982969558,-0.005067826745655445,-0.007457322462398387,0.0005184614379713007,-0.002016857477202489,-0.0030525936069375746,-0.00048312801680172086,-2.2556123018134574e-07,-0.00815715820610431,0.0,-0.0024793794423418856,0.0015025880544080853,0.0,Rbias3,0.0035746609281095817,-0.002623267833764124,-0.09269913342091017,0.009093754075426353,-0.0009793162812564498,0.0019202388591992386,0.0030318276640330525,0.00048217721135660634,4.5112246023747983e-07,0.008139649020414174,0.0,0.002458188165057038,-0.0014367713728647331,0.0,
7,Rd,-0.0008449032356880831,-0.00037079960143504803,0.0991327380596075,0.08186010291256857,-0.0002862817763269135,-0.00046479812176693794,-0.0007227726263089125,-0.0001132302051821658,-2.2874532731140422e-07,-0.0019136391760732144,0.0,-0.0009660987177235382,0.0003245247558527505,0.0,Ibias,0.00817183750221637,-0.0028269015086397425,0.10282343503406181,0.0822928084953049,-0.00019213380191334748,0.008903023796702624,0.004943059619927372,0.002786219542386497,0.0016515412631408482,-0.004069463151609876,0.0,0.006152780217421029,0.009285202043760803,0.0,W1,-9.822520375478858e-05,0.0025176120893602013,-0.006226715521888119,0.0005240911224649884,-0.001669535824618673,-5.40090382752014e-05,0.003309475960465046,-0.003565287279550277,-0.001809375538981146,4.876204016031466e-05,0.0,-7.318929679730957e-05,0.0018004687655085382,0.0,W2,0.0010355267243310252,-0.00030314981737502016,-0.0012755307617288451,0.004334736197367041,-0.0013220153412422779,0.0005691545686039057,0.0008855433722337184,0.00013873140440956807,0.0,0.002344912331269705,0.0,0.0027929035657825434,-0.00039329148386741276,0.0,Alo,0.0,-0.0022747164054038667,0.1068913100646091,0.0669734987392839,-0.0022699550142702305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.003705920399293826,0.0024939563539985265,0.0007549498183707059,-0.004074795222344467,0.0007092017724024925,-0.002075228640169153,-0.003174323355545275,-0.0004961142395157788,-4.5749065462280844e-07,-0.008384903705806747,0.0,-0.00262603196908482,0.0014481663165661755,0.0,Rbias3,0.003693434144579118,-0.0025179364112398943,0.10332348964705966,0.07435120362867595,-0.000815534302600207,0.0019770511934739665,0.0031543442748181547,0.0004952601323647312,4.5749065462280844e-07,0.008368649692419924,0.0,0.0026055389659815457,-0.0013797383409060871,0.0,
8,Rd,-0.000827294514261914,0.0003028581378122308,0.020235695201790412,-0.0041303343158755005,-0.00012136767927785924,-0.00045058787636992163,-0.0007172373858342276,-0.00010755822969329513,-2.3040800406846257e-07,-0.0018904127769896033,0.0,-0.0009066433707185694,0.00035953163387493,0.0,Ibias,0.008175565684168136,-0.002228835038005336,0.01842137804188974,-0.00015462449499175382,-2.5993970757797206e-05,0.008911313979958186,0.005020063504521241,0.0027633905033651665,0.001636357645755642,-0.004130208773488985,0.0,0.00625698082350133,0.009514385158588372,0.0,W1,0.0003645266453466378,0.003198928037965633,-0.00369294637546633,8.288578531784651e-05,-0.001801982005287746,0.00019854028302542992,0.0038996418000444874,-0.0011058524330862692,-0.0010713972194822715,-0.0001843336791243576,0.0,0.0002797836953596835,-1.7265643434686294e-05,0.0,W2,0.001069450512707085,-0.00012006292792584421,0.006414838922649823,-0.0002590379817689667,-0.0011945981413049647,0.0005824787026823664,0.0009272042936139925,0.00013906894519737756,0.0,0.0024456825365676642,0.0,0.002770199050978528,-0.00045974007420161294,0.0,Alo,0.0,-0.001933101286998178,0.025427883587602496,-0.011005176515594276,-0.0022222184521674512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0038848371565543462,0.0021952065413707957,-0.011154116425465654,0.011384086640999031,0.0010045678623811741,-0.0021562507333787637,-0.0033732290397991923,-0.0005045436218713229,-4.608160082648273e-07,-0.008871838181119966,0.0,-0.0028318836452311015,0.00171877787682014,0.0,Rbias3,0.003871910679768896,-0.002227777557107539,0.017892781585403597,-0.0039909734288724324,-0.0006930384896633954,0.0020548684611953532,0.0033522921686530926,0.0005037992742610363,4.608160083927294e-07,0.008858793028443565,0.0,0.0028102539823112935,-0.001636850706012442,0.0,
9,Rd,-0.0008194896636988431,0.0010536859699341755,-0.025014025777249337,-0.058328808549371135,-0.00040186731507517513,-0.0004435469555263091,-0.0007178555860515353,-0.00010452158086618093,0.0,-0.001881823809702402,0.0,-0.0008752667148104515,0.00037604195665243514,0.0,Ibias,0.008163855361848124,-0.0015582198396608805,-0.02147115294267469,-0.05802028649240035,-0.0003348643156844775,0.00890860102075761,0.005111324971835204,0.0027280385073660774,0.0016167354075510996,-0.004176945372003017,0.0,0.0063178454519699865,0.009652647772790603,-0.3333333333333333,W1,-0.00011618305838154574,0.0024335627610024848,-0.005558212217254139,0.0004964966861939544,-0.0015888027130961087,-6.284981197831184e-05,0.0030766964394603946,-0.0034723129527611967,-0.0017724365320386552,5.921003264180438e-05,0.0,-8.945078446492328e-05,0.0015421450124934945,0.0,W2,0.0010944266720827461,6.150081857337429e-05,0.0007828637669414146,0.0136700052310174,-0.0015187785640645055,0.0005922755182230235,0.0009581470269670487,0.00013961457540813337,2.323897380476742e-07,0.002514960792406183,0.0,0.002750151063338472,-0.0004967551546400401,0.0,Alo,0.0,-0.0013379526214319136,-0.018292150605993863,-0.06558631260379813,-0.002580348756840222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.004018514790280616,0.0016982667204086177,-0.006727823213872716,0.013272144923444182,0.000780036616965537,-0.0022165353537390445,-0.003524073217647206,-0.000511878031899031,-4.647794760953484e-07,-0.009220350429595082,0.0,-0.0029823751250673864,0.0018788534551948777,0.0,Rbias3,0.004006098280224762,-0.001776582308159834,-0.018984029879484273,0.09279362110343281,-0.0010289825088241635,0.002111945590293928,0.003501734566104841,0.0005113730967256797,6.971692141430226e-07,0.009208039432709312,0.0,0.002961189412957231,-0.001786962228636876,0.0,
10,Rd,-0.0008367855225331852,0.00046679516152487685,-0.005191175679590959,-0.0033384235780476216,-0.0009441062151157156,-0.00045127261056248844,-0.0007352068113972677,-0.00010565369366988135,-2.345875950147217e-07,-0.0019134480690194266,0.0,-0.000887146682299069,0.0003656184701927931,0.0,Ibias,0.008126336657131564,-0.0018676127868073442,-0.004147688397906175,0.0017596644582328436,-0.0009632624471567435,0.008890046205179879,0.005199819136725695,0.0026809303437536733,0.001596368584029343,-0.004206025848458381,0.0,0.006328464050836848,0.00963663409133486,0.0,W1,0.00034117864652627314,0.002868017752445046,-0.010984603475151036,0.006971160363844632,-0.0024933849636901363,0.00018385180430307261,0.0036316577894142917,-0.0012633456874463088,-0.0010859059772918933,-0.00017680853474967944,0.0,0.0002664323737064796,5.580670451597575e-05,0.0,W2,0.0010998522157756342,-4.281674922502238e-05,-0.005282889463835904,0.006662343703595484,-0.0020343115909066214,0.0005934610283830191,0.0009660833386304846,0.00013920066939698936,0.0,0.0025168516926451414,0.0,0.0027172600494284153,-0.0004755407669668403,0.0,Alo,0.0,-0.0017961770660182839,0.0007842358738140421,-0.012138541740055167,-0.00311978118453982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.004079778341620373,0.002010414363889817,-0.010594101187974428,0.01720926156393853,0.00024170581701800524,-0.0022444938322445126,-0.003590279918299697,-0.0005150296235219975,-7.037627850441651e-07,-0.00932338696327782,0.0,-0.00305372489863575,0.0018182838998672404,0.0,Rbias3,0.004067208602011504,-0.0020674617275675536,-0.00255329740119277,-0.003171181159791583,-0.001597165275049756,0.0021393664500734357,0.003568091784513674,0.0005147725585738526,4.691751900294434e-07,0.009311520618663735,0.0,0.003032715155985511,-0.0017262873930287389,0.0,
