Iteration No,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
1,0.8882359074550235,0.5044269074550235,0.0,0.0,0.0,0.383809,0.0,0.0,
2,0.8850137538464602,0.5035975538464602,0.0,0.0,0.0,0.3814162,0.0,0.0,
3,0.8820606698210296,0.5027144698210295,0.0,0.0,0.0,0.3793462,0.0,0.0,
4,0.8790618053402537,0.5019098053402538,0.0,0.0,0.0,0.377152,0.0,0.0,
5,0.8761762069703593,0.5011484069703592,0.0,0.0,0.0,0.3750278,0.0,0.0,
6,0.8733725755971798,0.5003409755971798,0.0,0.0,0.0,0.3730316,0.0,0.0,
7,0.8706093622005384,0.4996587622005384,0.0,0.0,0.0,0.3709506,0.0,0.0,
8,0.8679753875152398,0.4989611875152399,0.0,0.0,0.0,0.3690142,0.0,0.0,
9,0.8653342123785934,0.49823081237859346,0.0,0.0,0.0,0.3671034,0.0,0.0,
10,0.8627412337955678,0.4975778337955678,0.0,0.0,0.0,0.36516339999999997,0.0,0.0,
