Iteration No,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,0.001919045,14.955730925449766,1.2303279827489746,58.33778231160042,9.971796343940923,0.008827074,0.04039525,0.05023823,0.3141148,0.07459987,9999000.0,0.02025731,0.01045976,3.0,
2,0.001907081,14.964024461535399,1.2534125225661938,58.53109938817718,9.987024354218084,0.008803988,0.04014017,0.05022043,0.3140535,0.07342835,9999000.0,0.02014075,0.01059295,3.0,
3,0.001896731,14.972855301789705,1.2229539259628694,58.389036601903896,9.999226925752222,0.008784772,0.03992012,0.05020548,0.3139979,0.07238924,9999000.0,0.02003981,0.01071968,3.0,
4,0.00188576,14.980901946597463,1.2180607988372003,58.35216345490781,10.012619548569521,0.008763792,0.03968605,0.05019142,0.3139505,0.0713282,9999000.0,0.01993278,0.01085475,3.0,
5,0.001875139,14.988515930296408,1.2032718208526774,58.31195126650442,10.025294449612183,0.008743548,0.03945836,0.0501756,0.313893,0.07031883,9999000.0,0.01982909,0.01099054,3.0,
6,0.001865158,14.996590244028202,1.1860497360996192,58.22592032551135,10.036449744393796,0.008724335,0.0392455,0.05016121,0.3138336,0.06937919,9999000.0,0.01973303,0.01112303,3.0,
7,0.001854753,15.003412377994616,1.1799945084892727,58.21055443952318,10.048909660165652,0.008704061,0.03902264,0.05014816,0.3137859,0.06842433,9999000.0,0.0196333,0.01126366,3.0,
8,0.001845071,15.010388124847601,1.1640015589313322,58.147484276461114,10.05950768119712,0.008685157,0.03881454,0.05013354,0.313727,0.06755503,9999000.0,0.01954045,0.01139771,3.0,
9,0.001835517,15.017691876214066,1.1525680914415943,58.08631167297996,10.069807672138865,0.008666331,0.03861018,0.05011991,0.3136664,0.06670466,9999000.0,0.01944879,0.01153441,3.0,
10,0.001825817,15.024221662044322,1.1420554380483168,58.070197539051975,10.08040490814069,0.008647091,0.03840131,0.05010545,0.313606,0.06586556,9999000.0,0.01935522,0.01167476,3.0,
