Iteration No,Rd,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Ibias,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W1,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Alo,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias3,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,Rd,-0.0015382651266646046,0.0003760552608021375,-0.24749145476767873,-0.0283026258043053,0.000735383911787549,-0.0006690778846988216,-0.0015724621087874803,-4.9563848089409694e-05,-6.367098907970943e-07,-0.0037804355423138665,0.0,-0.0014957563467212806,0.0029493984565610427,0.0,Ibias,0.006432887191285237,2.0493191075105457e-05,-0.21765678125671936,-0.022876566324752646,-0.0014755725786532565,0.007498067876172707,0.005729386499650315,0.0008881682336339321,0.0013870724970615307,-0.006690628281255608,0.0,0.0059346477888723,0.014724047205671982,0.0,W1,0.0005200503375376212,0.00016797307537972888,-0.04108724684898662,-0.003165402420713136,7.682455774410709e-05,0.0002262357832278408,0.0011461743645601679,-0.00101098307006441,-0.0014195447014914756,-0.0005432985338982086,0.0,0.000482788682209084,0.0009617811498542257,0.0,W2,0.0015262799986450668,6.08206006421555e-05,-0.05128324780862098,-0.004330311027266042,-0.0008623672343608451,0.0006635267813546977,0.0015590942004319122,4.9364796490623765e-05,9.55064836018919e-07,0.0037608644626324302,0.0,0.0020802367145489474,-0.0028901236739658346,0.0,Alo,0.0,6.595144553738183e-05,-0.23283086321622365,-0.026252585363550986,-0.0026487649348480823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.006938346938190647,0.00023421396037129696,0.18223077531464163,0.02638175870737257,0.001731167634852121,-0.003621358561172289,-0.007097864229086272,-0.00022234063580673098,-2.8651945085869245e-06,-0.016960887465353406,0.0,-0.006401639704383261,0.013577749393867512,0.0,Rbias3,0.006896659536383928,-0.0004626785210862555,-0.21075809257332834,-0.022719732257477903,-0.0018255524657892013,0.002657619047942725,0.007040431733929042,0.00022453020339282376,3.183549453808749e-06,0.017082201349680692,0.0,0.0063577049470043235,-0.012794748636679973,0.0,
2,Rd,-0.0015552564364071913,0.0004134977207384091,-0.2399395388620897,-0.028916974678664362,0.0007657838863985482,-0.00067389914661397,-0.0015929180170389259,-4.898404892197732e-05,-6.368341699925367e-07,-0.003809564017167835,0.0,-0.0015113637774164137,0.003069966345541084,0.0,Ibias,0.006398259958543976,4.6373010619872364e-05,-0.2099382634814741,-0.023425444089884537,-0.0014450447899196283,0.007485812111511258,0.0056865728271702385,0.0008868900564968418,0.0013870248222039748,-0.006749028134228819,0.0,0.00590494395690328,0.014965613922467346,0.0,W1,0.000541665508701576,0.00020731512127689075,-0.03454265636501619,-0.0029804603617130465,7.933830038829523e-05,0.00023466638073566437,0.0011821075994445835,-0.0009518038774259921,-0.0013707855508695186,-0.0005734842196508294,0.0,0.0005029604160719216,0.0009581844528672783,0.0,W2,0.0015468666511805449,6.576059914444886e-05,-0.0446099537230756,-0.004581995717137739,-0.0008374687364436192,0.000670037260387018,0.0015832020641665331,4.898404892183915e-05,6.368341699925367e-07,0.0038000309144901054,0.0,0.0020972406687934865,-0.0030180450205090133,0.0,Alo,0.0,0.00010796601083904683,-0.22601349692720507,-0.026850722259616787,-0.002626672513206862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.007019628426899489,0.00019419277222804308,0.18570507812696452,0.02722351653533464,0.0017588084615684193,-0.0036492553147506627,-0.007195535046314048,-0.00022022909799856823,-3.1841708497859267e-06,-0.01710197764215052,0.0,-0.006478408202276419,0.014141480890592355,0.0,Rbias3,0.006975582054459197,-0.0004200863208457796,-0.20298900060630584,-0.023262028239198984,-0.0018030838060921902,0.0026816256451052734,0.007135246313107141,0.00022222031949937848,2.8657537649664156e-06,0.017229040282125244,0.0,0.0064322331591426625,-0.013338116388730288,0.0,
3,Rd,-0.001572178658966461,0.0003850515027439001,-0.2470610381377041,-0.02916567071228567,0.0007617279714204917,-0.0006791297486149453,-0.0016134721037912925,-4.860027232085795e-05,-6.36946935013741e-07,-0.0038395209011724734,0.0,-0.0015274595916827732,0.0031838636974238286,0.0,Ibias,0.006365161954963582,2.461495095518399e-05,-0.2165312651089637,-0.023401072007636168,-0.001448344456688512,0.007473956068524057,0.005646025112148934,0.0008857598811923477,0.0013869519509524667,-0.00680391174157915,0.0,0.005875305204989374,0.015187953371742379,0.0,W1,0.0005398762396987643,0.00017405373751592303,-0.037063399539638456,-0.0032928742024615956,9.61178268563194e-05,0.00023313069479788677,0.0011808581737728775,-0.0009504938504719835,-0.0013713467510451606,-0.0005792297308273382,0.0,0.0005010027540180947,0.0009617824412668555,0.0,W2,0.00156532476139211,6.380905386112304e-05,-0.047358863004305994,-0.004858981712732585,-0.0008439555034459094,0.0006758285815500957,0.0016054560958232544,4.860027232099616e-05,6.36946935013741e-07,0.003834133360151335,0.0,0.0021127944825823372,-0.003132556195707341,0.0,Alo,0.0,9.079979657472516e-05,-0.23315663952859608,-0.027119651423183823,-0.0026388784427016513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.007093256766510372,0.00020533769761307632,0.1882181247174973,0.02632972245924158,0.0017562637517538353,-0.0036744266100474368,-0.007284547240839976,-0.00021830286255598714,-2.866261207385046e-06,-0.017224797497528647,0.0,-0.006548465279860588,0.014650623899220765,0.0,Rbias3,0.007046861152161217,-0.0004310273731831136,-0.20903263953636195,-0.02359161643206819,-0.0018135877957644573,0.0027033143261999877,0.007221922178590602,0.00022029467699542435,3.184734675068705e-06,0.017357137607744048,0.0,0.006500061627330629,-0.013826905280754741,0.0,
4,Rd,-0.0015892796538265876,0.0003838011387709792,-0.2478420950155227,-0.0287380412561363,0.0007705680350850154,-0.0006841787208093749,-0.0016340754496856765,-4.821541211631341e-05,-6.370431007619072e-07,-0.0038677549692827276,0.0,-0.0015436883364989434,0.0032990165595707596,0.0,Ibias,0.0063306041065670955,2.5341519731637637e-05,-0.21699170608434235,-0.02297957797318712,-0.0014392678549160684,0.007461724331202795,0.0056034803161312645,0.0008846133462651584,0.0013871613518690925,-0.006858297279336931,0.0,0.0058446438479729645,0.015415371150878671,0.0,W1,0.0005149117597149167,0.00016163793515593507,-0.03600368207547501,-0.0029082202243879062,0.0001082704773015193,0.00022159357501881652,0.0011434748482148675,-0.001005948825516398,-0.0014209246362085896,-0.0005598066402908469,0.0,0.0004776052311819512,0.0009590271540109746,0.0,W2,0.0015850373324282517,6.516606947676778e-05,-0.046370884185030936,-0.0044681374752387,-0.0008387660527584642,0.0006821248153767494,0.001629035895484671,4.821541211631341e-05,6.370431007619072e-07,0.003869717727350499,0.0,0.002129657779797872,-0.003252953775996702,0.0,Alo,0.0,9.850359854508179e-05,-0.23428825228636757,-0.026352437741740495,-0.00263807419159255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.007172704904123554,0.000190280658053671,0.19031573713197067,0.02714123609533149,0.0017647495556966,-0.003701365801470325,-0.007379923171996264,-0.00021637164280272254,-2.866693953428582e-06,-0.017351342105927224,0.0,-0.006623762465647126,0.01517676593196527,0.0,Rbias3,0.0071239182080434955,-0.0004182274581112828,-0.20913603855691215,-0.022466366800659665,-0.0018116658386899496,0.0027267876736463115,0.007314912922802856,0.00021836401520413968,3.1852155036327205e-06,0.017489436155686027,0.0,0.006572590476591867,-0.014335659503903864,0.0,
5,Rd,-0.0016068142148395722,0.0003746984846192269,-0.25123700049541897,-0.028947579807562893,0.0007739123750120375,-0.0006893082762284215,-0.0016549091244541666,-4.78320139669406e-05,-6.371597963326356e-07,-0.003894973792937096,0.0,-0.001559829523190521,0.003408385757205704,0.0,Ibias,0.006295533291131981,1.6070864154323657e-05,-0.21997883008530483,-0.023220699503455507,-0.0014352369921081392,0.007449493043327394,0.00556079877622904,0.0008834971579812129,0.0013870968769613538,-0.006910240116338694,0.0,0.005814185118933876,0.015631625015695292,0.0,W1,0.0005364935612773295,0.00019852164313980642,-0.0364815114955858,-0.0032827313652786325,8.513321535660362e-05,0.00023022690559946165,0.001179217788068307,-0.0009476717767201661,-0.0013721236217435577,-0.0005910223477836029,0.0,0.0004977535529869817,0.0009671954244285832,0.0,W2,0.0014265609109511044,0.0001977810839593813,-0.044285107163676035,-0.004022615415550999,-0.0008828451373939463,0.0006119941241243173,0.0014688902427775188,4.245091239558718e-05,6.37159796509483e-07,0.0034690565812883697,0.0,0.00200916935673797,-0.002995303233508137,0.0,Alo,0.0,9.737772313473593e-05,-0.23793507315240653,-0.026910936638458564,-0.0026429440547891445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.007251195778019633,0.000189099422473921,0.19253529046907514,0.02650493216043744,0.0017685315157142652,-0.0037280060680173603,-0.0074739548222479465,-0.00021444686261845496,-2.8672190841158263e-06,-0.01747071161451345,0.0,-0.006697735498704205,0.015677118685706093,0.0,Rbias3,0.007199999573364942,-0.0004142620630540252,-0.21169428185222958,-0.02340610015131513,-0.0018150077139888281,0.0027500277919215764,0.007406795416738114,0.00021643986320046843,3.185798982547415e-06,0.01761420091887196,0.0,0.006644782993067162,-0.014821837689503932,0.0,
6,Rd,-0.0016239911042389417,0.00036109432075599426,-0.2544460857541409,-0.02871890017929702,0.0007801362779391373,-0.0006943795716234829,-0.0016750965078799257,-4.744702131380551e-05,-6.372803931948368e-07,-0.0039204839376186795,0.0,-0.0015760377397692695,0.0035134311424134096,0.0,Ibias,0.006261667912316222,6.734136937653371e-06,-0.22273062521364811,-0.022684925611664287,-0.0014287878430313448,0.00743758693356007,0.0055198685199575855,0.0008823551106523208,0.0013870407757487642,-0.006958426582956554,0.0,0.005784717298863903,0.015837411208996097,0.0,W1,0.000534539165046595,0.00016424043122016847,-0.03628700564658468,-0.003273018138826753,0.00011186886607431873,0.0002287853458172613,0.0011782242550100266,-0.0009463487822562662,-0.0013730206070988315,-0.0005962883106591315,0.0,0.0004966292556186647,0.0009718574884721147,0.0,W2,0.0014433093603865652,0.00019679715237978963,-0.04419603540428479,-0.003999159287256389,-0.0008794443717679867,0.0006172390216561046,0.0014885783083409953,4.226373327121271e-05,6.372803931948368e-07,0.0034968698827415575,0.0,0.002023004069826191,-0.003090884408295268,0.0,Alo,0.0,9.273455956572334e-05,-0.2413300964547064,-0.026693087372030116,-0.0026441945944419326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0073264570615464986,0.00018539667379112183,0.19596650568860602,0.02668816994543675,0.0017748549060851988,-0.0037536385294694797,-0.0075639245263788525,-0.0002125148097503165,-3.186401965797303e-06,-0.01758005534512576,0.0,-0.006769360812809677,0.016146679456946398,0.0,Rbias3,0.007273378448367384,-0.00041291814698734403,-0.21398358004321857,-0.02286836536916047,-0.001814851421583082,0.002772245678323986,0.007494617217260491,0.00021450838207462476,2.8677617693767658e-06,0.017728947253492184,0.0,0.006714123477236008,-0.015277312027388258,0.0,
7,Rd,-0.0016411888806757593,0.0003576321169934802,-0.25595862970849914,-0.02867266949711229,0.0007858550633832613,-0.0006993287386198357,-0.0016956823013511476,-4.686114106675473e-05,-6.373772690415699e-07,-0.003944357219135485,0.0,-0.0015921928560149459,0.0036169415625115797,0.0,Ibias,0.006227244274574527,2.9355106677046102e-06,-0.22396132027520765,-0.022993066339476016,-0.0014239189779002381,0.007425269652866581,0.005477333158392255,0.0008815876793884932,0.0013872516260289955,-0.007005841343276678,0.0,0.005754508921067885,0.016043630578337822,0.0,W1,0.0005095018042833874,0.00015180397464212232,-0.03591374774478169,-0.0032795469005733355,0.00012112024720993796,0.00021736980014269957,0.0011411324297895006,-0.0010014325550528006,-0.0014223073758253973,-0.0005755262784451892,0.0,0.00047317567601992916,0.0009588357603123714,0.0,W2,0.0016455021234632946,0.00023329246747700385,-0.04657039473160399,-0.004381765689860598,-0.0009773619040667043,0.0007015116277331671,0.0017000387467379196,4.725995928866658e-05,6.373772690415699e-07,0.003971102091901948,0.0,0.002179969745279657,-0.003591195046725413,0.0,Alo,0.0,9.708656847350496e-05,-0.2431825464381937,-0.026983971259932925,-0.002645902004671833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.007406916176978768,0.0001752674462487966,0.19755412616315327,0.02660405039216281,0.0017809379806891588,-0.003780993722355642,-0.007660424820053074,-0.00021037661202321403,-3.186886345207849e-06,-0.01769356017077567,0.0,-0.006846531148609744,0.01662781014341694,0.0,Rbias3,0.00735192233143714,-0.0004035407629440256,-0.21482092894843252,-0.022828936365749647,-0.0018162124120139958,0.0027961660654720537,0.007588415340428118,0.00021276952135440837,2.8681977105101564e-06,0.01784803738670146,0.0,0.006788975872624632,-0.015747101741352243,0.0,
8,Rd,-0.0016573887942523677,0.00034416109285906473,-0.2595417392465237,-0.02882594089348855,0.0007897785200756706,-0.0007043050574675768,-0.0017153365723258237,-4.667533950318512e-05,-6.374969320643463e-07,-0.0039674321808458625,0.0,-0.0016079465928369487,0.003712149194882153,0.0,Ibias,0.0061937995882001065,-4.136862616328791e-06,-0.22710124524852535,-0.023184030729794494,-0.001419782309852019,0.007413337490617568,0.005436622461582676,0.00088024903088837,0.0013871933241322056,-0.007049660106730806,0.0,0.005725559032673159,0.01623133067958383,0.0,W1,0.0005316868564949218,0.00018853465970210305,-0.03623032500508972,-0.003251999982847843,9.820641089914788e-05,0.00022590265207634707,0.0011768785614875079,-0.0009436796204695471,-0.0013734871400929991,-0.0006070606437449289,0.0,0.0004938473781310019,0.0009782666869046239,0.0,W2,0.001664976578137109,0.00023362612181320169,-0.04696995726182926,-0.004351640342341296,-0.0009767356485311924,0.0007072986705939938,0.001722292728446614,4.6874806766191374e-05,6.374969320643463e-07,0.003999702168735596,0.0,0.002195957616124509,-0.0036910923334599628,0.0,Alo,0.0,9.467116760469834e-05,-0.2469768070924655,-0.027143470186769336,-0.0026492253473654154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.007481554910353083,0.00017292136254304618,0.20036713459701597,0.026388489078557228,0.0017849665277952652,-0.00380626395124472,-0.007749415554068196,-0.00020864275692474262,-2.8687361941126172e-06,-0.01779290157964564,0.0,-0.006917445606421573,0.017058689859629755,0.0,Rbias3,0.007425188515780668,-0.0004010169890456581,-0.217509590696823,-0.02302138924957975,-0.0018181318765488534,0.0028180262026350814,0.007675731826269274,0.0002106374295531442,2.868736194289558e-06,0.01795262321695352,0.0,0.006858081569257636,-0.01616816009531741,0.0,
9,Rd,-0.00167418770842228,0.0003387031048039554,-0.2619718522053493,-0.028663720367110908,0.0007955923007035005,-0.0007092967023760978,-0.0017350346463031999,-4.608946823724194e-05,-6.376200957633687e-07,-0.00398937645435866,0.0,-0.0016237514004727185,0.003805136110126097,0.0,Ibias,0.006160117285756491,-9.873425600145687e-06,-0.2291295539078632,-0.02304871484198564,-0.001413907420186235,0.00740151743569457,0.005395986239898423,0.0008792912836435705,0.001387461328341094,-0.0070920082644899485,0.0,0.005695984171765844,0.016415230601305106,0.0,W1,0.0005066692381491961,0.00014728343174736535,-0.03585690347590024,-0.002861777051859036,0.00012916065108944981,0.0002147390862408291,0.0011403728239547306,-0.0009984056236332878,-0.001422849243655076,-0.0005854163712100296,0.0,0.00047046628607740824,0.0009606039667395313,0.0,W2,0.0014971258778861214,0.0001990622920036334,-0.04398380412666202,-0.0035727306218483958,-0.0008727855792136879,0.0006341784083715089,0.0015516633178088357,4.130095205677444e-05,6.376200957633687e-07,0.0035811590974303277,0.0,0.002065424121500571,-0.003372517536657679,0.0,Alo,0.0,9.806871243913642e-05,-0.24967253506078016,-0.026655776011323896,-0.0026504780365706367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.00755754373291016,0.000166055035611524,0.2030314957533033,0.027117323209718262,0.0017904109153895915,-0.003831840717830862,-0.007839124293126784,-0.00020670428179128786,-3.1881004788168437e-06,-0.017889904543400732,0.0,-0.006989123744973306,0.017480738069827542,0.0,Rbias3,0.007498704724608857,-0.00039491858326121544,-0.21911338287472373,-0.02254609277447483,-0.001817894304568784,0.002840302314785854,0.007763755569127006,0.0002088990183742444,2.8692904307581843e-06,0.018054810563459856,0.0,0.006928451590047476,-0.01658342299259349,0.0,
10,Rd,-0.0016907499492007825,0.0003307656558781774,-0.26477816681877997,-0.02893242880050148,0.0007991250252774773,-0.0007141129889809907,-0.0017551484571750853,-4.570361108426354e-05,-6.377429003455009e-07,-0.004010290051432189,0.0,-0.001639867694606357,0.0038964398411616566,0.0,Ibias,0.006126572378283284,-1.590431423784453e-05,-0.2315479568390085,-0.023337110796033744,-0.0014101080547826764,0.007389421482900841,0.005354244425515742,0.0008783475649853879,0.00138740967966181,-0.007133166407451852,0.0,0.005665655053262169,0.01659477368271393,0.0,W1,0.0005290782153961931,0.0001516906675669864,-0.03618018670615489,-0.0032422985780056835,0.00012716913236177134,0.00022331209420583406,0.0011754807322979105,-0.0009406162403490916,-0.0013743359502050813,-0.0006176217130773847,0.0,0.0004908236641071036,0.000987600601639855,0.0,W2,0.0015149382440846845,0.00019938669830288637,-0.04426984333357263,-0.004335387584687912,-0.0008720218444330854,0.0006397527214642548,0.0015718213779686776,4.11132920669942e-05,6.377429003455009e-07,0.0036062852877892433,0.0,0.0020795423663488243,-0.0034578869287248425,0.0,Alo,0.0,9.798857308185568e-05,-0.2527822226747318,-0.027259489918008896,-0.002654271797147652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0076349382221767275,0.00016144431065603717,0.20493224540280333,0.026567834181910107,0.0017937937982251053,-0.0038579448279197444,-0.007931239845724117,-0.00020476814398443657,-2.8698430513777445e-06,-0.017985119992906883,0.0,-0.00706321085474607,0.017893301446882115,0.0,Rbias3,0.007574691220423541,-0.0003891830043145042,-0.2211167371700133,-0.022835035725463408,-0.0018200487103183765,0.002863159413957795,0.007853638326400776,0.00020716309303673224,2.8698430515547537e-06,0.01815531516015337,0.0,0.007000178763145136,-0.016987929516324107,0.0,
