Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
1,Rd,-0.001820308229187264,-0.001962702932247348,0.0,0.0,0.000182286524419168,-3.989182135906258e-05,0.0,0.0,Ibias,225.48545434230851,-12.634441710684941,0.0,0.0,141.8661426472858,96.25375340570602,0.0,0.0,W1,-39647.752866784875,-27373.08233382024,0.0,0.0,-11967.60217704554,-307.06835591923567,0.0,0.0,W2,-16260.420497316798,-6861.222216455314,0.0,0.0,-10389.246519506074,990.0482386451785,0.0,0.0,Alo,-3.8374566141520177,-2.083088725329589,0.0,0.0,-1.7543678888224026,0.0,0.0,0.0,Rbias2,7.165332696102288e-06,8.522223905106423e-06,0.0,0.0,2.175366032039293e-06,-3.532257241043427e-06,0.0,0.0,Rbias3,-5.4666724688545616e-06,-6.643884061696835e-06,0.0,0.0,-1.6261530081868197e-06,2.8033646010284183e-06,0.0,0.0,
2,Rd,-0.0022555639675937195,-0.0013394696628754776,0.0,0.0,-0.0008761930478841415,-3.990125683405683e-05,0.0,0.0,Ibias,-46.24877490932864,26.58599536229787,0.0,0.0,-172.46601608402915,99.63124581240265,0.0,0.0,W1,-48642.48747924536,-20976.269509957325,0.0,0.0,-27515.436540997132,-150.78142828996243,0.0,0.0,W2,-29041.933336113012,-4388.824356756761,0.0,0.0,-25524.870483426785,871.7615040717458,0.0,0.0,Alo,-4.1894141965130105,-1.206520195630684,0.0,0.0,-2.9828940008822484,0.0,0.0,0.0,Rbias2,-1.808775837375586e-05,2.91303990623372e-06,0.0,0.0,-1.753138347199599e-05,-3.4694148079922146e-06,0.0,0.0,Rbias3,-1.5658763998431798e-05,-1.8038127265347838e-06,0.0,0.0,-1.641953517762956e-05,2.5645839057324543e-06,0.0,0.0,
3,Rd,-0.00042912672496508866,0.0008766941920698713,0.0,0.0,-0.0012634139521083265,-4.2406964926618066e-05,0.0,0.0,Ibias,202.89264814347092,475.3809012988739,0.0,0.0,-367.9784655132381,95.49021235783678,0.0,0.0,W1,-42276.39116239412,-13201.249245845927,0.0,0.0,-28911.64427423796,-163.4976423101376,0.0,0.0,W2,-24694.079158844248,2967.488272722268,0.0,0.0,-28409.297774868373,747.7303433021518,0.0,0.0,Alo,-2.2941772620954435,0.7895896802965487,0.0,0.0,-3.0837669423919873,0.0,0.0,0.0,Rbias2,-4.813060089852717e-05,-2.0836153813985307e-05,0.0,0.0,-2.4045874751513044e-05,-3.2485723330285217e-06,0.0,0.0,Rbias3,-5.6719605069771946e-06,1.4943669919657163e-05,0.0,0.0,-2.2931078072191705e-05,2.3154476455574754e-06,0.0,0.0,
4,Rd,0.0006103123835689937,0.0008183342626266316,0.0,0.0,-0.0001635983363678494,-4.442354268978228e-05,0.0,0.0,Ibias,465.09305747761016,428.81891742129784,0.0,0.0,-54.697752582701085,90.9718926390109,0.0,0.0,W1,-20615.018802874285,-12516.223103474247,0.0,0.0,-8340.361808416297,241.5661090162403,0.0,0.0,W2,-3177.9886679921137,2903.6569773105753,0.0,0.0,-6759.158256652848,677.5126113500484,0.0,0.0,Alo,0.005529085558540028,0.9077439551093378,0.0,0.0,-0.9022148695508081,0.0,0.0,0.0,Rbias2,-2.011266127929163e-05,-1.6858931019239788e-05,0.0,0.0,-3.7545999267082804e-07,-2.878270267381218e-06,0.0,0.0,Rbias3,1.0324530354004687e-05,1.3322520896767987e-05,0.0,0.0,-5.177957806819756e-06,2.1799672640563744e-06,0.0,0.0,
5,Rd,0.000740397469677846,0.0003995658018484505,0.0,0.0,0.00037643287734783783,-3.5601209518440954e-05,0.0,0.0,Ibias,512.2758044560035,306.0092432023483,0.0,0.0,117.4639824938068,88.80257875985194,0.0,0.0,W1,-5596.689549029175,-7404.616951965544,0.0,0.0,1894.969214743309,-87.04181180685443,0.0,0.0,W2,4551.866267254608,1570.5197321424355,0.0,0.0,2323.5120945277536,657.8344405840722,0.0,0.0,Alo,0.9844337427717214,1.0641174385370307,0.0,0.0,-0.07968369576533198,0.0,0.0,0.0,Rbias2,-6.148331940334362e-06,-1.4091257867124529e-05,0.0,0.0,1.0711039898944142e-05,-2.7681139721541927e-06,0.0,0.0,Rbias3,1.8515567311171586e-05,1.2729625265161593e-05,0.0,0.0,3.3210680724217907e-06,2.4648739735880084e-06,0.0,0.0,
6,Rd,-0.000637431618423599,-0.0012049771891489503,0.0,0.0,0.0005975614526117408,-3.001588188638656e-05,0.0,0.0,Ibias,172.58609582057065,-90.76113074703176,0.0,0.0,177.25385383195638,86.09337273564508,0.0,0.0,W1,-4678.535279091921,-7756.686478867851,0.0,0.0,3151.5412125312178,-73.39001275520478,0.0,0.0,W2,1348.0879471669855,-2848.294790887561,0.0,0.0,3546.69376573667,649.6889723175449,0.0,0.0,Alo,-0.5002277737975688,-0.6324962632520978,0.0,0.0,0.13226848945451375,0.0,0.0,0.0,Rbias2,1.1285854361337636e-05,2.9936525879201047e-06,0.0,0.0,1.0966732109746368e-05,-2.674530336328791e-06,0.0,0.0,Rbias3,5.997391000514997e-06,-2.6253635763867158e-06,0.0,0.0,5.942194842456341e-06,2.6805597344452764e-06,0.0,0.0,
7,Rd,-0.000833890084185499,-0.00042985805041114073,0.0,0.0,-0.00037400969343223634,-3.002234034213136e-05,0.0,0.0,Ibias,29.533030818131024,89.95528871650275,0.0,0.0,-149.25141340244673,88.82915550407596,0.0,0.0,W1,-17040.242153159485,-8961.964342673033,0.0,0.0,-8240.381561242095,162.10375075545196,0.0,0.0,W2,-11005.505672833344,-938.5664084013408,0.0,0.0,-10694.75496365382,627.8156992219739,0.0,0.0,Alo,-1.0394570694593614,0.28277316347878245,0.0,0.0,-1.322230232938127,0.0,0.0,0.0,Rbias2,-1.2412180440838314e-05,-5.804560342342066e-06,0.0,0.0,-3.793256932849758e-06,-2.814363165646645e-06,0.0,0.0,Rbias3,-1.5609990197403596e-06,6.018784768013864e-06,0.0,0.0,-1.0192590418338447e-05,2.61280663058403e-06,0.0,0.0,
8,Rd,4.88483217082669e-05,0.00044126366792806573,0.0,0.0,-0.00035890762854807876,-3.3507717671726134e-05,0.0,0.0,Ibias,224.9596113346633,304.4572472704134,0.0,0.0,-164.73863357452916,85.24099763877618,0.0,0.0,W1,-10621.831724188747,-4563.174302993893,0.0,0.0,-5936.081719617874,-122.57570157709605,0.0,0.0,W2,-7318.9917742264215,1729.4772090562724,0.0,0.0,-9677.9521719469,629.4831886640333,0.0,0.0,Alo,-0.010657027626338095,1.2190504717067239,0.0,0.0,-1.2297074993330652,0.0,0.0,0.0,Rbias2,-2.1866546438358226e-05,-1.564036292068185e-05,0.0,0.0,-3.4290951333208387e-06,-2.7970883843556375e-06,0.0,0.0,Rbias3,7.295049941488172e-06,1.4950312011759932e-05,0.0,0.0,-1.0190114083382553e-05,2.534852013110654e-06,0.0,0.0,
9,Rd,5.0373121888030234e-05,3.090939715384725e-05,0.0,0.0,4.810856878742142e-05,-2.8644844053264157e-05,0.0,0.0,Ibias,245.2439735598162,182.66421153462053,0.0,0.0,-19.2972232594802,81.87698528467253,0.0,0.0,W1,-5427.7119159861195,-4208.662484852761,0.0,0.0,-1196.8804597883468,-22.16897134520401,0.0,0.0,W2,-2046.4346461985713,288.56550766512123,0.0,0.0,-2908.9862606222055,573.9861067584427,0.0,0.0,Alo,0.23096280498761068,0.8444905459985464,0.0,0.0,-0.6135277410109551,0.0,0.0,0.0,Rbias2,-7.88659729557697e-06,-9.715379779579722e-06,0.0,0.0,4.413518342937163e-06,-2.5847358589346465e-06,0.0,0.0,Rbias3,1.0524754926869244e-05,1.083350467254927e-05,0.0,0.0,-3.0250001211026525e-06,2.7162503754220696e-06,0.0,0.0,
10,Rd,-0.0005585600571007663,-0.0006261471592687413,0.0,0.0,9.456518239681034e-05,-2.697808022883099e-05,0.0,0.0,Ibias,58.38063655905861,-10.466586063313738,0.0,0.0,-9.70200418674817,78.54922680911783,0.0,0.0,W1,-5251.051540362799,-4209.060443482887,0.0,0.0,-1023.9938619695062,-17.997234910532725,0.0,0.0,W2,-3824.431695446062,-1529.802958681798,0.0,0.0,-2863.032239850993,568.4035030867739,0.0,0.0,Alo,-0.6190317678889178,-0.04349134523587137,0.0,0.0,-0.5755404226530465,0.0,0.0,0.0,Rbias2,1.9396367398097784e-08,-1.298139512828068e-06,0.0,0.0,3.842603587742805e-06,-2.5250677075169625e-06,0.0,0.0,Rbias3,2.2680700364907998e-06,2.188991530128393e-06,0.0,0.0,-2.7841186854518824e-06,2.8631971918141118e-06,0.0,0.0,
