Iteration No,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,0.0009904758,8.303760882007161,7.261286618678881,69.34348906977303,18.805014991512582,0.003681072,0.011775,0.09402405,0.4731114,0.1642203,9999000.0,0.008125427,0.002515505,2.0,
2,0.001013363,9.008611377526828,5.121323181600076,89.58010023084412,16.890063934149488,0.003763605,0.01305704,0.08857502,0.4575705,0.1650519,9999000.0,0.008409583,0.002602323,2.0,
3,0.0009620571,9.612197418291302,3.603569623209296,70.1692788104672,15.709658709927767,0.003629752,0.01358768,0.0819038,0.4395766,0.1528177,9999000.0,0.008269567,0.002680385,2.0,
4,0.0008886456,10.750814627035389,4.041373659007363,96.74612385531856,15.5510991711046,0.003402441,0.01334333,0.07759336,0.4274526,0.1425088,9999000.0,0.007854799,0.002642865,3.0,
5,0.0007987186,11.003592679679848,5.66231744399974,69.38440458989047,15.90373643692409,0.003115802,0.01242789,0.0749224,0.4201887,0.1306482,9999000.0,0.007200779,0.002561066,3.0,
6,0.0008137877,11.275695282594263,4.362473397418597,78.77044547993992,15.729611277551692,0.003125832,0.01282345,0.07396791,0.4165442,0.1419481,9999000.0,0.007294203,0.002457583,3.0,
7,0.0008120671,11.487178076321616,3.8133659017503163,82.09735358766989,15.12826811393474,0.003133441,0.01328675,0.07125159,0.4080674,0.1383412,9999000.0,0.007340679,0.00251885,3.0,
8,0.0007633229,12.011476425706638,3.3096758832999598,72.08156558478333,15.069506649631826,0.003008045,0.01284614,0.06895722,0.401593,0.1245628,9999000.0,0.007039203,0.002576516,3.0,
9,0.0007228653,12.224225962139307,3.77624967868573,82.95058241598042,15.19020131458232,0.002896801,0.01235928,0.06759909,0.3977297,0.1148175,9999000.0,0.006741918,0.002616125,3.0,
10,0.0007296815,12.280485389146174,3.177468268611136,75.22515533527354,14.931360677510256,0.002914506,0.01259982,0.06694624,0.3952428,0.1164967,9999000.0,0.00680949,0.002608275,3.0,
11,0.0006571901,12.358063445055878,5.119892229207025,64.11582024901296,15.38420057155738,0.002720576,0.01151149,0.06547017,0.3913877,0.09803007,9999000.0,0.006247319,0.002769626,3.0,
12,0.000710898,12.488049074158667,2.868844283610457,75.20905007643915,14.91643584175257,0.002855973,0.01249614,0.06551547,0.3903925,0.1133729,9999000.0,0.006689049,0.002604797,3.0,
13,0.0006283856,12.459812349256257,5.100727794605135,62.56819792682063,15.469595641476989,0.002634864,0.01118758,0.06405937,0.3866041,0.09237159,9999000.0,0.006020844,0.002820211,3.0,
