Iteration No,Rd,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Ibias,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W1,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Alo,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias3,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,Rd,-0.000896437853403455,0.0053842694649846356,-0.018361171807440367,0.026075265135748316,-0.003110461671333382,-0.0004797515506353223,-0.0008220806794056469,-0.00010295238292753847,0.0,-0.0022256688119557605,0.0,-0.0008681389913415497,0.0010359748837708727,0.0,Ibias,0.008356892717621163,-0.00039899043473151164,-0.016687502076795747,0.026902196494822363,-0.002285831626099582,0.008996835704381752,0.003878556263269587,0.0031361125158935682,0.0018665794144887863,-0.004422717532485405,0.0,0.005302613634951272,0.011527705172520084,0.0,W1,-0.0001785000703702283,0.0044430283725782095,-0.01898272507441559,0.014403780054479814,-0.00514704998588227,-0.00011029395784709024,0.0043906581740976655,-0.0038791139075586905,-0.0020103087771717993,0.0003915472082318042,0.0,-0.0008696158368046402,0.0006718332899357935,0.0,W2,0.0011074475519745153,0.0009975483950839708,-0.012095403876092977,0.017729827409966044,-0.005123661939144004,0.0005941204084027286,0.001014012738853374,0.00012730785368211684,0.0,0.002753618158047366,0.0,0.0030008269103889663,-0.0012689300955473959,0.0,Alo,0.0,0.002705250985370173,-0.01167900059906521,0.02233796928105527,-0.005906659488051355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0038816697995044886,-0.0005831349728299611,-0.013724534436239782,0.0097180253053108,-0.0030993454858633156,-0.0021251961385162035,-0.003566029723991544,-0.0004448861753986635,-4.227334196676536e-07,-0.00962061328593373,0.0,-0.00217920855113199,0.004546601974553814,0.0,Rbias3,0.003857439020721038,0.00048543814222242994,-0.014017335881594057,0.02225300558763605,-0.0039024240107767305,0.0020086540007910676,0.0035252653927813,0.0004442480407937813,4.227334196676536e-07,0.009604780894931844,0.0,0.002165424660144071,-0.004366518850091694,0.0,
2,Rd,-0.0011269406915389484,-0.00393106702893896,-0.007873564932990015,-0.06452680274273286,-0.006043166258546426,-0.0006084591767734068,-0.001010948882748418,-0.00013604287077778317,0.0,-0.002742167766623695,0.0,-0.0016887876604582675,0.0010160153063243868,0.0,Ibias,0.00801391011907879,-0.006731716035431246,-0.002662699996146187,-0.05461354301372873,-0.005558569198939616,0.008833817576499049,0.004075962086353389,0.002975669663975134,0.0017686891965282133,-0.0051026374128381145,0.0,0.005439984360698975,0.011105078039889653,0.0,W1,-0.00023288791874188182,0.0031728456556161253,-0.007815694256242194,-0.04262510113614655,-0.007412475339791371,-0.00012567737581387168,0.00385615729139218,-0.003779733834663559,-0.001920359813405825,0.00017630817942722332,0.0,-0.00023473220967080923,0.0010759617464856789,0.0,W2,0.0010460220079083144,-0.0007004599010507292,0.00034173255610353125,-0.04692473553154896,-0.00715338040068928,0.0005632897182355711,0.000938191198005069,0.0001265593843500979,2.1854555746682875e-07,0.0025482893562569905,0.0,0.002964831906647399,-0.0009333968150763655,0.0,Alo,0.0,-0.001953240660550137,0.005607845829432875,-0.07278073023394524,-0.008137526123813493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.003728180326299728,0.004034784779495835,-0.0016208517517665225,-0.013522545209308555,-0.004967066268346733,-0.0020440508501822115,-0.0033514487203838176,-0.000449675314778417,-4.370911149336575e-07,-0.00906078633448031,0.0,-0.0021622950864506854,0.003401960479156535,0.0,Rbias3,0.0037094308752146045,-0.0040395039115304525,-0.0007541306450431793,-0.057070466707592755,-0.006612288504098371,0.001938566879361663,0.003320813905754997,0.0004492237201865479,4.370911149336575e-07,0.009044427843605488,0.0,0.002117703101331014,-0.0032686180770027926,0.0,
3,Rd,-0.0012964926925855067,-0.0035855604161961854,0.2527227147963572,0.01386129654095419,-0.0008771848457585041,-0.000692884803149033,-0.0011819530633632844,-0.00015188550470188745,-2.2749163627653422e-07,-0.0031246380491264545,0.0,-0.0006818978551113972,0.0010983496773784177,0.0,Ibias,0.00790899001732846,-0.005597023875605041,0.2515961986695283,0.015020775539356563,-0.000873652317474448,0.00880445826601925,0.00450187228430468,0.0028170854099565396,0.0016661487440414752,-0.005238267556703246,0.0,0.005663053458542499,0.01116182936406519,0.0,W1,0.0004486220204600574,0.003489693664810056,-0.062058273272845306,-0.00662513428760938,-0.0028456719135345255,0.00023417577840033043,0.0041751056839725124,-0.0006324492880672767,-0.0009447727654292957,-0.00043777651410804256,0.0,0.0007059619929313505,-0.00044172758764132546,0.0,W2,0.001107002900347561,-0.0007122723917583798,-0.07234226754372504,-0.006283786073169971,-0.002028987370033987,0.0005881944551583407,0.00100826631183544,0.00012990850241388312,0.0,0.0026705021735047353,0.0,0.002657454737352021,-0.0009263594595553149,0.0,Alo,0.0,-0.0023791491671752195,0.2569368050893359,0.00872521396420233,-0.002893704732388894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.004043315100527885,0.0035555392416191127,-0.017622425405528958,-0.004574292093485162,-9.690028117977579e-05,-0.002165712698829029,-0.0036908434699668233,-0.0004733602103930896,-4.5498327255306844e-07,-0.00972989385391884,0.0,-0.0030290582324323566,0.0034696508150880738,0.0,Rbias3,0.003840416540764538,-0.003523580483835375,-0.07984384776226847,0.012267452377392761,-0.0016758773075719027,0.0019786475770245757,0.0034921340508461316,0.00045138320810508527,2.2749163627653422e-07,0.009273140480454845,0.0,0.0043563344973201485,-0.003170440067378385,0.0,
4,Rd,-0.001044510882628502,-0.0014534999034715049,0.06123542580201107,-0.06678627459277589,0.001893322178353159,-0.0005454907226900236,-0.0009690234746499767,-0.00011766470739243778,0.0,-0.0025198443885570652,0.0,-0.0010854510726499835,0.0009115108036165645,0.0,Ibias,0.007956490191365415,-0.0033994525171446703,0.07288831200500055,-0.06652912964568307,0.0018042197557063618,0.008836303112970989,0.004903573545734086,0.0027024219598171606,0.0016004113672485915,-0.00504810930974074,0.0,0.006258085025472943,0.011279425926030996,0.0,W1,-0.0001981667382362399,0.002090181098133609,0.09746831200076189,-0.11218024029178288,0.000739594641961686,-0.00010345513706186367,0.0029243075004514603,-0.0034559658197557547,-0.001763236438379422,0.0001263079894014826,0.0,-0.00015684678882302603,0.0008150246039810226,0.0,W2,0.001185624505427234,-0.00035095581105354617,0.09281803038615997,-0.10291180815984763,0.0007179005006267897,0.0006195551958138969,0.0010994257055772145,0.00013390321027468085,2.3394406772324128e-07,0.0028629810930975454,0.0,0.0026973319113574898,-0.0010231320933911019,0.0,Alo,0.0,-0.002492679899305187,0.07546060443528806,-0.09232370744699779,-0.00025808139535904803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.004489641314827808,0.0028337133832785633,0.12081551159088898,-0.10331431004048224,0.002978160328340666,-0.0023903426980805874,-0.00417287138967564,-0.00050519786744643,-4.6788813544648255e-07,-0.010813367314860465,0.0,-0.0034124361425416565,0.003987339497098808,0.0,Rbias3,0.004470623609682012,-0.0028626449583118523,0.08364873543680693,-0.09236190728286052,0.001032618554442465,0.002284830214542997,0.004137647798563026,0.0005054556214604764,4.6788813544648255e-07,0.01080985875959941,0.0,0.0033837912338684664,-0.0037939887205739576,0.0,
5,Rd,-0.0009124615352641418,0.003988346069883462,0.017949365785975804,-0.0024615706845208334,0.0027369188168671044,-0.0004679373079548021,-0.0008690131631354997,-9.609943087779989e-05,0.0,-0.0022219977006954048,0.0,-0.000884626510548419,0.0009464808794462941,0.0,Ibias,0.007999563300516615,0.0009182205472951583,0.01811571742074277,-0.004090106763187553,0.002481464844854837,0.008864812334031434,0.005119935886139987,0.0026336582917792385,0.0015645351719357865,-0.004943045522249843,0.0,0.0065131841985429486,0.011806802323719943,0.0,W1,-0.00019318443316586518,0.0022231151283273096,0.02363587588506341,-0.017289952784997113,0.0012498964614334625,-9.917189859945734e-05,0.002699573298444084,-0.003358007752020704,-0.0017320789445313513,0.00011940463014419257,0.0,-0.00015706633962793494,0.0005255624025308834,0.0,W2,0.0012767951065618677,0.0006094684116883853,0.028296051378700025,-0.013894561978502373,0.0010501595566355171,0.0006544061528942213,0.0012150091447541613,0.000134806146092477,2.3798831322061828e-07,0.0031129399410019416,0.0,0.002663322954363674,-0.001310391844645914,0.0,Alo,0.0,0.0013686853402180242,0.02312458473986314,-0.004169429710152055,0.0003960658309355598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.004928769656797749,-0.0006006796851859956,0.03161116414700611,-0.0265565343375936,0.003044977666745598,-0.002581678810142628,-0.004705545350015139,-0.000518136098149485,-4.759766267054567e-07,-0.011976437486318237,0.0,-0.003941656867958297,0.005216187321997994,0.0,Rbias3,0.004907861166623677,0.0005233675433866193,0.022984078616501605,-0.006211412505568834,0.0016391909602415909,0.0024619664535807774,0.004663703975493769,0.000519070398171972,7.139649399260749e-07,0.011987153286459475,0.0,0.0039133265998025635,-0.004947549184597231,0.0,
6,Rd,-0.0009490190131898113,0.0014710061340815323,-0.04683629008713107,-0.04757701073862003,-0.0018349642764016324,-0.0004942684059795702,-0.0008772990107966922,-0.00010639749047922485,0.0,-0.0022571630053519454,0.0,-0.0009507550036651818,0.0006901089403693855,0.0,Ibias,0.007980951297248736,-0.0008749533104620548,-0.043776185182546674,-0.04717733131377354,-0.0020812869726116435,0.008833488172109124,0.005288748347753505,0.0025707093792429725,0.0015498955452987317,-0.004757372588995484,0.0,0.00642756994835483,0.010781731481703727,0.0,W1,0.0004345113596580735,0.0026005806841579862,-0.039554427440622125,-0.03348124645143449,-0.0034282286412556213,0.000226179781894857,0.0034468103357520362,-0.0010054360059653458,-0.0009614825989654167,-0.0002585452006754625,0.0,0.0003493184930553464,-0.00025757014106962705,0.0,W2,0.0012064571632134499,0.00019525573155341157,-0.03592277719039155,-0.037335597564554575,-0.003189811058876721,0.0006279928031961491,0.0011135848777045331,0.00013532895548900513,2.400705615463511e-07,0.002872176520855234,0.0,0.002636888498990214,-0.0008667052140254717,0.0,Alo,0.0,-0.0006117497262440361,-0.03902956995509746,-0.040550178330537305,-0.004101077842889424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.004638924869471424,0.0010357753726951517,-0.02463146326140301,-0.018590581242062337,-0.0009704291802182112,-0.002470702200246157,-0.0042929164928315645,-0.000518873657509108,-4.801411229594362e-07,-0.01101952051489233,0.0,-0.0036409735237695347,0.0034399652015821044,0.0,Rbias3,0.004622950187131202,-0.0011528685906307542,-0.04061015275009007,-0.040747594003572696,-0.0027990515900974794,0.002347854907109628,0.004261723639114266,0.0005191440450326077,7.202116846390533e-07,0.011019520514892526,0.0,0.0036176673448765346,-0.0032605206009320093,0.0,
7,Rd,-0.0011433784227929402,-0.001596662541496306,-0.15754871411382848,0.07699429048565078,-0.0019722038025338277,-0.000611468350608743,-0.0010627128530302302,-0.00012490949324788577,-2.450575566753815e-07,-0.0027121349243753286,0.0,-0.00033593622606307224,0.0007884550489309916,0.0,Ibias,0.007738030514966061,-0.002930745128791278,-0.14734362685584443,0.07729525487076588,-0.00240824868223566,0.008697147959703144,0.0053263589666396605,0.0024332088589179854,0.0015115150095302218,-0.0051850063466270645,0.0,0.007061744560687129,0.010833515294678079,0.0,W1,-0.0003803872857305273,0.0015016146069246894,-0.11410028512380564,0.044602937427568996,-0.0029665073837078803,-0.0002128650260208405,0.0021126310045722113,-0.0031905252921373096,-0.0016823201265282017,-0.0006303256007610856,0.0,0.002029648755925663,0.0011791095142625178,0.0,W2,0.0012856080488914748,-0.00037454940481997025,-0.12344695852952689,0.04436591953392172,-0.0031829650945749428,0.000675615082588204,0.0011936703859107372,0.00014062844071268408,2.450575566753815e-07,0.00305115178992237,0.0,0.0020229736241021137,-0.0008746054747206466,0.0,Alo,0.0,-0.002747586807930373,-0.15187765183843405,0.043615227550312455,-0.004209065593162524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.004801450520529719,0.0028469701627340535,-0.062002680793594646,0.02715203459388892,-0.0009479157946743135,-0.0025614013475919774,-0.004468361337422587,-0.0005240584806598255,-7.351726700261444e-07,-0.011370437729324244,0.0,-0.003001765912935317,0.0033785259146039666,0.0,Rbias3,0.004592847068918285,-0.002872429990765804,-0.1438061996295882,0.06493526947888767,-0.0029732565120493552,0.002305133557644842,0.004259130336613578,0.0005034273621121073,4.901151132147286e-07,0.010909259136107075,0.0,0.00443460339295592,-0.003065287730511952,0.0,
8,Rd,-0.0010312804712134162,-0.00010607768268585249,-0.02518959659745978,0.008547568855952144,0.00026319842156512517,-0.0005235958903540962,-0.0009870669321680305,-0.0001026723525108252,-2.490083243554434e-07,-0.002490310108635938,0.0,-0.0010015338384188899,0.0009446865457074372,0.0,Ibias,0.007762769857946097,-0.0016508647383210201,-0.018801126697202578,0.0042425216813683185,-0.00027802266413303866,0.008751531310203212,0.0054825807596678685,0.002356968566888196,0.0014868287046836402,-0.005160449187076711,0.0,0.006439649488727584,0.011550481347680266,0.0,W1,-7.978274986896185e-05,0.0014438122263540631,-0.0021595998876524592,-0.00037819527550605965,-0.000654552894372998,-4.0557903887730856e-05,0.0021998826106518145,-0.0030344900795013802,-0.001658146431835209,5.378812936124087e-05,0.0,-6.790541486016767e-05,0.0006640750532890773,0.0,W2,0.0013010221493421155,-6.234920003518783e-05,-0.0022051103241206003,-0.0005482421620759995,-0.0010019717838098813,0.0006602294845987438,0.0012431749926436137,0.00012979061510881218,2.490083243554434e-07,0.0031454013557819646,0.0,0.002544748318808319,-0.001177171032510546,0.0,Alo,0.0,-0.0018215939658055903,-0.015382008061567518,0.013945092031800277,-0.0021096885496986895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.005112908311803447,0.0018319548933788039,0.02761917980451816,-0.0029845118706545238,0.0013266833675121697,-0.002652553402625284,-0.004898747795057579,-0.0005081411344598879,-7.470249729281027e-07,-0.012323101279033506,0.0,-0.004172631475466716,0.004785920211634616,0.0,Rbias3,0.005094436443607404,-0.0019368611207792102,-0.014050844799012448,0.008816587783177772,-0.0008621488581798033,0.0025308796909620916,0.004861382485322332,0.0005093012740362735,7.470249730663302e-07,0.012336749013349106,0.0,0.004144929475680702,-0.004519669196698267,0.0,
9,Rd,-0.001018031990192449,0.0020958204108796753,-0.021855273718660567,-0.05230392980087195,0.0005094443508387872,-0.0005081467453236146,-0.0009968218213358459,-9.378824478269531e-05,-2.5142703701251266e-07,-0.002484812855183245,0.0,-0.0009666388704223567,0.0011612594963925319,0.0,Ibias,0.007698391387717718,9.098931360692012e-05,-0.017882354467266215,-0.043447799286005034,-0.00013574837295518105,0.008733081768474944,0.005479283582862455,0.002303433374620921,0.0014731110098138824,-0.0053214884490604695,0.0,0.006472045492098815,0.012305222418653504,0.0,W1,-7.138259368658563e-05,0.0014808087384443353,-3.9034076208028684e-05,0.0059813332850231025,-0.0005798277478313601,-3.555646383717606e-05,0.002102873306535659,-0.0029549214345932547,-0.0016445842490516707,4.7902105515201275e-05,0.0,-5.7550388480024716e-05,0.0003952410530842439,0.0,W2,0.001377435049102464,0.0003288343273911705,0.00027052769458564075,-0.0014194012283221466,-0.0009905028397000062,0.0006873098980564417,0.0013471658543216108,0.00012722064749684498,2.5142703701251266e-07,0.0033662115966642536,0.0,0.0025460113872639123,-0.0015526781021549007,0.0,Alo,0.0,9.037757589557895e-05,-0.015626114091574324,-0.043399037530325674,-0.0019249591339338841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.005444721167276942,0.0002482854401867561,0.02434020618633927,0.08454757594757377,0.0011828871190400646,-0.0027796179302617425,-0.005340926008634809,-0.0005000067308598458,-7.54281111037538e-07,-0.013254077122389912,0.0,-0.004534614630436088,0.006349467246404565,0.0,Rbias3,0.005422033676260202,-0.00036769040750563037,-0.012946290620011396,-0.03873819285901168,-0.0007526859321698654,0.002650855201996968,0.0052948068172255945,0.0005016339716998869,7.54281110897968e-07,0.013280205543579966,0.0,0.004501537989634378,-0.005990921687610455,0.0,
10,Rd,-0.0010911610065487815,-0.0010260010215700642,-0.04986871032190011,0.030519405208395713,-0.001595377568463983,-0.0005462332209986574,-0.0010619199321893966,-0.00010157403910960869,-2.5300903647802205e-07,-0.002655869222046645,0.0,-0.001053529706336238,0.0011521024431856053,0.0,Ibias,0.007630315418439365,-0.002191284542061164,-0.04966257116204577,0.020041739622424358,-0.002270324810271034,0.008695470175734809,0.0055088088559995824,0.0022556905361674246,0.001463404266946745,-0.005414745653739555,0.0,0.006404444385702996,0.012075797222301976,0.0,W1,-5.207751601205156e-05,0.0012119782118444637,-0.05347151433603198,-0.005283621066090964,-0.0024534853099382027,-2.6076460298896484e-05,0.0020373306920257756,-0.0029211498659222294,-0.0016407636015127822,3.776931020365062e-05,0.0,-4.640582481203991e-05,0.0005122159281516654,0.0,W2,0.000321236046137974,0.0003945932275327048,-0.04853146661763467,0.00022808950467193345,-0.0029390258389127774,0.00016091920895010587,0.0003127028798824814,2.9874717385203412e-05,0.0,0.0007828547933117386,0.0,0.0020630032498762775,-0.00033662094679439987,0.0,Alo,0.0,-0.002510996288461924,-0.04069796740901775,0.04727018221207817,-0.004008433438509856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.005343975419412366,0.002333027146195589,-0.05222452196219615,-0.026433167623783105,-0.0005149769744388449,-0.002737342108748469,-0.005209598232355602,-0.0004960696821808922,-1.0120361459120882e-06,-0.012977191628604019,0.0,-0.00441942054397607,0.005766263143265192,0.0,Rbias3,0.005322459182533765,-0.0024209108671935054,-0.045202237769888465,0.023449093934371796,-0.002802153926391161,0.0026093615864918236,0.005167534139376608,0.0004972646708760848,7.590271094340661e-07,0.01299779307053339,0.0,0.004389902914902651,-0.00543807688989849,0.0,
