Iteration No,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,0.001303579,2.9608320446996905,-1.6042952357554796,63.971251467451,24.187093499127748,0.004386921,0.01323302,0.1006084,0.4909203,0.2810822,9999000.0,0.006638021,0.002279425,2.0,
2,0.001266989,1.4127423148925387,-1.4444666897509677,53.63797280899206,27.715312305839564,0.004257885,0.01288515,0.1004734,0.4903334,0.2835233,9999000.0,0.006491673,0.002207178,2.0,
3,0.001263636,1.4864478963313372,-1.3841394577144328,53.49073636056406,27.62658849500881,0.004245191,0.01288408,0.1002968,0.4897755,0.2839485,9999000.0,0.006494077,0.002202343,2.0,
4,0.001260688,1.5632204741281666,-1.357720526938735,53.58475832968327,27.492528632860186,0.004233919,0.01288669,0.1001224,0.489226,0.2843505,9999000.0,0.006497735,0.002198294,2.0,
5,0.001257795,1.6380686641554245,-1.3314375641886045,53.65282448951535,27.361145331722305,0.004222876,0.01288936,0.09995026,0.4886844,0.2847383,9999000.0,0.00650169,0.002194374,2.0,
6,0.00125496,1.7110074809544953,-1.305056831960215,53.71930846090112,27.23281203344451,0.004212061,0.01289214,0.09978041,0.4881505,0.2851173,9999000.0,0.00650568,0.002190569,2.0,
7,0.001252183,1.782164374101163,-1.278648280881363,53.81066102726521,27.107416135296134,0.00420147,0.01289504,0.09961284,0.487624,0.2854888,9999000.0,0.006509661,0.002186873,2.0,
8,0.001249182,1.8347286382072368,-1.2629717422426339,53.833203916133115,27.01252221704715,0.004190103,0.01289509,0.09944762,0.4871036,0.285874,9999000.0,0.006512166,0.002182704,2.0,
9,0.001245843,1.8634410407022188,-1.2617643505739622,53.833435365546464,26.957331867636043,0.00417757,0.01289119,0.0992844,0.4865877,0.2862792,9999000.0,0.006512778,0.002177844,2.0,
10,0.00124259,1.8945737668578921,-1.2584248250344743,53.8336711485953,26.898747765915665,0.004165349,0.01288782,0.09912261,0.4860767,0.2866775,9999000.0,0.006513559,0.002173152,2.0,
11,0.001239375,1.9250663706641093,-1.25540943959642,53.807728870298206,26.84130231119616,0.004153272,0.01288449,0.09896227,0.4855705,0.2870715,9999000.0,0.006514307,0.00216853,2.0,
12,0.001236201,1.9552580893849625,-1.252471689403869,53.80775524126037,26.784470489605994,0.004141353,0.01288124,0.09880334,0.4850689,0.2874608,9999000.0,0.006515053,0.002163988,2.0,
13,0.001233067,1.9851240423197885,-1.249639776017787,53.807642202026614,26.72830051698927,0.004129586,0.01287806,0.0986458,0.4845718,0.2878454,9999000.0,0.006515802,0.002159522,2.0,
14,0.001229971,2.0146809649728663,-1.2468673066368297,53.80739324914522,26.672766101643738,0.004117968,0.01287496,0.09848962,0.4840792,0.2882253,9999000.0,0.006516558,0.00215513,2.0,
15,0.001226913,2.043945468068782,-1.2442053057343472,53.8070088402805,26.61785671251698,0.004106495,0.01287192,0.09833478,0.4835911,0.2886006,9999000.0,0.006517325,0.002150812,2.0,
16,0.001223893,2.0729063952055733,-1.2416534613562789,53.806512550384085,26.563558996856415,0.004095165,0.01286895,0.09818125,0.4831072,0.2889714,9999000.0,0.006518105,0.002146564,2.0,
17,0.001220909,2.1015937468804693,-1.2391710405954228,53.80594061131099,26.50985154469907,0.004083975,0.01286605,0.09802902,0.4826276,0.2893377,9999000.0,0.006518903,0.002142386,2.0,
18,0.001217961,2.1299963466839333,-1.2367776544437135,53.805237740795945,26.45672189155068,0.004072921,0.01286321,0.09787805,0.4821522,0.2896998,9999000.0,0.00651972,0.002138275,2.0,
19,0.001215047,2.158143766047904,-1.234503211939078,53.7790778105408,26.40415306771444,0.004062002,0.01286044,0.09772834,0.4816808,0.2900575,9999000.0,0.006520555,0.002134231,2.0,
20,0.001212174,2.186038122392788,-1.232303720675901,53.77825098986719,26.352134781969234,0.004051224,0.01285777,0.09757991,0.4812135,0.2904136,9999000.0,0.006521275,0.002130249,2.0,
21,0.00120934,2.2136681806521774,-1.23019805257492,53.802553532550974,26.300664993194015,0.004040588,0.01285521,0.09743278,0.4807502,0.290769,9999000.0,0.006521832,0.002126328,2.0,
22,0.001206542,2.2410629237830517,-1.2281733169321427,53.80148192702143,26.249721055460746,0.004030082,0.01285274,0.09728686,0.4802907,0.2911212,9999000.0,0.00652236,0.002122469,2.0,
23,0.001203777,2.2682243816874195,-1.2262658809072207,53.7753054816437,26.199296972250234,0.004019703,0.01285033,0.09714213,0.4798351,0.2914704,9999000.0,0.006522855,0.002118669,2.0,
24,0.001201047,2.295154411518928,-1.2244458340793898,53.77413606536632,26.149383514421242,0.004009449,0.012848,0.09699858,0.4793832,0.2918166,9999000.0,0.006523314,0.002114928,2.0,
25,0.00119835,2.3218682771153274,-1.222723263506218,53.77290294275144,26.099970415708587,0.003999319,0.01284574,0.09685618,0.4789351,0.2921601,9999000.0,0.006523732,0.002111243,2.0,
26,0.001195685,2.3483543173197394,-1.2210865848831531,53.77159853673308,26.051042712971345,0.003989309,0.01284356,0.09671494,0.4784905,0.2925009,9999000.0,0.006524105,0.002107614,2.0,
27,0.001193053,2.374627659482525,-1.2195492415648346,53.7702256089614,26.002598840664007,0.003979418,0.01284145,0.09657481,0.4780496,0.2928393,9999000.0,0.006524428,0.00210404,2.0,
28,0.001190453,2.4006768118698383,-1.2180990582115996,53.768788364379404,25.954631572404047,0.003969645,0.01283942,0.09643581,0.4776122,0.2931752,9999000.0,0.006524699,0.002100519,2.0,
29,0.001187884,2.426542953114564,-1.2167510101615733,53.76728292509952,25.907117866981928,0.003959987,0.01283745,0.0962979,0.4771782,0.2935087,9999000.0,0.006524921,0.00209705,2.0,
30,0.001185345,2.4522012626047607,-1.2154886345885885,53.76571346309653,25.860065813120947,0.00395044,0.01283556,0.09616107,0.4767477,0.2938398,9999000.0,0.006525104,0.002093633,2.0,
31,0.001182835,2.477653294628944,-1.2143062251761023,53.76410856899295,25.81345201922786,0.003941002,0.01283372,0.09602528,0.4763205,0.2941677,9999000.0,0.006525285,0.002090266,2.0,
32,0.001180349,2.50293986399397,-1.2132333138088427,53.738147265044915,25.767276384399246,0.003931663,0.01283191,0.09589048,0.4758967,0.2944908,9999000.0,0.006525561,0.002086949,2.0,
33,0.001177878,2.528049158278367,-1.2122311078293393,53.78582596441848,25.721509702195824,0.003922402,0.01283004,0.09575654,0.4754761,0.2948043,9999000.0,0.006526151,0.002083682,2.0,
34,0.001175402,2.553034334218517,-1.2112530570046758,53.783964524048486,25.676082496315246,0.00391318,0.01282797,0.09562321,0.4750588,0.2950988,9999000.0,0.006527491,0.002080469,2.0,
35,0.001172908,2.5778315461080474,-1.210390325503461,53.78211509417888,25.631083885599786,0.003903971,0.01282559,0.09549031,0.4746446,0.2953678,9999000.0,0.006530109,0.002077308,2.0,
